file,attack_type,t_start,t_stop,duration_s
S01_normal_DC1,1,165.01,188.91,23.9099999999952
S01_normal_DC1,1,206.64,232.41,25.7799999999949
S01_normal_DC1,2,97.9,109.25,11.3599999999977
S01_normal_DC1,2,40.85,61.27,20.4299999999959
S01_normal_DC1,3,70.29,107.18,36.8999999999927
S01_normal_DC1,3,86.02,105.97,19.959999999996
S01_normal_DC1,4,284.69,293.17,8.48999999999831
S01_normal_DC1,4,185.53,221.97,36.4499999999927
S01_normal_DC1,4,191.76,228.27,36.5199999999927
S01_normal_DC1,5,51.31,59.43,8.12999999999838
S01_normal_DC1,5,228.66,262,33.3499999999934
S01_normal_DC2,1,45.17,60.58,15.4199999999969
S01_normal_DC2,1,80.63,112.65,32.0299999999936
S01_normal_DC2,1,156.28,195.69,39.4199999999922
S01_normal_DC2,1,174.19,192.2,18.0199999999964
S01_normal_DC2,2,225.7,265.13,39.4399999999922
S01_normal_DC2,2,265.35,292.65,27.3099999999946
S01_normal_DC2,3,258.98,278.17,19.1999999999962
S01_normal_DC2,3,132.43,145.64,13.2199999999974
S01_normal_DC2,3,187.88,222.09,34.2199999999932
S01_normal_DC2,4,150.2,162.03,11.8399999999976
S01_normal_DC2,4,38.06,72.24,34.1899999999932
S01_normal_DC2,4,77,107.23,30.239999999994
S01_normal_DC2,4,221.09,233.52,12.4399999999975
S01_normal_DC2,5,79.88,94.58,14.7099999999971
S01_normal_DC2,5,93.76,113.24,19.4899999999961
S01_normal_DC2,5,178.86,200.18,21.3299999999958
S01_normal_DC2,5,246.89,271.82,24.939999999995
S01_normal_DC3,1,53.57,80.54,26.9799999999946
S01_normal_DC3,1,186.17,213.86,27.6999999999945
S01_normal_DC3,1,59.38,88.71,29.3399999999942
S01_normal_DC3,2,113.11,146.25,33.1499999999934
S01_normal_DC3,2,261.78,291.61,29.8399999999941
S01_normal_DC3,2,74.22,102.55,28.3399999999944
S01_normal_DC3,2,109.69,149.48,39.7999999999921
S01_normal_DC3,3,63.04,83.97,20.9399999999958
S01_normal_DC3,3,110.04,145.49,35.4599999999929
S01_normal_DC3,3,126.31,156.57,30.269999999994
S01_normal_DC3,3,120.83,152.97,32.1499999999936
S01_normal_DC3,4,189.64,208.99,19.3599999999961
S01_normal_DC3,4,29,46.4,17.4099999999965
S01_normal_DC3,5,249.09,278.92,29.8399999999941
S01_normal_DC3,5,37.01,61.98,24.979999999995
S01_normal_DC3,5,89.19,119.94,30.7599999999939
S01_normal_DC4,1,205.61,225.19,19.5899999999961
S01_normal_DC4,1,76.28,101.89,25.6199999999949
S01_normal_DC4,1,206.08,219.09,13.0199999999974
S01_normal_DC4,1,244.76,264.04,19.2899999999962
S01_normal_DC4,2,226.03,248.25,22.2299999999956
