t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.977513399514205,0.977513399441554,0.977513399263199,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.982435039788022,0.982435039578707,0.982435039378141,1.4085,1.4085,0.570718946915244,0.8235,0.435,0.15,0,1,1,0,0,0.5,0.8235,0,0
0.02,0.988786351219553,0.988786351037263,0.988786350855361,2.817,2.817,1.14143789383049,1.647,0.87,0.3,0,1,1,0,0,0.5,1.647,0,0
0.03,0.99480598678797,0.994805986615832,0.994805986453577,4.2255,4.2255,1.71215684074573,2.4705,1.305,0.45,0,1,1,0,0,0.5,2.4705,0,0
0.04,1.00042640022369,1.0004264000673,1.00042639992383,5.634,5.634,2.28287578766098,3.294,1.74,0.6,0,1,1,0,0,0.5,3.294,0,0
0.05,1.00563645076228,1.00563645061841,1.00563645048868,7.0425,7.0425,2.85359473457622,4.1175,2.175,0.75,0,1,1,0,0,0.5,4.1175,0,0
0.06,1.01045899074151,1.010458990609,1.010458990494,8.451,8.451,3.42431368149146,4.941,2.61,0.9,0,1,1,0,0,0.5,4.941,0,0
0.07,1.01492510924329,1.0149251091221,1.01492510901812,9.8595,9.8595,3.99503262840671,5.7645,3.045,1.05,0,1,1,0,0,0.5,5.7645,0,0
0.08,1.01906501937834,1.0190650192665,1.01906501917327,11.268,11.268,4.56575157532195,6.588,3.48,1.2,0,1,1,0,0,0.5,6.588,0,0
0.09,1.02290747895394,1.02290747885126,1.02290747876712,12.6765,12.6765,5.1364705222372,7.4115,3.915,1.35,0,1,1,0,0,0.5,7.4115,0,0
0.1,1.02647949031368,1.0264794902189,1.02647949014286,14.085,14.085,5.70718946915244,8.235,4.35,1.5,0,1,1,0,0,0.5,8.235,0,0
0.11,1.02980571491004,1.02980571482249,1.02980571475363,15.4935,15.4935,6.27790841606768,9.0585,4.785,1.65,0,1,1,0,0,0.5,9.0585,0,0
0.12,1.0329084918706,1.0329084917896,1.03290849172711,16.902,16.902,6.84862736298293,9.882,5.22,1.8,0,1,1,0,0,0.5,9.882,0,0
0.13,1.03580799768443,1.03580799760933,1.03580799755233,18.3105,18.3105,7.41934630989817,10.7055,5.655,1.95,0,1,1,0,0,0.5,10.7055,0,0
0.14,1.0385226569261,1.03852265685626,1.03852265680416,19.719,19.719,7.99006525681342,11.529,6.09,2.1,0,1,1,0,0,0.5,11.529,0,0
0.15,1.04106898391607,1.04106898385092,1.04106898380307,21.1275,21.1275,8.56078420372866,12.3525,6.525,2.25,0,1,1,0,0,0.5,12.3525,0,0
0.16,1.04346188623475,1.04346188617378,1.04346188612974,22.536,22.536,9.1315031506439,13.176,6.96,2.4,0,1,1,0,0,0.5,13.176,0,0
0.17,1.04571452975672,1.04571452969945,1.04571452965865,23.9445,23.9445,9.70222209755915,13.9995,7.395,2.55,0,1,1,0,0,0.5,13.9995,0,0
0.18,1.04783878340031,1.04783878334635,1.04783878330841,25.353,25.353,10.2729410444744,14.823,7.83,2.7,0,1,1,0,0,0.5,14.823,0,0
0.19,1.04984502781359,1.04984502776252,1.04984502772705,26.7615,26.7615,10.8436599913896,15.6465,8.265,2.85,0,1,1,0,0,0.5,15.6465,0,0
0.2,1.05174234594877,1.05174234590025,1.05174234586692,28.17,28.17,11.4143789383049,16.47,8.7,3,0,1,1,0,0,0.5,16.47,0,0
0.21,1.05353869204897,1.05353869200267,1.05353869197118,29.5785,29.5785,11.9850978852201,17.2935,9.135,3.15,0,1,1,0,0,0.5,17.2935,0,0
0.22,1.05524077905094,1.05524077900657,1.05524077897663,30.987,30.987,12.5558168321354,18.117,9.57,3.3,0,1,1,0,0,0.5,18.117,0,0
0.23,1.0568546269076,1.05685462686487,1.05685462683625,32.3955,32.3955,13.1265357790506,18.9405,10.005,3.45,0,1,1,0,0,0.5,18.9405,0,0
0.24,1.05838528156802,1.0583852815267,1.05838528149918,33.804,33.804,13.6972547259659,19.764,10.44,3.6,0,1,1,0,0,0.5,19.764,0,0
0.25,1.05983697361472,1.05983697357459,1.05983697354796,35.2125,35.2125,14.2679736728811,20.5875,10.875,3.75,0,1,1,0,0,0.5,20.5875,0,0
0.26,1.06121351092281,1.06121351088367,1.06121351085777,36.621,36.621,14.8386926197963,21.411,11.31,3.9,0,1,1,0,0,0.5,21.411,0,0
0.27,1.06251804745237,1.06251804741403,1.06251804738869,38.0295,38.0295,15.4094115667116,22.2345,11.745,4.05,0,1,1,0,0,0.5,22.2345,0,0
0.28,1.06375332902713,1.06375332898942,1.06375332896451,39.438,39.438,15.9801305136268,23.058,12.18,4.2,0,1,1,0,0,0.5,23.058,0,0
0.29,1.06492178753826,1.06492178750103,1.06492178747641,40.8465,40.8465,16.5508494605421,23.8815,12.615,4.35,0,1,1,0,0,0.5,23.8815,0,0
0.3,1.06602538588234,1.06602538584544,1.06602538582101,42.255,42.255,17.1215684074573,24.705,13.05,4.5,0,1,1,0,0,0.5,24.705,0,0
0.31,1.06706610170069,1.067066101664,1.06706610163965,43.6635,43.6635,17.6922873543726,25.5285,13.485,4.65,0,1,1,0,0,0.5,25.5285,0,0
0.32,1.06804554630452,1.06804554626792,1.06804554624357,45.072,45.072,18.2630063012878,26.352,13.92,4.8,0,1,1,0,0,0.5,26.352,0,0
0.33,1.06896521836935,1.06896521833274,1.0689652183083,46.4805,46.4805,18.833725248203,27.1755,14.355,4.95,0,1,1,0,0,0.5,27.1755,0,0
0.34,1.06982648398329,1.06982648394657,1.06982648392197,47.889,47.889,19.4044441951183,27.999,14.79,5.1,0,1,1,0,0,0.5,27.999,0,0
0.35,1.07063060508585,1.07063060504893,1.0706306050241,49.2975,49.2975,19.9751631420335,28.8225,15.225,5.25,0,1,1,0,0,0.5,28.8225,0,0
0.36,1.07137875691149,1.0713787568743,1.07137875684918,50.706,50.706,20.5458820889488,29.646,15.66,5.4,0,1,1,0,0,0.5,29.646,0,0
0.37,1.07207204088327,1.07207204084572,1.07207204082027,52.1145,52.1145,21.116601035864,30.4695,16.095,5.55,0,1,1,0,0,0.5,30.4695,0,0
0.38,1.07271150367407,1.0727115036361,1.07271150361027,53.523,53.523,21.6873199827793,31.293,16.53,5.7,0,1,1,0,0,0.5,31.293,0,0
0.39,1.07329814317082,1.07329814313237,1.07329814310612,54.9315,54.9315,22.2580389296945,32.1165,16.965,5.85,0,1,1,0,0,0.5,32.1165,0,0
0.4,1.0738329238731,1.07383292383411,1.0738329238074,56.34,56.34,22.8287578766098,32.94,17.4,6,0,1,1,0,0,0.5,32.94,0,0
0.41,1.07431678697814,1.07431678693857,1.07431678691136,57.7485,57.7485,23.399476823525,33.7635,17.835,6.15,0,1,1,0,0,0.5,33.7635,0,0
0.42,1.07475065870741,1.0747506586672,1.07475065863947,59.157,59.157,23.9701957704402,34.587,18.27,6.3,0,1,1,0,0,0.5,34.587,0,0
0.43,1.07513548270446,1.07513548266358,1.0751354826353,60.5655,60.5655,24.5409147173555,35.4105,18.705,6.45,0,1,1,0,0,0.5,35.4105,0,0
0.44,1.07547218871855,1.07547218867696,1.0754721886481,61.974,61.974,25.1116336642707,36.234,19.14,6.6,0,1,1,0,0,0.5,36.234,0,0
0.45,1.07576175162124,1.07576175157889,1.07576175154944,63.3825,63.3825,25.682352611186,37.0575,19.575,6.75,0,1,1,0,0,0.5,37.0575,0,0
0.46,1.07600517420137,1.07600517415824,1.07600517412817,64.791,64.791,26.2530715581012,37.881,20.01,6.9,0,1,1,0,0,0.5,37.881,0,0
0.47,1.07620350455086,1.07620350450693,1.07620350447622,66.1995,66.1995,26.8237905050165,38.7045,20.445,7.05,0,1,1,0,0,0.5,38.7045,0,0
0.48,1.07635786393987,1.0763578638951,1.07635786386373,67.608,67.608,27.3945094519317,39.528,20.88,7.2,0,1,1,0,0,0.5,39.528,0,0
0.49,1.07646936030295,1.07646936025731,1.07646936022528,69.0165,69.0165,27.965228398847,40.3515,21.315,7.35,0,1,1,0,0,0.5,40.3515,0,0
0.5,1.07653929928697,1.07653929924046,1.07653929920775,70.425,70.425,28.5359473457622,41.175,21.75,7.5,0,1,1,0,0,0.5,41.175,0,0
0.51,1.07656949659127,1.07656949654387,1.07656949651046,71.8335,71.8335,29.1066662926774,41.9985,22.185,7.65,0,1,1,0,0,0.5,41.9985,0,0
0.52,1.07657375846883,1.07657375842068,1.07657375838662,73.242,73.242,29.6773852395927,42.822,22.62,7.8,0,1,1,0,0,0.5,42.822,0,0
0.53,1.077052392203,1.07705239215984,1.07705239212649,74.6505,74.6505,30.2481041865079,43.6455,23.055,7.95,0,1,1,0,0,0.5,43.6455,0,0
0.54,1.07642077187133,1.07642077181857,1.07642077178853,76.059,76.059,30.8188231334232,44.469,23.49,8.1,0,1,1,0,0,0.5,44.469,0,0
0.55,1.07631232784251,1.07631232779274,1.07631232775589,77.4675,77.4675,31.3895420803384,45.2925,23.925,8.25,0,1,1,0,0,0.5,45.2925,0,0
0.56,1.07615553892434,1.07615553887144,1.07615553883418,78.876,78.876,31.9602610272537,46.116,24.36,8.4,0,1,1,0,0,0.5,46.116,0,0
0.57,1.07597275660621,1.07597275655337,1.07597275651591,80.2845,80.2845,32.5309799741689,46.9395,24.795,8.55,0,1,1,0,0,0.5,46.9395,0,0
0.58,1.07575792920569,1.07575792915159,1.0757579291127,81.693,81.693,33.1016989210842,47.763,25.23,8.7,0,1,1,0,0,0.5,47.763,0,0
0.59,1.0755141352716,1.07551413521645,1.07551413517728,83.1015,83.1015,33.6724178679994,48.5865,25.665,8.85,0,1,1,0,0,0.5,48.5865,0,0
0.6,1.07524214466899,1.07524214461298,1.0752421445727,84.51,84.51,34.2431368149146,49.41,26.1,9,0,1,1,0,0,0.5,49.41,0,0
