t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.504,idle,0.0,13.16796875,1.7,3717.80078125,,,,,,,
1.006,idle,0.0,13.1875,3.3,3717.80078125,3893.0,28.0,3697.0,562.0,1125.0,45.312,45.562
1.508,idle,2.0,13.1953125,1.7,3717.80078125,3893.0,0.0,3617.0,522.0,1125.0,45.406,45.625
2.010,idle,0.0,13.19921875,6.7,3718.27734375,3893.0,0.0,3577.0,522.0,1125.0,45.156,45.625
2.512,idle,0.0,13.19921875,2.0,3718.49609375,3893.0,0.0,3657.0,522.0,1125.0,45.125,45.656
3.014,idle,0.0,13.19921875,3.0,3718.703125,3894.0,0.0,3818.0,522.0,1125.0,45.125,45.718
3.516,idle,0.0,13.19921875,7.4,3718.9453125,3894.0,0.0,3938.0,521.0,1125.0,45.375,45.718
4.018,idle,0.0,13.19921875,2.7,3717.9375,3894.0,0.0,3979.0,561.0,1123.0,45.125,45.625
4.520,idle,0.0,13.19921875,2.0,3714.87109375,3890.0,0.0,3938.0,522.0,1125.0,45.25,45.656
5.022,idle,0.0,13.19921875,6.0,3716.7421875,3890.0,0.0,3697.0,522.0,1125.0,45.218,45.781
5.524,idle,0.0,13.19921875,1.3,3716.7421875,3892.0,0.0,3657.0,522.0,1125.0,45.125,45.593
6.025,idle,2.0,13.19921875,2.0,3716.7421875,3892.0,0.0,3617.0,522.0,1125.0,45.062,45.562
6.527,idle,0.0,13.203125,2.6,3716.7421875,3892.0,0.0,3617.0,522.0,1125.0,45.218,45.593
7.029,idle,0.0,13.203125,1.0,3716.734375,3892.0,0.0,3617.0,522.0,1125.0,45.375,45.406
7.531,idle,2.0,13.203125,1.7,3716.734375,3892.0,0.0,3617.0,522.0,1125.0,45.343,45.562
8.033,idle,0.0,13.203125,6.3,3718.94921875,3892.0,0.0,3617.0,522.0,1125.0,45.218,45.687
8.535,idle,0.0,13.203125,0.7,3718.94921875,3894.0,0.0,3657.0,562.0,1125.0,45.093,45.593
9.037,idle,0.0,13.203125,3.6,3718.94921875,3894.0,0.0,3617.0,522.0,1125.0,45.125,45.625
9.539,idle,0.0,13.203125,1.7,3718.94921875,3894.0,0.0,3617.0,522.0,1125.0,45.031,45.593
10.041,idle,0.0,13.203125,3.6,3718.94921875,3894.0,0.0,3577.0,522.0,1125.0,45.25,45.593
10.543,idle,2.0,13.203125,2.0,3718.94921875,3894.0,3.0,3617.0,522.0,1125.0,45.281,45.562
11.045,idle,0.0,13.203125,6.3,3718.94921875,3894.0,0.0,3577.0,522.0,1125.0,45.281,45.468
11.547,idle,0.0,13.203125,1.3,3718.94921875,3894.0,0.0,3657.0,562.0,1125.0,45.125,45.593
12.049,idle,0.0,13.203125,5.0,3718.94140625,3894.0,0.0,3657.0,522.0,1125.0,45.062,45.718
12.551,idle,0.0,13.203125,2.7,3719.17578125,3894.0,0.0,3657.0,522.0,1125.0,45.125,45.5
13.053,idle,0.0,13.20703125,1.3,3719.39453125,3894.0,0.0,3617.0,522.0,1125.0,45.375,45.687
13.555,idle,2.0,13.20703125,1.0,3719.39453125,3895.0,0.0,3617.0,522.0,1125.0,45.062,45.593
14.057,idle,0.0,13.20703125,5.0,3719.3828125,3895.0,0.0,3577.0,482.0,1125.0,45.25,45.656
14.559,idle,0.0,13.20703125,1.0,3719.3828125,3895.0,0.0,3657.0,562.0,1125.0,45.156,45.687
15.061,idle,2.0,13.20703125,1.7,3719.3828125,3895.0,0.0,3577.0,522.0,1125.0,45.125,45.531
15.563,idle,0.0,13.20703125,3.0,3719.62890625,3895.0,0.0,3617.0,522.0,1125.0,45.093,45.531
16.064,idle,0.0,13.20703125,3.6,3719.62890625,3895.0,0.0,3617.0,522.0,1125.0,45.031,45.593
16.566,idle,0.0,13.20703125,1.3,3719.62890625,3895.0,0.0,3577.0,522.0,1125.0,45.156,45.562
17.068,idle,2.0,13.20703125,4.4,3719.62890625,3895.0,0.0,3577.0,482.0,1125.0,44.937,45.468
17.570,idle,0.0,13.20703125,1.7,3719.62890625,3895.0,0.0,3697.0,562.0,1125.0,45.093,45.468
18.072,idle,0.0,13.20703125,2.0,3719.62109375,3895.0,0.0,3617.0,522.0,1125.0,45.187,45.5
18.574,idle,0.0,13.20703125,1.3,3719.62109375,3895.0,0.0,3617.0,522.0,1125.0,45.312,45.468
19.076,idle,2.0,13.2109375,1.7,3719.62109375,3895.0,0.0,3577.0,482.0,1125.0,45.062,45.687
19.578,idle,0.0,13.2109375,1.3,3719.62109375,3895.0,0.0,3617.0,482.0,1125.0,45.187,45.656
20.079,idle,0.0,13.2109375,4.3,3719.62109375,3895.0,0.0,3617.0,482.0,1125.0,45.125,45.531
20.581,idle,0.0,13.2109375,5.0,3721.046875,3895.0,0.0,3697.0,562.0,1125.0,45.062,45.531
21.083,idle,0.0,13.2109375,1.7,3721.046875,3896.0,0.0,3617.0,522.0,1125.0,45.062,45.625
21.585,idle,0.0,13.2109375,2.0,3721.046875,3896.0,0.0,3617.0,522.0,1125.0,44.937,45.5
22.087,idle,0.0,13.2109375,1.3,3721.046875,3896.0,0.0,3577.0,482.0,1125.0,45.25,45.531
22.589,idle,0.0,13.2109375,1.7,3721.046875,3896.0,0.0,3577.0,482.0,1125.0,45.062,45.5
23.091,idle,0.0,13.2109375,1.3,3721.0234375,3896.0,0.0,3617.0,482.0,1125.0,45.125,45.406
23.593,idle,2.0,13.2109375,5.7,3722.0078125,3897.0,0.0,3697.0,562.0,1125.0,45.218,45.531
24.095,idle,0.0,13.2109375,1.3,3721.99609375,3897.0,0.0,3617.0,522.0,1125.0,45.25,45.625
24.597,idle,2.0,13.2109375,2.0,3721.99609375,3897.0,0.0,3577.0,482.0,1125.0,45.0,45.656
25.099,idle,0.0,13.2109375,2.0,3722.21484375,3897.0,0.0,3577.0,482.0,1125.0,45.062,45.562
25.601,idle,0.0,13.2109375,1.3,3722.21484375,3897.0,0.0,3617.0,482.0,1125.0,44.968,45.593
26.103,idle,0.0,13.2109375,0.7,3722.21484375,3897.0,0.0,3617.0,482.0,1125.0,44.906,45.437
26.604,idle,0.0,13.2109375,4.7,3723.4453125,3899.0,0.0,3697.0,562.0,1125.0,44.937,45.468
27.106,idle,0.0,13.2109375,1.0,3723.4453125,3899.0,0.0,3617.0,522.0,1125.0,45.125,45.562
27.608,idle,2.0,13.2109375,2.3,3723.4453125,3899.0,0.0,3577.0,522.0,1125.0,45.218,45.343
28.110,idle,0.0,13.2109375,1.0,3723.4375,3899.0,0.0,3577.0,482.0,1125.0,45.281,45.343
28.612,idle,0.0,13.2109375,2.3,3723.4375,3899.0,0.0,3617.0,482.0,1125.0,45.0,45.437
29.114,idle,0.0,13.2109375,1.3,3723.4296875,3899.0,0.0,3577.0,482.0,1125.0,45.062,45.656
29.615,idle,0.0,13.2109375,4.7,3723.4296875,3899.0,0.0,3697.0,561.0,1125.0,45.0,45.531
30.117,idle,0.0,13.2109375,1.3,3723.41796875,3899.0,0.0,3617.0,522.0,1125.0,45.0,45.468
