t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,init,0.0,145.28125,18.3,3765.6171875,,,,,,,
1.006,init,0.0,145.29296875,16.7,3785.05078125,4019.0,0.0,4173.0,922.0,1163.0,46.812,46.843
1.508,init,0.0,145.296875,18.3,3813.10546875,4035.0,0.0,4133.0,882.0,1163.0,47.062,47.062
2.009,init,2.0,145.30078125,16.4,3826.640625,4063.0,0.0,4166.0,921.0,1161.0,46.718,46.812
2.510,init,0.0,145.30078125,19.1,3836.234375,4076.0,0.0,4133.0,922.0,1123.0,46.843,46.75
3.012,init,0.0,145.30078125,17.6,3838.203125,4087.0,0.0,4173.0,921.0,1121.0,46.718,47.031
3.514,init,43.8,158.90625,16.9,3768.8515625,4087.0,0.0,4166.0,801.0,1161.0,46.437,46.781
4.016,init,71.7,169.06640625,15.5,3776.85546875,4024.0,0.0,4206.0,760.0,1161.0,46.625,46.875
4.518,init,77.7,182.421875,15.9,3788.8515625,4030.0,0.0,4246.0,760.0,1160.0,46.531,46.843
5.021,monitor:delivered_A1,85.5,177.17578125,16.9,3807.08203125,4040.0,0.0,4320.0,800.0,1160.0,46.625,46.812
5.526,monitor:delivered_A1,99.2,177.34765625,25.1,3807.08203125,4056.0,0.0,4286.0,880.0,1160.0,46.906,46.906
6.030,monitor:delivered_A1,101.1,177.453125,17.5,3806.95703125,4056.0,0.0,4280.0,1000.0,1160.0,46.718,46.718
6.532,monitor:delivered_A1,99.6,177.55859375,18.6,3806.9296875,4056.0,0.0,4173.0,1001.0,1123.0,46.875,46.937
7.034,monitor:delivered_A1,99.6,177.66015625,17.3,3806.9296875,4056.0,0.0,4173.0,1001.0,1121.0,47.031,47.031
7.536,monitor:delivered_A1,99.6,177.765625,20.6,3806.9296875,4056.0,0.0,4173.0,1003.0,1123.0,46.843,46.843
8.038,monitor:delivered_A1,99.6,262.02734375,26.3,3894.96875,4055.0,0.0,4246.0,1040.0,1121.0,46.875,46.875
8.540,monitor:delivered_A1,99.6,186.65625,21.2,3868.203125,4118.0,0.0,4672.0,1076.0,1238.0,46.812,46.906
9.045,monitor:no_attack,97.1,186.6640625,19.7,3868.70703125,4118.0,0.0,4360.0,1040.0,1160.0,46.718,46.75
9.547,monitor:no_attack,99.6,186.66796875,17.9,3868.70703125,4118.0,0.0,4246.0,1001.0,1121.0,46.625,46.687
10.051,monitor:no_attack,99.3,186.67578125,16.9,3867.92578125,4117.0,0.0,4173.0,1003.0,1123.0,46.656,46.781
10.553,monitor:no_attack,99.5,186.67578125,20.1,3867.92578125,4117.0,0.0,4139.0,963.0,1123.0,46.781,46.781
11.057,monitor:no_attack,99.2,186.67578125,18.4,3855.00390625,4104.0,40.0,4246.0,1040.0,1120.0,46.531,46.812
