t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.945803447512407,0.945803447722433,0.945803447713961,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.949458216779986,0.949458216963645,0.949458216886482,1.17875,1.17875,0.491795554616476,0.64125,0.4125,0.125,0,1,1,0,0,0.5,0.64125,0,0
0.02,0.954238695906903,0.954238696072794,0.954238696002139,2.3575,2.3575,0.983591109232952,1.2825,0.825,0.25,0,1,1,0,0,0.5,1.2825,0,0
0.03,0.958888350303796,0.958888350452994,0.958888350388635,3.53625,3.53625,1.47538666384943,1.92375,1.2375,0.375,0,1,1,0,0,0.5,1.92375,0,0
0.04,0.963324617782067,0.963324617916981,0.963324617857821,4.715,4.715,1.9671822184659,2.565,1.65,0.5,0,1,1,0,0,0.5,2.565,0,0
0.05,0.96750765903133,0.967507659153089,0.967507659098976,5.89375,5.89375,2.45897777308238,3.20625,2.0625,0.625,0,1,1,0,0,0.5,3.20625,0,0
0.06,0.971428463341909,0.971428463452092,0.971428463402331,7.0725,7.0725,2.95077332769886,3.8475,2.475,0.75,0,1,1,0,0,0.5,3.8475,0,0
0.07,0.975087708327257,0.975087708427076,0.975087708381492,8.25125,8.25125,3.44256888231533,4.48875,2.8875,0.875,0,1,1,0,0,0.5,4.48875,0,0
0.08,0.978491771111332,0.978491771201908,0.978491771160057,9.43,9.43,3.93436443693181,5.13,3.3,1,0,1,1,0,0,0.5,5.13,0,0
0.09,0.981650466548072,0.981650466630439,0.981650466591928,10.60875,10.60875,4.42615999154829,5.77125,3.7125,1.125,0,1,1,0,0,0.5,5.77125,0,0
0.1,0.984575915630647,0.984575915705619,0.98457591567015,11.7875,11.7875,4.91795554616476,6.4125,4.125,1.25,0,1,1,0,0,0.5,6.4125,0,0
0.11,0.987281413955612,0.987281414024182,0.98728141399127,12.96625,12.96625,5.40975110078124,7.05375,4.5375,1.375,0,1,1,0,0,0.5,7.05375,0,0
0.12,0.989780804478147,0.989780804540725,0.989780804510379,14.145,14.145,5.90154665539772,7.695,4.95,1.5,0,1,1,0,0,0.5,7.695,0,0
0.13,0.992088085555576,0.992088085613002,0.992088085584904,15.32375,15.32375,6.39334221001419,8.33625,5.3625,1.625,0,1,1,0,0,0.5,8.33625,0,0
