t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.950873895506444,0.950873895485983,0.950873895551575,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.955481364575484,0.95548136455267,0.955481364661835,1.645,1.645,0.671507522666605,0.945,0.525,0.175,0,1,1,0,0,0.5,0.945,0,0
0.02,0.961261960155209,0.961261960133283,0.961261960239911,3.29,3.29,1.34301504533321,1.89,1.05,0.35,0,1,1,0,0,0.5,1.89,0,0
0.03,0.966807596639937,0.966807596624772,0.966807596715239,4.935,4.935,2.01452256799982,2.835,1.575,0.525,0,1,1,0,0,0.5,2.835,0,0
0.04,0.972043308034439,0.972043308018788,0.972043308102628,6.58,6.58,2.68603009066642,3.78,2.1,0.7,0,1,1,0,0,0.5,3.78,0,0
0.05,0.976942406820605,0.976942406808939,0.976942406883678,8.225,8.225,3.35753761333303,4.725,2.625,0.875,0,1,1,0,0,0.5,4.725,0,0
0.06,0.981507499052522,0.981507499041637,0.981507499109305,9.87,9.87,4.02904513599963,5.67,3.15,1.05,0,1,1,0,0,0.5,5.67,0,0
0.07,0.985751021855535,0.985751021846598,0.985751021907919,11.515,11.515,4.70055265866624,6.615,3.675,1.225,0,1,1,0,0,0.5,6.615,0,0
0.08,0.98968898945257,0.989688989444819,0.989688989500131,13.16,13.16,5.37206018133284,7.56,4.2,1.4,0,1,1,0,0,0.5,7.56,0,0
0.09,0.99333934096379,0.99333934095715,0.993339341007546,14.805,14.805,6.04356770399945,8.505,4.725,1.575,0,1,1,0,0,0.5,8.505,0,0
0.1,0.996720958145219,0.996720958139566,0.996720958185303,16.45,16.45,6.71507522666605,9.45,5.25,1.75,0,1,1,0,0,0.5,9.45,0,0
0.11,0.999852719541356,0.999852719536458,0.999852719578278,18.095,18.095,7.38658274933266,10.395,5.775,1.925,0,1,1,0,0,0.5,10.395,0,0
0.12,1.0027530680435,1.00275306803935,1.00275306807756,19.74,19.74,8.05809027199926,11.34,6.3,2.1,0,1,1,0,0,0.5,11.34,0,0
0.13,1.00543979039932,1.00543979039576,1.00543979043076,21.385,21.385,8.72959779466587,12.285,6.825,2.275,0,1,1,0,0,0.5,12.285,0,0
0.14,1.00793002651854,1.00793002651553,1.00793002654771,23.03,23.03,9.40110531733247,13.23,7.35,2.45,0,1,1,0,0,0.5,13.23,0,0
0.15,1.01023989857254,1.01023989856998,1.01023989859969,24.675,24.675,10.0726128399991,14.175,7.875,2.625,0,1,1,0,0,0.5,14.175,0,0
0.16,1.01238458005515,1.01238458005299,1.01238458008056,26.32,26.32,10.7441203626657,15.12,8.4,2.8,0,1,1,0,0,0.5,15.12,0,0
