scenario,dc_index,dc_name,bus,Pdc_MW,workload_mode,rows,file
S01_normal,1,DC1,4,350,1,30001,dataset\clean\S01_normal_DC1.csv
S01_normal,2,DC2,23,200,2,30001,dataset\clean\S01_normal_DC2.csv
S01_normal,3,DC3,18,150,4,30001,dataset\clean\S01_normal_DC3.csv
S01_normal,4,DC4,16,300,1,30001,dataset\clean\S01_normal_DC4.csv
S01_normal,5,DC5,20,450,4,30001,dataset\clean\S01_normal_DC5.csv
S01_normal,6,DC6,8,250,2,30001,dataset\clean\S01_normal_DC6.csv
S02_fault_100ms,1,DC1,4,350,1,30001,dataset\clean\S02_fault_100ms_DC1.csv
S02_fault_100ms,2,DC2,23,200,2,30001,dataset\clean\S02_fault_100ms_DC2.csv
S02_fault_100ms,3,DC3,18,150,4,30001,dataset\clean\S02_fault_100ms_DC3.csv
S02_fault_100ms,4,DC4,16,300,1,30001,dataset\clean\S02_fault_100ms_DC4.csv
S02_fault_100ms,5,DC5,20,450,4,30001,dataset\clean\S02_fault_100ms_DC5.csv
S02_fault_100ms,6,DC6,8,250,2,30001,dataset\clean\S02_fault_100ms_DC6.csv
S03_fault_250ms,1,DC1,4,350,1,30001,dataset\clean\S03_fault_250ms_DC1.csv
S03_fault_250ms,2,DC2,23,200,2,30001,dataset\clean\S03_fault_250ms_DC2.csv
S03_fault_250ms,3,DC3,18,150,4,30001,dataset\clean\S03_fault_250ms_DC3.csv
S03_fault_250ms,4,DC4,16,300,1,30001,dataset\clean\S03_fault_250ms_DC4.csv
S03_fault_250ms,5,DC5,20,450,4,30001,dataset\clean\S03_fault_250ms_DC5.csv
S03_fault_250ms,6,DC6,8,250,2,30001,dataset\clean\S03_fault_250ms_DC6.csv
S04_line_trip,1,DC1,4,350,1,30001,dataset\clean\S04_line_trip_DC1.csv
S04_line_trip,2,DC2,23,200,2,30001,dataset\clean\S04_line_trip_DC2.csv
S04_line_trip,3,DC3,18,150,4,30001,dataset\clean\S04_line_trip_DC3.csv
S04_line_trip,4,DC4,16,300,1,30001,dataset\clean\S04_line_trip_DC4.csv
S04_line_trip,5,DC5,20,450,4,30001,dataset\clean\S04_line_trip_DC5.csv
S04_line_trip,6,DC6,8,250,2,30001,dataset\clean\S04_line_trip_DC6.csv
S05_load_step,1,DC1,4,350,1,30001,dataset\clean\S05_load_step_DC1.csv
S05_load_step,2,DC2,23,200,2,30001,dataset\clean\S05_load_step_DC2.csv
S05_load_step,3,DC3,18,150,4,30001,dataset\clean\S05_load_step_DC3.csv
S05_load_step,4,DC4,16,300,1,30001,dataset\clean\S05_load_step_DC4.csv
S05_load_step,5,DC5,20,450,4,30001,dataset\clean\S05_load_step_DC5.csv
S05_load_step,6,DC6,8,250,2,30001,dataset\clean\S05_load_step_DC6.csv
S06_multi_event,1,DC1,4,350,1,30001,dataset\clean\S06_multi_event_DC1.csv
S06_multi_event,2,DC2,23,200,2,30001,dataset\clean\S06_multi_event_DC2.csv
S06_multi_event,3,DC3,18,150,4,30001,dataset\clean\S06_multi_event_DC3.csv
S06_multi_event,4,DC4,16,300,1,30001,dataset\clean\S06_multi_event_DC4.csv
S06_multi_event,5,DC5,20,450,4,30001,dataset\clean\S06_multi_event_DC5.csv
S06_multi_event,6,DC6,8,250,2,30001,dataset\clean\S06_multi_event_DC6.csv
S07_atk_false_ups,1,DC1,4,350,1,30001,dataset\clean\S07_atk_false_ups_DC1.csv
S07_atk_false_ups,2,DC2,23,200,2,30001,dataset\clean\S07_atk_false_ups_DC2.csv
S07_atk_false_ups,3,DC3,18,150,4,30001,dataset\clean\S07_atk_false_ups_DC3.csv
S07_atk_false_ups,4,DC4,16,300,1,30001,dataset\clean\S07_atk_false_ups_DC4.csv
S07_atk_false_ups,5,DC5,20,450,4,30001,dataset\clean\S07_atk_false_ups_DC5.csv
S07_atk_false_ups,6,DC6,8,250,2,30001,dataset\clean\S07_atk_false_ups_DC6.csv
S08_atk_load_alter,1,DC1,4,350,1,30001,dataset\clean\S08_atk_load_alter_DC1.csv
S08_atk_load_alter,2,DC2,23,200,2,30001,dataset\clean\S08_atk_load_alter_DC2.csv
S08_atk_load_alter,3,DC3,18,150,4,30001,dataset\clean\S08_atk_load_alter_DC3.csv
S08_atk_load_alter,4,DC4,16,300,1,30001,dataset\clean\S08_atk_load_alter_DC4.csv
S08_atk_load_alter,5,DC5,20,450,4,30001,dataset\clean\S08_atk_load_alter_DC5.csv
S08_atk_load_alter,6,DC6,8,250,2,30001,dataset\clean\S08_atk_load_alter_DC6.csv
S09_atk_sensor_spoof,1,DC1,4,350,1,30001,dataset\clean\S09_atk_sensor_spoof_DC1.csv
S09_atk_sensor_spoof,2,DC2,23,200,2,30001,dataset\clean\S09_atk_sensor_spoof_DC2.csv
S09_atk_sensor_spoof,3,DC3,18,150,4,30001,dataset\clean\S09_atk_sensor_spoof_DC3.csv
S09_atk_sensor_spoof,4,DC4,16,300,1,30001,dataset\clean\S09_atk_sensor_spoof_DC4.csv
S09_atk_sensor_spoof,5,DC5,20,450,4,30001,dataset\clean\S09_atk_sensor_spoof_DC5.csv
