t_start,t_end,t_decision,label,score,alarm,dominant,domain,csec_corr,csec_unc,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,0.87339,1,e_rec,cross-domain,0.6455,0.0000,-6.243,-2.772,-4.378,0,-8.793,33.72,50,31.18,50
2.40,3.67,3.68,0,-1.74266,0,e_rec,cross-domain,0.4611,0.0000,-6.243,-2.772,-4.378,0,-8.793,29,48.32,19,48.9
2.80,4.07,4.08,0,11.43010,1,e_rec,cross-domain,0.1537,0.0000,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.95
3.20,4.47,4.48,0,-3.24316,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,8.336,50,6.026,48.97
3.60,4.87,4.88,0,6.47601,1,e_rec,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,32.54,13.5
4.00,5.27,5.28,0,6.05604,1,e_rec,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,31.3,6.603
4.40,5.67,5.68,0,-1.75023,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,9.168,46.69
4.80,6.07,6.08,0,-0.85949,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,7.666,1.555
5.20,6.47,6.48,0,-1.13502,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,5.049,-0.3785
5.60,6.87,6.88,0,-2.29822,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.183,46.35
6.00,7.27,7.28,0,-2.30930,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.6548,0.625
6.40,7.67,7.68,0,-1.81316,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7748,-0.4136
6.80,8.07,8.08,0,-0.12178,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.957,0.622,6.111,42.6
7.20,8.47,8.48,0,-1.45765,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.16,1.445,-0.774,-0.5529
7.60,8.87,8.88,0,-1.17770,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.169,1.024,-0.08109,0.08398
8.00,9.27,9.28,0,-0.24776,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.587,0.8707,6.111,50
8.40,9.67,9.68,0,-1.49260,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.519,0.02623,-1.171,-0.2614
8.80,10.07,10.08,0,-1.37685,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.085,-0.333,-0.6564,0.809
9.20,10.47,10.48,0,-0.41195,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.2075,-0.1773,5.908,50
9.60,10.87,10.88,0,-1.71148,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.5158,0.67,-1.284,-0.694
10.00,11.27,11.28,0,-1.28697,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.09866,0.1399,-0.02726,1.452
10.40,11.67,11.68,0,-0.01633,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.161,0.2384,6.959,50
10.80,12.07,12.08,0,-1.15604,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.196,0.6116,-0.03576,-0.6362
