t_start,t_end,t_decision,label,score,alarm,dominant,domain,csec_corr,csec_unc,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,0.87339,1,e_rec,cross-domain,0.6455,0.0000,-6.243,-2.772,-4.378,0,-8.793,33.72,50,31.18,50
2.40,3.67,3.68,0,-1.74269,0,e_rec,cross-domain,0.4611,0.0000,-6.243,-2.772,-4.378,0,-8.793,29,48.32,19,48.9
2.80,4.07,4.08,0,11.43009,1,e_rec,cross-domain,0.1537,0.0000,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.95
3.20,4.47,4.48,0,-3.24314,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,8.336,50,6.026,48.97
3.60,4.87,4.88,0,6.47606,1,e_rec,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,32.54,13.5
4.00,5.27,5.28,0,6.05601,1,e_rec,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,31.3,6.603
4.40,5.67,5.68,0,-1.75033,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,9.168,46.69
4.80,6.07,6.08,0,-0.85933,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,7.666,1.555
5.20,6.47,6.48,0,-1.13501,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,5.049,-0.3786
5.60,6.87,6.88,0,-2.29827,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.183,46.35
6.00,7.27,7.28,0,-2.30927,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.6547,0.6247
6.40,7.67,7.68,0,-1.81315,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7748,-0.4135
6.80,8.07,8.08,0,-0.12165,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.958,0.622,6.112,42.6
7.20,8.47,8.48,0,-1.45773,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.16,1.445,-0.7743,-0.5531
7.60,8.87,8.88,0,-1.17770,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.169,1.024,-0.08105,0.08436
8.00,9.27,9.28,0,-0.24780,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.587,0.8706,6.111,50
8.40,9.67,9.68,0,-1.49265,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.518,0.02619,-1.172,-0.2615
8.80,10.07,10.08,0,-1.37677,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.084,-0.333,-0.656,0.8097
9.20,10.47,10.48,0,-0.41168,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.207,-0.1772,5.908,50
9.60,10.87,10.88,0,-1.71154,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.5163,0.6699,-1.284,-0.694
10.00,11.27,11.28,0,-1.28698,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.09813,0.1397,-0.02716,1.453
10.40,11.67,11.68,0,-0.01638,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.161,0.2382,6.959,50
10.80,12.07,12.08,0,-1.15618,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.196,0.6113,-0.03617,-0.6363
11.20,12.47,12.48,0,-0.98476,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.671,0.1337,0.353,1.241
11.60,12.87,12.88,0,0.14557,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.796,0.3088,7.164,50
12.00,13.27,13.28,0,-1.34178,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,4.207,0.7018,-0.6779,-0.4457
12.40,13.67,13.68,0,-1.30575,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.386,0.2892,-0.5028,0.3255
12.80,14.07,14.08,0,-0.16022,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.95,0.003432,6.504,50
13.20,14.47,14.48,0,-1.57716,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.085,0.3183,-1.124,-0.6557
13.60,14.87,14.88,0,-1.48932,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.4449,-0.1543,-0.7544,1.127
14.00,15.27,15.28,0,-0.84767,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.4734,0.0494,4.609,50
14.40,15.67,15.68,0,-1.21107,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.7932,0.8523,0.1291,-0.4309
14.80,16.07,16.08,0,-1.18404,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.164,0.3297,0.166,0.9726
15.20,16.47,16.48,0,0.01718,1,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.236,0.1907,6.944,48.59
15.60,16.87,16.88,0,-1.28484,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.965,1.264,-0.2763,-0.6937
16.00,17.27,17.28,0,-1.01182,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.961,0.2329,0.2863,0.03284
16.40,17.67,17.68,0,-0.97391,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.205,0.09586,3.931,50
16.80,18.07,18.08,0,-0.99897,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.132,0.2479,0.5285,-0.0385
17.20,18.47,18.48,0,-1.52297,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.4423,0.4232,-0.7952,0.3974
17.60,18.87,18.88,0,-0.49103,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.5494,0.5188,5.656,48.43
18.00,19.27,19.28,0,-1.33804,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.487,1.757,-0.1758,-0.692
18.40,19.67,19.68,0,-1.16862,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.149,0.3756,-0.08858,-0.2769
18.80,20.07,20.08,0,-0.99091,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.566,0.1996,3.859,50
19.20,20.47,20.48,0,-1.38815,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,2.537,0.1086,-0.7369,-0.3481
19.60,20.87,20.88,0,-1.45753,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.5511,-0.1884,-0.7359,0.2816
20.00,21.27,21.28,0,-0.54850,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.9151,-0.02,5.653,50
20.40,21.67,21.68,0,-1.49417,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.7764,0.6381,-0.5716,-0.196
20.80,22.07,22.08,0,-1.49465,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.07706,-0.01838,-0.799,-0.2556
21.20,22.47,22.48,0,-0.52361,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.4015,0.05863,5.595,50
21.60,22.87,22.88,0,-1.56675,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.4962,0.4722,-0.9518,-0.007478
22.00,23.27,23.28,0,-1.44821,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.7463,-0.0375,-0.7454,-0.3603
22.40,23.67,23.68,0,-1.30002,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.7359,-0.0001484,3.209,50
22.80,24.07,24.08,0,-1.11530,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.5812,1.008,0.5519,0.7316
23.20,24.47,24.48,0,-1.51295,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.5461,1.526,-0.4531,0.2441
23.60,24.87,24.88,0,-1.69150,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-1.148,1.837,2.111,43.04
24.00,25.27,25.28,0,-1.40592,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.7455,3.398,0.2686,0.5014
24.40,25.67,25.68,0,-1.69653,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,-0.3619,2.654,-0.8158,0.1609
24.80,26.07,26.08,0,-0.94996,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,0.9591,2.343,4.51,47.45
25.20,26.47,26.48,0,-1.35352,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,1.615,3.086,0.1067,0.581
25.60,26.87,26.88,0,-1.15031,0,|r_qp|,cross-domain,0.0000,0.0000,-6.243,-2.772,-4.378,0,-8.793,3.407,1.439,0.1543,-0.09351
