t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.507,calibration,73.3,152.6328125,17.7,3845.50390625,,,,,,,
1.009,calibration,79.7,155.6171875,17.7,3838.703125,4018.0,0.0,4320.0,880.0,1160.0,45.218,45.468
1.511,features,85.7,167.8046875,18.1,3848.50390625,4013.0,0.0,4320.0,840.0,1160.0,45.375,45.437
2.013,features,71.7,185.7578125,15.2,3863.6796875,4021.0,0.0,4432.0,918.0,1158.0,45.562,45.437
2.515,features,73.7,191.57421875,17.4,3872.15625,4040.0,0.0,4286.0,800.0,1160.0,45.406,45.593
3.017,features,85.7,184.421875,19.0,3867.6484375,4049.0,24.0,4440.0,878.0,1160.0,45.5,45.625
3.520,features,73.6,191.015625,15.5,3864.2109375,4039.0,0.0,4400.0,878.0,1160.0,45.343,45.562
4.022,features,73.7,202.125,17.0,3878.328125,4040.0,0.0,4320.0,800.0,1160.0,45.156,45.531
4.524,features,71.7,210.19921875,14.9,3899.08984375,4054.0,0.0,4320.0,838.0,1160.0,45.156,45.531
5.027,features,75.7,215.65234375,15.9,3893.19140625,4067.0,0.0,4286.0,800.0,1160.0,45.406,45.468
5.529,features,75.6,221.109375,14.7,3906.8125,4062.0,0.0,4246.0,760.0,1160.0,45.312,45.5
6.032,features,73.7,228.0625,20.1,3908.78515625,4079.0,0.0,4286.0,800.0,1160.0,45.406,45.625
6.534,features,75.6,233.5234375,15.6,3917.2421875,4076.0,0.0,4286.0,800.0,1160.0,45.281,45.5
7.036,features,73.7,237.96484375,15.8,3915.9765625,4084.0,0.0,4286.0,800.0,1161.0,45.375,45.468
7.538,train:DC1,89.6,307.49609375,17.4,3968.484375,4092.0,0.0,4246.0,760.0,1161.0,45.281,45.437
8.040,train:DC1,99.6,346.08203125,20.9,4006.34765625,4165.0,0.0,4400.0,878.0,1158.0,45.625,45.625
8.543,train:DC1,99.5,348.33203125,19.4,4009.875,4174.0,0.0,4432.0,956.0,1198.0,45.718,45.718
9.045,train:DC1,97.6,289.26953125,23.0,3968.72265625,4102.0,0.0,4432.0,996.0,1198.0,45.218,45.562
9.548,train:DC1,99.5,335.08203125,18.3,4005.50390625,4173.0,0.0,4432.0,996.0,1198.0,45.25,45.562
10.050,train:DC1,99.6,348.33203125,20.6,4025.109375,4187.0,0.0,4392.0,996.0,1198.0,45.468,45.468
10.552,train:DC2,99.5,308.55859375,18.0,3981.69140625,4157.0,0.0,4432.0,996.0,1198.0,45.437,45.468
11.054,train:DC2,99.6,346.1015625,18.4,4019.05859375,4177.0,0.0,4392.0,996.0,1198.0,45.656,45.656
11.557,train:DC2,99.5,348.3515625,18.3,4018.85546875,4185.0,0.0,4392.0,996.0,1198.0,45.562,45.625
12.059,train:DC2,99.6,298.75,23.7,3976.4609375,4131.0,0.0,4392.0,956.0,1198.0,45.531,45.593
12.561,train:DC2,97.6,339.6015625,19.4,4015.4765625,4178.0,0.0,4512.0,1036.0,1196.0,45.437,45.625
13.063,train:DC2,99.6,348.3515625,19.6,4022.4140625,4188.0,0.0,4472.0,996.0,1196.0,45.5,45.593
13.565,train:DC3,99.6,320.1015625,18.9,3993.1640625,4123.0,0.0,4432.0,996.0,1196.0,45.375,45.562
14.067,train:DC3,97.6,348.3671875,17.9,4023.453125,4185.0,0.0,4432.0,996.0,1196.0,45.562,45.593
14.569,train:DC3,99.7,348.3671875,18.1,4024.35546875,4187.0,0.0,4432.0,996.0,1196.0,45.718,45.718
15.071,train:DC3,99.6,305.90234375,24.3,3980.2421875,4152.0,0.0,4392.0,996.0,1196.0,45.531,45.625
15.573,train:DC3,97.6,346.1171875,17.6,4025.71875,4187.0,0.0,4472.0,1036.0,1196.0,45.468,45.625
16.075,train:DC3,99.6,348.37109375,18.7,4027.578125,4191.0,0.0,4432.0,996.0,1196.0,45.625,45.593
16.578,train:DC4,97.6,324.390625,18.9,4005.0234375,4142.0,0.0,4432.0,996.0,1196.0,45.75,45.75
17.080,train:DC4,99.5,348.37109375,18.5,4021.1015625,4194.0,0.0,4392.0,996.0,1198.0,45.625,45.718
17.598,train:DC4,100.4,269.30859375,31.1,3943.35546875,4105.0,0.0,4432.0,996.0,1196.0,45.625,45.656
18.102,train:DC4,97.2,320.12109375,23.5,3989.59765625,4162.0,0.0,4592.0,1116.0,1196.0,45.468,45.625
18.604,train:DC4,99.6,348.37109375,18.4,4024.7734375,4184.0,0.0,4552.0,1076.0,1196.0,45.468,45.625
19.107,train:DC4,99.5,348.37109375,19.0,4024.203125,4158.0,0.0,4432.0,1036.0,1196.0,45.406,45.625
19.609,train:DC5,97.6,335.13671875,18.7,4005.76953125,4155.0,0.0,4392.0,996.0,1198.0,45.625,45.625
20.111,train:DC5,99.6,348.38671875,21.0,4022.71875,4182.0,0.0,4392.0,996.0,1198.0,45.687,45.781
20.613,train:DC5,99.6,273.98828125,25.5,3949.79296875,4131.0,0.0,4512.0,1036.0,1196.0,45.531,45.875
21.115,train:DC5,97.6,328.078125,24.0,4023.05078125,4178.0,0.0,4472.0,996.0,1196.0,45.5,45.687
21.617,train:DC5,99.6,348.38671875,22.5,4026.6328125,4197.0,0.0,4625.0,1116.0,1236.0,45.625,45.625
22.119,train:DC5,99.6,278.97265625,20.4,3969.80078125,4145.0,0.0,4552.0,1076.0,1196.0,45.625,45.625
