0.522 09-15-2026 18:22:41 RAM 4018/7486MB (lfb 2x4MB) CPU [16%@1344,64%@1344,2%@1036,3%@1036,2%@729,15%@729] GR3D_FREQ 0% cpu@45.218C/45.218C soc2@45.125C/45.125C soc0@45.468C/45.468C gpu@45.281C/45.281C tj@45.468C/45.468C soc1@44.531C/44.531C VDD_IN 4320mW/4320mW/4320mW VDD_CPU_GPU_CV 880mW/880mW/880mW VDD_SOC 1160mW/1160mW/1160mW
1.029 09-15-2026 18:22:42 RAM 4013/7486MB (lfb 1x4MB) CPU [14%@729,19%@729,7%@729,5%@729,55%@1344,6%@1344] GR3D_FREQ 0% cpu@45.375C/45.375C soc2@45.062C/45.125C soc0@45.343C/45.468C gpu@45.437C/45.437C tj@45.437C/45.468C soc1@44.375C/44.531C VDD_IN 4320mW/4320mW/4320mW VDD_CPU_GPU_CV 840mW/860mW/880mW VDD_SOC 1160mW/1160mW/1160mW
1.535 09-15-2026 18:22:42 RAM 4021/7486MB (lfb 1x4MB) CPU [32%@1344,3%@1344,40%@1344,2%@1344,3%@729,26%@729] GR3D_FREQ 0% cpu@45.562C/45.562C soc2@45.093C/45.125C soc0@45.437C/45.468C gpu@45.187C/45.437C tj@45.437C/45.468C soc1@44.375C/44.531C VDD_IN 4432mW/4357mW/4432mW VDD_CPU_GPU_CV 918mW/879mW/918mW VDD_SOC 1158mW/1159mW/1160mW
2.041 09-15-2026 18:22:43 RAM 4040/7486MB (lfb 1x4MB) CPU [5%@960,2%@960,70%@960,2%@960,3%@729,4%@729] GR3D_FREQ 0% cpu@45.406C/45.562C soc2@45.062C/45.125C soc0@45.593C/45.593C gpu@45.5C/45.5C tj@45.593C/45.593C soc1@44.343C/44.531C VDD_IN 4286mW/4340mW/4432mW VDD_CPU_GPU_CV 800mW/860mW/918mW VDD_SOC 1160mW/1160mW/1160mW
2.549 09-15-2026 18:22:43 RAM 4049/7486MB (lfb 1x4MB) CPU [11%@1344,4%@1344,76%@1344,9%@1344,2%@729,10%@729] GR3D_FREQ 24% cpu@45.5C/45.562C soc2@45.125C/45.125C soc0@45.625C/45.625C gpu@45.156C/45.5C tj@45.625C/45.625C soc1@44.343C/44.531C VDD_IN 4440mW/4360mW/4440mW VDD_CPU_GPU_CV 878mW/863mW/918mW VDD_SOC 1160mW/1160mW/1160mW
3.055 09-15-2026 18:22:44 RAM 4039/7486MB (lfb 1x4MB) CPU [3%@1344,3%@1344,82%@1344,2%@1344,3%@729,9%@729] GR3D_FREQ 0% cpu@45.343C/45.562C soc2@45.093C/45.125C soc0@45.531C/45.625C gpu@45.562C/45.562C tj@45.562C/45.625C soc1@44.406C/44.531C VDD_IN 4400mW/4366mW/4440mW VDD_CPU_GPU_CV 878mW/866mW/918mW VDD_SOC 1160mW/1160mW/1160mW
3.563 09-15-2026 18:22:44 RAM 4040/7486MB (lfb 2x4MB) CPU [3%@1190,0%@1190,73%@1190,0%@1190,9%@729,4%@729] GR3D_FREQ 0% cpu@45.156C/45.562C soc2@45.093C/45.125C soc0@45.406C/45.625C gpu@45.187C/45.562C tj@45.531C/45.625C soc1@44.468C/44.531C VDD_IN 4320mW/4360mW/4440mW VDD_CPU_GPU_CV 800mW/856mW/918mW VDD_SOC 1160mW/1160mW/1160mW
4.069 09-15-2026 18:22:45 RAM 4054/7486MB (lfb 2x4MB) CPU [4%@806,5%@806,74%@806,3%@806,4%@729,8%@729] GR3D_FREQ 0% cpu@45.156C/45.562C soc2@45.125C/45.125C soc0@45.531C/45.625C gpu@45.437C/45.562C tj@45.531C/45.625C soc1@44.437C/44.531C VDD_IN 4320mW/4355mW/4440mW VDD_CPU_GPU_CV 838mW/854mW/918mW VDD_SOC 1160mW/1160mW/1160mW
4.575 09-15-2026 18:22:45 RAM 4067/7486MB (lfb 2x4MB) CPU [2%@806,0%@806,76%@806,2%@806,3%@729,5%@729] GR3D_FREQ 0% cpu@45.406C/45.562C soc2@45C/45.125C soc0@45.468C/45.625C gpu@45.125C/45.562C tj@45.468C/45.625C soc1@44.375C/44.531C VDD_IN 4286mW/4347mW/4440mW VDD_CPU_GPU_CV 800mW/848mW/918mW VDD_SOC 1160mW/1160mW/1160mW
5.082 09-15-2026 18:22:46 RAM 4062/7486MB (lfb 2x4MB) CPU [7%@806,4%@806,76%@806,2%@806,1%@729,3%@729] GR3D_FREQ 0% cpu@45.312C/45.562C soc2@44.968C/45.125C soc0@45.5C/45.625C gpu@45.468C/45.562C tj@45.5C/45.625C soc1@44.375C/44.531C VDD_IN 4246mW/4337mW/4440mW VDD_CPU_GPU_CV 760mW/839mW/918mW VDD_SOC 1160mW/1160mW/1160mW
5.587 09-15-2026 18:22:46 RAM 4079/7486MB (lfb 2x4MB) CPU [7%@1190,3%@1190,75%@1190,4%@1190,2%@729,8%@729] GR3D_FREQ 0% cpu@45.406C/45.562C soc2@45.062C/45.125C soc0@45.625C/45.625C gpu@45.156C/45.562C tj@45.625C/45.625C soc1@44.343C/44.531C VDD_IN 4286mW/4332mW/4440mW VDD_CPU_GPU_CV 800mW/836mW/918mW VDD_SOC 1160mW/1160mW/1160mW
