t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.507,calibration,99.1,146.4921875,38.3,1793.890625,,,,,,,
1.009,calibration,99.6,163.11328125,35.8,1803.94921875,1918.0,5.0,4752.0,1355.0,1158.0,46.0,46.0
1.517,features,100.5,161.453125,24.1,1811.78515625,1928.0,5.0,4864.0,1472.0,1156.0,45.937,45.937
2.021,features,99.2,192.140625,18.0,1831.60546875,1936.0,0.0,4560.0,1198.0,1158.0,45.625,45.843
2.522,features,99.7,208.01171875,17.6,1847.30078125,1955.0,0.0,4407.0,1080.0,1161.0,45.625,45.812
3.024,features,97.7,207.5390625,32.2,1853.01953125,1955.0,0.0,4407.0,1040.0,1160.0,45.75,45.781
3.527,features,101.5,220.7421875,36.1,1872.40234375,1981.0,4.0,4752.0,1355.0,1156.0,46.0,46.0
4.029,features,99.5,247.44921875,29.8,1905.9375,1998.0,22.0,4904.0,1472.0,1196.0,45.906,45.906
4.531,features,99.6,262.0546875,39.3,1922.36328125,2032.0,26.0,4792.0,1355.0,1196.0,45.906,46.031
5.034,features,97.5,273.921875,19.1,1933.1875,2046.0,0.0,5023.0,1515.0,1196.0,45.687,46.062
5.535,features,99.7,282.51953125,18.2,1937.6171875,2057.0,0.0,4560.0,1158.0,1160.0,45.781,46.0
6.039,features,99.2,281.75,17.9,1949.0,2062.0,0.0,4447.0,1040.0,1160.0,45.812,46.0
6.542,features,99.4,313.8125,18.1,1972.7421875,2076.0,0.0,4407.0,1040.0,1160.0,45.812,45.906
7.044,features,101.6,323.92578125,18.3,1981.109375,2096.0,0.0,4400.0,1000.0,1160.0,46.093,46.093
7.547,features,97.5,334.34375,18.3,2015.99609375,2105.0,0.0,4366.0,1000.0,1160.0,45.781,45.843
8.049,features,101.6,346.546875,19.7,2028.36328125,2132.0,0.0,4326.0,1001.0,1161.0,45.75,45.75
8.551,features,99.6,348.16015625,17.7,2035.6171875,2156.0,0.0,4366.0,1040.0,1161.0,45.75,46.031
9.054,train:DC1,99.3,463.484375,20.3,2145.75,2195.0,0.0,4326.0,1001.0,1161.0,45.687,45.812
9.556,train:DC1,97.6,463.48828125,17.3,2140.16796875,2269.0,0.0,4366.0,1040.0,1161.0,45.812,45.843
10.058,train:DC1,101.6,463.4921875,19.0,2140.3359375,2264.0,36.0,4366.0,1000.0,1160.0,45.843,45.875
10.560,train:DC1,99.6,461.2421875,20.9,2136.6875,2264.0,0.0,4326.0,1000.0,1161.0,46.0,46.0
11.062,train:DC1,99.6,454.74609375,18.6,2130.42578125,2255.0,0.0,4366.0,1040.0,1160.0,45.937,45.937
11.564,train:DC1,101.6,448.24609375,21.0,2127.44921875,2254.0,0.0,4326.0,1000.0,1161.0,45.875,45.906
12.065,train:DC1,99.6,434.26171875,17.3,2111.58203125,2251.0,0.0,4366.0,1000.0,1160.0,45.875,45.875
12.567,train:DC1,99.7,417.33203125,18.1,2123.32421875,2251.0,0.0,4366.0,1000.0,1160.0,46.031,46.031
13.069,train:DC2,99.7,439.98828125,17.1,2113.8359375,2245.0,0.0,4326.0,1001.0,1161.0,45.75,45.812
13.571,train:DC2,99.6,429.0234375,17.6,2119.46484375,2245.0,0.0,4286.0,961.0,1161.0,45.812,45.812
