t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.507,calibration,101.1,145.73046875,18.5,2025.9921875,,,,,,,
1.009,calibration,99.6,162.53125,19.0,2033.6171875,2157.0,0.0,4326.0,1001.0,1161.0,45.406,45.562
1.512,features,99.4,161.42578125,18.4,2037.0,2164.0,0.0,4293.0,1001.0,1161.0,45.125,45.531
2.015,features,99.5,190.8046875,18.0,2048.83984375,2168.0,0.0,4400.0,1040.0,1160.0,45.375,45.468
2.517,features,101.5,206.75,17.6,2065.3359375,2180.0,0.0,4366.0,1000.0,1161.0,45.343,45.406
3.020,features,99.5,207.49609375,22.5,2073.84765625,2196.0,0.0,4326.0,1001.0,1161.0,45.281,45.468
3.523,features,97.5,229.33984375,18.2,2085.6953125,2205.0,0.0,4407.0,1080.0,1160.0,45.468,45.468
4.025,features,99.6,246.07421875,18.6,2098.4921875,2216.0,0.0,4366.0,1040.0,1161.0,45.343,45.625
4.527,features,99.4,258.66796875,18.7,2110.28515625,2229.0,0.0,4366.0,1040.0,1161.0,45.375,45.531
5.035,features,100.5,254.28125,18.5,2102.60546875,2222.0,0.0,4366.0,1000.0,1161.0,45.343,45.5
5.538,features,99.3,288.53125,19.3,2132.09765625,2253.0,0.0,4400.0,1000.0,1160.0,45.593,45.593
6.041,features,99.6,302.08984375,20.9,2146.234375,2263.0,0.0,4400.0,1040.0,1160.0,45.625,45.625
6.544,features,99.3,308.34765625,23.0,2147.84375,2271.0,23.0,4480.0,1080.0,1160.0,45.562,45.625
7.047,features,101.4,320.87109375,19.2,2157.21484375,2279.0,0.0,4400.0,1040.0,1160.0,45.312,45.531
7.549,train:DC1,99.5,421.9765625,19.5,2265.77734375,2288.0,0.0,4366.0,1000.0,1160.0,45.343,45.531
8.051,train:DC1,99.6,411.2421875,18.3,2258.66015625,2397.0,0.0,4326.0,1001.0,1161.0,45.375,45.375
8.553,train:DC1,97.6,389.43359375,19.9,2234.60546875,2397.0,0.0,4286.0,1001.0,1161.0,45.406,45.406
9.056,train:DC1,99.5,362.9375,17.3,2211.90625,2381.0,0.0,4366.0,1000.0,1160.0,45.5,45.5
9.558,train:DC1,101.7,422.0,22.9,2268.5078125,2361.0,0.0,4366.0,1000.0,1160.0,45.531,45.593
10.060,train:DC1,99.6,422.0,17.5,2266.29296875,2346.0,0.0,4366.0,1040.0,1160.0,45.281,45.531
10.561,train:DC1,99.6,422.0,19.1,2273.171875,2397.0,0.0,4326.0,1001.0,1161.0,45.437,45.5
11.064,train:DC1,99.5,413.25390625,17.6,2265.046875,2404.0,0.0,4326.0,1000.0,1161.0,45.5,45.5
11.566,train:DC1,99.6,391.1484375,18.0,2240.70703125,2404.0,0.0,4366.0,1000.0,1160.0,45.687,45.687
12.067,train:DC2,101.7,400.2578125,17.4,2250.11328125,2387.0,0.0,4366.0,1000.0,1160.0,45.437,45.468
12.570,train:DC2,99.5,369.0078125,22.4,2219.4375,2397.0,0.0,4326.0,1000.0,1161.0,45.343,45.531
13.075,train:DC2,98.9,340.984375,17.7,2212.9140625,2382.0,0.0,4366.0,1040.0,1161.0,45.375,45.531
13.578,train:DC2,99.5,422.015625,18.2,2274.90234375,2359.0,0.0,4326.0,1001.0,1161.0,45.5,45.531
14.080,train:DC2,99.5,422.015625,21.4,2264.8125,2345.0,0.0,4326.0,1001.0,1161.0,45.375,45.406
14.582,train:DC2,99.6,419.765625,23.1,2272.14453125,2396.0,0.0,4286.0,1001.0,1161.0,45.625,45.625
15.084,train:DC2,101.6,402.59375,35.3,2256.39453125,2403.0,15.0,4366.0,1040.0,1160.0,45.468,45.656
15.586,train:DC2,99.6,375.140625,24.3,2235.21875,2403.0,2.0,4672.0,1275.0,1158.0,45.5,45.531
16.088,train:DC2,97.6,342.484375,17.1,2219.49609375,2398.0,0.0,4440.0,1080.0,1160.0,45.406,45.593
16.590,train:DC3,101.7,352.71484375,30.0,2212.234375,2366.0,0.0,4326.0,1001.0,1161.0,45.343,45.531
17.092,train:DC3,97.6,422.03125,46.0,2275.4296875,2374.0,23.0,4792.0,1315.0,1198.0,45.593,45.593
17.594,train:DC3,99.6,422.046875,38.3,2274.72265625,2351.0,23.0,5063.0,1512.0,1196.0,45.562,45.562
18.096,train:DC3,99.5,419.796875,38.4,2274.4765625,2406.0,21.0,4904.0,1393.0,1194.0,45.656,45.75
18.598,train:DC3,101.5,394.61328125,45.8,2249.9609375,2405.0,4.0,4864.0,1393.0,1194.0,45.75,45.75
19.100,train:DC3,97.6,369.046875,22.4,2220.18359375,2404.0,10.0,5063.0,1552.0,1194.0,45.593,45.781
19.610,train:DC3,101.9,341.015625,20.7,2218.0703125,2396.0,0.0,4560.0,1158.0,1200.0,45.406,45.562
20.115,train:DC3,97.2,422.05078125,38.5,2317.1328125,2386.0,0.0,4600.0,1198.0,1198.0,45.625,45.625
20.617,train:DC3,99.6,422.05078125,48.3,2332.34765625,2393.0,0.0,4712.0,1315.0,1196.0,45.718,45.718
21.118,train:DC3,99.6,401.7578125,41.6,2319.30078125,2464.0,70.0,5183.0,1592.0,1234.0,45.687,45.687
21.620,train:DC4,99.6,413.3046875,41.0,2327.6171875,2450.0,5.0,4944.0,1472.0,1194.0,45.593,45.562
22.122,train:DC4,99.6,388.703125,24.3,2304.234375,2470.0,29.0,4864.0,1435.0,1196.0,45.593,45.593
22.625,train:DC4,101.5,361.00390625,26.3,2280.609375,2467.0,0.0,4672.0,1236.0,1198.0,45.687,45.687
23.127,train:DC4,99.6,422.06640625,21.1,2335.48828125,2451.0,0.0,4560.0,1158.0,1198.0,45.531,45.656
23.629,train:DC4,99.7,422.08203125,24.2,2337.10546875,2429.0,29.0,4400.0,1080.0,1160.0,45.5,45.718
24.130,train:DC4,99.7,422.08203125,27.5,2334.890625,2415.0,5.0,4480.0,1118.0,1160.0,45.562,45.625
24.632,train:DC4,97.7,408.83203125,29.3,2328.265625,2466.0,4.0,4632.0,1236.0,1198.0,45.5,45.687
25.134,train:DC4,101.6,387.58203125,25.4,2312.515625,2475.0,0.0,4592.0,1158.0,1198.0,45.718,45.718
25.636,train:DC4,99.6,355.625,20.3,2290.8828125,2475.0,24.0,4520.0,1118.0,1158.0,45.5,45.718
26.138,train:DC5,99.6,363.01953125,36.2,2299.34765625,2461.0,4.0,4520.0,1118.0,1158.0,45.656,45.656
