t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.507,calibration,101.1,145.75,22.8,1960.171875,,,,,,,
1.009,calibration,97.6,166.85546875,17.1,1970.46484375,2091.0,0.0,4052.0,1003.0,1083.0,45.5,45.5
1.516,features,100.6,161.44921875,18.8,1979.75390625,2102.0,0.0,4059.0,963.0,1083.0,45.375,45.468
2.019,features,97.5,193.54296875,17.3,2003.50390625,2111.0,0.0,4093.0,1003.0,1083.0,45.281,45.375
2.521,features,99.7,208.9765625,16.7,2017.59765625,2135.0,0.0,4059.0,1003.0,1083.0,45.25,45.593
3.023,features,99.5,207.54296875,20.9,2026.765625,2149.0,0.0,4059.0,963.0,1123.0,45.531,45.531
3.526,features,97.5,217.98046875,17.6,2042.0859375,2158.0,0.0,4093.0,1003.0,1123.0,45.437,45.531
4.028,features,99.5,241.91796875,17.0,2059.4375,2173.0,0.0,4099.0,963.0,1123.0,45.343,45.343
4.530,features,97.6,257.9375,18.7,2066.1484375,2191.0,0.0,4059.0,963.0,1123.0,45.125,45.468
5.032,features,101.6,277.58203125,17.0,2087.4375,2203.0,0.0,4059.0,963.0,1123.0,45.281,45.343
5.534,features,99.7,288.90234375,17.3,2095.4375,2219.0,0.0,4019.0,963.0,1083.0,45.187,45.187
6.036,features,97.7,297.58984375,20.8,2107.7421875,2227.0,0.0,4059.0,963.0,1123.0,45.343,45.343
6.538,features,99.6,289.609375,17.3,2119.125,2239.0,0.0,4093.0,1003.0,1123.0,45.218,45.312
7.043,features,100.9,308.7265625,17.2,2120.64453125,2250.0,0.0,4059.0,1003.0,1123.0,45.218,45.437
7.546,train:DC1,97.4,406.41796875,16.7,2222.4140625,2271.0,0.0,4059.0,963.0,1123.0,45.187,45.281
8.047,train:DC1,99.7,399.93359375,17.5,2228.5390625,2365.0,0.0,4019.0,963.0,1123.0,45.312,45.312
8.549,train:DC1,99.6,386.4453125,17.0,2214.24609375,2368.0,0.0,4019.0,963.0,1123.0,45.531,45.531
9.051,train:DC1,99.6,374.83203125,21.6,2224.453125,2361.0,0.0,4019.0,963.0,1123.0,45.281,45.281
9.553,train:DC1,97.7,366.0078125,16.4,2220.88671875,2356.0,0.0,4093.0,1003.0,1123.0,45.406,45.406
10.054,train:DC1,99.7,354.64453125,17.5,2203.16015625,2358.0,0.0,4059.0,1003.0,1123.0,45.125,45.343
10.556,train:DC1,99.7,344.73828125,18.3,2193.0625,2353.0,0.0,4059.0,963.0,1123.0,45.156,45.406
11.058,train:DC1,97.7,420.20703125,16.7,2239.0859375,2344.0,0.0,4059.0,963.0,1123.0,45.156,45.187
11.559,train:DC2,101.7,344.7421875,17.3,2192.40234375,2336.0,0.0,4059.0,963.0,1123.0,45.343,45.375
12.061,train:DC2,97.7,420.2109375,20.9,2240.16015625,2350.0,0.0,4019.0,963.0,1123.0,45.218,45.25
12.563,train:DC2,99.6,421.7421875,17.0,2239.87109375,2371.0,0.0,4213.0,1041.0,1121.0,45.25,45.406
13.065,train:DC2,97.6,420.2109375,17.6,2238.87890625,2338.0,0.0,4093.0,1003.0,1123.0,45.093,45.375
13.566,train:DC2,99.7,421.72265625,17.0,2241.40625,2328.0,0.0,4059.0,963.0,1123.0,45.437,45.406
14.068,train:DC2,99.7,420.22265625,17.0,2243.90625,2323.0,0.0,4019.0,963.0,1123.0,45.25,45.406
14.570,train:DC2,99.7,421.72265625,17.0,2246.13671875,2375.0,0.0,4019.0,963.0,1123.0,45.281,45.281
15.072,train:DC2,99.6,420.22265625,21.3,2241.86328125,2377.0,0.0,4019.0,963.0,1123.0,45.375,45.375
15.574,train:DC2,97.6,407.265625,17.3,2239.62890625,2373.0,0.0,4133.0,1043.0,1123.0,45.281,45.437
16.076,train:DC3,99.6,420.22265625,17.3,2243.83984375,2371.0,0.0,4059.0,1003.0,1123.0,45.156,45.406
16.577,train:DC3,99.7,419.48828125,17.0,2239.171875,2375.0,0.0,4059.0,963.0,1123.0,45.25,45.312
17.079,train:DC3,99.6,409.08203125,17.3,2232.50390625,2378.0,0.0,4059.0,963.0,1123.0,45.406,45.5
17.581,train:DC3,99.6,405.3359375,16.8,2226.90234375,2371.0,0.0,4093.0,963.0,1123.0,45.281,45.406
