0.521 09-16-2026 13:42:06 RAM 2091/7486MB (lfb 29x4MB) CPU [98%@1344,11%@1344,15%@1344,3%@1344,9%@729,5%@729] GR3D_FREQ 0% cpu@45.5C/45.5C soc2@45.093C/45.093C soc0@45.281C/45.281C gpu@45.125C/45.125C tj@45.5C/45.5C soc1@44.312C/44.312C VDD_IN 4052mW/4052mW/4052mW VDD_CPU_GPU_CV 1003mW/1003mW/1003mW VDD_SOC 1083mW/1083mW/1083mW
1.027 09-16-2026 13:42:07 RAM 2102/7486MB (lfb 29x4MB) CPU [100%@1344,3%@1344,0%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.375C/45.5C soc2@44.937C/45.093C soc0@45.468C/45.468C gpu@45.125C/45.125C tj@45.468C/45.5C soc1@44.312C/44.312C VDD_IN 4059mW/4056mW/4059mW VDD_CPU_GPU_CV 963mW/983mW/1003mW VDD_SOC 1083mW/1083mW/1083mW
1.533 09-16-2026 13:42:07 RAM 2111/7486MB (lfb 29x4MB) CPU [100%@1344,6%@1344,2%@1344,0%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.5C soc2@45C/45.093C soc0@45.375C/45.468C gpu@45.093C/45.125C tj@45.375C/45.5C soc1@44.218C/44.312C VDD_IN 4093mW/4068mW/4093mW VDD_CPU_GPU_CV 1003mW/990mW/1003mW VDD_SOC 1083mW/1083mW/1083mW
2.038 09-16-2026 13:42:08 RAM 2135/7486MB (lfb 29x4MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.5C soc2@45.156C/45.156C soc0@45.375C/45.468C gpu@45.593C/45.593C tj@45.593C/45.593C soc1@44.406C/44.406C VDD_IN 4059mW/4066mW/4093mW VDD_CPU_GPU_CV 1003mW/993mW/1003mW VDD_SOC 1083mW/1083mW/1083mW
2.544 09-16-2026 13:42:08 RAM 2149/7486MB (lfb 29x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.531C soc2@45.093C/45.156C soc0@45.343C/45.468C gpu@45.125C/45.593C tj@45.531C/45.593C soc1@44.375C/44.406C VDD_IN 4059mW/4064mW/4093mW VDD_CPU_GPU_CV 963mW/987mW/1003mW VDD_SOC 1123mW/1091mW/1123mW
3.051 09-16-2026 13:42:09 RAM 2158/7486MB (lfb 29x4MB) CPU [100%@1344,4%@1344,11%@1344,5%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.531C soc2@45C/45.156C soc0@45.25C/45.468C gpu@45.531C/45.593C tj@45.531C/45.593C soc1@44.281C/44.406C VDD_IN 4093mW/4069mW/4093mW VDD_CPU_GPU_CV 1003mW/990mW/1003mW VDD_SOC 1123mW/1096mW/1123mW
3.556 09-16-2026 13:42:09 RAM 2173/7486MB (lfb 29x4MB) CPU [100%@1344,2%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.343C/45.531C soc2@44.937C/45.156C soc0@45.343C/45.468C gpu@45.218C/45.593C tj@45.343C/45.593C soc1@44.25C/44.406C VDD_IN 4099mW/4073mW/4099mW VDD_CPU_GPU_CV 963mW/986mW/1003mW VDD_SOC 1123mW/1100mW/1123mW
4.062 09-16-2026 13:42:10 RAM 2191/7486MB (lfb 29x4MB) CPU [100%@1344,1%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.531C soc2@45.031C/45.156C soc0@45.375C/45.468C gpu@45.468C/45.593C tj@45.468C/45.593C soc1@44.281C/44.406C VDD_IN 4059mW/4072mW/4099mW VDD_CPU_GPU_CV 963mW/983mW/1003mW VDD_SOC 1123mW/1103mW/1123mW
4.568 09-16-2026 13:42:10 RAM 2203/7486MB (lfb 29x4MB) CPU [76%@1344,0%@1344,10%@1344,0%@1344,23%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.531C soc2@45.093C/45.156C soc0@45.343C/45.468C gpu@45.218C/45.593C tj@45.343C/45.593C soc1@44.375C/44.406C VDD_IN 4059mW/4070mW/4099mW VDD_CPU_GPU_CV 963mW/981mW/1003mW VDD_SOC 1123mW/1105mW/1123mW
5.074 09-16-2026 13:42:11 RAM 2219/7486MB (lfb 29x4MB) CPU [100%@1344,0%@1344,0%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.531C soc2@45.125C/45.156C soc0@45.25C/45.468C gpu@45.156C/45.593C tj@45.187C/45.593C soc1@44.281C/44.406C VDD_IN 4019mW/4065mW/4099mW VDD_CPU_GPU_CV 963mW/979mW/1003mW VDD_SOC 1083mW/1103mW/1123mW
5.580 09-16-2026 13:42:11 RAM 2227/7486MB (lfb 29x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.343C/45.531C soc2@45.125C/45.156C soc0@45.312C/45.468C gpu@45.312C/45.593C tj@45.343C/45.593C soc1@44.312C/44.406C VDD_IN 4059mW/4065mW/4099mW VDD_CPU_GPU_CV 963mW/978mW/1003mW VDD_SOC 1123mW/1105mW/1123mW
6.088 09-16-2026 13:42:12 RAM 2239/7486MB (lfb 29x4MB) CPU [100%@1344,4%@1344,9%@1344,8%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.531C soc2@45.062C/45.156C soc0@45.312C/45.468C gpu@45.125C/45.593C tj@45.312C/45.593C soc1@44.281C/44.406C VDD_IN 4093mW/4067mW/4099mW VDD_CPU_GPU_CV 1003mW/980mW/1003mW VDD_SOC 1123mW/1106mW/1123mW
6.591 09-16-2026 13:42:12 RAM 2250/7486MB (lfb 28x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.531C soc2@45.031C/45.156C soc0@45.343C/45.468C gpu@45.031C/45.593C tj@45.437C/45.593C soc1@44.218C/44.406C VDD_IN 4059mW/4066mW/4099mW VDD_CPU_GPU_CV 1003mW/981mW/1003mW VDD_SOC 1123mW/1108mW/1123mW
7.097 09-16-2026 13:42:13 RAM 2271/7486MB (lfb 25x4MB) CPU [100%@1344,1%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.531C soc2@45.031C/45.156C soc0@45.281C/45.468C gpu@45.187C/45.593C tj@45.281C/45.593C soc1@44.375C/44.406C VDD_IN 4059mW/4066mW/4099mW VDD_CPU_GPU_CV 963mW/980mW/1003mW VDD_SOC 1123mW/1109mW/1123mW
7.603 09-16-2026 13:42:13 RAM 2365/7486MB (lfb 19x4MB) CPU [100%@1344,0%@1344,1%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.531C soc2@45.125C/45.156C soc0@45.312C/45.468C gpu@44.968C/45.593C tj@45.312C/45.593C soc1@44.375C/44.406C VDD_IN 4019mW/4063mW/4099mW VDD_CPU_GPU_CV 963mW/979mW/1003mW VDD_SOC 1123mW/1110mW/1123mW
8.109 09-16-2026 13:42:14 RAM 2368/7486MB (lfb 19x4MB) CPU [100%@1344,0%@1344,2%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.531C soc2@45.093C/45.156C soc0@45.312C/45.468C gpu@45.437C/45.593C tj@45.531C/45.593C soc1@44.312C/44.406C VDD_IN 4019mW/4060mW/4099mW VDD_CPU_GPU_CV 963mW/978mW/1003mW VDD_SOC 1123mW/1110mW/1123mW
8.615 09-16-2026 13:42:14 RAM 2361/7486MB (lfb 18x4MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.531C soc2@45.062C/45.156C soc0@45.187C/45.468C gpu@45.031C/45.593C tj@45.281C/45.593C soc1@44.281C/44.406C VDD_IN 4019mW/4058mW/4099mW VDD_CPU_GPU_CV 963mW/977mW/1003mW VDD_SOC 1123mW/1111mW/1123mW
9.122 09-16-2026 13:42:15 RAM 2356/7486MB (lfb 18x4MB) CPU [100%@1344,6%@1344,7%@1344,7%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/45.531C soc2@44.968C/45.156C soc0@45.406C/45.468C gpu@45.375C/45.593C tj@45.406C/45.593C soc1@44.25C/44.406C VDD_IN 4093mW/4060mW/4099mW VDD_CPU_GPU_CV 1003mW/979mW/1003mW VDD_SOC 1123mW/1112mW/1123mW
9.628 09-16-2026 13:42:16 RAM 2358/7486MB (lfb 18x4MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.531C soc2@45.031C/45.156C soc0@45.343C/45.468C gpu@44.968C/45.593C tj@45.343C/45.593C soc1@44.187C/44.406C VDD_IN 4059mW/4059mW/4099mW VDD_CPU_GPU_CV 1003mW/980mW/1003mW VDD_SOC 1123mW/1112mW/1123mW
10.134 09-16-2026 13:42:16 RAM 2353/7486MB (lfb 19x4MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.156C/45.531C soc2@45.031C/45.156C soc0@45.281C/45.468C gpu@45.406C/45.593C tj@45.406C/45.593C soc1@44.437C/44.437C VDD_IN 4059mW/4059mW/4099mW VDD_CPU_GPU_CV 963mW/979mW/1003mW VDD_SOC 1123mW/1113mW/1123mW
10.640 09-16-2026 13:42:17 RAM 2344/7486MB (lfb 20x4MB) CPU [100%@1344,1%@1344,1%@1344,0%@1344,2%@729,1%@729] GR3D_FREQ 0% cpu@45.156C/45.531C soc2@45.031C/45.156C soc0@45.187C/45.468C gpu@45.281C/45.593C tj@45.187C/45.593C soc1@44.281C/44.437C VDD_IN 4059mW/4059mW/4099mW VDD_CPU_GPU_CV 963mW/978mW/1003mW VDD_SOC 1123mW/1113mW/1123mW
11.146 09-16-2026 13:42:17 RAM 2336/7486MB (lfb 19x4MB) CPU [100%@1344,2%@1344,1%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.343C/45.531C soc2@45.125C/45.156C soc0@45.25C/45.468C gpu@45.375C/45.593C tj@45.375C/45.593C soc1@44.312C/44.437C VDD_IN 4059mW/4059mW/4099mW VDD_CPU_GPU_CV 963mW/978mW/1003mW VDD_SOC 1123mW/1114mW/1123mW
11.652 09-16-2026 13:42:18 RAM 2350/7486MB (lfb 19x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.531C soc2@45.031C/45.156C soc0@45.531C/45.531C gpu@45.218C/45.593C tj@45.25C/45.593C soc1@44.281C/44.437C VDD_IN 4019mW/4058mW/4099mW VDD_CPU_GPU_CV 963mW/977mW/1003mW VDD_SOC 1123mW/1114mW/1123mW
12.158 09-16-2026 13:42:18 RAM 2371/7486MB (lfb 18x4MB) CPU [100%@1344,7%@1344,4%@1344,10%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.531C soc2@44.968C/45.156C soc0@45.406C/45.531C gpu@45.343C/45.593C tj@45.406C/45.593C soc1@44.312C/44.437C VDD_IN 4213mW/4064mW/4213mW VDD_CPU_GPU_CV 1041mW/980mW/1041mW VDD_SOC 1121mW/1115mW/1123mW
12.664 09-16-2026 13:42:19 RAM 2338/7486MB (lfb 20x4MB) CPU [100%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.531C soc2@45C/45.156C soc0@45.375C/45.531C gpu@45.312C/45.593C tj@45.375C/45.593C soc1@44.375C/44.437C VDD_IN 4093mW/4065mW/4213mW VDD_CPU_GPU_CV 1003mW/981mW/1041mW VDD_SOC 1123mW/1115mW/1123mW
13.170 09-16-2026 13:42:19 RAM 2328/7486MB (lfb 19x4MB) CPU [100%@1344,0%@1344,2%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.531C soc2@45.093C/45.156C soc0@45.25C/45.531C gpu@45.093C/45.593C tj@45.406C/45.593C soc1@44.25C/44.437C VDD_IN 4059mW/4065mW/4213mW VDD_CPU_GPU_CV 963mW/980mW/1041mW VDD_SOC 1123mW/1115mW/1123mW
