t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.506,calibration,99.2,146.03125,21.9,1976.19140625,,,,,,,
1.008,calibration,99.6,162.53515625,17.9,1985.28515625,2107.0,0.0,4052.0,1003.0,1083.0,44.843,44.906
1.510,features,101.7,162.56640625,19.2,1996.8515625,2117.0,0.0,4019.0,1003.0,1083.0,44.906,45.156
2.026,features,98.9,180.5859375,17.3,2016.35546875,2128.0,0.0,4093.0,1003.0,1083.0,44.843,45.093
2.528,features,99.5,193.9609375,17.0,2027.984375,2148.0,0.0,4059.0,1003.0,1083.0,44.781,45.0
3.030,features,101.7,223.0546875,17.6,2039.859375,2159.0,0.0,4019.0,963.0,1083.0,44.906,45.0
3.531,features,97.7,235.40234375,17.0,2051.2421875,2171.0,0.0,4019.0,963.0,1083.0,44.968,44.968
4.033,features,101.7,248.2578125,17.3,2067.85546875,2183.0,0.0,4059.0,963.0,1083.0,44.875,45.031
4.535,features,97.7,263.60546875,17.0,2081.9453125,2199.0,0.0,4059.0,1003.0,1083.0,44.906,45.156
5.036,features,101.7,258.078125,17.3,2095.296875,2213.0,0.0,4019.0,963.0,1123.0,44.75,45.031
5.538,features,99.6,289.52734375,17.0,2107.171875,2227.0,0.0,4019.0,963.0,1123.0,45.031,45.156
6.040,features,99.7,304.453125,17.3,2124.5234375,2238.0,0.0,4059.0,963.0,1083.0,44.937,45.031
6.541,features,97.7,312.3125,17.0,2132.08203125,2256.0,0.0,4059.0,1003.0,1083.0,44.906,45.093
7.043,features,101.7,311.25390625,17.6,2129.7734375,2251.0,0.0,4059.0,963.0,1083.0,44.781,45.187
7.545,train:DC1,97.6,420.15234375,17.0,2251.8203125,2275.0,0.0,4059.0,963.0,1123.0,44.812,45.093
8.046,train:DC1,99.7,421.671875,17.3,2250.55078125,2383.0,0.0,4019.0,963.0,1123.0,44.75,45.093
8.548,train:DC1,101.7,406.421875,17.5,2241.80859375,2382.0,0.0,4019.0,963.0,1123.0,44.937,44.968
9.050,train:DC1,99.7,387.171875,16.8,2214.3671875,2381.0,0.0,3979.0,963.0,1123.0,45.031,45.031
9.551,train:DC1,99.7,360.671875,16.7,2213.01171875,2368.0,0.0,4019.0,963.0,1123.0,44.968,44.968
