t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.507,calibration,99.1,147.6328125,21.0,1966.1953125,,,,,,,
1.009,calibration,99.6,164.05078125,17.7,1974.76171875,2098.0,0.0,4059.0,1003.0,1083.0,44.718,45.093
1.512,features,99.5,162.609375,18.2,1986.83203125,2106.0,0.0,4099.0,1003.0,1083.0,44.656,44.968
2.014,features,101.5,180.89453125,17.6,2003.625,2118.0,0.0,4099.0,1003.0,1083.0,44.875,44.937
2.516,features,99.6,197.05078125,16.7,2019.68359375,2135.0,0.0,4059.0,1003.0,1085.0,45.0,45.0
3.018,features,97.7,223.13671875,17.3,2041.6484375,2151.0,0.0,4019.0,1003.0,1085.0,44.718,44.937
3.520,features,101.6,236.5,17.3,2054.9921875,2175.0,0.0,4059.0,1003.0,1085.0,44.812,45.031
4.022,features,99.6,249.29296875,17.3,2067.60546875,2186.0,0.0,4099.0,1003.0,1083.0,44.843,45.156
4.525,features,99.4,249.59375,17.0,2084.6484375,2199.0,0.0,4059.0,1003.0,1085.0,44.687,45.093
5.027,features,99.6,271.6953125,17.1,2094.24609375,2216.0,0.0,4059.0,963.0,1125.0,44.718,45.0
5.529,features,99.6,289.1484375,17.5,2107.66015625,2230.0,0.0,4059.0,1003.0,1123.0,44.75,45.0
6.031,features,99.6,301.10546875,17.1,2119.53515625,2239.0,0.0,4099.0,1003.0,1083.0,44.937,45.0
6.538,features,100.6,299.51171875,17.1,2122.07421875,2251.0,0.0,4059.0,1003.0,1123.0,44.843,44.968
7.040,train:DC1,99.5,354.0703125,17.4,2172.37890625,2269.0,0.0,4059.0,1003.0,1123.0,44.875,44.906
7.547,train:DC1,100.7,340.18359375,16.8,2193.62109375,2328.0,0.0,4059.0,963.0,1123.0,44.843,45.125
8.048,train:DC1,99.7,421.23046875,17.3,2256.31640625,2341.0,0.0,4019.0,963.0,1123.0,44.718,45.031
8.550,train:DC1,97.6,421.23046875,17.0,2277.859375,2339.0,0.0,4019.0,963.0,1123.0,44.656,44.937
9.053,train:DC1,99.6,421.23046875,17.3,2285.109375,2409.0,0.0,4059.0,963.0,1123.0,44.875,44.906
9.554,train:DC1,99.7,421.23046875,16.7,2277.71875,2416.0,0.0,4059.0,963.0,1123.0,45.093,45.093
10.056,train:DC1,99.7,421.2421875,17.3,2275.64453125,2409.0,0.0,4019.0,963.0,1123.0,44.843,45.187
10.557,train:DC1,99.7,418.9921875,17.0,2276.12890625,2407.0,0.0,4059.0,963.0,1123.0,45.0,45.093
11.059,train:DC1,97.7,402.5234375,17.7,2247.40234375,2404.0,0.0,4059.0,963.0,1123.0,44.906,45.093
11.561,train:DC2,99.6,418.99609375,16.7,2240.6953125,2379.0,0.0,4019.0,963.0,1123.0,44.968,44.875
12.062,train:DC2,99.7,412.49609375,17.9,2233.140625,2380.0,0.0,4019.0,963.0,1123.0,44.875,45.031
12.564,train:DC2,99.6,405.99609375,17.0,2235.16796875,2380.0,0.0,4093.0,963.0,1123.0,44.875,44.968
13.065,train:DC2,99.7,392.99609375,17.3,2221.21484375,2374.0,0.0,4059.0,963.0,1123.0,45.031,45.125
13.567,train:DC2,99.7,380.49609375,17.0,2221.4921875,2376.0,0.0,4019.0,963.0,1123.0,44.937,45.031
14.069,train:DC2,97.7,368.25,17.3,2209.01171875,2368.0,0.0,4019.0,963.0,1123.0,44.781,45.062
14.570,train:DC2,101.7,356.1796875,16.7,2201.578125,2361.0,0.0,4019.0,963.0,1123.0,44.812,45.031
15.072,train:DC2,97.7,340.21875,16.8,2189.83203125,2347.0,0.0,4019.0,963.0,1123.0,45.031,45.031
15.573,train:DC3,99.7,362.1875,17.2,2204.12890625,2349.0,0.0,4019.0,963.0,1123.0,45.187,45.187
16.075,train:DC3,99.7,340.234375,17.1,2173.046875,2365.0,0.0,4019.0,963.0,1123.0,44.968,44.937
16.576,train:DC3,99.7,421.265625,17.0,2260.40625,2353.0,0.0,4059.0,963.0,1123.0,44.906,44.968
17.079,train:DC3,97.6,421.265625,17.3,2260.42578125,2361.0,0.0,4059.0,963.0,1123.0,44.937,45.031
17.580,train:DC3,99.7,421.28125,17.0,2260.91015625,2348.0,0.0,4059.0,963.0,1123.0,44.968,45.062
18.081,train:DC3,99.8,421.28125,17.0,2255.2265625,2333.0,0.0,4099.0,963.0,1123.0,44.843,45.0
18.582,train:DC3,97.8,421.28125,17.3,2255.8359375,2353.0,0.0,4059.0,963.0,1123.0,45.0,45.0
19.083,train:DC3,101.8,419.03125,17.0,2252.82421875,2387.0,0.0,4019.0,963.0,1123.0,45.125,45.125
19.585,train:DC3,97.8,402.55859375,16.8,2245.4296875,2392.0,0.0,4019.0,963.0,1123.0,45.0,45.156
20.086,train:DC4,99.8,419.03515625,17.3,2252.8359375,2377.0,0.0,4019.0,963.0,1123.0,44.875,45.031
20.587,train:DC4,97.8,412.55078125,16.8,2253.5703125,2392.0,0.0,4019.0,963.0,1123.0,44.937,45.031
21.088,train:DC4,99.7,404.40234375,17.3,2246.17578125,2393.0,0.0,4019.0,963.0,1123.0,45.187,45.187
21.589,train:DC4,97.7,391.05078125,17.6,2225.59765625,2385.0,0.0,4059.0,963.0,1123.0,44.968,44.968
22.092,train:DC4,99.6,380.55078125,17.3,2226.0078125,2388.0,0.0,4019.0,963.0,1123.0,45.031,45.031
22.593,train:DC4,99.7,368.30078125,17.3,2225.83203125,2388.0,0.0,4019.0,963.0,1123.0,44.812,45.093
23.094,train:DC4,99.7,354.23046875,17.0,2207.85546875,2383.0,0.0,4059.0,963.0,1123.0,44.875,44.968
23.601,train:DC4,98.6,340.26953125,17.4,2194.76953125,2376.0,0.0,4059.0,963.0,1123.0,44.781,45.156
24.103,train:DC5,97.7,362.23828125,16.7,2211.65625,2367.0,0.0,4019.0,963.0,1123.0,45.031,45.031
24.604,train:DC5,99.8,344.24609375,17.3,2198.453125,2376.0,0.0,4019.0,963.0,1123.0,45.093,45.093
25.105,train:DC5,99.7,421.3203125,16.7,2253.8828125,2377.0,0.0,4019.0,963.0,1123.0,44.906,45.125
25.606,train:DC5,99.8,421.3203125,17.3,2254.359375,2370.0,0.0,4019.0,963.0,1123.0,44.937,45.062
