t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.503,idle,0.0,13.1875,4.7,1845.37109375,,,,,,,
1.005,idle,0.0,13.19921875,0.0,1845.30859375,1972.0,0.0,3657.0,562.0,1085.0,44.0,44.25
1.507,idle,0.0,13.203125,1.0,1845.30859375,1972.0,0.0,3577.0,482.0,1085.0,44.062,44.187
2.008,idle,0.0,13.2109375,0.3,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.843,44.312
2.509,idle,0.0,13.2109375,0.7,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.75,44.312
3.010,idle,0.0,13.2109375,0.3,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.75,44.25
3.512,idle,2.0,13.2109375,0.3,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.875,44.187
4.013,idle,0.0,13.2109375,1.0,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.906,44.187
4.514,idle,0.0,13.2109375,0.0,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.937,44.437
5.015,idle,0.0,13.2109375,1.0,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.843,44.437
5.516,idle,0.0,13.2109375,0.3,1845.30859375,1972.0,0.0,3536.0,482.0,1085.0,43.781,44.343
6.018,idle,0.0,13.2109375,0.7,1845.30859375,1972.0,0.0,3577.0,482.0,1085.0,43.875,44.375
6.519,idle,0.0,13.2109375,0.7,1845.30078125,1972.0,0.0,3536.0,482.0,1085.0,44.031,44.187
7.020,idle,0.0,13.2109375,0.0,1845.30078125,1972.0,0.0,3536.0,482.0,1085.0,43.843,44.281
7.522,idle,2.0,13.21484375,0.3,1845.30078125,1972.0,0.0,3536.0,482.0,1085.0,43.75,44.312
8.023,idle,0.0,13.21484375,0.3,1845.30078125,1972.0,0.0,3536.0,482.0,1085.0,43.781,44.25
8.524,idle,0.0,13.21484375,0.7,1845.30078125,1972.0,0.0,3536.0,482.0,1085.0,43.968,44.218
