t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,idle,0.0,13.40625,1.0,1659.390625,,,,,,,
1.006,idle,0.0,13.41796875,1.4,1659.38671875,1784.0,0.0,3818.0,601.0,1123.0,44.687,45.0
1.508,idle,2.0,13.421875,0.7,1659.21875,1784.0,0.0,3657.0,562.0,1125.0,44.656,44.968
2.010,idle,0.0,13.4296875,4.8,1659.62109375,1784.0,0.0,3617.0,522.0,1125.0,44.75,45.031
2.512,idle,0.0,13.4296875,1.7,1655.4609375,1784.0,0.0,3657.0,562.0,1125.0,44.593,45.031
3.014,idle,0.0,13.4296875,1.7,1655.4609375,1780.0,0.0,3617.0,522.0,1125.0,44.625,45.031
3.516,idle,0.0,13.4296875,1.3,1651.91796875,1780.0,0.0,3657.0,522.0,1125.0,44.593,45.031
4.017,idle,0.0,13.4296875,1.0,1651.91796875,1777.0,2.0,3617.0,522.0,1125.0,44.562,44.875
4.519,idle,2.0,13.4296875,1.7,1648.71875,1777.0,0.0,3577.0,522.0,1085.0,44.656,44.906
5.021,idle,0.0,13.4296875,7.3,1647.14453125,1774.0,0.0,3577.0,522.0,1125.0,44.687,44.968
5.523,idle,0.0,13.4296875,3.0,1644.81640625,1772.0,0.0,3657.0,562.0,1125.0,44.656,45.0
6.024,idle,0.0,13.4296875,2.6,1644.81640625,1770.0,0.0,3657.0,522.0,1125.0,44.531,45.125
6.526,idle,0.0,13.4296875,1.0,1642.48046875,1770.0,0.0,3577.0,522.0,1125.0,44.437,44.906
7.028,idle,0.0,13.43359375,1.3,1642.48046875,1767.0,0.0,3577.0,522.0,1125.0,44.468,44.937
7.529,idle,0.0,13.43359375,1.3,1640.46484375,1767.0,0.0,3536.0,482.0,1085.0,44.718,45.031
