0.524 09-16-2026 12:08:44 RAM 1784/7486MB (lfb 12x4MB) CPU [2%@1036,0%@1036,1%@1036,0%@1036,3%@729,2%@729] GR3D_FREQ 0% cpu@44.687C/44.687C soc2@44.531C/44.531C soc0@45C/45C gpu@44.75C/44.75C tj@45C/45C soc1@43.937C/43.937C VDD_IN 3818mW/3818mW/3818mW VDD_CPU_GPU_CV 601mW/601mW/601mW VDD_SOC 1123mW/1123mW/1123mW
1.030 09-16-2026 12:08:45 RAM 1784/7486MB (lfb 12x4MB) CPU [4%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/44.687C soc2@44.5C/44.531C soc0@44.968C/45C gpu@44.812C/44.812C tj@44.968C/45C soc1@43.875C/43.937C VDD_IN 3657mW/3738mW/3818mW VDD_CPU_GPU_CV 562mW/582mW/601mW VDD_SOC 1125mW/1124mW/1125mW
1.538 09-16-2026 12:08:45 RAM 1784/7486MB (lfb 12x4MB) CPU [2%@729,1%@729,0%@729,2%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@44.75C/44.75C soc2@44.312C/44.531C soc0@45.031C/45.031C gpu@44.937C/44.937C tj@45.031C/45.031C soc1@43.718C/43.937C VDD_IN 3617mW/3697mW/3818mW VDD_CPU_GPU_CV 522mW/562mW/601mW VDD_SOC 1125mW/1124mW/1125mW
2.045 09-16-2026 12:08:46 RAM 1784/7486MB (lfb 12x4MB) CPU [6%@729,6%@729,6%@729,2%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@44.593C/44.75C soc2@44.468C/44.531C soc0@45.031C/45.031C gpu@44.812C/44.937C tj@45.031C/45.031C soc1@43.812C/43.937C VDD_IN 3657mW/3687mW/3818mW VDD_CPU_GPU_CV 562mW/562mW/601mW VDD_SOC 1125mW/1125mW/1125mW
2.551 09-16-2026 12:08:47 RAM 1780/7486MB (lfb 12x4MB) CPU [2%@729,0%@729,0%@729,1%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.437C/44.531C soc0@45.031C/45.031C gpu@44.875C/44.937C tj@45.031C/45.031C soc1@43.75C/43.937C VDD_IN 3617mW/3673mW/3818mW VDD_CPU_GPU_CV 522mW/554mW/601mW VDD_SOC 1125mW/1125mW/1125mW
3.057 09-16-2026 12:08:47 RAM 1780/7486MB (lfb 12x4MB) CPU [0%@729,0%@729,2%@729,2%@729,2%@729,4%@729] GR3D_FREQ 0% cpu@44.593C/44.75C soc2@44.375C/44.531C soc0@45.031C/45.031C gpu@44.781C/44.937C tj@45.031C/45.031C soc1@43.718C/43.937C VDD_IN 3657mW/3671mW/3818mW VDD_CPU_GPU_CV 522mW/549mW/601mW VDD_SOC 1125mW/1125mW/1125mW
3.563 09-16-2026 12:08:48 RAM 1777/7486MB (lfb 13x4MB) CPU [3%@729,0%@729,2%@729,2%@729,0%@729,0%@729] GR3D_FREQ 2% cpu@44.562C/44.75C soc2@44.406C/44.531C soc0@44.875C/45.031C gpu@44.656C/44.937C tj@44.875C/45.031C soc1@43.906C/43.937C VDD_IN 3617mW/3663mW/3818mW VDD_CPU_GPU_CV 522mW/545mW/601mW VDD_SOC 1125mW/1125mW/1125mW
4.069 09-16-2026 12:08:48 RAM 1777/7486MB (lfb 13x4MB) CPU [3%@729,0%@729,0%@729,0%@729,3%@729,3%@729] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.468C/44.531C soc0@44.906C/45.031C gpu@44.812C/44.937C tj@44.906C/45.031C soc1@43.875C/43.937C VDD_IN 3577mW/3652mW/3818mW VDD_CPU_GPU_CV 522mW/542mW/601mW VDD_SOC 1085mW/1120mW/1125mW
4.575 09-16-2026 12:08:49 RAM 1774/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,2%@729,0%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@44.687C/44.75C soc2@44.375C/44.531C soc0@44.968C/45.031C gpu@44.656C/44.937C tj@44.968C/45.031C soc1@43.781C/43.937C VDD_IN 3577mW/3644mW/3818mW VDD_CPU_GPU_CV 522mW/540mW/601mW VDD_SOC 1125mW/1120mW/1125mW
5.082 09-16-2026 12:08:49 RAM 1772/7486MB (lfb 13x4MB) CPU [8%@729,0%@729,9%@729,13%@729,1%@729,9%@729] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.375C/44.531C soc0@45C/45.031C gpu@44.687C/44.937C tj@45C/45.031C soc1@43.812C/43.937C VDD_IN 3657mW/3645mW/3818mW VDD_CPU_GPU_CV 562mW/542mW/601mW VDD_SOC 1125mW/1121mW/1125mW
5.588 09-16-2026 12:08:50 RAM 1770/7486MB (lfb 13x4MB) CPU [4%@729,4%@729,0%@729,9%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@44.531C/44.75C soc2@44.343C/44.531C soc0@45.125C/45.125C gpu@44.593C/44.937C tj@45.125C/45.125C soc1@43.687C/43.937C VDD_IN 3657mW/3646mW/3818mW VDD_CPU_GPU_CV 522mW/540mW/601mW VDD_SOC 1125mW/1121mW/1125mW
