fold,scenario,test,auc,f1,precision,recall,fpr,pos,valid,events,detected,feat_ms_mean,window_ms_mean,window_ms_p99,misses,csec_wait_max_ms,peak_rss_MiB,stream_vs_batch,realtime
FULL,S07_atk_false_ups,ctrl,0.9999320882852292,0.9615384615384616,0.9259259259259259,1.0,0.010186757215619695,75,664,1,1,0.17033101618289948,3.6231613159179688,5.106608438491822,0,1870.0,265.22265625,4.470348358154297e-08,True
FULL,S08_atk_load_alter,ctrl,nan,0.0,0.0,0.0,0.006738544474393531,0,742,0,0,0.17034928500652313,3.6739447116851807,5.331688504219056,0,0.0,263.65625,2.159601519835519e-08,True
FULL,S09_atk_sensor_spoof,ctrl,nan,0.0,0.0,0.0,0.006738544474393531,0,742,0,0,0.15608946979045868,3.468210458755493,4.166238055229187,0,0.0,262.51953125,2.159601519835519e-08,True
FULL,S10_atk_cooling,ctrl,nan,0.0,0.0,0.0,0.006738544474393531,0,742,0,0,0.16295722126960754,3.978787422180176,5.464870696067811,0,0.0,263.6015625,2.159601519835519e-08,True
FULL,S11_fault_plus_atk,ctrl,nan,0.0,0.0,0.0,0.013477088948787063,0,742,0,0,0.15712030231952667,3.631650924682617,5.183444323539734,1,5340.0,268.35546875,1.3783574104309082e-07,True
S02_fault_100ms,S02_fault_100ms,A1,0.9979342907731654,0.9784172661870504,0.9577464788732394,1.0,0.010033444816053512,136,734,3,3,0.1551009863615036,3.3075408935546875,3.7431051015853893,0,5330.0,268.40625,1.862645149230957e-07,True
S02_fault_100ms,S02_fault_100ms,A2,0.9664293439077144,0.5185185185185185,0.875,0.3684210526315789,0.0136986301369863,152,736,2,2,0.1642836332321167,3.523275375366211,4.657037572860719,0,5330.0,268.3515625,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,A3,0.9896998700598991,0.9785714285714285,0.9716312056737588,0.9856115107913669,0.01762114537444934,278,732,4,4,0.1575372815132141,3.559701919555664,4.840911231040955,2,5330.0,268.6953125,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,A4,0.9999594275223402,0.9833333333333333,0.9672131147540983,1.0,0.010771992818671455,177,734,3,3,0.16683590412139893,3.9175705909729004,5.536541457176211,0,5330.0,268.8984375,1.2665987014770508e-07,True
S02_fault_100ms,S02_fault_100ms,A5,0.9630337160033317,0.9548693586698337,0.9617224880382775,0.9481132075471698,0.015355086372360844,212,733,4,4,0.16114993393421173,3.5381970405578613,4.387212448120118,3,5330.0,268.82421875,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,T1,0.9568602825745682,0.9504950495049505,0.9411764705882353,0.96,0.009419152276295133,100,737,2,2,0.1961381584405899,3.678699016571045,4.876612811088563,0,5330.0,268.390625,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,T2,0.9595604395604396,0.9504950495049505,0.9411764705882353,0.96,0.009419152276295133,100,737,2,2,0.1553015261888504,3.5506937503814697,4.523240089416506,0,5330.0,268.29296875,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,T3,0.8732032854209445,0.6210045662100456,0.5714285714285714,0.68,0.10472279260780287,100,587,2,2,0.1710750311613083,3.504267454147339,4.271964473724365,0,5910.0,268.44921875,2.3469328880310059e-07,True
S02_fault_100ms,S02_fault_100ms,T3a,0.7562012320328542,0.5887850467289719,0.5526315789473685,0.63,0.10472279260780287,100,587,2,2,0.16279223561286926,4.006992340087891,5.368970251083375,2,5330.0,268.48046875,3.1676275069614235e-07,True
S02_fault_100ms,S02_fault_100ms,no_attack,nan,0.0,0.0,0.0,0.01078167115902965,0,742,0,0,0.16727638244628906,3.460801362991333,4.329803223609925,1,5330.0,268.58203125,2.3469328880310059e-07,True
S03_fault_250ms,S03_fault_250ms,A1,0.9965235636558123,0.9719101123595506,0.9453551912568307,1.0,0.017793594306049824,173,735,3,3,0.15754681825637817,3.565861463546753,4.567076430320741,0,4720.0,268.85546875,5.587935447692871e-08,True
S03_fault_250ms,S03_fault_250ms,A2,0.9435832808233563,0.5529411764705883,0.8545454545454545,0.40869565217391307,0.01288244766505636,115,736,2,2,0.16395358741283417,3.972714424133301,5.400413050651551,0,4720.0,268.59375,5.587935447692871e-08,True
S03_fault_250ms,S03_fault_250ms,A3,0.97738191869776,0.9657320872274143,0.950920245398773,0.9810126582278481,0.01386481802426343,158,735,3,3,0.16122494637966156,3.6663618087768555,5.149520454406738,1,4720.0,268.58984375,5.587935447692871e-08,True
S03_fault_250ms,S03_fault_250ms,A4,0.9998579963281907,0.9779005524861878,0.9567567567567568,1.0,0.01436265709156194,177,734,3,3,0.1680566370487213,3.5221240520477295,4.577228822708131,0,6320.0,268.75,1.0058283805847168e-07,True
S03_fault_250ms,S03_fault_250ms,A5,0.9659113730626501,0.9598214285714286,0.9641255605381166,0.9555555555555556,0.015717092337917484,225,734,3,3,0.16438636183738708,3.5497045516967773,4.376197290420532,0,4720.0,268.78515625,5.587935447692871e-08,True
S03_fault_250ms,S03_fault_250ms,T1,0.9968004653868527,0.972972972972973,0.9473684210526315,1.0,0.015706806282722512,162,735,3,3,0.16278524696826935,3.832308292388916,5.316876788139345,2,4800.0,268.3984375,9.313225746154785e-08,True
S03_fault_250ms,S03_fault_250ms,T2,0.9930622885829401,0.9696969696969697,0.9523809523809523,0.9876543209876543,0.013961605584642234,162,735,3,3,0.15676026046276093,3.5744731426239014,4.382447533607487,0,4720.0,268.4765625,5.587935447692871e-08,True
S03_fault_250ms,S03_fault_250ms,T3,0.8920409771473601,0.802675585284281,0.8759124087591241,0.7407407407407407,0.04018912529550828,162,585,3,3,0.15942546725273132,3.7082388401031494,5.308688268661499,0,15310.0,268.25,5.21540641784668e-08,True
S03_fault_250ms,S03_fault_250ms,T3a,0.654320987654321,0.5387755102040817,0.7951807228915663,0.4074074074074074,0.04018912529550828,162,585,3,3,0.1746886968612671,3.861990213394165,5.330884556770325,1,4720.0,268.42578125,7.731672857502758e-08,True
S03_fault_250ms,S03_fault_250ms,no_attack,nan,0.0,0.0,0.0,0.01078167115902965,0,742,0,0,0.15870840847492218,3.761479616165161,5.375539255142212,0,4720.0,268.015625,5.587935447692871e-08,True
S04_line_trip,S04_line_trip,A1,0.9911501210653754,0.9686411149825784,0.9455782312925171,0.9928571428571429,0.013559322033898305,140,730,4,4,0.16082994639873505,3.756948232650757,5.325490779876709,1,1890.0000000000002,263.9453125,0.0,True
S04_line_trip,S04_line_trip,A2,0.9647009088987529,0.575,0.9324324324324325,0.41566265060240964,0.008771929824561403,166,736,2,2,0.15618589520454407,3.5679006576538086,4.445501041412355,0,0.0,263.828125,0.0,True
S04_line_trip,S04_line_trip,A3,0.9687873844480697,0.9626556016597511,0.9586776859504132,0.9666666666666667,0.008156606851549755,120,733,3,3,0.16083534061908722,3.8155293464660645,5.3213343667984025,1,0.0,263.88671875,3.6991302021505135e-08,True
S04_line_trip,S04_line_trip,A4,0.9999757646260482,0.9822064056939501,0.965034965034965,1.0,0.008361204013377926,138,736,2,2,0.16022343933582306,3.594855546951294,5.08109868526459,0,2120.0,263.92578125,3.6991302021505135e-08,True
S04_line_trip,S04_line_trip,A5,0.9720812750072647,0.9435215946843853,0.9659863945578231,0.922077922077922,0.008605851979345954,154,735,4,4,0.16006146371364594,3.6032042503356934,4.549968729019167,0,0.0,263.87109375,3.6991302021505135e-08,True
S04_line_trip,S04_line_trip,T1,0.9984567901234568,0.9767441860465116,0.9545454545454546,1.0,0.00980392156862745,126,738,2,2,0.1829463541507721,3.7362051010131836,5.345683665275579,0,1950.0,264.01171875,0.0,True
S04_line_trip,S04_line_trip,T2,0.995020230314348,0.9765625,0.9615384615384616,0.9920634920634921,0.008169934640522876,126,738,2,2,0.171273872256279,3.5927534103393555,4.991881046295172,0,0.0,263.98828125,0.0,True
