t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,176.23046875,1.3,1963.05859375,,,,,,,
1.006,warmup,0.0,176.24609375,0.7,1963.05859375,2090.0,0.0,3778.0,643.0,1125.0,43.156,43.687
1.507,warmup,0.0,176.25,6.3,1960.37890625,2090.0,0.0,3617.0,522.0,1085.0,43.156,43.593
2.009,warmup,0.0,176.25390625,0.3,1960.37890625,2087.0,0.0,3617.0,562.0,1085.0,43.281,43.531
2.511,stream,2.0,176.2578125,1.3,1960.37890625,2087.0,0.0,3577.0,522.0,1085.0,43.437,43.625
3.012,stream,2.0,176.2734375,0.3,1960.625,2087.0,0.0,3577.0,482.0,1085.0,43.187,43.343
3.513,stream,4.0,176.3515625,1.3,1960.625,2087.0,0.0,3577.0,482.0,1085.0,43.187,43.687
4.014,stream,2.0,176.36328125,1.0,1960.625,2087.0,0.0,3536.0,482.0,1085.0,43.156,43.687
4.515,stream,2.0,176.3671875,4.7,1960.6171875,2087.0,0.0,3617.0,482.0,1085.0,43.093,43.687
5.016,stream,4.0,176.375,1.7,1960.6171875,2087.0,0.0,3617.0,522.0,1085.0,43.218,43.625
5.517,stream,2.0,176.37890625,1.3,1960.6171875,2087.0,0.0,3577.0,522.0,1085.0,43.312,43.562
6.019,stream,4.0,176.38671875,0.7,1960.6171875,2087.0,0.0,3577.0,482.0,1085.0,43.281,43.687
6.520,stream,4.0,176.390625,1.3,1960.6171875,2087.0,3.0,3536.0,482.0,1085.0,43.156,43.687
7.021,stream,4.0,176.41015625,14.8,1960.859375,2087.0,0.0,3582.0,482.0,1085.0,43.125,43.625
7.523,stream,2.0,176.4140625,21.7,1961.10546875,2088.0,41.0,4213.0,921.0,1161.0,43.406,43.562
8.025,stream,2.0,176.42578125,3.0,1961.10546875,2088.0,15.0,4293.0,961.0,1161.0,43.468,43.593
8.527,stream,2.0,176.43359375,3.0,1961.10546875,2088.0,18.0,4012.0,722.0,1163.0,43.187,43.625
9.028,stream,4.0,176.4375,2.7,1961.10546875,2088.0,18.0,3898.0,642.0,1163.0,43.375,43.625
9.530,stream,4.0,176.4453125,3.3,1959.75,2088.0,0.0,3898.0,642.0,1163.0,43.312,43.75
10.031,stream,4.0,176.44921875,1.7,1959.75,2086.0,2.0,3858.0,601.0,1163.0,43.125,43.687
10.533,stream,2.0,176.45703125,6.4,1960.6875,2086.0,19.0,3818.0,601.0,1125.0,43.125,43.687
11.034,stream,4.0,176.46484375,3.3,1960.6875,2087.0,9.0,3938.0,642.0,1123.0,43.125,43.656
11.536,stream,2.0,176.46875,3.7,1960.6875,2087.0,12.0,3818.0,601.0,1125.0,43.187,43.656
12.037,stream,2.0,176.48046875,2.0,1960.6875,2087.0,14.0,3778.0,602.0,1125.0,43.375,43.531
12.539,stream,2.0,176.48828125,2.3,1960.6875,2087.0,17.0,3737.0,562.0,1125.0,43.25,43.625
