t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,4.0,168.83203125,6.9,2045.92578125,,,,,,,
1.008,warmup,0.0,168.84375,1.0,2045.921875,2181.0,0.0,3421.0,683.0,1044.0,43.156,43.625
1.510,warmup,0.0,168.84765625,0.7,2045.921875,2181.0,0.0,3180.0,522.0,1044.0,43.156,43.531
2.011,warmup,2.0,168.8515625,0.3,2045.921875,2181.0,0.0,3099.0,483.0,1004.0,43.062,43.562
2.513,stream,2.0,168.8515625,3.3,2045.921875,2181.0,0.0,3059.0,483.0,1006.0,43.125,43.531
3.014,stream,0.0,168.86328125,3.9,2045.921875,2181.0,0.0,3059.0,483.0,1006.0,43.375,43.437
3.516,stream,4.0,168.94921875,7.5,2045.921875,2181.0,0.0,3059.0,483.0,1006.0,43.406,43.5
4.018,stream,4.0,168.9609375,4.2,2045.9140625,2181.0,0.0,3139.0,522.0,1044.0,43.187,43.625
4.521,stream,2.0,168.96484375,3.9,2045.9140625,2181.0,0.0,3180.0,522.0,1004.0,43.093,43.593
5.022,stream,4.0,168.97265625,4.2,2045.9140625,2181.0,0.0,3099.0,482.0,1004.0,43.093,43.562
5.524,stream,4.0,168.98046875,4.2,2045.9140625,2181.0,0.0,3099.0,482.0,1004.0,43.062,43.562
6.026,stream,2.0,168.98828125,3.6,2045.9140625,2181.0,0.0,3099.0,482.0,1004.0,43.187,43.562
6.527,stream,4.0,169.0,7.8,2046.16015625,2181.0,0.0,3059.0,483.0,1006.0,43.25,43.531
7.030,stream,4.0,169.0078125,3.9,2046.16015625,2181.0,0.0,3180.0,522.0,1044.0,43.343,43.656
7.532,stream,2.0,169.01171875,3.9,2046.16015625,2181.0,0.0,3099.0,482.0,1006.0,43.125,43.593
8.034,stream,4.0,169.01953125,3.9,2046.16015625,2181.0,0.0,3059.0,483.0,1004.0,43.125,43.562
8.535,stream,2.0,169.02734375,3.9,2046.16015625,2181.0,0.0,3099.0,482.0,1004.0,43.093,43.531
9.037,stream,4.0,169.03125,3.9,2046.16015625,2181.0,0.0,3099.0,483.0,1004.0,43.468,43.593
9.538,stream,2.0,169.0390625,11.0,2040.984375,2177.0,0.0,3180.0,522.0,1004.0,43.187,43.531
10.042,stream,4.0,169.046875,4.2,2040.984375,2176.0,0.0,3220.0,562.0,1044.0,43.218,43.468
10.544,stream,4.0,169.0546875,4.2,2040.984375,2176.0,0.0,3099.0,483.0,1006.0,43.406,43.406
11.045,stream,2.0,169.0625,4.2,2040.984375,2176.0,0.0,3099.0,483.0,1004.0,43.125,43.468
11.547,stream,4.0,169.06640625,4.2,2040.984375,2176.0,0.0,3059.0,483.0,1006.0,43.156,43.5
12.049,stream,2.0,169.078125,4.2,2040.984375,2176.0,0.0,3099.0,482.0,1004.0,43.093,43.562
12.550,stream,4.0,169.0859375,7.5,2040.984375,2176.0,0.0,3059.0,483.0,1006.0,43.343,43.437
13.052,stream,4.0,169.09375,4.2,2040.7265625,2176.0,0.0,3180.0,562.0,1044.0,43.187,43.5
13.554,stream,2.0,169.1015625,3.9,2040.7265625,2176.0,0.0,3099.0,523.0,1004.0,43.25,43.468
