0.523 09-16-2026 18:30:02 RAM 2181/7486MB (lfb 23x4MB) CPU [9%@1113,6%@1113,9%@1113,9%@1113,5%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.156C soc2@43.062C/43.062C soc0@43.625C/43.625C gpu@43.218C/43.218C tj@43.625C/43.625C soc1@42.406C/42.406C VDD_IN 3421mW/3421mW/3421mW VDD_CPU_GPU_CV 683mW/683mW/683mW VDD_SOC 1044mW/1044mW/1044mW
1.029 09-16-2026 18:30:02 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.156C soc2@42.906C/43.062C soc0@43.531C/43.625C gpu@43.468C/43.468C tj@43.531C/43.625C soc1@42.375C/42.406C VDD_IN 3180mW/3301mW/3421mW VDD_CPU_GPU_CV 522mW/603mW/683mW VDD_SOC 1044mW/1044mW/1044mW
1.536 09-16-2026 18:30:03 RAM 2181/7486MB (lfb 23x4MB) CPU [2%@729,1%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.156C soc2@43C/43.062C soc0@43.562C/43.625C gpu@43.125C/43.468C tj@43.562C/43.625C soc1@42.531C/42.531C VDD_IN 3099mW/3233mW/3421mW VDD_CPU_GPU_CV 483mW/563mW/683mW VDD_SOC 1004mW/1031mW/1044mW
2.042 09-16-2026 18:30:03 RAM 2181/7486MB (lfb 23x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.156C soc2@43.062C/43.062C soc0@43.531C/43.625C gpu@43.468C/43.468C tj@43.531C/43.625C soc1@42.593C/42.593C VDD_IN 3059mW/3190mW/3421mW VDD_CPU_GPU_CV 483mW/543mW/683mW VDD_SOC 1006mW/1025mW/1044mW
2.548 09-16-2026 18:30:04 RAM 2181/7486MB (lfb 23x4MB) CPU [2%@729,13%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.375C/43.375C soc2@42.968C/43.062C soc0@43.437C/43.625C gpu@43.156C/43.468C tj@43.437C/43.625C soc1@42.468C/42.593C VDD_IN 3059mW/3164mW/3421mW VDD_CPU_GPU_CV 483mW/531mW/683mW VDD_SOC 1006mW/1021mW/1044mW
3.054 09-16-2026 18:30:04 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.406C/43.406C soc2@43.031C/43.062C soc0@43.5C/43.625C gpu@43.468C/43.468C tj@43.5C/43.625C soc1@42.375C/42.593C VDD_IN 3059mW/3146mW/3421mW VDD_CPU_GPU_CV 483mW/523mW/683mW VDD_SOC 1006mW/1018mW/1044mW
3.561 09-16-2026 18:30:05 RAM 2181/7486MB (lfb 23x4MB) CPU [5%@729,14%@729,2%@729,17%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.406C soc2@43C/43.062C soc0@43.625C/43.625C gpu@43.156C/43.468C tj@43.625C/43.625C soc1@42.406C/42.593C VDD_IN 3139mW/3145mW/3421mW VDD_CPU_GPU_CV 522mW/523mW/683mW VDD_SOC 1044mW/1022mW/1044mW
4.068 09-16-2026 18:30:05 RAM 2181/7486MB (lfb 23x4MB) CPU [2%@729,12%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.406C soc2@42.937C/43.062C soc0@43.562C/43.625C gpu@43.437C/43.468C tj@43.593C/43.625C soc1@42.343C/42.593C VDD_IN 3180mW/3150mW/3421mW VDD_CPU_GPU_CV 522mW/523mW/683mW VDD_SOC 1004mW/1020mW/1044mW
4.574 09-16-2026 18:30:06 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,16%@729,3%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.406C soc2@42.906C/43.062C soc0@43.562C/43.625C gpu@43.156C/43.468C tj@43.562C/43.625C soc1@42.562C/42.593C VDD_IN 3099mW/3144mW/3421mW VDD_CPU_GPU_CV 482mW/518mW/683mW VDD_SOC 1004mW/1018mW/1044mW
5.080 09-16-2026 18:30:06 RAM 2181/7486MB (lfb 23x4MB) CPU [1%@729,18%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.062C/43.406C soc2@42.875C/43.062C soc0@43.562C/43.625C gpu@43.468C/43.468C tj@43.562C/43.625C soc1@42.468C/42.593C VDD_IN 3099mW/3139mW/3421mW VDD_CPU_GPU_CV 482mW/515mW/683mW VDD_SOC 1004mW/1017mW/1044mW
5.587 09-16-2026 18:30:07 RAM 2181/7486MB (lfb 23x4MB) CPU [1%@729,20%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.406C soc2@43.062C/43.062C soc0@43.562C/43.625C gpu@43.125C/43.468C tj@43.562C/43.625C soc1@42.468C/42.593C VDD_IN 3099mW/3136mW/3421mW VDD_CPU_GPU_CV 482mW/512mW/683mW VDD_SOC 1004mW/1015mW/1044mW
6.093 09-16-2026 18:30:07 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.406C soc2@42.968C/43.062C soc0@43.468C/43.625C gpu@43.375C/43.468C tj@43.531C/43.625C soc1@42.406C/42.593C VDD_IN 3059mW/3129mW/3421mW VDD_CPU_GPU_CV 483mW/509mW/683mW VDD_SOC 1006mW/1015mW/1044mW
6.600 09-16-2026 18:30:08 RAM 2181/7486MB (lfb 23x4MB) CPU [6%@729,17%@729,7%@729,14%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.406C soc2@43C/43.062C soc0@43.406C/43.625C gpu@43.656C/43.656C tj@43.656C/43.656C soc1@42.312C/42.593C VDD_IN 3180mW/3133mW/3421mW VDD_CPU_GPU_CV 522mW/510mW/683mW VDD_SOC 1044mW/1017mW/1044mW
7.107 09-16-2026 18:30:08 RAM 2181/7486MB (lfb 23x4MB) CPU [1%@729,1%@729,0%@729,17%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.406C soc2@42.937C/43.062C soc0@43.593C/43.625C gpu@43.375C/43.656C tj@43.593C/43.656C soc1@42.437C/42.593C VDD_IN 3099mW/3131mW/3421mW VDD_CPU_GPU_CV 482mW/508mW/683mW VDD_SOC 1006mW/1016mW/1044mW
7.613 09-16-2026 18:30:09 RAM 2181/7486MB (lfb 23x4MB) CPU [1%@729,18%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.406C soc2@42.937C/43.062C soc0@43.562C/43.625C gpu@43.468C/43.656C tj@43.562C/43.656C soc1@42.343C/42.593C VDD_IN 3059mW/3126mW/3421mW VDD_CPU_GPU_CV 483mW/506mW/683mW VDD_SOC 1004mW/1015mW/1044mW
8.120 09-16-2026 18:30:09 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.406C soc2@42.937C/43.062C soc0@43.531C/43.625C gpu@43.406C/43.656C tj@43.531C/43.656C soc1@42.5C/42.593C VDD_IN 3099mW/3124mW/3421mW VDD_CPU_GPU_CV 482mW/505mW/683mW VDD_SOC 1004mW/1015mW/1044mW
8.626 09-16-2026 18:30:10 RAM 2181/7486MB (lfb 23x4MB) CPU [0%@729,20%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.468C/43.468C soc2@43.031C/43.062C soc0@43.593C/43.625C gpu@43.468C/43.656C tj@43.593C/43.656C soc1@42.5C/42.593C VDD_IN 3099mW/3123mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1004mW/1014mW/1044mW
9.132 09-16-2026 18:30:10 RAM 2177/7486MB (lfb 23x4MB) CPU [4%@1036,18%@1036,0%@1036,16%@1036,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@43.125C/43.125C soc0@43.531C/43.625C gpu@43.375C/43.656C tj@43.531C/43.656C soc1@42.437C/42.593C VDD_IN 3180mW/3126mW/3421mW VDD_CPU_GPU_CV 522mW/505mW/683mW VDD_SOC 1004mW/1013mW/1044mW
9.640 09-16-2026 18:30:11 RAM 2176/7486MB (lfb 23x4MB) CPU [12%@729,12%@729,9%@729,9%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.468C soc2@43C/43.125C soc0@43.437C/43.625C gpu@43.468C/43.656C tj@43.468C/43.656C soc1@42.375C/42.593C VDD_IN 3220mW/3131mW/3421mW VDD_CPU_GPU_CV 562mW/508mW/683mW VDD_SOC 1044mW/1015mW/1044mW
10.146 09-16-2026 18:30:11 RAM 2176/7486MB (lfb 23x4MB) CPU [15%@729,0%@729,0%@729,3%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.406C/43.468C soc2@43.031C/43.125C soc0@43.406C/43.625C gpu@43.187C/43.656C tj@43.406C/43.656C soc1@42.343C/42.593C VDD_IN 3099mW/3129mW/3421mW VDD_CPU_GPU_CV 483mW/506mW/683mW VDD_SOC 1006mW/1015mW/1044mW
10.652 09-16-2026 18:30:12 RAM 2176/7486MB (lfb 23x4MB) CPU [20%@729,1%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@43.031C/43.125C soc0@43.562C/43.625C gpu@43.468C/43.656C tj@43.468C/43.656C soc1@42.437C/42.593C VDD_IN 3099mW/3128mW/3421mW VDD_CPU_GPU_CV 483mW/505mW/683mW VDD_SOC 1004mW/1014mW/1044mW
11.158 09-16-2026 18:30:12 RAM 2176/7486MB (lfb 23x4MB) CPU [18%@729,0%@729,0%@729,0%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@43.156C/43.468C soc2@42.937C/43.125C soc0@43.5C/43.625C gpu@43.312C/43.656C tj@43.5C/43.656C soc1@42.312C/42.593C VDD_IN 3059mW/3125mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1014mW/1044mW
11.665 09-16-2026 18:30:13 RAM 2176/7486MB (lfb 23x4MB) CPU [10%@729,1%@729,0%@729,10%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.875C/43.125C soc0@43.562C/43.625C gpu@43.437C/43.656C tj@43.562C/43.656C soc1@42.531C/42.593C VDD_IN 3099mW/3124mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
12.171 09-16-2026 18:30:13 RAM 2176/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,0%@729,18%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.468C soc2@43C/43.125C soc0@43.437C/43.625C gpu@43.281C/43.656C tj@43.437C/43.656C soc1@42.375C/42.593C VDD_IN 3059mW/3121mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1013mW/1044mW
12.678 09-16-2026 18:30:14 RAM 2176/7486MB (lfb 23x4MB) CPU [12%@729,8%@729,6%@729,16%@729,3%@729,1%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@42.937C/43.125C soc0@43.468C/43.625C gpu@43.468C/43.656C tj@43.5C/43.656C soc1@42.437C/42.593C VDD_IN 3180mW/3123mW/3421mW VDD_CPU_GPU_CV 562mW/505mW/683mW VDD_SOC 1044mW/1014mW/1044mW
13.184 09-16-2026 18:30:14 RAM 2176/7486MB (lfb 23x4MB) CPU [3%@729,0%@729,0%@729,15%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.468C soc2@43C/43.125C soc0@43.468C/43.625C gpu@43.281C/43.656C tj@43.468C/43.656C soc1@42.468C/42.593C VDD_IN 3099mW/3122mW/3421mW VDD_CPU_GPU_CV 523mW/506mW/683mW VDD_SOC 1004mW/1014mW/1044mW
13.691 09-16-2026 18:30:15 RAM 2176/7486MB (lfb 23x4MB) CPU [7%@729,0%@729,2%@729,12%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.468C soc2@43C/43.125C soc0@43.593C/43.625C gpu@43.406C/43.656C tj@43.593C/43.656C soc1@42.375C/42.593C VDD_IN 3059mW/3120mW/3421mW VDD_CPU_GPU_CV 483mW/505mW/683mW VDD_SOC 1004mW/1013mW/1044mW
14.198 09-16-2026 18:30:15 RAM 2176/7486MB (lfb 23x4MB) CPU [16%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.968C/43.125C soc0@43.593C/43.625C gpu@43.343C/43.656C tj@43.593C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3118mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1004mW/1013mW/1044mW
14.706 09-16-2026 18:30:16 RAM 2176/7486MB (lfb 23x4MB) CPU [12%@729,1%@729,1%@729,14%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@42.906C/43.125C soc0@43.625C/43.625C gpu@43.406C/43.656C tj@43.625C/43.656C soc1@42.343C/42.593C VDD_IN 3099mW/3117mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
15.214 09-16-2026 18:30:16 RAM 2174/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,0%@729,18%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.468C soc2@42.906C/43.125C soc0@43.593C/43.625C gpu@43.125C/43.656C tj@43.593C/43.656C soc1@42.375C/42.593C VDD_IN 3059mW/3115mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
15.722 09-16-2026 18:30:17 RAM 2175/7486MB (lfb 23x4MB) CPU [8%@729,6%@729,6%@729,20%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@42.843C/43.125C soc0@43.468C/43.625C gpu@43.156C/43.656C tj@43.468C/43.656C soc1@42.406C/42.593C VDD_IN 3220mW/3119mW/3421mW VDD_CPU_GPU_CV 562mW/504mW/683mW VDD_SOC 1044mW/1014mW/1044mW
16.230 09-16-2026 18:30:17 RAM 2174/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,15%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@42.937C/43.125C soc0@43.5C/43.625C gpu@43.281C/43.656C tj@43.5C/43.656C soc1@42.375C/42.593C VDD_IN 3099mW/3118mW/3421mW VDD_CPU_GPU_CV 522mW/505mW/683mW VDD_SOC 1004mW/1013mW/1044mW
16.737 09-16-2026 18:30:18 RAM 2174/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,12%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.468C soc2@42.906C/43.125C soc0@43.5C/43.625C gpu@43.375C/43.656C tj@43.5C/43.656C soc1@42.5C/42.593C VDD_IN 3059mW/3116mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1013mW/1044mW
17.244 09-16-2026 18:30:18 RAM 2171/7486MB (lfb 23x4MB) CPU [1%@729,3%@729,0%@729,18%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.468C soc2@42.937C/43.125C soc0@43.531C/43.625C gpu@43.218C/43.656C tj@43.531C/43.656C soc1@42.468C/42.593C VDD_IN 3059mW/3115mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1013mW/1044mW
17.752 09-16-2026 18:30:19 RAM 2171/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,9%@729,12%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.468C soc2@43C/43.125C soc0@43.5C/43.625C gpu@43.375C/43.656C tj@43.5C/43.656C soc1@42.437C/42.593C VDD_IN 3099mW/3114mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
18.258 09-16-2026 18:30:19 RAM 2169/7486MB (lfb 23x4MB) CPU [1%@729,0%@729,18%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.937C/43.125C soc0@43.312C/43.625C gpu@43.468C/43.656C tj@43.468C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3113mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
18.765 09-16-2026 18:30:20 RAM 2171/7486MB (lfb 23x4MB) CPU [4%@729,6%@729,22%@729,7%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.281C/43.468C soc2@42.906C/43.125C soc0@43.406C/43.625C gpu@43.343C/43.656C tj@43.406C/43.656C soc1@42.437C/42.593C VDD_IN 3220mW/3115mW/3421mW VDD_CPU_GPU_CV 562mW/504mW/683mW VDD_SOC 1044mW/1013mW/1044mW
19.271 09-16-2026 18:30:20 RAM 2171/7486MB (lfb 23x4MB) CPU [1%@729,0%@729,16%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.468C soc2@43C/43.125C soc0@43.625C/43.625C gpu@43.406C/43.656C tj@43.625C/43.656C soc1@42.406C/42.593C VDD_IN 3099mW/3115mW/3421mW VDD_CPU_GPU_CV 522mW/505mW/683mW VDD_SOC 1004mW/1013mW/1044mW
19.778 09-16-2026 18:30:21 RAM 2171/7486MB (lfb 23x4MB) CPU [2%@729,0%@729,16%@729,1%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.906C/43.125C soc0@43.562C/43.625C gpu@43.25C/43.656C tj@43.531C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3114mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1013mW/1044mW
20.284 09-16-2026 18:30:21 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,19%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.468C soc2@42.968C/43.125C soc0@43.468C/43.625C gpu@43.468C/43.656C tj@43.468C/43.656C soc1@42.593C/42.593C VDD_IN 3099mW/3113mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
20.791 09-16-2026 18:30:22 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,18%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@43C/43.125C soc0@43.468C/43.625C gpu@43.281C/43.656C tj@43.5C/43.656C soc1@42.531C/42.593C VDD_IN 3099mW/3113mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1004mW/1012mW/1044mW
