t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,6.17920,1,e_rec,single-domain,0.0000,0.0000,5.959,0,6.17920,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,28.16,35.07
2.40,3.67,3.68,0,2.53383,1,e_rec,single-domain,0.0000,0.0000,4.530,0,2.53383,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,16.39,29.08
2.80,4.07,4.08,0,14.12951,1,e_rec,single-domain,0.0000,0.0000,4.398,0,14.12951,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,6.447
3.20,4.47,4.48,0,-0.59540,0,e_rec,single-domain,0.0000,0.0000,3.766,0,-0.59540,0,-0.9902,10.52,0.6235,0,0.1148,8.951,50,10.75,7.488
3.60,4.87,4.88,0,8.25016,1,e_rec,single-domain,0.0000,0.0000,3.726,0,8.25016,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,36.72,3.887
4.00,5.27,5.28,0,6.85008,1,e_rec,single-domain,0.0000,0.0000,3.890,0,6.85008,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,34.4,2.194
4.40,5.67,5.68,0,-2.62627,0,e_rec,single-domain,0.0000,0.0000,3.657,0,-2.62627,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,6.77,3.756
4.80,6.07,6.08,0,-1.22243,0,e_rec,single-domain,0.0000,0.0000,3.630,0,-1.22243,0,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,9.822,-0.5334
5.20,6.47,6.48,0,-1.40553,0,e_rec,cross-domain,0.0000,0.0000,5.122,0,-1.40553,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,8.21,-0.8315
5.60,6.87,6.88,0,-3.79381,0,|r_aux|,cross-domain,0.0000,0.0000,4.085,0,-3.79381,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.6619,-0.581
