t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,175.42578125,0.7,2045.37890625,,,,,,,
1.008,warmup,0.0,175.4375,0.7,2045.375,2181.0,0.0,3341.0,643.0,1044.0,43.406,43.593
1.509,warmup,0.0,175.44140625,0.7,2045.375,2181.0,0.0,3139.0,522.0,1044.0,43.156,43.531
2.011,warmup,0.0,175.4453125,1.0,2045.375,2181.0,0.0,3059.0,482.0,1006.0,43.187,43.406
2.512,stream,2.0,175.4453125,0.0,2045.375,2181.0,0.0,3059.0,483.0,1004.0,43.156,43.593
3.013,stream,2.0,175.4609375,1.0,2045.375,2181.0,0.0,3059.0,483.0,1004.0,43.062,43.468
3.515,stream,4.0,175.546875,0.3,2045.375,2181.0,0.0,3059.0,482.0,1006.0,43.062,43.468
4.016,stream,4.0,175.5546875,0.7,2045.375,2181.0,0.0,3059.0,483.0,1004.0,43.0,43.531
4.517,stream,2.0,175.55859375,1.0,2045.3671875,2181.0,0.0,3099.0,482.0,1004.0,43.187,43.562
5.019,stream,2.0,175.56640625,0.7,2045.3671875,2181.0,0.0,3059.0,482.0,1004.0,43.0,43.562
5.520,stream,2.0,175.5703125,0.3,2045.3671875,2181.0,0.0,3059.0,482.0,1004.0,43.125,43.375
6.022,stream,6.0,175.578125,0.7,2045.3671875,2181.0,0.0,3059.0,483.0,1004.0,43.093,43.437
6.523,stream,2.0,175.58984375,0.7,2045.3671875,2181.0,0.0,3059.0,483.0,1004.0,43.25,43.531
7.024,stream,2.0,175.59765625,0.7,2045.3671875,2181.0,0.0,3059.0,482.0,1004.0,43.312,43.437
7.526,stream,4.0,175.6015625,1.0,2045.3671875,2181.0,0.0,3099.0,482.0,1004.0,43.125,43.437
8.027,stream,2.0,175.609375,0.3,2045.3671875,2181.0,0.0,3059.0,482.0,1004.0,43.187,43.437
8.528,stream,2.0,175.62109375,0.3,2045.3671875,2181.0,0.0,3059.0,483.0,1004.0,43.281,43.468
9.030,stream,4.0,175.625,1.7,2038.14453125,2181.0,0.0,3059.0,482.0,1006.0,43.218,43.406
9.532,stream,4.0,175.6328125,0.3,2038.14453125,2173.0,0.0,3059.0,482.0,1004.0,43.062,43.375
10.033,stream,2.0,175.640625,0.3,2038.046875,2173.0,0.0,3099.0,482.0,1004.0,43.187,43.375
10.535,stream,2.0,175.6484375,0.7,2038.046875,2173.0,0.0,3059.0,482.0,1004.0,43.187,43.687
11.036,stream,4.0,175.65625,1.0,2038.046875,2173.0,0.0,3059.0,482.0,1006.0,43.0,43.531
11.537,stream,2.0,175.66015625,0.0,2038.046875,2173.0,0.0,3059.0,482.0,1004.0,43.0,43.437
12.039,stream,2.0,175.671875,1.0,2037.484375,2173.0,0.0,3059.0,482.0,1004.0,43.187,43.5
12.540,stream,4.0,175.67578125,0.7,2037.484375,2173.0,0.0,3059.0,482.0,1004.0,43.343,43.437
13.041,stream,4.0,175.6875,0.7,2036.0625,2173.0,0.0,3059.0,482.0,1004.0,43.093,43.656
13.542,stream,2.0,175.69921875,0.7,2036.0625,2171.0,0.0,3059.0,482.0,1004.0,43.125,43.5
14.043,stream,2.0,175.69921875,0.7,2034.80859375,2171.0,0.0,3059.0,483.0,1004.0,43.031,43.531
14.545,stream,4.0,175.703125,0.3,2034.80859375,2170.0,0.0,3059.0,483.0,1004.0,43.281,43.468
15.046,stream,2.0,175.7109375,0.7,2032.25390625,2170.0,0.0,3059.0,482.0,1004.0,43.125,43.5
15.547,stream,2.0,175.71875,0.3,2032.24609375,2167.0,0.0,3099.0,482.0,1004.0,43.187,43.437
16.048,stream,4.0,175.72265625,0.7,2032.24609375,2167.0,0.0,3059.0,482.0,1004.0,43.312,43.437
16.549,stream,2.0,175.73046875,0.0,2032.24609375,2167.0,0.0,3059.0,482.0,1004.0,43.281,43.375
17.050,stream,2.0,175.73828125,1.0,2032.24609375,2167.0,0.0,3059.0,482.0,1006.0,43.125,43.593
17.552,stream,4.0,175.74609375,0.7,2032.24609375,2167.0,0.0,3059.0,483.0,1004.0,43.093,43.468
