t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,6.17920,1,e_rec,single-domain,0.0000,0.0000,5.208,0,6.17920,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,28.16,35.07
2.40,3.67,3.68,0,2.53383,1,e_rec,single-domain,0.0000,0.0000,3.842,0,2.53383,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,16.39,29.08
2.80,4.07,4.08,0,14.12951,1,e_rec,single-domain,0.0000,0.0000,3.563,0,14.12951,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,6.447
3.20,4.47,4.48,0,-0.59540,0,e_rec,single-domain,0.0000,0.0000,3.433,0,-0.59540,0,-0.9902,10.52,0.6235,0,0.1148,8.951,50,10.75,7.488
3.60,4.87,4.88,0,8.25016,1,e_rec,single-domain,0.0000,0.0000,3.661,0,8.25016,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,36.72,3.887
4.00,5.27,5.28,0,6.85008,1,e_rec,single-domain,0.0000,0.0000,3.434,0,6.85008,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,34.4,2.194
4.40,5.67,5.68,0,-2.62627,0,e_rec,single-domain,0.0000,0.0000,3.582,0,-2.62627,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,6.77,3.756
4.80,6.07,6.08,0,-1.22243,0,e_rec,single-domain,0.0000,0.0000,3.495,0,-1.22243,0,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,9.822,-0.5334
5.20,6.47,6.48,0,-1.40553,0,e_rec,cross-domain,0.0000,0.0000,3.355,0,-1.40553,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,8.21,-0.8315
5.60,6.87,6.88,0,-3.79381,0,|r_aux|,cross-domain,0.0000,0.0000,3.694,0,-3.79381,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.6619,-0.581
6.00,7.27,7.28,0,-2.89052,0,|r_aux|,cross-domain,0.0000,0.0000,3.415,0,-2.89052,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,0.8432,-0.5206
6.40,7.67,7.68,0,-3.19333,0,|r_aux|,cross-domain,0.0000,0.0000,3.574,0,-3.19333,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.6257,-0.1056
6.80,8.07,8.08,0,-2.63747,0,|r_aux|,cross-domain,0.0000,0.0000,3.452,0,-2.63747,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.4066,-0.1794
7.20,8.47,8.48,0,-2.85877,0,|r_aux|,cross-domain,0.0000,0.0000,3.380,0,-2.85877,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-1.156,-0.7164
7.60,8.87,8.88,0,-2.22487,0,e_rec,cross-domain,0.0000,0.0000,4.107,0,-2.22487,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.925,0.9555
8.00,9.27,9.28,0,-2.93074,0,|r_bal|,cross-domain,0.0000,0.0000,3.505,0,-2.93074,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,-0.01872,0.01675
8.40,9.67,9.68,0,-3.30162,0,|r_aux|,cross-domain,0.0000,0.0000,3.732,0,-3.30162,0,0.7032,1.159,1.265,0,1.335,1.255,0.02505,-0.4248,-0.3094
8.80,10.07,10.08,0,-2.58931,0,|r_bal|,cross-domain,0.0000,0.0000,3.590,0,-2.58931,0,1.177,1.031,0.6924,0,0.723,1.277,-0.3338,0.677,1.038
9.20,10.47,10.48,0,-2.05889,0,e_rec,cross-domain,0.0000,0.0000,3.449,0,-2.05889,0,0.6458,1.218,1.985,0,0.4389,0.317,-0.1756,2.203,0.8171
9.60,10.87,10.88,0,-2.79674,0,|r_aux|,cross-domain,0.0000,0.0000,3.566,0,-2.79674,0,0.8036,1.389,1.198,0,0.07942,-0.1873,0.6684,-0.5128,-0.6014
10.00,11.27,11.28,0,-1.94506,0,e_rec,cross-domain,0.0000,0.0000,3.497,0,-1.94506,0,0.6314,1.142,1.03,0,-0.5289,-0.7021,0.1367,1.675,2.803
10.40,11.67,11.68,0,-2.56223,0,|r_aux|,cross-domain,0.0000,0.0000,3.466,0,-2.56223,0,1.033,1.124,2.71,0,-0.286,0.08974,0.2316,-0.3409,0.5268
10.80,12.07,12.08,0,-2.82630,0,|r_aux|,cross-domain,0.0000,0.0000,3.614,0,-2.82630,0,0.8611,1.357,1.121,0,0.08048,0.6188,0.6034,-0.6932,-0.1606
11.20,12.47,12.48,0,-1.95999,0,e_rec,cross-domain,0.0000,0.0000,3.500,0,-1.95999,0,0.9041,1.14,0.8445,0,0.7194,1.755,0.1277,2.773,2.514
11.60,12.87,12.88,0,-2.66380,0,|r_aux|,cross-domain,0.0000,0.0000,3.529,0,-2.66380,0,0.8324,1.175,2.328,0,0.1561,1.858,0.3043,-0.15,0.6004
12.00,13.27,13.28,0,-2.57082,0,|r_aux|,cross-domain,0.0000,0.0000,3.520,0,-2.57082,0,0.9041,1.38,0.8395,0,0.4373,1.406,0.6973,0.436,0.1679
12.40,13.67,13.68,0,-2.39934,0,|r_bal|,cross-domain,0.0000,0.0000,3.506,0,-2.39934,0,1.55,1.093,0.5781,0,0.02988,0.5731,0.2832,0.2666,1.17
12.80,14.07,14.08,0,-2.38071,0,e_rec,cross-domain,0.0000,0.0000,3.559,0,-2.38071,0,0.8036,0.9368,1.779,0,0.02982,-0.1077,-0.002462,0.9434,1.484
13.20,14.47,14.48,0,-2.92821,0,|r_aux|,cross-domain,0.0000,0.0000,3.489,0,-2.92821,0,1.119,1.249,0.6481,0,0.4346,-0.3328,0.3176,-0.5827,-0.4256
13.60,14.87,14.88,0,-2.15403,0,e_rec,cross-domain,0.0000,0.0000,3.610,0,-2.15403,0,0.9472,0.988,0.7735,0,0.4501,-0.7113,-0.1538,2.114,1.84
14.00,15.27,15.28,0,-2.95768,0,|r_aux|,cross-domain,0.0000,0.0000,3.497,0,-2.95768,0,0.8754,1.03,2.118,0,0.5227,-1.125,0.04853,-0.1633,0.5389
