t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,168.8828125,2.3,2037.28515625,,,,,,,
1.006,warmup,0.0,168.89453125,0.3,2037.28125,2173.0,0.0,3341.0,643.0,1044.0,43.375,43.562
1.508,warmup,0.0,168.8984375,0.7,2037.28125,2173.0,0.0,3139.0,522.0,1044.0,43.187,43.5
2.009,warmup,0.0,168.90625,0.7,2037.28125,2173.0,0.0,3099.0,482.0,1004.0,43.187,43.406
2.510,stream,2.0,168.90625,0.7,2037.28125,2173.0,0.0,3059.0,483.0,1006.0,43.25,43.468
3.011,stream,4.0,168.91796875,1.3,2037.28125,2173.0,0.0,3059.0,483.0,1006.0,43.093,43.562
3.513,stream,4.0,169.00390625,1.3,2037.28125,2173.0,0.0,3059.0,483.0,1006.0,43.0,43.5
4.014,stream,0.0,169.01171875,0.7,2037.2734375,2173.0,0.0,3059.0,483.0,1004.0,43.062,43.5
4.516,stream,4.0,169.015625,0.3,2037.2734375,2173.0,0.0,3099.0,482.0,1004.0,43.343,43.531
5.017,stream,2.0,169.0234375,1.3,2037.2734375,2173.0,0.0,3059.0,483.0,1006.0,42.968,43.5
5.518,stream,4.0,169.02734375,1.0,2037.2734375,2173.0,0.0,3059.0,482.0,1006.0,43.156,43.468
6.020,stream,2.0,169.03515625,0.3,2037.2734375,2173.0,0.0,3059.0,483.0,1006.0,43.25,43.468
6.521,stream,4.0,169.04296875,1.3,2037.2734375,2173.0,0.0,3059.0,483.0,1004.0,43.218,43.406
7.022,stream,2.0,169.0546875,0.7,2037.2734375,2173.0,0.0,3099.0,483.0,1004.0,43.062,43.5
7.524,stream,4.0,169.0625,1.0,2037.2734375,2173.0,0.0,3059.0,483.0,1004.0,43.187,43.437
8.026,stream,2.0,169.0703125,0.7,2037.2734375,2173.0,0.0,3059.0,483.0,1006.0,43.187,43.468
8.527,stream,2.0,169.078125,1.3,2035.5625,2171.0,0.0,3059.0,482.0,1004.0,43.0,43.437
9.029,stream,6.0,169.08203125,0.7,2033.9609375,2171.0,0.0,3099.0,483.0,1004.0,43.0,43.5
9.530,stream,2.0,169.08984375,1.7,2025.57421875,2161.0,0.0,3139.0,482.0,1004.0,43.187,43.468
10.033,stream,2.0,169.09765625,1.0,2025.57421875,2161.0,0.0,3099.0,483.0,1006.0,43.156,43.406
10.535,stream,4.0,169.10546875,0.3,2024.17578125,2159.0,0.0,3059.0,483.0,1006.0,43.281,43.406
11.036,stream,2.0,169.11328125,0.7,2022.9609375,2159.0,0.0,3059.0,483.0,1006.0,43.031,43.406
11.537,stream,4.0,169.1171875,0.7,2022.9609375,2158.0,0.0,3059.0,483.0,1006.0,43.125,43.468
12.039,stream,2.0,169.12890625,0.7,2021.89453125,2158.0,0.0,3059.0,483.0,1006.0,43.281,43.437
12.540,stream,2.0,169.13671875,0.0,2021.89453125,2157.0,0.0,3059.0,483.0,1006.0,43.312,43.562
13.041,stream,4.0,169.1484375,2.0,2021.16796875,2157.0,0.0,3059.0,483.0,1006.0,43.093,43.375
13.543,stream,4.0,169.15625,0.0,2021.16796875,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.468
14.044,stream,2.0,169.15625,0.7,2021.16796875,2156.0,0.0,3059.0,483.0,1006.0,43.281,43.406
14.545,stream,4.0,169.16015625,1.0,2021.15625,2156.0,0.0,3059.0,483.0,1006.0,43.312,43.437
15.047,stream,2.0,169.16796875,1.0,2021.15625,2156.0,0.0,3099.0,482.0,1004.0,43.062,43.562
15.548,stream,2.0,169.17578125,0.3,2021.15625,2156.0,0.0,3059.0,483.0,1006.0,43.156,43.593
16.049,stream,4.0,169.1796875,1.3,2021.15625,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.375
16.550,stream,4.0,169.1875,0.0,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.343,43.437
17.052,stream,2.0,169.1953125,1.0,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.156,43.437
17.554,stream,2.0,169.19921875,0.3,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.5
18.055,stream,4.0,169.20703125,0.7,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.312,43.406
18.557,stream,2.0,169.21875,0.3,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.062,43.375
19.058,stream,4.0,169.234375,1.7,2021.1484375,2156.0,0.0,3059.0,483.0,1006.0,43.156,43.406
19.560,stream,2.0,169.2421875,3.3,2021.1484375,2156.0,0.0,3099.0,523.0,1004.0,43.187,43.437
20.061,stream,2.0,169.24609375,0.7,2021.1484375,2156.0,0.0,3059.0,482.0,1006.0,43.25,43.406
20.563,stream,4.0,169.2578125,0.7,2021.140625,2156.0,0.0,3099.0,482.0,1004.0,43.093,43.375
21.064,stream,2.0,169.265625,0.7,2021.140625,2156.0,0.0,3059.0,483.0,1006.0,43.093,43.468
21.566,stream,4.0,169.2734375,0.7,2021.140625,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.468
22.067,stream,4.0,169.27734375,0.7,2021.140625,2156.0,0.0,3059.0,483.0,1006.0,43.125,43.437
22.569,stream,2.0,169.28125,0.7,2021.140625,2156.0,0.0,3059.0,483.0,1006.0,43.062,43.406
23.070,stream,2.0,169.28515625,0.7,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,43.0,43.5
23.571,stream,4.0,169.28515625,1.0,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,43.156,43.656
24.073,stream,2.0,169.28515625,0.7,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.531
24.574,stream,4.0,169.28515625,0.7,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,43.156,43.406
25.075,stream,2.0,169.28515625,0.7,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,42.968,43.437
25.576,stream,2.0,169.2890625,0.3,2021.13671875,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.5
26.077,stream,2.0,169.29296875,1.7,2021.12890625,2156.0,0.0,3099.0,483.0,1006.0,42.968,43.406
26.579,stream,4.0,169.29296875,0.0,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.062,43.531
27.080,stream,2.0,169.296875,1.0,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.093,43.562
27.581,stream,4.0,169.296875,0.3,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.5
28.083,stream,2.0,169.296875,1.0,2021.12109375,2156.0,0.0,3099.0,483.0,1006.0,43.031,43.5
28.584,stream,2.0,169.296875,0.3,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,42.968,43.468
29.086,stream,6.0,169.296875,1.0,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,42.968,43.531
29.587,stream,2.0,169.296875,0.7,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.218,43.375
30.089,stream,2.0,169.296875,0.3,2021.12109375,2156.0,0.0,3099.0,483.0,1004.0,43.25,43.5
30.590,stream,2.0,169.296875,1.0,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.093,43.406
31.092,stream,4.0,169.296875,1.0,2021.12109375,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.375
31.594,stream,2.0,169.296875,0.7,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.25,43.406
32.095,stream,2.0,169.30078125,1.0,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.343
32.596,stream,4.0,169.30078125,0.0,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.093,43.562
33.097,stream,2.0,169.30078125,2.0,2021.11328125,2156.0,0.0,3099.0,483.0,1006.0,43.062,43.5
33.599,stream,4.0,169.30078125,0.3,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.531
34.100,stream,2.0,169.3046875,0.3,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.468
34.601,stream,2.0,169.3046875,0.3,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,42.906,43.468
35.103,stream,6.0,169.30859375,1.0,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.437
35.604,stream,2.0,169.30859375,0.7,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.218,43.375
36.105,stream,2.0,169.30859375,0.3,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.0,43.406
36.606,stream,2.0,169.30859375,0.7,2021.11328125,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.375
37.108,stream,2.0,169.30859375,1.0,2021.10546875,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.437
37.609,stream,4.0,169.30859375,1.0,2021.10546875,2156.0,0.0,3059.0,483.0,1006.0,43.281,43.375
38.110,stream,4.0,169.31640625,0.3,2021.10546875,2156.0,0.0,3059.0,483.0,1006.0,43.281,43.375
38.611,stream,2.0,169.31640625,0.7,2021.10546875,2156.0,0.0,3059.0,483.0,1006.0,43.031,43.406
39.113,stream,4.0,169.32421875,0.3,2021.10546875,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.312
39.615,stream,2.0,169.32421875,1.0,2021.10546875,2156.0,0.0,3059.0,483.0,1004.0,43.187,43.343
40.116,stream,2.0,169.32421875,0.3,2021.09765625,2156.0,0.0,3059.0,483.0,1006.0,43.25,43.375
40.618,stream,2.0,169.328125,1.0,2021.09765625,2156.0,0.0,3059.0,483.0,1006.0,43.093,43.562
41.119,stream,6.0,169.328125,1.3,2022.08203125,2156.0,0.0,3059.0,483.0,1006.0,43.187,43.437
41.620,stream,2.0,169.328125,0.3,2022.08203125,2157.0,0.0,3059.0,483.0,1004.0,43.187,43.375
42.121,stream,2.0,169.328125,1.0,2021.8828125,2157.0,0.0,3059.0,483.0,1006.0,43.031,43.468
42.623,stream,4.0,169.328125,0.3,2021.875,2157.0,0.0,3139.0,482.0,1004.0,43.093,43.437
43.124,stream,2.0,169.33203125,0.7,2021.875,2157.0,0.0,3099.0,482.0,1004.0,43.031,43.468
43.626,stream,2.0,169.33203125,0.7,2021.875,2157.0,0.0,3059.0,483.0,1004.0,43.156,43.343
44.127,stream,2.0,169.3359375,1.0,2021.875,2157.0,0.0,3059.0,483.0,1006.0,43.031,43.312
44.628,stream,4.0,169.33984375,0.3,2021.875,2157.0,0.0,3059.0,483.0,1006.0,43.187,43.312
