t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,8.0,180.38671875,1.3,2058.42578125,,,,,,,
1.007,warmup,0.0,180.40234375,1.0,2058.6328125,2194.0,0.0,3341.0,643.0,1044.0,43.125,43.5
1.509,warmup,0.0,180.40625,0.3,2058.6328125,2194.0,0.0,3180.0,522.0,1044.0,43.062,43.468
2.011,warmup,0.0,180.41015625,2.0,2059.37109375,2194.0,0.0,3099.0,483.0,1004.0,43.281,43.562
2.512,stream,2.0,180.41796875,3.0,2060.34375,2195.0,0.0,3139.0,522.0,1004.0,43.5,43.5
3.015,stream,2.0,180.43359375,0.7,2060.25390625,2196.0,0.0,3139.0,522.0,1006.0,43.062,43.468
3.517,stream,2.0,180.51171875,1.0,2060.25390625,2196.0,0.0,3059.0,483.0,1006.0,43.187,43.406
4.019,stream,2.0,180.51953125,1.0,2060.1171875,2196.0,0.0,3059.0,483.0,1006.0,43.062,43.531
4.521,stream,4.0,180.5234375,0.7,2060.1171875,2195.0,0.0,3099.0,483.0,1006.0,43.093,43.5
5.022,stream,4.0,180.53125,0.0,2060.109375,2195.0,0.0,3059.0,483.0,1006.0,42.968,43.531
5.524,stream,4.0,180.53515625,5.0,2058.24609375,2195.0,0.0,3099.0,483.0,1006.0,43.156,43.468
6.027,stream,2.0,180.546875,1.0,2058.24609375,2194.0,0.0,3139.0,523.0,1006.0,43.343,43.5
6.530,stream,4.0,180.546875,0.7,2058.24609375,2194.0,0.0,3099.0,483.0,1006.0,42.968,43.468
7.031,stream,2.0,180.5625,1.3,2058.24609375,2194.0,0.0,3059.0,483.0,1004.0,43.187,43.437
7.533,stream,4.0,180.56640625,0.3,2058.24609375,2194.0,0.0,3099.0,483.0,1006.0,43.187,43.406
8.035,stream,4.0,180.58203125,1.3,2058.13671875,2193.0,0.0,3099.0,483.0,1006.0,43.343,43.437
8.537,stream,2.0,180.58984375,4.3,2058.875,2193.0,0.0,3059.0,483.0,1006.0,42.968,43.468
9.040,stream,6.0,180.59375,2.3,2052.83203125,2194.0,0.0,3139.0,523.0,1006.0,43.156,43.437
9.543,stream,2.0,180.6015625,0.7,2052.83203125,2188.0,0.0,3180.0,482.0,1004.0,43.187,43.468
10.045,stream,2.0,180.60546875,1.0,2052.66796875,2188.0,0.0,3099.0,483.0,1006.0,43.187,43.437
10.546,stream,2.0,180.61328125,0.3,2052.66796875,2188.0,0.0,3059.0,483.0,1006.0,43.093,43.375
11.048,stream,4.0,180.62109375,1.3,2052.66796875,2188.0,0.0,3099.0,483.0,1006.0,43.125,43.562
11.550,stream,4.0,180.62890625,4.3,2050.5546875,2188.0,0.0,3059.0,483.0,1006.0,43.0,43.562
12.053,stream,2.0,180.63671875,1.3,2050.7734375,2186.0,0.0,3139.0,523.0,1006.0,43.031,43.468
12.555,stream,6.0,180.64453125,0.3,2050.7734375,2186.0,0.0,3059.0,483.0,1006.0,42.968,43.468
13.057,stream,2.0,180.65625,1.0,2050.7734375,2186.0,0.0,3059.0,483.0,1006.0,43.218,43.5
13.559,stream,2.0,180.6640625,0.0,2050.7734375,2186.0,0.0,3059.0,483.0,1006.0,43.218,43.5
14.060,stream,4.0,180.6640625,1.3,2050.76171875,2186.0,0.0,3059.0,483.0,1006.0,43.375,43.406
14.563,stream,4.0,180.66796875,4.4,2050.76171875,2186.0,0.0,3059.0,483.0,1006.0,43.093,43.562
15.066,stream,4.0,180.67578125,1.0,2050.75390625,2186.0,0.0,3220.0,522.0,1004.0,43.187,43.562
15.568,stream,2.0,180.68359375,1.0,2050.75390625,2186.0,0.0,3099.0,483.0,1006.0,43.0,43.562
16.070,stream,2.0,180.6875,1.3,2050.75390625,2186.0,0.0,3099.0,483.0,1006.0,43.062,43.531
16.572,stream,4.0,180.69921875,0.3,2050.75390625,2186.0,0.0,3059.0,483.0,1006.0,43.031,43.468
17.073,stream,4.0,180.70703125,1.0,2050.75390625,2186.0,0.0,3059.0,483.0,1006.0,43.187,43.468
17.575,stream,2.0,180.7109375,5.0,2051.0,2186.0,0.0,3059.0,483.0,1006.0,43.281,43.406
18.078,stream,4.0,180.71875,0.7,2051.0,2186.0,0.0,3139.0,523.0,1046.0,43.031,43.406
18.581,stream,4.0,180.72265625,1.0,2051.0,2186.0,0.0,3099.0,523.0,1006.0,43.218,43.437
19.083,stream,2.0,180.7421875,1.0,2051.0,2186.0,0.0,3059.0,483.0,1006.0,43.25,43.687
19.585,stream,2.0,180.75,0.7,2051.0,2186.0,0.0,3059.0,483.0,1006.0,43.031,43.593
20.087,stream,2.0,180.75390625,0.7,2051.0,2186.0,0.0,3099.0,483.0,1006.0,43.125,43.562
20.589,stream,4.0,180.765625,4.7,2051.21484375,2186.0,0.0,3099.0,483.0,1006.0,43.031,43.468
21.091,stream,4.0,180.76953125,1.0,2051.1484375,2186.0,0.0,3180.0,562.0,1044.0,43.281,43.468
21.593,stream,4.0,180.77734375,1.0,2051.1484375,2186.0,0.0,3099.0,523.0,1006.0,43.375,43.5
22.095,stream,2.0,180.78125,0.3,2051.1484375,2186.0,0.0,3059.0,483.0,1006.0,43.187,43.468
22.597,stream,4.0,180.78515625,1.0,2051.1484375,2186.0,0.0,3059.0,483.0,1006.0,43.187,43.437
23.099,stream,2.0,180.7890625,0.7,2051.14453125,2186.0,0.0,3059.0,483.0,1006.0,43.031,43.562
23.600,stream,2.0,180.7890625,2.3,2051.1328125,2186.0,0.0,3059.0,483.0,1006.0,43.031,43.5
24.102,stream,4.0,180.7890625,3.7,2052.078125,2187.0,0.0,3180.0,563.0,1046.0,43.062,43.5
24.605,stream,4.0,180.7890625,1.0,2052.078125,2187.0,0.0,3099.0,483.0,1006.0,43.218,43.5
25.107,stream,4.0,180.79296875,0.3,2052.078125,2187.0,0.0,3059.0,483.0,1006.0,43.406,43.437
25.608,stream,2.0,180.796875,1.0,2052.078125,2187.0,0.0,3099.0,483.0,1006.0,43.156,43.5
26.111,stream,4.0,180.80078125,0.3,2052.0703125,2187.0,0.0,3180.0,482.0,1004.0,43.218,43.406
26.612,stream,2.0,180.80078125,1.0,2052.0625,2187.0,0.0,3099.0,483.0,1006.0,43.031,43.625
27.115,stream,4.0,180.80078125,4.7,2051.55859375,2187.0,0.0,3180.0,563.0,1044.0,43.062,43.593
27.618,stream,2.0,180.80078125,1.3,2051.55859375,2187.0,0.0,3099.0,523.0,1006.0,43.031,43.593
28.119,stream,4.0,180.80078125,0.7,2051.51171875,2187.0,0.0,3059.0,483.0,1006.0,43.031,43.468
28.621,stream,4.0,180.80078125,1.3,2051.51171875,2187.0,0.0,3059.0,483.0,1006.0,43.375,43.468
29.123,stream,2.0,180.80078125,1.0,2044.9140625,2180.0,0.0,3059.0,483.0,1006.0,43.031,43.5
29.625,stream,2.0,180.80078125,1.0,2044.875,2180.0,0.0,3059.0,483.0,1006.0,43.156,43.468
30.127,stream,4.0,180.80078125,4.0,2045.41796875,2181.0,0.0,3180.0,563.0,1046.0,43.218,43.375
30.629,stream,2.0,180.80078125,0.7,2045.3359375,2181.0,0.0,3099.0,523.0,1006.0,43.062,43.5
31.134,stream,5.9,180.80078125,1.3,2045.33203125,2181.0,0.0,3099.0,483.0,1006.0,43.125,43.593
31.636,stream,2.0,180.8046875,0.7,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,43.062,43.562
32.138,stream,2.0,180.8046875,1.0,2045.33203125,2181.0,0.0,3099.0,483.0,1006.0,43.156,43.593
32.639,stream,4.0,180.8046875,0.3,2045.33203125,2181.0,0.0,3099.0,483.0,1006.0,43.281,43.5
33.141,stream,2.0,180.8046875,1.3,2045.33203125,2181.0,0.0,3099.0,483.0,1004.0,43.156,43.468
33.643,stream,2.0,180.8046875,1.0,2045.33984375,2181.0,0.0,3059.0,483.0,1006.0,43.187,43.468
34.145,stream,4.0,180.80859375,1.0,2045.33984375,2181.0,0.0,3059.0,483.0,1006.0,43.25,43.406
34.647,stream,4.0,180.80859375,0.7,2045.33984375,2181.0,0.0,3059.0,483.0,1006.0,43.093,43.656
35.148,stream,2.0,180.8125,0.3,2045.33984375,2181.0,0.0,3059.0,483.0,1006.0,43.125,43.531
35.650,stream,4.0,180.8125,1.0,2045.33984375,2181.0,0.0,3059.0,483.0,1006.0,43.062,43.562
36.152,stream,2.0,180.8125,1.0,2045.3359375,2181.0,0.0,3099.0,483.0,1006.0,43.031,43.468
36.653,stream,4.0,180.81640625,0.3,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,43.125,43.562
37.155,stream,2.0,180.81640625,1.0,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,42.968,43.531
37.656,stream,2.0,180.81640625,0.7,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,43.031,43.468
38.158,stream,2.0,180.8203125,1.7,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,43.25,43.531
38.660,stream,4.0,180.82421875,0.7,2045.33203125,2181.0,0.0,3059.0,483.0,1006.0,43.0,43.437
39.162,stream,2.0,180.828125,1.7,2045.33203125,2181.0,0.0,3099.0,483.0,1006.0,43.187,43.437
39.664,stream,4.0,180.828125,0.7,2045.32421875,2181.0,0.0,3059.0,483.0,1006.0,43.281,43.437
40.165,stream,2.0,180.828125,1.0,2045.32421875,2181.0,0.0,3059.0,483.0,1006.0,43.062,43.531
40.667,stream,4.0,180.828125,1.0,2045.32421875,2181.0,0.0,3059.0,483.0,1006.0,43.062,43.531
41.169,stream,2.0,180.828125,0.7,2045.32421875,2181.0,0.0,3059.0,483.0,1006.0,43.156,43.625
41.671,stream,4.0,180.828125,0.7,2045.3125,2181.0,0.0,3099.0,483.0,1006.0,43.0,43.531
42.173,stream,2.0,180.83203125,0.7,2045.3125,2181.0,0.0,3059.0,483.0,1006.0,43.031,43.593
42.674,stream,4.0,180.83203125,0.7,2045.3125,2181.0,0.0,3059.0,483.0,1006.0,43.093,43.5
43.176,stream,2.0,180.83984375,2.0,2045.3125,2181.0,0.0,3099.0,483.0,1006.0,43.093,43.5
43.678,stream,2.0,180.83984375,0.7,2045.3125,2181.0,0.0,3059.0,483.0,1006.0,43.031,43.562
44.179,stream,2.0,180.83984375,1.0,2045.3125,2181.0,0.0,3059.0,483.0,1006.0,43.093,43.531
44.681,stream,6.0,180.84375,0.0,2045.30859375,2181.0,0.0,3059.0,483.0,1006.0,43.062,43.531
45.182,stream,2.0,180.84375,1.0,2045.30859375,2181.0,0.0,3059.0,483.0,1006.0,42.937,43.593
