t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,6.17920,1,e_rec,single-domain,0.0000,0.0000,5.525,0,6.17920,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,28.16,35.07
2.40,3.67,3.68,0,2.53383,1,e_rec,single-domain,0.0000,0.0000,4.370,0,2.53383,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,16.39,29.08
2.80,4.07,4.08,0,14.12951,1,e_rec,single-domain,0.0000,0.0000,3.673,0,14.12951,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,6.447
3.20,4.47,4.48,0,-0.59540,0,e_rec,single-domain,0.0000,0.0000,3.598,0,-0.59540,0,-0.9902,10.52,0.6235,0,0.1148,8.951,50,10.75,7.488
3.60,4.87,4.88,0,8.25016,1,e_rec,single-domain,0.0000,0.0000,3.698,0,8.25016,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,36.72,3.887
4.00,5.27,5.28,0,6.85008,1,e_rec,single-domain,0.0000,0.0000,5.255,0,6.85008,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,34.4,2.194
4.40,5.67,5.68,0,-2.62627,0,e_rec,single-domain,0.0000,0.0000,4.290,0,-2.62627,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,6.77,3.756
4.80,6.07,6.08,0,-1.22243,0,e_rec,single-domain,0.0000,0.0000,3.661,0,-1.22243,0,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,9.822,-0.5334
5.20,6.47,6.48,0,-1.40553,0,e_rec,cross-domain,0.0000,0.0000,3.608,0,-1.40553,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,8.21,-0.8315
5.60,6.87,6.88,0,-3.79381,0,|r_aux|,cross-domain,0.0000,0.0000,3.597,0,-3.79381,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.6619,-0.581
6.00,7.27,7.28,0,-2.89053,0,|r_aux|,cross-domain,0.0000,0.0000,3.663,0,-2.89053,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,0.8432,-0.5206
6.40,7.67,7.68,0,-3.19333,0,|r_aux|,cross-domain,0.0000,0.0000,3.738,0,-3.19333,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.6257,-0.1056
6.80,8.07,8.08,0,-2.63747,0,|r_aux|,cross-domain,0.0000,0.0000,3.126,0,-2.63747,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.4066,-0.1794
7.20,8.47,8.48,0,-2.85877,0,|r_aux|,cross-domain,0.0000,0.0000,5.112,0,-2.85877,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-1.156,-0.7164
7.60,8.87,8.88,0,-2.22487,0,e_rec,cross-domain,0.0000,0.0000,5.032,0,-2.22487,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.925,0.9555
8.00,9.27,9.28,0,-2.93074,0,|r_bal|,cross-domain,0.0000,0.0000,3.893,0,-2.93074,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,-0.01872,0.01675
8.40,9.67,9.68,0,-3.23021,0,|r_aux|,cross-domain,0.0000,0.0000,3.721,0,-3.23021,0,0.4018,1.159,1.264,0,0.7582,1.255,0.02505,-0.7542,-0.08322
8.80,10.07,10.08,0,-2.58210,0,e_rec,cross-domain,0.0000,0.0000,3.830,0,-2.58210,0,0.7462,1.031,0.6861,0,0.6967,1.277,-0.3338,0.9466,1.023
9.20,10.47,10.48,0,-2.66757,0,e_rec,cross-domain,0.0000,0.0000,3.586,0,-2.66757,0,0.4879,1.218,1.971,0,0.6899,0.317,-0.1757,0.8429,0.8592
9.60,10.87,10.88,0,-3.07430,0,|r_aux|,cross-domain,0.0000,0.0000,3.680,0,-3.07430,0,0.6458,1.389,1.204,0,0.6406,-0.1873,0.6683,-0.4931,-0.5962
10.00,11.27,11.28,0,-1.89792,0,e_rec,cross-domain,0.0000,0.0000,5.518,0,-1.89792,0,0.8898,1.142,1.047,0,0.2853,-0.7021,0.1367,2.727,3.077
10.40,11.67,11.68,0,-2.59510,0,|r_aux|,cross-domain,0.0000,0.0000,4.236,0,-2.59510,0,0.818,1.124,2.721,0,-0.2429,0.08972,0.2316,-0.2425,0.4885
10.80,12.07,12.08,0,-2.75774,0,|r_aux|,cross-domain,0.0000,0.0000,3.996,0,-2.75774,0,0.6888,1.357,1.108,0,-0.1048,0.6188,0.6034,-0.6197,-0.1618
11.20,12.47,12.48,0,-1.75454,0,e_rec,cross-domain,0.0000,0.0000,3.565,0,-1.75454,0,0.3588,1.14,0.831,0,0.3484,1.754,0.1278,3.259,2.602
11.60,12.87,12.88,0,-2.67763,0,|r_aux|,cross-domain,0.0000,0.0000,3.846,0,-2.67763,0,1.162,1.175,2.318,0,0.5908,1.86,0.3043,0.1481,0.4205
12.00,13.27,13.28,0,-2.97083,0,|r_aux|,cross-domain,0.0000,0.0000,3.770,0,-2.97083,0,0.9902,1.38,0.8368,0,0.4997,1.408,0.697,-0.7175,0.1962
12.40,13.67,13.68,0,-2.70139,0,|r_bal|,cross-domain,0.0000,0.0000,3.635,0,-2.70139,0,1.292,1.093,0.5744,0,-0.1913,0.574,0.2828,-0.7211,1.5
12.80,14.07,14.08,0,-2.24077,0,e_rec,cross-domain,0.0000,0.0000,3.885,0,-2.24077,0,0.5023,0.9368,1.775,0,-0.3034,-0.1069,-0.00279,1.124,1.565
13.20,14.47,14.48,0,-2.63744,0,|r_aux|,cross-domain,0.0000,0.0000,5.244,0,-2.63744,0,0.6171,1.249,0.6571,0,-0.4242,-0.3313,0.3177,-0.5072,-0.2706
13.60,14.87,14.88,0,-2.35338,0,e_rec,cross-domain,0.0000,0.0000,4.162,0,-2.35338,0,0.1148,0.988,0.7913,0,-0.4542,-0.7088,-0.1538,0.8873,1.784
14.00,15.27,15.28,0,-2.64932,0,|r_qp|,cross-domain,0.0000,0.0000,3.841,0,-2.64932,0,0.3731,1.03,2.132,0,-0.6277,-1.123,0.04853,-0.4311,0.496
14.40,15.67,15.68,0,-2.31902,0,|r_aux|,cross-domain,0.0000,0.0000,4.379,0,-2.31902,0,0.4879,1.239,0.8351,0,-0.4676,-1.422,0.8437,0.6893,-0.5017
14.80,16.07,16.08,0,-2.01785,0,e_rec,cross-domain,0.0000,0.0000,3.810,0,-2.01785,0,0.4162,1.074,0.7759,0,0.1746,-1.288,0.3145,2.634,2.138
15.20,16.47,16.48,0,-2.54255,0,|r_aux|,cross-domain,0.0000,0.0000,3.572,0,-2.54255,0,0.4162,1.283,1.813,0,0.1118,-0.4466,0.1733,0.5688,0.03978
15.60,16.87,16.88,0,-3.20276,0,|r_aux|,cross-domain,0.0000,0.0000,3.632,0,-3.20276,0,0.3301,1.48,0.8108,0,0.7719,-0.01167,1.245,-0.4256,-0.2685
16.00,17.27,17.28,0,-3.48526,0,|r_aux|,cross-domain,0.0000,0.0000,2.863,0,-3.48526,0,0.7175,1.073,0.5779,0,1.777,0.9585,0.2193,-0.1806,0.7066
16.40,17.67,17.68,0,-3.62707,0,|r_bal|,cross-domain,0.0000,0.0000,5.331,0,-3.62707,0,0.9185,0.7105,2.007,0,1.908,0.816,0.08654,-0.3519,0.6286
16.80,18.07,18.08,0,-2.91191,0,e_rec,cross-domain,0.0000,0.0000,3.823,0,-2.91191,0,1.048,1.074,0.7455,0,2.034,0.8114,0.2455,1.567,-0.489
