0.521 09-16-2026 14:31:33 RAM 2154/7486MB (lfb 24x4MB) CPU [4%@1036,0%@1036,0%@1036,0%@1036,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.125C soc2@43.062C/43.062C soc0@43.593C/43.593C gpu@43.406C/43.406C tj@43.593C/43.593C soc1@42.437C/42.437C VDD_IN 3456mW/3456mW/3456mW VDD_CPU_GPU_CV 643mW/643mW/643mW VDD_SOC 1044mW/1044mW/1044mW
1.027 09-16-2026 14:31:33 RAM 2154/7486MB (lfb 24x4MB) CPU [2%@729,3%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.125C soc2@43.031C/43.062C soc0@43.531C/43.593C gpu@43.343C/43.406C tj@43.5C/43.593C soc1@42.531C/42.531C VDD_IN 3215mW/3336mW/3456mW VDD_CPU_GPU_CV 522mW/583mW/643mW VDD_SOC 1044mW/1044mW/1044mW
1.536 09-16-2026 14:31:34 RAM 2154/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.125C soc2@42.937C/43.062C soc0@43.5C/43.593C gpu@43.437C/43.437C tj@43.437C/43.593C soc1@42.5C/42.531C VDD_IN 3175mW/3282mW/3456mW VDD_CPU_GPU_CV 482mW/549mW/643mW VDD_SOC 1044mW/1044mW/1044mW
2.042 09-16-2026 14:31:34 RAM 2154/7486MB (lfb 24x4MB) CPU [7%@729,9%@729,4%@729,7%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@43.375C/43.375C soc2@42.968C/43.062C soc0@43.437C/43.593C gpu@43.468C/43.468C tj@43.468C/43.593C soc1@42.468C/42.531C VDD_IN 3295mW/3285mW/3456mW VDD_CPU_GPU_CV 522mW/542mW/643mW VDD_SOC 1044mW/1044mW/1044mW
2.549 09-16-2026 14:31:35 RAM 2154/7486MB (lfb 24x4MB) CPU [14%@729,0%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.375C soc2@43C/43.062C soc0@43.406C/43.593C gpu@43.406C/43.468C tj@43.406C/43.593C soc1@42.375C/42.531C VDD_IN 3215mW/3271mW/3456mW VDD_CPU_GPU_CV 482mW/530mW/643mW VDD_SOC 1004mW/1036mW/1044mW
3.056 09-16-2026 14:31:35 RAM 2154/7486MB (lfb 24x4MB) CPU [18%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.937C/43.062C soc0@43.468C/43.593C gpu@43.437C/43.468C tj@43.468C/43.593C soc1@42.375C/42.531C VDD_IN 3139mW/3249mW/3456mW VDD_CPU_GPU_CV 482mW/522mW/643mW VDD_SOC 1004mW/1031mW/1044mW
3.564 09-16-2026 14:31:36 RAM 2154/7486MB (lfb 24x4MB) CPU [16%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@43C/43.062C soc0@43.406C/43.593C gpu@43.062C/43.468C tj@43.406C/43.593C soc1@42.437C/42.531C VDD_IN 3134mW/3233mW/3456mW VDD_CPU_GPU_CV 482mW/516mW/643mW VDD_SOC 1004mW/1027mW/1044mW
4.070 09-16-2026 14:31:36 RAM 2154/7486MB (lfb 24x4MB) CPU [14%@729,2%@729,0%@729,3%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.093C/43.375C soc2@42.968C/43.062C soc0@43.593C/43.593C gpu@43.468C/43.468C tj@43.593C/43.593C soc1@42.312C/42.531C VDD_IN 3175mW/3226mW/3456mW VDD_CPU_GPU_CV 482mW/512mW/643mW VDD_SOC 1004mW/1024mW/1044mW
4.580 09-16-2026 14:31:37 RAM 2154/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,19%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.375C soc2@42.906C/43.062C soc0@43.375C/43.593C gpu@43.343C/43.468C tj@43.375C/43.593C soc1@42.375C/42.531C VDD_IN 3139mW/3216mW/3456mW VDD_CPU_GPU_CV 482mW/509mW/643mW VDD_SOC 1004mW/1022mW/1044mW
5.087 09-16-2026 14:31:37 RAM 2154/7486MB (lfb 24x4MB) CPU [14%@729,9%@729,9%@729,16%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.937C/43.062C soc0@43.5C/43.593C gpu@43.125C/43.468C tj@43.5C/43.593C soc1@42.343C/42.531C VDD_IN 3295mW/3224mW/3456mW VDD_CPU_GPU_CV 562mW/514mW/643mW VDD_SOC 1044mW/1024mW/1044mW
5.594 09-16-2026 14:31:38 RAM 2153/7486MB (lfb 24x4MB) CPU [18%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.375C soc2@42.875C/43.062C soc0@43.531C/43.593C gpu@43.187C/43.468C tj@43.531C/43.593C soc1@42.375C/42.531C VDD_IN 3175mW/3219mW/3456mW VDD_CPU_GPU_CV 522mW/515mW/643mW VDD_SOC 1004mW/1022mW/1044mW
6.100 09-16-2026 14:31:38 RAM 2153/7486MB (lfb 24x4MB) CPU [15%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.843C/43.062C soc0@43.468C/43.593C gpu@43.406C/43.468C tj@43.468C/43.593C soc1@42.406C/42.531C VDD_IN 3180mW/3216mW/3456mW VDD_CPU_GPU_CV 482mW/512mW/643mW VDD_SOC 1004mW/1021mW/1044mW
6.607 09-16-2026 14:31:39 RAM 2151/7486MB (lfb 24x4MB) CPU [16%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.375C soc2@42.968C/43.062C soc0@43.406C/43.593C gpu@43.25C/43.468C tj@43.406C/43.593C soc1@42.437C/42.531C VDD_IN 3134mW/3210mW/3456mW VDD_CPU_GPU_CV 482mW/510mW/643mW VDD_SOC 1004mW/1019mW/1044mW
7.114 09-16-2026 14:31:39 RAM 2148/7486MB (lfb 24x4MB) CPU [18%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.375C soc2@42.968C/43.062C soc0@43.437C/43.593C gpu@43.375C/43.468C tj@43.437C/43.593C soc1@42.343C/42.531C VDD_IN 3180mW/3208mW/3456mW VDD_CPU_GPU_CV 482mW/508mW/643mW VDD_SOC 1004mW/1018mW/1044mW
7.626 09-16-2026 14:31:40 RAM 2148/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,1%@729,0%@729,16%@729,1%@729] GR3D_FREQ 0% cpu@43.25C/43.375C soc2@42.875C/43.062C soc0@43.437C/43.593C gpu@43.25C/43.468C tj@43.5C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3205mW/3456mW VDD_CPU_GPU_CV 482mW/506mW/643mW VDD_SOC 1004mW/1017mW/1044mW
8.134 09-16-2026 14:31:40 RAM 2147/7486MB (lfb 24x4MB) CPU [6%@729,6%@729,7%@729,4%@729,18%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.375C soc2@42.968C/43.062C soc0@43.375C/43.593C gpu@43.156C/43.468C tj@43.375C/43.593C soc1@42.437C/42.531C VDD_IN 3295mW/3211mW/3456mW VDD_CPU_GPU_CV 562mW/510mW/643mW VDD_SOC 1044mW/1019mW/1044mW
8.643 09-16-2026 14:31:41 RAM 2146/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,0%@729,1%@729,18%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.375C soc2@42.906C/43.062C soc0@43.343C/43.593C gpu@43.468C/43.468C tj@43.468C/43.593C soc1@42.406C/42.531C VDD_IN 3175mW/3209mW/3456mW VDD_CPU_GPU_CV 522mW/510mW/643mW VDD_SOC 1004mW/1018mW/1044mW
9.153 09-16-2026 14:31:41 RAM 2145/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,0%@729,16%@729,1%@729] GR3D_FREQ 0% cpu@43.312C/43.375C soc2@43.031C/43.062C soc0@43.562C/43.593C gpu@43.093C/43.468C tj@43.531C/43.593C soc1@42.531C/42.531C VDD_IN 3255mW/3211mW/3456mW VDD_CPU_GPU_CV 482mW/509mW/643mW VDD_SOC 1004mW/1017mW/1044mW
9.660 09-16-2026 14:31:42 RAM 2144/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,2%@729,0%@729,16%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.937C/43.062C soc0@43.437C/43.593C gpu@43.156C/43.468C tj@43.437C/43.593C soc1@42.531C/42.531C VDD_IN 3175mW/3210mW/3456mW VDD_CPU_GPU_CV 482mW/507mW/643mW VDD_SOC 1004mW/1017mW/1044mW
10.167 09-16-2026 14:31:42 RAM 2142/7486MB (lfb 24x4MB) CPU [0%@729,5%@729,1%@729,1%@729,16%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.375C soc2@42.968C/43.062C soc0@43.375C/43.593C gpu@43.062C/43.468C tj@43.375C/43.593C soc1@42.406C/42.531C VDD_IN 3175mW/3208mW/3456mW VDD_CPU_GPU_CV 482mW/506mW/643mW VDD_SOC 1004mW/1016mW/1044mW
10.676 09-16-2026 14:31:43 RAM 2142/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,1%@729,1%@729,15%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.375C soc2@42.968C/43.062C soc0@43.375C/43.593C gpu@43.343C/43.468C tj@43.375C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3206mW/3456mW VDD_CPU_GPU_CV 482mW/505mW/643mW VDD_SOC 1004mW/1015mW/1044mW
11.184 09-16-2026 14:31:43 RAM 2141/7486MB (lfb 24x4MB) CPU [9%@729,5%@729,7%@729,9%@729,15%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.375C soc2@43C/43.062C soc0@43.437C/43.593C gpu@43.156C/43.468C tj@43.437C/43.593C soc1@42.437C/42.531C VDD_IN 3295mW/3210mW/3456mW VDD_CPU_GPU_CV 562mW/508mW/643mW VDD_SOC 1044mW/1017mW/1044mW
11.694 09-16-2026 14:31:44 RAM 2141/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,1%@729,19%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.375C soc2@42.937C/43.062C soc0@43.437C/43.593C gpu@43.125C/43.468C tj@43.437C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3209mW/3456mW VDD_CPU_GPU_CV 522mW/508mW/643mW VDD_SOC 1004mW/1016mW/1044mW
12.200 09-16-2026 14:31:44 RAM 2139/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,15%@729,1%@729] GR3D_FREQ 0% cpu@43.312C/43.375C soc2@42.937C/43.062C soc0@43.375C/43.593C gpu@43.468C/43.468C tj@43.468C/43.593C soc1@42.375C/42.531C VDD_IN 3175mW/3207mW/3456mW VDD_CPU_GPU_CV 482mW/507mW/643mW VDD_SOC 1004mW/1016mW/1044mW
12.708 09-16-2026 14:31:45 RAM 2139/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,1%@729,0%@729,18%@729,1%@729] GR3D_FREQ 0% cpu@43.093C/43.375C soc2@42.875C/43.062C soc0@43.437C/43.593C gpu@43.062C/43.468C tj@43.437C/43.593C soc1@42.312C/42.531C VDD_IN 3175mW/3206mW/3456mW VDD_CPU_GPU_CV 482mW/506mW/643mW VDD_SOC 1004mW/1015mW/1044mW
13.214 09-16-2026 14:31:45 RAM 2135/7486MB (lfb 24x4MB) CPU [5%@729,0%@729,1%@729,0%@729,16%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.875C/43.062C soc0@43.312C/43.593C gpu@43.218C/43.468C tj@43.312C/43.593C soc1@42.343C/42.531C VDD_IN 3139mW/3204mW/3456mW VDD_CPU_GPU_CV 482mW/505mW/643mW VDD_SOC 1004mW/1015mW/1044mW
13.720 09-16-2026 14:31:46 RAM 2135/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,16%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.875C/43.062C soc0@43.531C/43.593C gpu@43.093C/43.468C tj@43.375C/43.593C soc1@42.312C/42.531C VDD_IN 3139mW/3201mW/3456mW VDD_CPU_GPU_CV 482mW/504mW/643mW VDD_SOC 1004mW/1014mW/1044mW
14.227 09-16-2026 14:31:46 RAM 2135/7486MB (lfb 24x4MB) CPU [4%@1190,7%@1190,6%@1190,5%@1190,15%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.937C/43.062C soc0@43.5C/43.593C gpu@43.406C/43.468C tj@43.5C/43.593C soc1@42.218C/42.531C VDD_IN 3295mW/3204mW/3456mW VDD_CPU_GPU_CV 562mW/506mW/643mW VDD_SOC 1044mW/1015mW/1044mW
14.734 09-16-2026 14:31:47 RAM 2136/7486MB (lfb 24x4MB) CPU [19%@729,0%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.375C soc2@42.812C/43.062C soc0@43.437C/43.593C gpu@43.062C/43.468C tj@43.437C/43.593C soc1@42.5C/42.531C VDD_IN 3255mW/3206mW/3456mW VDD_CPU_GPU_CV 522mW/507mW/643mW VDD_SOC 1004mW/1015mW/1044mW
15.240 09-16-2026 14:31:47 RAM 2135/7486MB (lfb 24x4MB) CPU [16%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.375C soc2@43C/43.062C soc0@43.406C/43.593C gpu@43.343C/43.468C tj@43.406C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3205mW/3456mW VDD_CPU_GPU_CV 482mW/506mW/643mW VDD_SOC 1004mW/1015mW/1044mW
15.746 09-16-2026 14:31:48 RAM 2135/7486MB (lfb 24x4MB) CPU [18%@729,1%@729,3%@729,1%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.25C/43.375C soc2@42.937C/43.062C soc0@43.437C/43.593C gpu@43.093C/43.468C tj@43.437C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3204mW/3456mW VDD_CPU_GPU_CV 482mW/505mW/643mW VDD_SOC 1004mW/1014mW/1044mW
16.253 09-16-2026 14:31:48 RAM 2132/7486MB (lfb 24x4MB) CPU [9%@729,0%@729,0%@729,10%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.968C/43.062C soc0@43.343C/43.593C gpu@43.093C/43.468C tj@43.343C/43.593C soc1@42.375C/42.531C VDD_IN 3134mW/3202mW/3456mW VDD_CPU_GPU_CV 482mW/505mW/643mW VDD_SOC 1004mW/1014mW/1044mW
16.760 09-16-2026 14:31:49 RAM 2133/7486MB (lfb 24x4MB) CPU [3%@729,16%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.375C soc2@42.968C/43.062C soc0@43.375C/43.593C gpu@43.125C/43.468C tj@43.375C/43.593C soc1@42.375C/42.531C VDD_IN 3175mW/3201mW/3456mW VDD_CPU_GPU_CV 482mW/504mW/643mW VDD_SOC 1004mW/1014mW/1044mW
17.267 09-16-2026 14:31:49 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,15%@729,2%@729,3%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.968C/43.062C soc0@43.593C/43.593C gpu@43.093C/43.468C tj@43.593C/43.593C soc1@42.375C/42.531C VDD_IN 3180mW/3201mW/3456mW VDD_CPU_GPU_CV 482mW/503mW/643mW VDD_SOC 1004mW/1013mW/1044mW
17.773 09-16-2026 14:31:50 RAM 2132/7486MB (lfb 24x4MB) CPU [2%@729,20%@729,0%@729,2%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.843C/43.062C soc0@43.437C/43.593C gpu@43.031C/43.468C tj@43.437C/43.593C soc1@42.312C/42.531C VDD_IN 3175mW/3200mW/3456mW VDD_CPU_GPU_CV 482mW/503mW/643mW VDD_SOC 1004mW/1013mW/1044mW
18.279 09-16-2026 14:31:50 RAM 2132/7486MB (lfb 24x4MB) CPU [1%@729,16%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.968C/43.375C soc2@42.906C/43.062C soc0@43.406C/43.593C gpu@43.093C/43.468C tj@43.406C/43.593C soc1@42.531C/42.531C VDD_IN 3175mW/3199mW/3456mW VDD_CPU_GPU_CV 482mW/502mW/643mW VDD_SOC 1004mW/1013mW/1044mW
18.786 09-16-2026 14:31:51 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,15%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.968C/43.375C soc2@42.968C/43.062C soc0@43.468C/43.593C gpu@42.968C/43.468C tj@43.468C/43.593C soc1@42.437C/42.531C VDD_IN 3175mW/3198mW/3456mW VDD_CPU_GPU_CV 482mW/501mW/643mW VDD_SOC 1004mW/1013mW/1044mW
19.292 09-16-2026 14:31:51 RAM 2132/7486MB (lfb 24x4MB) CPU [1%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.375C soc2@42.937C/43.062C soc0@43.343C/43.593C gpu@43.156C/43.468C tj@43.343C/43.593C soc1@42.343C/42.531C VDD_IN 3134mW/3197mW/3456mW VDD_CPU_GPU_CV 482mW/501mW/643mW VDD_SOC 1004mW/1012mW/1044mW
19.798 09-16-2026 14:31:52 RAM 2132/7486MB (lfb 24x4MB) CPU [2%@729,18%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.375C soc2@42.937C/43.062C soc0@43.375C/43.593C gpu@43.468C/43.468C tj@43.468C/43.593C soc1@42.406C/42.531C VDD_IN 3139mW/3195mW/3456mW VDD_CPU_GPU_CV 482mW/500mW/643mW VDD_SOC 1004mW/1012mW/1044mW
20.304 09-16-2026 14:31:52 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,17%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.375C soc2@42.906C/43.062C soc0@43.625C/43.625C gpu@43.25C/43.468C tj@43.625C/43.625C soc1@42.406C/42.531C VDD_IN 3175mW/3195mW/3456mW VDD_CPU_GPU_CV 482mW/500mW/643mW VDD_SOC 1004mW/1012mW/1044mW
20.810 09-16-2026 14:31:53 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,16%@729,3%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43C/43.375C soc2@42.843C/43.062C soc0@43.531C/43.625C gpu@43.531C/43.531C tj@43.531C/43.625C soc1@42.281C/42.531C VDD_IN 3139mW/3193mW/3456mW VDD_CPU_GPU_CV 482mW/500mW/643mW VDD_SOC 1004mW/1012mW/1044mW
21.315 09-16-2026 14:31:53 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,18%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.375C soc2@42.843C/43.062C soc0@43.437C/43.625C gpu@43.312C/43.531C tj@43.437C/43.625C soc1@42.5C/42.531C VDD_IN 3139mW/3192mW/3456mW VDD_CPU_GPU_CV 482mW/499mW/643mW VDD_SOC 1004mW/1012mW/1044mW
21.821 09-16-2026 14:31:54 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,16%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.375C soc2@42.937C/43.062C soc0@43.406C/43.625C gpu@43.218C/43.531C tj@43.406C/43.625C soc1@42.437C/42.531C VDD_IN 3139mW/3191mW/3456mW VDD_CPU_GPU_CV 482mW/499mW/643mW VDD_SOC 1004mW/1011mW/1044mW
22.328 09-16-2026 14:31:54 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,15%@729,0%@729,0%@729,5%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.968C/43.062C soc0@43.375C/43.625C gpu@43.281C/43.531C tj@43.375C/43.625C soc1@42.406C/42.531C VDD_IN 3134mW/3190mW/3456mW VDD_CPU_GPU_CV 482mW/498mW/643mW VDD_SOC 1004mW/1011mW/1044mW
22.834 09-16-2026 14:31:55 RAM 2132/7486MB (lfb 24x4MB) CPU [7%@729,18%@729,0%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.375C soc2@42.906C/43.062C soc0@43.468C/43.625C gpu@43.218C/43.531C tj@43.375C/43.625C soc1@42.343C/42.531C VDD_IN 3215mW/3190mW/3456mW VDD_CPU_GPU_CV 482mW/498mW/643mW VDD_SOC 1004mW/1011mW/1044mW
23.340 09-16-2026 14:31:55 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,18%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.875C/43.062C soc0@43.562C/43.625C gpu@43.343C/43.531C tj@43.562C/43.625C soc1@42.281C/42.531C VDD_IN 3180mW/3190mW/3456mW VDD_CPU_GPU_CV 482mW/498mW/643mW VDD_SOC 1004mW/1011mW/1044mW
23.846 09-16-2026 14:31:56 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,16%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.375C soc2@42.843C/43.062C soc0@43.5C/43.625C gpu@43.218C/43.531C tj@43.5C/43.625C soc1@42.312C/42.531C VDD_IN 3139mW/3189mW/3456mW VDD_CPU_GPU_CV 482mW/497mW/643mW VDD_SOC 1004mW/1011mW/1044mW
24.352 09-16-2026 14:31:56 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,18%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.375C soc2@43C/43.062C soc0@43.406C/43.625C gpu@43.125C/43.531C tj@43.406C/43.625C soc1@42.437C/42.531C VDD_IN 3139mW/3188mW/3456mW VDD_CPU_GPU_CV 482mW/497mW/643mW VDD_SOC 1004mW/1011mW/1044mW
24.858 09-16-2026 14:31:57 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.281C/43.375C soc2@42.937C/43.062C soc0@43.437C/43.625C gpu@43.187C/43.531C tj@43.437C/43.625C soc1@42.437C/42.531C VDD_IN 3139mW/3187mW/3456mW VDD_CPU_GPU_CV 482mW/497mW/643mW VDD_SOC 1004mW/1011mW/1044mW
25.364 09-16-2026 14:31:57 RAM 2132/7486MB (lfb 24x4MB) CPU [1%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.375C soc2@42.875C/43.062C soc0@43.437C/43.625C gpu@43.125C/43.531C tj@43.437C/43.625C soc1@42.343C/42.531C VDD_IN 3175mW/3187mW/3456mW VDD_CPU_GPU_CV 482mW/496mW/643mW VDD_SOC 1004mW/1010mW/1044mW
25.870 09-16-2026 14:31:58 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,15%@729,1%@729,7%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.375C soc2@42.906C/43.062C soc0@43.625C/43.625C gpu@43.187C/43.531C tj@43.625C/43.625C soc1@42.281C/42.531C VDD_IN 3180mW/3186mW/3456mW VDD_CPU_GPU_CV 482mW/496mW/643mW VDD_SOC 1004mW/1010mW/1044mW
26.376 09-16-2026 14:31:58 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,15%@729,0%@729,1%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.375C soc2@42.906C/43.062C soc0@43.468C/43.625C gpu@43.093C/43.531C tj@43.468C/43.625C soc1@42.375C/42.531C VDD_IN 3180mW/3186mW/3456mW VDD_CPU_GPU_CV 482mW/496mW/643mW VDD_SOC 1004mW/1010mW/1044mW
26.882 09-16-2026 14:31:59 RAM 2132/7486MB (lfb 24x4MB) CPU [5%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.375C soc2@42.937C/43.062C soc0@43.5C/43.625C gpu@43.468C/43.531C tj@43.5C/43.625C soc1@42.531C/42.531C VDD_IN 3139mW/3185mW/3456mW VDD_CPU_GPU_CV 482mW/496mW/643mW VDD_SOC 1004mW/1010mW/1044mW
27.388 09-16-2026 14:31:59 RAM 2132/7486MB (lfb 24x4MB) CPU [0%@729,18%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.375C soc2@42.968C/43.062C soc0@43.343C/43.625C gpu@43.093C/43.531C tj@43.343C/43.625C soc1@42.437C/42.531C VDD_IN 3139mW/3185mW/3456mW VDD_CPU_GPU_CV 482mW/495mW/643mW VDD_SOC 1004mW/1010mW/1044mW
27.894 09-16-2026 14:32:00 RAM 2132/7486MB (lfb 24x4MB) CPU [2%@729,5%@729,14%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.375C soc2@42.906C/43.062C soc0@43.375C/43.625C gpu@43.375C/43.531C tj@43.375C/43.625C soc1@42.437C/42.531C VDD_IN 3180mW/3185mW/3456mW VDD_CPU_GPU_CV 482mW/495mW/643mW VDD_SOC 1004mW/1010mW/1044mW
