t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,181.0390625,1.3,2016.85546875,,,,,,,
1.007,warmup,0.0,181.0546875,0.7,2016.8515625,2149.0,0.0,3416.0,643.0,1044.0,43.093,43.593
1.508,warmup,0.0,181.05859375,0.7,2016.8515625,2149.0,0.0,3215.0,522.0,1044.0,43.125,43.437
2.009,warmup,2.0,181.06640625,0.3,2016.68359375,2149.0,0.0,3134.0,482.0,1004.0,42.968,43.437
2.510,stream,2.0,181.0703125,2.0,2016.68359375,2148.0,0.0,3175.0,482.0,1004.0,43.25,43.437
3.012,stream,2.0,181.0859375,1.0,2016.6796875,2148.0,0.0,3175.0,482.0,1044.0,43.187,43.437
3.513,stream,4.0,181.1640625,0.3,2016.6796875,2148.0,0.0,3139.0,482.0,1044.0,43.062,43.562
4.014,stream,2.0,181.171875,0.3,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.031,43.5
4.516,stream,2.0,181.17578125,0.7,2016.671875,2148.0,0.0,3255.0,482.0,1044.0,43.031,43.406
5.017,stream,2.0,181.18359375,0.3,2016.671875,2148.0,0.0,3180.0,482.0,1004.0,43.343,43.375
5.518,stream,6.0,181.1875,0.7,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.031,43.5
6.019,stream,0.0,181.19921875,0.7,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.125,43.593
6.520,stream,4.0,181.20703125,0.0,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.0,43.562
7.021,stream,4.0,181.21484375,0.3,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.031,43.437
7.523,stream,2.0,181.2265625,1.3,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.0,43.437
8.024,stream,4.0,181.234375,0.0,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.218,43.406
8.525,stream,2.0,181.2421875,1.0,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.281,43.437
9.026,stream,2.0,181.24609375,0.3,2016.671875,2148.0,0.0,3139.0,482.0,1004.0,43.093,43.593
9.527,stream,4.0,181.25390625,2.0,2012.80859375,2144.0,0.0,3220.0,482.0,1004.0,43.093,43.5
10.029,stream,2.0,181.2578125,0.0,2012.69140625,2144.0,0.0,3180.0,482.0,1004.0,43.0,43.468
10.530,stream,2.0,181.265625,0.3,2012.69140625,2144.0,0.0,3180.0,482.0,1004.0,43.25,43.406
11.032,stream,4.0,181.27734375,1.0,2012.69140625,2144.0,0.0,3180.0,482.0,1004.0,43.031,43.5
11.533,stream,4.0,181.28125,0.3,2012.69140625,2144.0,0.0,3139.0,482.0,1004.0,43.125,43.562
12.034,stream,2.0,181.2890625,0.7,2012.69140625,2144.0,0.0,3134.0,482.0,1004.0,43.031,43.5
12.535,stream,2.0,181.296875,0.3,2012.69140625,2144.0,0.0,3139.0,482.0,1004.0,43.031,43.437
13.036,stream,4.0,181.3125,1.7,2012.69140625,2144.0,0.0,3180.0,482.0,1004.0,43.0,43.406
13.538,stream,2.0,181.3203125,2.7,2012.6796875,2144.0,0.0,3220.0,522.0,1004.0,43.25,43.406
14.039,stream,2.0,181.3203125,0.3,2011.46875,2144.0,0.0,3180.0,482.0,1004.0,43.25,43.437
14.540,stream,4.0,181.32421875,0.3,2011.46875,2143.0,0.0,3139.0,482.0,1004.0,43.312,43.312
15.041,stream,4.0,181.33203125,1.0,2011.46875,2143.0,0.0,3220.0,482.0,1004.0,43.156,43.5
15.542,stream,2.0,181.33984375,0.7,2008.640625,2143.0,0.0,3139.0,482.0,1004.0,43.156,43.531
16.043,stream,4.0,181.34765625,0.0,2008.39453125,2140.0,0.0,3139.0,482.0,1004.0,43.062,43.5
16.545,stream,2.0,181.35546875,0.7,2008.39453125,2140.0,0.0,3139.0,482.0,1004.0,42.968,43.468
17.046,stream,2.0,181.36328125,0.3,2008.39453125,2140.0,0.0,3139.0,482.0,1004.0,43.25,43.437
17.547,stream,2.0,181.3671875,0.3,2006.19140625,2140.0,0.0,3139.0,482.0,1004.0,43.187,43.343
18.048,stream,4.0,181.375,0.7,2006.19140625,2138.0,0.0,3139.0,482.0,1004.0,43.031,43.531
18.549,stream,2.0,181.3828125,0.0,2006.19140625,2138.0,0.0,3139.0,482.0,1004.0,43.062,43.437
19.050,stream,4.0,181.39453125,0.7,2006.41015625,2138.0,0.0,3139.0,482.0,1004.0,42.937,43.406
19.552,stream,2.0,181.40234375,0.3,2004.265625,2136.0,0.0,3139.0,482.0,1004.0,43.187,43.437
20.053,stream,2.0,181.40625,0.3,2004.01953125,2136.0,0.0,3134.0,482.0,1004.0,43.281,43.375
20.554,stream,2.0,181.41796875,0.7,2004.01953125,2136.0,0.0,3175.0,482.0,1004.0,43.156,43.562
21.055,stream,6.0,181.421875,0.7,2001.12109375,2136.0,0.0,3139.0,482.0,1004.0,43.0,43.5
21.556,stream,2.0,181.4296875,0.3,2001.3671875,2133.0,0.0,3139.0,482.0,1004.0,43.062,43.5
22.057,stream,2.0,181.43359375,0.3,1999.125,2133.0,0.0,3139.0,482.0,1004.0,42.937,43.437
22.559,stream,2.0,181.4375,0.7,1999.125,2131.0,0.0,3139.0,482.0,1004.0,43.156,43.375
23.060,stream,4.0,181.44140625,1.0,1999.12109375,2131.0,0.0,3139.0,482.0,1004.0,43.187,43.375
23.561,stream,2.0,181.44921875,0.3,1999.12109375,2131.0,0.0,3139.0,482.0,1004.0,43.0,43.562
24.062,stream,2.0,181.44921875,0.7,1997.12109375,2131.0,0.0,3139.0,482.0,1004.0,43.093,43.468
24.563,stream,4.0,181.44921875,0.3,1997.12109375,2129.0,0.0,3139.0,482.0,1004.0,42.968,43.531
25.064,stream,2.0,181.45703125,0.7,1997.3671875,2129.0,0.0,3139.0,482.0,1004.0,43.187,43.468
25.566,stream,4.0,181.4609375,0.7,1997.3671875,2129.0,0.0,3139.0,482.0,1004.0,43.312,43.375
26.067,stream,4.0,181.4609375,0.3,1995.1171875,2129.0,0.0,3180.0,482.0,1004.0,43.156,43.25
26.568,stream,2.0,181.4609375,0.3,1995.1171875,2127.0,0.0,3139.0,482.0,1004.0,43.093,43.531
27.069,stream,4.0,181.4609375,1.7,1995.109375,2127.0,0.0,3139.0,482.0,1004.0,43.062,43.375
27.570,stream,2.0,181.4609375,0.3,1995.109375,2127.0,0.0,3134.0,482.0,1004.0,43.0,43.375
28.072,stream,4.0,181.4609375,0.7,1995.109375,2127.0,0.0,3139.0,482.0,1004.0,43.187,43.343
28.573,stream,2.0,181.4609375,0.0,1995.109375,2127.0,0.0,3139.0,482.0,1004.0,43.187,43.406
29.074,stream,2.0,181.4609375,0.7,1990.125,2127.0,0.0,3139.0,482.0,1004.0,43.0,43.468
29.575,stream,4.0,181.4609375,0.3,1990.125,2122.0,0.0,3175.0,482.0,1004.0,43.093,43.562
30.076,stream,2.0,181.4609375,0.3,1990.125,2122.0,0.0,3180.0,482.0,1004.0,42.937,43.468
30.577,stream,2.0,181.4609375,0.3,1990.125,2122.0,0.0,3139.0,482.0,1004.0,43.218,43.531
31.078,stream,6.0,181.4609375,0.3,1990.125,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.468
31.579,stream,2.0,181.46484375,1.0,1990.125,2122.0,0.0,3180.0,482.0,1004.0,43.156,43.375
32.080,stream,2.0,181.46484375,0.0,1990.1171875,2122.0,0.0,3139.0,482.0,1004.0,43.156,43.562
32.582,stream,2.0,181.46484375,0.3,1990.1171875,2122.0,0.0,3134.0,482.0,1004.0,43.0,43.437
33.083,stream,4.0,181.46484375,1.0,1990.1171875,2122.0,0.0,3175.0,482.0,1004.0,42.906,43.375
33.584,stream,2.0,181.46484375,0.7,1990.1171875,2122.0,0.0,3180.0,482.0,1004.0,43.187,43.375
34.085,stream,4.0,181.46875,0.0,1990.609375,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.406
34.586,stream,2.0,181.46875,0.7,1990.609375,2122.0,0.0,3139.0,482.0,1004.0,43.25,43.343
35.087,stream,2.0,181.47265625,0.3,1990.609375,2122.0,0.0,3139.0,482.0,1004.0,43.062,43.468
35.588,stream,4.0,181.47265625,1.0,1990.609375,2122.0,0.0,3134.0,482.0,1004.0,43.156,43.468
36.089,stream,2.0,181.47265625,0.0,1990.609375,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.406
36.590,stream,2.0,181.4765625,1.0,1990.609375,2122.0,0.0,3180.0,482.0,1004.0,42.968,43.468
37.092,stream,4.0,181.4765625,0.3,1990.6015625,2122.0,0.0,3175.0,482.0,1004.0,43.187,43.375
37.593,stream,2.0,181.48046875,1.0,1990.6015625,2122.0,0.0,3180.0,482.0,1004.0,43.187,43.343
38.094,stream,2.0,181.48046875,0.3,1990.6015625,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.531
38.595,stream,2.0,181.484375,0.3,1990.6015625,2122.0,0.0,3139.0,482.0,1004.0,43.062,43.5
39.096,stream,6.0,181.48828125,0.3,1990.6015625,2122.0,0.0,3139.0,482.0,1004.0,43.0,43.468
39.598,stream,2.0,181.48828125,1.0,1990.6015625,2122.0,0.0,3139.0,482.0,1004.0,43.281,43.468
40.099,stream,2.0,181.48828125,1.0,1990.59375,2122.0,0.0,3139.0,482.0,1004.0,43.25,43.406
40.600,stream,2.0,181.48828125,0.3,1990.59375,2122.0,0.0,3139.0,482.0,1004.0,43.125,43.375
41.101,stream,4.0,181.48828125,0.0,1990.59375,2122.0,0.0,3134.0,482.0,1004.0,43.125,43.5
41.602,stream,2.0,181.4921875,0.3,1990.59375,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.468
42.103,stream,2.0,181.4921875,1.0,1990.59375,2122.0,0.0,3180.0,482.0,1004.0,42.937,43.375
42.604,stream,4.0,181.4921875,0.7,1990.59375,2122.0,0.0,3180.0,482.0,1004.0,43.187,43.531
43.106,stream,4.0,181.4921875,0.3,1990.5859375,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.406
43.607,stream,2.0,181.4921875,0.3,1990.5859375,2122.0,0.0,3139.0,482.0,1004.0,43.281,43.468
44.108,stream,2.0,181.49609375,0.7,1990.5859375,2122.0,0.0,3139.0,482.0,1004.0,43.093,43.343
44.609,stream,2.0,181.5,0.7,1990.5859375,2122.0,0.0,3139.0,482.0,1004.0,43.125,43.375
45.110,stream,4.0,181.5,0.3,1990.58203125,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.562
45.612,stream,4.0,181.5,0.7,1990.58203125,2122.0,0.0,3134.0,482.0,1004.0,43.031,43.5
46.113,stream,2.0,181.50390625,0.7,1990.58203125,2122.0,0.0,3134.0,482.0,1004.0,42.937,43.468
46.614,stream,4.0,181.50390625,0.0,1990.58203125,2122.0,0.0,3139.0,482.0,1004.0,42.968,43.437
47.116,stream,2.0,181.50390625,1.0,1990.58203125,2122.0,0.0,3139.0,482.0,1004.0,43.281,43.406
47.617,stream,2.0,181.50390625,0.0,1990.58203125,2122.0,0.0,3134.0,482.0,1004.0,43.375,43.375
48.118,stream,2.0,181.50390625,0.0,1990.57421875,2122.0,0.0,3180.0,482.0,1004.0,43.156,43.625
48.619,stream,4.0,181.50390625,1.3,1990.57421875,2122.0,0.0,3180.0,482.0,1004.0,43.0,43.468
49.121,stream,4.0,181.5078125,0.3,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.375
49.622,stream,2.0,181.5078125,0.3,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.031,43.375
50.123,stream,2.0,181.51171875,0.7,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.0,43.5
50.624,stream,6.0,181.515625,1.0,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.406
51.126,stream,2.0,181.51953125,0.7,1990.57421875,2122.0,0.0,3180.0,482.0,1004.0,43.218,43.437
51.628,stream,2.0,181.51953125,1.0,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.25,43.468
52.129,stream,4.0,181.51953125,0.3,1990.57421875,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.468
52.630,stream,2.0,181.51953125,0.3,1990.57421875,2122.0,0.0,3134.0,482.0,1004.0,43.187,43.468
53.131,stream,2.0,181.51953125,0.7,1990.56640625,2122.0,0.0,3134.0,482.0,1004.0,43.187,43.375
53.632,stream,4.0,181.51953125,1.0,1990.56640625,2122.0,0.0,3180.0,482.0,1004.0,43.281,43.406
54.134,stream,4.0,181.51953125,0.3,1990.55859375,2122.0,0.0,3180.0,482.0,1004.0,43.093,43.406
54.635,stream,2.0,181.51953125,1.0,1990.55859375,2122.0,0.0,3139.0,482.0,1004.0,43.156,43.625
55.136,stream,4.0,181.5234375,0.7,1990.55859375,2122.0,0.0,3180.0,482.0,1004.0,43.093,43.437
55.637,stream,2.0,181.5234375,0.3,1990.55859375,2122.0,0.0,3134.0,482.0,1004.0,42.968,43.375
56.138,stream,2.0,181.5234375,0.7,1990.55859375,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.343
56.639,stream,2.0,181.5234375,0.0,1990.55859375,2122.0,0.0,3139.0,482.0,1004.0,43.187,43.406
57.140,stream,4.0,181.5234375,1.7,1990.55859375,2122.0,0.0,3134.0,482.0,1004.0,43.406,43.406
57.641,stream,4.0,181.52734375,0.0,1990.55859375,2122.0,0.0,3139.0,482.0,1004.0,43.093,43.406
58.142,stream,2.0,181.52734375,0.3,1990.55859375,2122.0,0.0,3139.0,482.0,1004.0,43.156,43.562
58.644,stream,4.0,181.53125,0.7,1990.55859375,2122.0,0.0,3175.0,482.0,1004.0,42.968,43.5
59.145,stream,2.0,181.53125,0.7,1990.55078125,2122.0,0.0,3215.0,482.0,1004.0,43.031,43.531
59.646,stream,2.0,181.53125,0.0,1990.55078125,2122.0,0.0,3180.0,482.0,1004.0,43.125,43.343
60.147,stream,2.0,181.53515625,1.0,1990.55078125,2122.0,0.0,3180.0,482.0,1004.0,43.187,43.468
60.648,stream,4.0,181.53515625,0.3,1990.55078125,2122.0,0.0,3139.0,482.0,1004.0,43.25,43.406
61.149,stream,2.0,181.53515625,0.7,1990.55078125,2122.0,0.0,3134.0,482.0,1004.0,43.062,43.5
