t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,180.66796875,1.3,1917.91015625,,,,,,,
1.006,warmup,0.0,180.68359375,0.7,1917.8984375,2043.0,21.0,3778.0,642.0,1125.0,44.375,44.812
1.507,warmup,0.0,180.6875,1.0,1917.8984375,2043.0,0.0,3617.0,522.0,1125.0,44.187,44.687
2.008,warmup,0.0,180.6953125,2.0,1917.8984375,2043.0,0.0,3536.0,482.0,1085.0,44.281,44.781
2.509,stream,2.0,180.6953125,1.7,1917.8984375,2043.0,0.0,3617.0,482.0,1125.0,44.562,44.75
3.010,stream,2.0,180.703125,3.0,1917.8984375,2043.0,0.0,3617.0,482.0,1085.0,44.312,44.687
3.512,stream,4.0,180.7734375,2.6,1917.8984375,2043.0,0.0,3577.0,482.0,1085.0,44.5,44.718
4.013,stream,2.0,180.78125,4.2,1917.8984375,2043.0,0.0,3577.0,482.0,1085.0,44.562,44.656
4.514,stream,2.0,180.78515625,2.6,1917.8984375,2043.0,0.0,3617.0,482.0,1085.0,44.437,44.718
5.015,stream,4.0,180.79296875,3.0,1917.88671875,2043.0,0.0,3577.0,482.0,1085.0,44.187,44.843
5.516,stream,2.0,180.796875,2.6,1917.88671875,2043.0,0.0,3577.0,482.0,1085.0,44.187,44.687
6.017,stream,4.0,180.8046875,2.3,1917.88671875,2043.0,0.0,3536.0,482.0,1085.0,44.531,44.812
6.518,stream,2.0,180.8125,3.3,1917.88671875,2043.0,0.0,3577.0,482.0,1085.0,44.281,44.718
7.019,stream,4.0,180.8203125,3.3,1917.88671875,2043.0,0.0,3536.0,482.0,1085.0,44.375,44.656
7.520,stream,2.0,180.828125,3.9,1917.88671875,2043.0,0.0,3577.0,482.0,1085.0,44.218,44.781
8.021,stream,2.0,180.83984375,2.3,1917.88671875,2043.0,0.0,3617.0,482.0,1085.0,44.343,44.781
8.522,stream,4.0,180.84765625,2.9,1917.88671875,2043.0,0.0,3577.0,482.0,1085.0,44.156,44.718
9.023,stream,4.0,180.8515625,3.0,1910.265625,2043.0,0.0,3536.0,482.0,1085.0,44.406,44.625
9.524,stream,2.0,180.859375,2.0,1910.265625,2036.0,0.0,3657.0,482.0,1085.0,44.468,44.656
10.026,stream,2.0,180.87109375,2.9,1907.63671875,2036.0,0.0,3577.0,482.0,1085.0,44.312,44.875
10.527,stream,4.0,180.875,2.0,1907.63671875,2033.0,0.0,3577.0,482.0,1085.0,44.281,44.937
11.028,stream,2.0,180.88671875,2.3,1907.45703125,2033.0,0.0,3536.0,482.0,1085.0,44.187,44.843
11.529,stream,4.0,180.89453125,2.9,1907.45703125,2033.0,0.0,3536.0,482.0,1085.0,44.125,44.656
12.030,stream,0.0,180.90234375,2.3,1905.4375,2033.0,0.0,3536.0,482.0,1085.0,44.312,44.687
12.531,stream,4.0,180.91015625,2.3,1905.4375,2031.0,0.0,3536.0,482.0,1125.0,44.406,44.656
13.032,stream,2.0,180.91796875,2.6,1903.44921875,2031.0,0.0,3536.0,482.0,1085.0,44.375,44.718
13.533,stream,4.0,180.92578125,2.6,1903.44921875,2029.0,0.0,3577.0,482.0,1085.0,44.187,44.75
14.034,stream,2.0,180.92578125,1.7,1903.4375,2029.0,0.0,3536.0,482.0,1085.0,44.25,44.781
14.535,stream,2.0,180.93359375,2.9,1903.4375,2029.0,0.0,3577.0,482.0,1085.0,44.125,44.656
15.036,stream,6.0,180.94140625,2.0,1901.20703125,2029.0,0.0,3577.0,482.0,1085.0,44.343,44.593
15.537,stream,0.0,180.9453125,1.3,1901.453125,2026.0,0.0,3577.0,482.0,1085.0,44.437,44.687
16.038,stream,4.0,180.94921875,3.0,1901.453125,2027.0,0.0,3577.0,482.0,1085.0,44.437,44.625
16.539,stream,2.0,180.9609375,1.7,1901.453125,2027.0,0.0,3577.0,482.0,1085.0,44.25,44.781
17.040,stream,2.0,180.96875,2.9,1901.453125,2027.0,0.0,3536.0,482.0,1085.0,44.156,44.656
17.541,stream,4.0,180.97265625,2.6,1901.453125,2027.0,0.0,3577.0,482.0,1085.0,44.156,44.625
18.042,stream,2.0,180.984375,2.3,1901.453125,2027.0,0.0,3536.0,482.0,1085.0,44.343,44.562
18.544,stream,2.0,180.98828125,2.6,1901.453125,2027.0,0.0,3577.0,482.0,1085.0,44.5,44.656
19.045,stream,4.0,181.00390625,2.6,1901.453125,2027.0,0.0,3536.0,482.0,1085.0,44.437,44.75
19.546,stream,4.0,181.01171875,2.9,1901.453125,2027.0,0.0,3536.0,482.0,1085.0,44.343,44.843
20.047,stream,2.0,181.015625,1.3,1901.453125,2027.0,0.0,3536.0,482.0,1085.0,44.312,44.718
20.548,stream,2.0,181.0234375,2.3,1901.453125,2027.0,0.0,3577.0,482.0,1085.0,44.156,44.781
21.049,stream,4.0,181.02734375,2.3,1901.4453125,2027.0,0.0,3577.0,482.0,1085.0,44.187,44.687
21.550,stream,2.0,181.03515625,2.6,1901.4453125,2027.0,0.0,3536.0,482.0,1085.0,44.281,44.656
22.051,stream,4.0,181.0390625,2.6,1901.6640625,2027.0,0.0,3536.0,482.0,1085.0,44.375,44.718
22.552,stream,2.0,181.04296875,3.9,1901.6640625,2027.0,0.0,3536.0,482.0,1085.0,44.281,44.593
23.053,stream,2.0,181.046875,2.0,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.25,44.656
23.554,stream,4.0,181.046875,3.3,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.281,44.75
24.055,stream,2.0,181.046875,2.3,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.156,44.75
24.556,stream,2.0,181.046875,2.3,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.187,44.687
25.057,stream,4.0,181.0546875,2.6,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.25,44.718
25.558,stream,2.0,181.0546875,3.3,1901.66015625,2027.0,0.0,3536.0,482.0,1085.0,44.25,44.562
26.059,stream,4.0,181.0546875,1.3,1901.64453125,2027.0,0.0,3577.0,482.0,1085.0,44.437,44.656
26.560,stream,0.0,181.0546875,2.0,1901.64453125,2027.0,0.0,3536.0,482.0,1085.0,44.406,44.656
27.061,stream,6.0,181.0546875,2.0,1901.64453125,2027.0,0.0,3536.0,482.0,1085.0,44.281,44.656
