0.527 09-16-2026 12:46:02 RAM 2234/7486MB (lfb 9x4MB) CPU [8%@1344,11%@1344,6%@1344,88%@1344,1%@960,0%@960] GR3D_FREQ 22% cpu@44.937C/44.937C soc2@44.375C/44.375C soc0@45.031C/45.031C gpu@44.75C/44.75C tj@45.031C/45.031C soc1@43.718C/43.718C VDD_IN 4326mW/4326mW/4326mW VDD_CPU_GPU_CV 1121mW/1121mW/1121mW VDD_SOC 1121mW/1121mW/1121mW
1.033 09-16-2026 12:46:03 RAM 2235/7486MB (lfb 9x4MB) CPU [13%@1344,9%@1344,3%@1344,86%@1344,3%@729,6%@729] GR3D_FREQ 3% cpu@44.625C/44.937C soc2@44.281C/44.375C soc0@45.062C/45.062C gpu@44.531C/44.75C tj@45.062C/45.062C soc1@43.781C/43.781C VDD_IN 4293mW/4310mW/4326mW VDD_CPU_GPU_CV 1081mW/1101mW/1121mW VDD_SOC 1121mW/1121mW/1121mW
1.539 09-16-2026 12:46:03 RAM 2236/7486MB (lfb 9x4MB) CPU [10%@729,11%@729,8%@729,34%@729,3%@729,2%@729] GR3D_FREQ 0% cpu@44.437C/44.937C soc2@44.25C/44.375C soc0@44.906C/45.062C gpu@44.781C/44.781C tj@44.906C/45.062C soc1@43.843C/43.843C VDD_IN 4012mW/4210mW/4326mW VDD_CPU_GPU_CV 842mW/1015mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
2.046 09-16-2026 12:46:04 RAM 2236/7486MB (lfb 9x4MB) CPU [9%@729,6%@729,6%@729,2%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@44.343C/44.937C soc2@44.187C/44.375C soc0@44.75C/45.062C gpu@44.968C/44.968C tj@44.968C/45.062C soc1@43.781C/43.843C VDD_IN 3778mW/4102mW/4326mW VDD_CPU_GPU_CV 642mW/922mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
2.552 09-16-2026 12:46:04 RAM 2236/7486MB (lfb 9x4MB) CPU [8%@883,23%@883,7%@883,13%@883,0%@729,3%@729] GR3D_FREQ 21% cpu@44.687C/44.937C soc2@44.375C/44.375C soc0@44.562C/45.062C gpu@44.718C/44.968C tj@44.718C/45.062C soc1@43.75C/43.843C VDD_IN 3858mW/4053mW/4326mW VDD_CPU_GPU_CV 682mW/874mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
3.062 09-16-2026 12:46:05 RAM 2237/7486MB (lfb 9x4MB) CPU [13%@1344,74%@1344,10%@1344,22%@1344,0%@729,3%@729] GR3D_FREQ 22% cpu@44.718C/44.937C soc2@44.437C/44.437C soc0@44.781C/45.062C gpu@44.656C/44.968C tj@44.781C/45.062C soc1@43.812C/43.843C VDD_IN 4173mW/4073mW/4326mW VDD_CPU_GPU_CV 963mW/889mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
3.568 09-16-2026 12:46:05 RAM 2237/7486MB (lfb 9x4MB) CPU [8%@1344,88%@1344,4%@1344,2%@1344,0%@729,2%@729] GR3D_FREQ 21% cpu@44.718C/44.937C soc2@44.437C/44.437C soc0@44.718C/45.062C gpu@44.5C/44.968C tj@44.718C/45.062C soc1@43.687C/43.843C VDD_IN 4253mW/4099mW/4326mW VDD_CPU_GPU_CV 1041mW/910mW/1121mW VDD_SOC 1121mW/1122mW/1123mW
4.075 09-16-2026 12:46:06 RAM 2236/7486MB (lfb 9x4MB) CPU [8%@729,60%@729,8%@729,8%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@44.625C/44.937C soc2@44.312C/44.437C soc0@44.906C/45.062C gpu@44.625C/44.968C tj@44.906C/45.062C soc1@43.718C/43.843C VDD_IN 4093mW/4098mW/4326mW VDD_CPU_GPU_CV 922mW/912mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
4.585 09-16-2026 12:46:06 RAM 2236/7486MB (lfb 9x4MB) CPU [13%@729,7%@729,9%@729,15%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@44.75C/44.937C soc2@44.343C/44.437C soc0@44.75C/45.062C gpu@44.687C/44.968C tj@44.75C/45.062C soc1@43.718C/43.843C VDD_IN 3898mW/4076mW/4326mW VDD_CPU_GPU_CV 722mW/891mW/1121mW VDD_SOC 1123mW/1122mW/1123mW
5.094 09-16-2026 12:46:07 RAM 2236/7486MB (lfb 9x4MB) CPU [4%@729,5%@729,9%@729,8%@729,1%@729,3%@729] GR3D_FREQ 0% cpu@44.406C/44.937C soc2@44.437C/44.437C soc0@44.781C/45.062C gpu@44.75C/44.968C tj@44.781C/45.062C soc1@43.718C/43.843C VDD_IN 3737mW/4042mW/4326mW VDD_CPU_GPU_CV 601mW/862mW/1121mW VDD_SOC 1125mW/1123mW/1125mW
5.602 09-16-2026 12:46:08 RAM 2236/7486MB (lfb 9x4MB) CPU [11%@883,4%@883,12%@883,48%@883,14%@729,9%@729] GR3D_FREQ 22% cpu@44.656C/44.937C soc2@44.281C/44.437C soc0@44.812C/45.062C gpu@44.437C/44.968C tj@44.812C/45.062C soc1@43.75C/43.843C VDD_IN 3898mW/4029mW/4326mW VDD_CPU_GPU_CV 722mW/849mW/1121mW VDD_SOC 1123mW/1123mW/1125mW
