t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,4.0,182.57421875,1.7,2008.5625,,,,,,,
1.008,warmup,2.0,182.5859375,2.0,2008.80859375,2140.0,0.0,3376.0,643.0,1044.0,43.062,43.562
1.510,warmup,0.0,182.58984375,1.0,2008.8046875,2140.0,0.0,3215.0,522.0,1044.0,43.062,43.562
2.012,warmup,0.0,182.59375,0.7,2008.8046875,2140.0,0.0,3175.0,482.0,1004.0,43.343,43.5
2.513,stream,4.0,182.59765625,0.3,2008.8046875,2140.0,0.0,3175.0,482.0,1004.0,43.062,43.531
3.015,stream,0.0,182.61328125,0.0,2008.8046875,2140.0,0.0,3175.0,482.0,1004.0,43.218,43.468
3.516,stream,4.0,182.6953125,4.7,2008.8046875,2140.0,0.0,3134.0,482.0,1004.0,43.187,43.562
4.018,stream,2.0,182.703125,0.0,2008.8046875,2140.0,0.0,3215.0,522.0,1044.0,43.375,43.468
4.519,stream,4.0,182.7109375,1.0,2008.796875,2140.0,0.0,3215.0,482.0,1004.0,43.125,43.5
5.021,stream,2.0,182.71875,0.3,2008.796875,2140.0,0.0,3175.0,482.0,1004.0,43.031,43.531
5.522,stream,4.0,182.72265625,1.7,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.281,43.5
6.024,stream,2.0,182.734375,0.3,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.281,43.5
6.525,stream,2.0,182.7421875,0.7,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.125,43.5
7.026,stream,6.0,182.75,1.0,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.187,43.531
7.528,stream,2.0,182.75390625,0.7,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.031,43.468
8.029,stream,4.0,182.76171875,1.0,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,42.937,43.5
8.530,stream,2.0,182.76953125,0.3,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.218,43.5
9.031,stream,2.0,182.78125,1.0,2008.796875,2140.0,0.0,3134.0,482.0,1004.0,43.312,43.5
9.533,stream,2.0,182.7890625,1.3,2005.23046875,2140.0,0.0,3175.0,482.0,1004.0,43.218,43.468
10.035,stream,4.0,182.79296875,1.3,2005.23046875,2137.0,0.0,3175.0,482.0,1004.0,43.093,43.625
10.537,stream,2.0,182.80078125,0.7,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.0,43.5
11.038,stream,6.0,182.80859375,1.3,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.156,43.531
11.540,stream,2.0,182.81640625,0.7,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.375,43.468
12.041,stream,2.0,182.828125,0.7,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.093,43.437
12.543,stream,2.0,182.8359375,0.3,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.187,43.468
13.044,stream,4.0,182.84375,1.3,2005.23046875,2137.0,0.0,3134.0,482.0,1004.0,43.0,43.625
13.546,stream,2.0,182.8515625,0.3,2005.21875,2137.0,0.0,3134.0,482.0,1004.0,43.031,43.593
14.047,stream,2.0,182.8515625,0.7,2005.21875,2137.0,0.0,3134.0,482.0,1004.0,42.968,43.593
14.548,stream,2.0,182.859375,1.0,2003.15625,2134.0,0.0,3134.0,482.0,1004.0,43.187,43.437
15.050,stream,4.0,182.8671875,0.7,2003.1484375,2135.0,0.0,3175.0,482.0,1004.0,43.343,43.531
15.551,stream,4.0,182.87109375,0.7,2003.1484375,2135.0,0.0,3134.0,482.0,1004.0,43.093,43.468
16.053,stream,4.0,182.875,0.7,2003.1484375,2135.0,0.0,3134.0,482.0,1004.0,43.093,43.5
16.554,stream,2.0,182.8828125,0.3,2001.41015625,2132.0,0.0,3134.0,482.0,1004.0,43.062,43.531
17.055,stream,4.0,182.890625,1.0,2001.41015625,2133.0,0.0,3134.0,482.0,1004.0,43.0,43.531
17.556,stream,2.0,182.8984375,1.3,1999.9140625,2130.0,0.0,3134.0,482.0,1004.0,43.156,43.437
18.059,stream,2.0,182.90625,0.7,1999.9140625,2131.0,0.0,3134.0,482.0,1004.0,43.187,43.468
18.560,stream,2.0,182.91015625,0.7,1999.9140625,2131.0,0.0,3134.0,482.0,1004.0,43.187,43.375
19.062,stream,4.0,182.9296875,1.0,1999.9140625,2131.0,0.0,3134.0,482.0,1004.0,43.125,43.625
19.563,stream,4.0,182.9375,0.7,1999.2421875,2131.0,0.0,3134.0,482.0,1004.0,43.125,43.593
20.064,stream,2.0,182.94140625,0.7,1999.2421875,2131.0,0.0,3134.0,482.0,1004.0,43.187,43.406
20.566,stream,2.0,182.94921875,1.0,1996.95703125,2128.0,0.0,3175.0,482.0,1004.0,43.281,43.281
21.067,stream,4.0,182.953125,0.7,1996.95703125,2128.0,0.0,3134.0,482.0,1004.0,43.093,43.437
21.569,stream,2.0,182.9609375,0.7,1996.95703125,2128.0,0.0,3134.0,482.0,1004.0,43.187,43.531
