t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,5.87133,1,e_rec,cross-domain,0.6455,0.0000,891.151,890,8.45333,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,42.01,49.58
2.40,3.67,4.17,0,1.09269,1,e_rec,cross-domain,0.4611,0.0000,491.151,490,2.93697,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.59,42.32
2.80,4.07,4.17,0,10.87164,1,e_rec,cross-domain,0.1537,0.0000,91.151,90,11.48640,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.12
3.20,4.47,4.48,0,-3.60046,0,|r_qp|,cross-domain,0.0000,0.0000,3.635,0,-3.60046,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,7.458,48.44
3.60,4.87,4.88,0,6.97594,1,e_rec,cross-domain,0.0000,0.0000,5.343,0,6.97594,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,36.91,11.21
4.00,5.27,5.28,0,6.45390,1,e_rec,cross-domain,0.0000,0.0000,3.846,0,6.45390,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,35.7,7.192
4.40,5.67,5.68,0,-1.42187,0,e_rec,cross-domain,0.0000,0.0000,4.084,0,-1.42187,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,12.33,45.69
4.80,6.07,6.08,0,-1.40303,0,|r_qp|,cross-domain,0.0000,0.0000,4.332,0,-1.40303,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.144,1.861
5.20,6.47,6.48,0,-1.33268,0,|r_qp|,cross-domain,0.0000,0.0000,3.969,0,-1.33268,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,6.071,-0.09879
5.60,6.87,6.88,0,-2.34719,0,|r_qp|,cross-domain,0.0000,0.0000,3.608,0,-2.34719,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.892,45.41
6.00,7.27,7.28,0,-2.51955,0,|r_qp|,cross-domain,0.0000,0.0000,3.517,0,-2.51955,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.5944,0.5425
6.40,7.67,7.68,0,-1.93443,0,|r_qp|,cross-domain,0.0000,0.0000,3.749,0,-1.93443,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.8444,-0.4404
6.80,8.07,8.08,0,-0.05432,1,|r_qp|,cross-domain,0.0000,0.0000,5.138,0,-0.05432,1,-6.243,-2.772,-4.378,0,-8.793,2.957,0.622,6.078,37.73
7.20,8.47,8.48,0,-1.46392,0,|r_qp|,cross-domain,0.0000,0.0000,3.651,0,-1.46392,0,-6.243,-2.772,-4.378,0,-8.793,3.16,1.445,-0.6902,-0.3295
7.60,8.87,8.88,0,-1.23532,0,|r_qp|,cross-domain,0.0000,0.0000,4.687,0,-1.23532,0,-6.243,-2.772,-4.378,0,-8.793,4.169,1.024,-0.1967,-0.3369
8.00,9.27,9.28,0,-0.34884,0,|r_qp|,cross-domain,0.0000,0.0000,3.823,0,-0.34884,0,-6.243,-2.772,-4.378,0,-8.793,4.587,0.8707,5.62,45.96
8.40,9.67,9.68,0,-1.51524,0,|r_qp|,cross-domain,0.0000,0.0000,3.853,0,-1.51524,0,-6.243,-2.772,-4.378,0,-8.793,3.519,0.02623,-1.221,-0.1061
8.80,10.07,10.08,0,-1.40247,0,|r_qp|,cross-domain,0.0000,0.0000,3.702,0,-1.40247,0,-6.243,-2.772,-4.378,0,-8.793,2.085,-0.333,-0.754,0.6938
9.20,10.47,10.48,0,-0.78376,0,|r_qp|,cross-domain,0.0000,0.0000,3.603,0,-0.78376,0,-6.243,-2.772,-4.378,0,-8.793,0.2075,-0.1773,4.637,48.15
9.60,10.87,10.88,0,-1.72136,0,|r_qp|,cross-domain,0.0000,0.0000,2.781,0,-1.72136,0,-6.243,-2.772,-4.378,0,-8.793,-0.5158,0.67,-1.305,-0.6423
10.00,11.27,11.28,0,-1.35595,0,|r_qp|,cross-domain,0.0000,0.0000,4.960,0,-1.35595,0,-6.243,-2.772,-4.378,0,-8.793,0.09866,0.1399,-0.2506,1.168
10.40,11.67,11.68,0,-0.14208,1,|r_qp|,cross-domain,0.0000,0.0000,4.428,0,-0.14208,1,-6.243,-2.772,-4.378,0,-8.793,2.161,0.2384,6.366,46.05
10.80,12.07,12.08,0,-1.27951,0,|r_qp|,cross-domain,0.0000,0.0000,3.850,0,-1.27951,0,-6.243,-2.772,-4.378,0,-8.793,3.196,0.6116,-0.3395,-0.4597
11.20,12.47,12.48,0,-1.08799,0,|r_qp|,cross-domain,0.0000,0.0000,3.644,0,-1.08799,0,-6.243,-2.772,-4.378,0,-8.793,4.671,0.1339,0.07134,0.924
11.60,12.87,12.88,0,-0.07641,1,|r_qp|,cross-domain,0.0000,0.0000,3.747,0,-0.07641,1,-6.243,-2.772,-4.378,0,-8.793,4.797,0.3089,6.275,45.6
12.00,13.27,13.28,0,-1.35312,0,|r_qp|,cross-domain,0.0000,0.0000,3.527,0,-1.35312,0,-6.243,-2.772,-4.378,0,-8.793,4.208,0.702,-0.6402,-0.2916
12.40,13.67,13.68,0,-1.32627,0,|r_qp|,cross-domain,0.0000,0.0000,3.719,0,-1.32627,0,-6.243,-2.772,-4.378,0,-8.793,3.387,0.2894,-0.5387,0.1912
12.80,14.07,14.08,0,-0.67410,0,|r_qp|,cross-domain,0.0000,0.0000,5.261,0,-0.67410,0,-6.243,-2.772,-4.378,0,-8.793,1.951,0.003682,4.956,49.94
13.20,14.47,14.48,0,-1.56339,0,|r_qp|,cross-domain,0.0000,0.0000,4.039,0,-1.56339,0,-6.243,-2.772,-4.378,0,-8.793,1.085,0.3184,-1.071,-0.5832
13.60,14.87,14.88,0,-1.51417,0,|r_qp|,cross-domain,0.0000,0.0000,4.080,0,-1.51417,0,-6.243,-2.772,-4.378,0,-8.793,0.4456,-0.1543,-0.8616,0.9667
14.00,15.27,15.28,0,-1.07786,0,|r_qp|,cross-domain,0.0000,0.0000,3.673,0,-1.07786,0,-6.243,-2.772,-4.378,0,-8.793,0.474,0.04943,3.883,50
14.40,15.67,15.68,0,-1.31485,0,|r_qp|,cross-domain,0.0000,0.0000,3.740,0,-1.31485,0,-6.243,-2.772,-4.378,0,-8.793,0.794,0.8527,-0.1335,-0.4572
