t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,5.87135,1,e_rec,cross-domain,0.6455,0.0000,891.229,890,8.45336,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,42.01,49.58
2.40,3.67,4.17,0,1.09265,1,e_rec,cross-domain,0.4611,0.0000,491.229,490,2.93694,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.59,42.32
2.80,4.07,4.17,0,10.87163,1,e_rec,cross-domain,0.1537,0.0000,91.229,90,11.48639,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.12
3.20,4.47,4.48,0,-3.60045,0,|r_qp|,cross-domain,0.0000,0.0000,3.553,0,-3.60045,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,7.458,48.44
3.60,4.87,4.88,0,6.97600,1,e_rec,cross-domain,0.0000,0.0000,3.490,0,6.97600,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,36.91,11.21
4.00,5.27,5.28,0,6.45386,1,e_rec,cross-domain,0.0000,0.0000,3.646,0,6.45386,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,35.7,7.192
4.40,5.67,5.68,0,-1.42196,0,e_rec,cross-domain,0.0000,0.0000,3.659,0,-1.42196,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,12.33,45.69
4.80,6.07,6.08,0,-1.40286,0,|r_qp|,cross-domain,0.0000,0.0000,3.715,0,-1.40286,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.145,1.861
5.20,6.47,6.48,0,-1.33264,0,|r_qp|,cross-domain,0.0000,0.0000,3.628,0,-1.33264,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,6.071,-0.09886
5.60,6.87,6.88,0,-2.34722,0,|r_qp|,cross-domain,0.0000,0.0000,3.440,0,-2.34722,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.892,45.41
6.00,7.27,7.28,0,-2.51953,0,|r_qp|,cross-domain,0.0000,0.0000,3.593,0,-2.51953,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.5943,0.5421
6.40,7.67,7.68,0,-1.93444,0,|r_qp|,cross-domain,0.0000,0.0000,3.622,0,-1.93444,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.8444,-0.4403
6.80,8.07,8.08,0,-0.05424,1,|r_qp|,cross-domain,0.0000,0.0000,3.597,0,-0.05424,1,-6.243,-2.772,-4.378,0,-8.793,2.958,0.622,6.078,37.73
7.20,8.47,8.48,0,-1.46402,0,|r_qp|,cross-domain,0.0000,0.0000,3.654,0,-1.46402,0,-6.243,-2.772,-4.378,0,-8.793,3.16,1.445,-0.6906,-0.3298
7.60,8.87,8.88,0,-1.23532,0,|r_qp|,cross-domain,0.0000,0.0000,3.606,0,-1.23532,0,-6.243,-2.772,-4.378,0,-8.793,4.169,1.024,-0.1967,-0.3365
8.00,9.27,9.28,0,-0.34891,0,|r_qp|,cross-domain,0.0000,0.0000,4.145,0,-0.34891,0,-6.243,-2.772,-4.378,0,-8.793,4.587,0.8706,5.62,45.96
