t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,4.0,180.39453125,2.3,2017.1171875,,,,,,,
1.008,warmup,0.0,180.40625,0.0,2017.1171875,2149.0,0.0,3416.0,643.0,1044.0,43.125,43.5
1.509,warmup,0.0,180.41015625,0.3,2017.11328125,2149.0,0.0,3220.0,522.0,1044.0,43.0,43.531
2.011,warmup,0.0,180.41796875,1.0,2017.11328125,2149.0,0.0,3180.0,482.0,1004.0,43.25,43.468
2.512,stream,4.0,180.41796875,0.7,2017.11328125,2149.0,0.0,3180.0,482.0,1004.0,43.218,43.5
3.014,stream,2.0,180.43359375,0.3,2017.11328125,2149.0,0.0,3180.0,482.0,1004.0,43.093,43.375
3.515,stream,2.0,180.51171875,0.7,2017.11328125,2149.0,0.0,3139.0,482.0,1004.0,43.125,43.593
4.016,stream,4.0,180.51953125,1.3,2017.11328125,2149.0,0.0,3139.0,482.0,1004.0,43.062,43.593
4.518,stream,2.0,180.5234375,0.0,2017.1015625,2149.0,0.0,3220.0,482.0,1004.0,43.0,43.5
5.019,stream,4.0,180.53125,1.3,2017.1015625,2149.0,0.0,3180.0,482.0,1004.0,43.125,43.406
5.521,stream,2.0,180.53515625,1.0,2017.1015625,2149.0,0.0,3180.0,482.0,1004.0,43.218,43.343
6.022,stream,2.0,180.54296875,0.7,2017.1015625,2149.0,0.0,3139.0,482.0,1004.0,43.187,43.437
6.523,stream,4.0,180.5546875,0.3,2017.1015625,2149.0,0.0,3139.0,482.0,1004.0,43.062,43.531
7.025,stream,2.0,180.5625,1.3,2017.1015625,2149.0,0.0,3180.0,482.0,1004.0,43.0,43.531
7.526,stream,4.0,180.5703125,0.3,2016.3515625,2149.0,0.0,3139.0,482.0,1004.0,42.968,43.406
8.027,stream,2.0,180.58203125,1.0,2016.3515625,2148.0,0.0,3180.0,482.0,1004.0,43.25,43.437
8.529,stream,4.0,180.58984375,0.3,2015.125,2148.0,0.0,3139.0,482.0,1004.0,43.062,43.406
9.030,stream,2.0,180.59375,0.7,2015.125,2147.0,0.0,3139.0,482.0,1004.0,43.062,43.562
9.532,stream,6.0,180.6015625,1.7,2009.10546875,2147.0,0.0,3139.0,482.0,1004.0,42.968,43.468
10.033,stream,2.0,180.60546875,0.7,2009.10546875,2141.0,0.0,3180.0,482.0,1004.0,43.031,43.406
10.535,stream,2.0,180.61328125,0.3,2007.2265625,2141.0,0.0,3139.0,482.0,1004.0,42.968,43.343
11.036,stream,4.0,180.62109375,1.0,2007.2265625,2139.0,0.0,3139.0,482.0,1004.0,43.218,43.375
11.538,stream,2.0,180.625,1.3,2004.85546875,2137.0,0.0,3139.0,482.0,1004.0,43.218,43.406
12.041,stream,2.0,180.63671875,0.7,2004.85546875,2137.0,0.0,3139.0,482.0,1004.0,43.031,43.531
12.542,stream,4.0,180.64453125,0.0,2002.85546875,2135.0,0.0,3139.0,482.0,1004.0,43.062,43.468
13.044,stream,4.0,180.66015625,1.7,2002.85546875,2135.0,0.0,3139.0,482.0,1004.0,42.968,43.437
13.546,stream,2.0,180.66796875,0.0,2000.13671875,2133.0,0.0,3180.0,482.0,1004.0,43.218,43.468
14.048,stream,4.0,180.66796875,0.7,1999.890625,2132.0,0.0,3139.0,482.0,1004.0,43.0,43.343
14.550,stream,2.0,180.671875,0.3,1999.890625,2132.0,0.0,3139.0,482.0,1004.0,43.062,43.468
15.051,stream,4.0,180.68359375,1.0,1999.890625,2132.0,0.0,3139.0,482.0,1004.0,43.0,43.5
15.553,stream,2.0,180.69140625,0.3,1997.8828125,2130.0,0.0,3180.0,482.0,1004.0,43.0,43.437
16.055,stream,4.0,180.69921875,1.0,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,42.906,43.468
16.557,stream,2.0,180.70703125,1.0,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,42.968,43.468
17.058,stream,2.0,180.71484375,1.0,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,43.062,43.406
17.560,stream,4.0,180.71875,0.7,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,43.312,43.375
18.062,stream,2.0,180.7265625,0.3,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,43.156,43.437
18.563,stream,2.0,180.73046875,1.0,1998.12890625,2130.0,0.0,3175.0,482.0,1004.0,43.156,43.375
19.065,stream,4.0,180.74609375,0.7,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,43.25,43.312
19.567,stream,4.0,180.75390625,0.7,1998.12890625,2130.0,0.0,3139.0,482.0,1004.0,42.968,43.406
