t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,174.77734375,1.7,2053.78515625,,,,,,,
1.007,warmup,0.0,174.7890625,4.6,2055.99609375,2189.0,0.0,3341.0,683.0,1044.0,43.437,43.562
1.510,warmup,0.0,174.79296875,1.0,2055.99609375,2189.0,0.0,3139.0,563.0,1046.0,43.187,43.375
2.012,warmup,0.0,174.796875,0.0,2055.99609375,2189.0,0.0,3059.0,523.0,1006.0,43.187,43.593
2.513,stream,4.0,174.796875,0.3,2055.99609375,2189.0,0.0,3019.0,483.0,1006.0,43.093,43.468
3.014,stream,2.0,174.8125,0.7,2055.99609375,2189.0,0.0,3019.0,483.0,1006.0,43.0,43.5
3.516,stream,2.0,174.88671875,0.3,2055.99609375,2189.0,0.0,3019.0,483.0,1006.0,43.093,43.406
4.017,stream,4.0,174.89453125,5.6,2056.46875,2189.0,0.0,3019.0,483.0,1006.0,43.187,43.5
4.520,stream,2.0,174.8984375,0.7,2056.46875,2190.0,0.0,3139.0,523.0,1006.0,43.281,43.406
5.022,stream,4.0,174.91015625,1.3,2056.46875,2190.0,0.0,3059.0,483.0,1006.0,43.062,43.437
5.524,stream,4.0,174.9140625,0.7,2056.46875,2190.0,0.0,3019.0,483.0,1006.0,43.125,43.531
6.025,stream,2.0,174.92578125,0.0,2056.46875,2190.0,0.0,3019.0,483.0,1006.0,43.062,43.625
6.527,stream,2.0,174.93359375,1.3,2056.46875,2190.0,0.0,3019.0,483.0,1006.0,43.031,43.531
7.028,stream,4.0,174.9453125,4.1,2053.53515625,2190.0,0.0,3019.0,483.0,1006.0,43.125,43.562
7.531,stream,4.0,174.953125,1.0,2053.53515625,2187.0,0.0,3099.0,523.0,1006.0,43.031,43.468
8.032,stream,2.0,174.9609375,0.7,2051.37890625,2187.0,0.0,3059.0,483.0,1006.0,43.0,43.406
8.534,stream,2.0,174.96875,0.7,2051.34765625,2185.0,0.0,3019.0,483.0,1006.0,43.281,43.593
9.035,stream,4.0,174.97265625,1.0,2051.1015625,2185.0,0.0,3019.0,483.0,1006.0,43.125,43.437
9.536,stream,2.0,174.98046875,1.3,2043.26953125,2177.0,0.0,3099.0,483.0,1006.0,43.218,43.562
