0.521 09-16-2026 16:30:48 RAM 2189/7486MB (lfb 24x4MB) CPU [7%@1344,5%@1344,3%@1344,1%@1344,1%@1113,1%@1113] GR3D_FREQ 0% cpu@43.437C/43.437C soc2@43.031C/43.031C soc0@43.562C/43.562C gpu@43.093C/43.093C tj@43.562C/43.562C soc1@42.281C/42.281C VDD_IN 3341mW/3341mW/3341mW VDD_CPU_GPU_CV 683mW/683mW/683mW VDD_SOC 1044mW/1044mW/1044mW
1.028 09-16-2026 16:30:48 RAM 2189/7486MB (lfb 24x4MB) CPU [5%@729,4%@729,5%@729,4%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@43.062C/43.062C soc0@43.375C/43.562C gpu@43.343C/43.343C tj@43.375C/43.562C soc1@42.343C/42.343C VDD_IN 3139mW/3240mW/3341mW VDD_CPU_GPU_CV 563mW/623mW/683mW VDD_SOC 1046mW/1045mW/1046mW
1.534 09-16-2026 16:30:49 RAM 2189/7486MB (lfb 24x4MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.906C/43.062C soc0@43.562C/43.562C gpu@43.593C/43.593C tj@43.593C/43.593C soc1@42.281C/42.343C VDD_IN 3059mW/3180mW/3341mW VDD_CPU_GPU_CV 523mW/590mW/683mW VDD_SOC 1006mW/1032mW/1046mW
2.039 09-16-2026 16:30:49 RAM 2189/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.437C soc2@43.062C/43.062C soc0@43.468C/43.562C gpu@43.343C/43.593C tj@43.468C/43.593C soc1@42.468C/42.468C VDD_IN 3019mW/3140mW/3341mW VDD_CPU_GPU_CV 483mW/563mW/683mW VDD_SOC 1006mW/1026mW/1046mW
2.549 09-16-2026 16:30:50 RAM 2189/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43C/43.437C soc2@43.031C/43.062C soc0@43.406C/43.562C gpu@43.5C/43.593C tj@43.5C/43.593C soc1@42.312C/42.468C VDD_IN 3019mW/3115mW/3341mW VDD_CPU_GPU_CV 483mW/547mW/683mW VDD_SOC 1006mW/1022mW/1046mW
3.055 09-16-2026 16:30:50 RAM 2189/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.093C/43.437C soc2@42.937C/43.062C soc0@43.406C/43.562C gpu@43.125C/43.593C tj@43.406C/43.593C soc1@42.437C/42.468C VDD_IN 3019mW/3099mW/3341mW VDD_CPU_GPU_CV 483mW/536mW/683mW VDD_SOC 1006mW/1019mW/1046mW
3.561 09-16-2026 16:30:51 RAM 2189/7486MB (lfb 24x4MB) CPU [2%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.437C soc2@42.937C/43.062C soc0@43.375C/43.562C gpu@43.5C/43.593C tj@43.5C/43.593C soc1@42.375C/42.468C VDD_IN 3019mW/3088mW/3341mW VDD_CPU_GPU_CV 483mW/529mW/683mW VDD_SOC 1006mW/1017mW/1046mW
4.068 09-16-2026 16:30:51 RAM 2190/7486MB (lfb 24x4MB) CPU [7%@729,4%@729,9%@729,8%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.281C/43.437C soc2@42.968C/43.062C soc0@43.406C/43.562C gpu@43.031C/43.593C tj@43.406C/43.593C soc1@42.343C/42.468C VDD_IN 3139mW/3094mW/3341mW VDD_CPU_GPU_CV 523mW/528mW/683mW VDD_SOC 1006mW/1016mW/1046mW
4.574 09-16-2026 16:30:52 RAM 2190/7486MB (lfb 24x4MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@43.031C/43.062C soc0@43.437C/43.562C gpu@43.437C/43.593C tj@43.437C/43.593C soc1@42.437C/42.468C VDD_IN 3059mW/3090mW/3341mW VDD_CPU_GPU_CV 483mW/523mW/683mW VDD_SOC 1006mW/1015mW/1046mW
5.081 09-16-2026 16:30:52 RAM 2190/7486MB (lfb 24x4MB) CPU [3%@729,2%@729,1%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@42.968C/43.062C soc0@43.593C/43.593C gpu@43.093C/43.593C tj@43.531C/43.593C soc1@42.343C/42.468C VDD_IN 3019mW/3083mW/3341mW VDD_CPU_GPU_CV 483mW/519mW/683mW VDD_SOC 1006mW/1014mW/1046mW
5.587 09-16-2026 16:30:53 RAM 2190/7486MB (lfb 24x4MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@42.937C/43.062C soc0@43.625C/43.625C gpu@43.468C/43.593C tj@43.625C/43.625C soc1@42.375C/42.468C VDD_IN 3019mW/3077mW/3341mW VDD_CPU_GPU_CV 483mW/516mW/683mW VDD_SOC 1006mW/1013mW/1046mW
6.095 09-16-2026 16:30:53 RAM 2190/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.437C soc2@42.906C/43.062C soc0@43.531C/43.625C gpu@43.062C/43.593C tj@43.531C/43.625C soc1@42.437C/42.468C VDD_IN 3019mW/3073mW/3341mW VDD_CPU_GPU_CV 483mW/513mW/683mW VDD_SOC 1006mW/1012mW/1046mW
6.606 09-16-2026 16:30:54 RAM 2190/7486MB (lfb 24x4MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@42.937C/43.062C soc0@43.562C/43.625C gpu@43.468C/43.593C tj@43.562C/43.625C soc1@42.25C/42.468C VDD_IN 3019mW/3068mW/3341mW VDD_CPU_GPU_CV 483mW/511mW/683mW VDD_SOC 1006mW/1012mW/1046mW
7.113 09-16-2026 16:30:54 RAM 2187/7486MB (lfb 24x4MB) CPU [4%@729,6%@729,9%@729,6%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.031C/43.437C soc2@42.906C/43.062C soc0@43.468C/43.625C gpu@43.25C/43.593C tj@43.468C/43.625C soc1@42.312C/42.468C VDD_IN 3099mW/3071mW/3341mW VDD_CPU_GPU_CV 523mW/512mW/683mW VDD_SOC 1006mW/1012mW/1046mW
7.620 09-16-2026 16:30:55 RAM 2187/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43C/43.437C soc2@42.968C/43.062C soc0@43.406C/43.625C gpu@43.375C/43.593C tj@43.406C/43.625C soc1@42.531C/42.531C VDD_IN 3059mW/3070mW/3341mW VDD_CPU_GPU_CV 483mW/510mW/683mW VDD_SOC 1006mW/1011mW/1046mW
8.126 09-16-2026 16:30:55 RAM 2185/7486MB (lfb 24x4MB) CPU [2%@729,0%@729,2%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.281C/43.437C soc2@43C/43.062C soc0@43.5C/43.625C gpu@43.593C/43.593C tj@43.593C/43.625C soc1@42.468C/42.531C VDD_IN 3019mW/3067mW/3341mW VDD_CPU_GPU_CV 483mW/508mW/683mW VDD_SOC 1006mW/1011mW/1046mW
8.633 09-16-2026 16:30:56 RAM 2185/7486MB (lfb 24x4MB) CPU [3%@729,0%@729,0%@729,1%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.125C/43.437C soc2@43C/43.062C soc0@43.437C/43.625C gpu@43.343C/43.593C tj@43.437C/43.625C soc1@42.437C/42.531C VDD_IN 3019mW/3064mW/3341mW VDD_CPU_GPU_CV 483mW/507mW/683mW VDD_SOC 1006mW/1011mW/1046mW
9.139 09-16-2026 16:30:56 RAM 2177/7486MB (lfb 24x4MB) CPU [2%@729,0%@729,3%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@42.937C/43.062C soc0@43.406C/43.625C gpu@43.562C/43.593C tj@43.562C/43.625C soc1@42.375C/42.531C VDD_IN 3099mW/3066mW/3341mW VDD_CPU_GPU_CV 483mW/505mW/683mW VDD_SOC 1006mW/1010mW/1046mW
9.646 09-16-2026 16:30:57 RAM 2177/7486MB (lfb 24x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@42.875C/43.062C soc0@43.406C/43.625C gpu@43.343C/43.593C tj@43.406C/43.625C soc1@42.406C/42.531C VDD_IN 3059mW/3065mW/3341mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1010mW/1046mW
10.153 09-16-2026 16:30:57 RAM 2176/7486MB (lfb 24x4MB) CPU [4%@729,5%@729,8%@729,11%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.437C soc2@42.906C/43.062C soc0@43.562C/43.625C gpu@43.562C/43.593C tj@43.562C/43.625C soc1@42.406C/42.531C VDD_IN 3099mW/3067mW/3341mW VDD_CPU_GPU_CV 523mW/505mW/683mW VDD_SOC 1006mW/1010mW/1046mW
10.661 09-16-2026 16:30:58 RAM 2176/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.437C soc2@42.968C/43.062C soc0@43.625C/43.625C gpu@43.093C/43.593C tj@43.625C/43.625C soc1@42.25C/42.531C VDD_IN 3059mW/3067mW/3341mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1006mW/1010mW/1046mW
11.172 09-16-2026 16:30:58 RAM 2175/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@42.906C/43.062C soc0@43.343C/43.625C gpu@43.156C/43.593C tj@43.343C/43.625C soc1@42.437C/42.531C VDD_IN 3019mW/3065mW/3341mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1010mW/1046mW
11.681 09-16-2026 16:30:59 RAM 2175/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,1%@729,1%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.343C/43.437C soc2@42.937C/43.062C soc0@43.406C/43.625C gpu@43.062C/43.593C tj@43.406C/43.625C soc1@42.406C/42.531C VDD_IN 3019mW/3063mW/3341mW VDD_CPU_GPU_CV 483mW/502mW/683mW VDD_SOC 1006mW/1009mW/1046mW
12.189 09-16-2026 16:30:59 RAM 2172/7486MB (lfb 24x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.437C soc2@43C/43.062C soc0@43.656C/43.656C gpu@43.437C/43.593C tj@43.656C/43.656C soc1@42.375C/42.531C VDD_IN 3019mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1006mW/1009mW/1046mW
12.699 09-16-2026 16:31:00 RAM 2172/7486MB (lfb 24x4MB) CPU [3%@729,0%@729,0%@729,5%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@43.156C/43.437C soc2@43C/43.062C soc0@43.593C/43.656C gpu@43.062C/43.593C tj@43.375C/43.656C soc1@42.281C/42.531C VDD_IN 3059mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1006mW/1009mW/1046mW
13.207 09-16-2026 16:31:00 RAM 2173/7486MB (lfb 24x4MB) CPU [4%@729,7%@729,4%@729,6%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.437C soc2@42.937C/43.062C soc0@43.343C/43.656C gpu@43.468C/43.593C tj@43.468C/43.656C soc1@42.437C/42.531C VDD_IN 3099mW/3062mW/3341mW VDD_CPU_GPU_CV 523mW/501mW/683mW VDD_SOC 1006mW/1009mW/1046mW
13.716 09-16-2026 16:31:01 RAM 2173/7486MB (lfb 24x4MB) CPU [1%@729,0%@729,0%@729,3%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.437C soc2@42.906C/43.062C soc0@43.281C/43.656C gpu@43.562C/43.593C tj@43.562C/43.656C soc1@42.343C/42.531C VDD_IN 3059mW/3062mW/3341mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1006mW/1009mW/1046mW
14.224 09-16-2026 16:31:01 RAM 2172/7486MB (lfb 24x4MB) CPU [5%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.437C soc2@42.843C/43.062C soc0@43.625C/43.656C gpu@43.093C/43.593C tj@43.625C/43.656C soc1@42.375C/42.531C VDD_IN 3019mW/3061mW/3341mW VDD_CPU_GPU_CV 483mW/500mW/683mW VDD_SOC 1006mW/1009mW/1046mW
