t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,169.20703125,9.8,2179.26953125,,,,,,,
1.007,warmup,0.0,169.21875,5.4,2178.6796875,2312.0,46.0,4166.0,881.0,1161.0,45.125,45.531
1.509,warmup,0.0,169.22265625,7.0,2179.16796875,2312.0,9.0,3892.0,682.0,1123.0,45.125,45.531
2.012,warmup,2.0,169.2265625,3.0,2178.765625,2312.0,6.0,3812.0,642.0,1123.0,45.0,45.531
2.514,stream,2.0,169.2265625,6.7,2178.7578125,2312.0,0.0,3697.0,561.0,1125.0,44.875,45.375
3.016,stream,2.0,169.24609375,2.3,2178.41796875,2312.0,0.0,3737.0,561.0,1123.0,45.093,45.375
3.518,stream,4.0,169.3203125,6.4,2178.90625,2311.0,0.0,3697.0,562.0,1125.0,45.0,45.312
4.020,stream,4.0,169.328125,4.0,2178.3828125,2312.0,0.0,3737.0,561.0,1123.0,45.156,45.312
4.522,stream,4.0,169.33203125,6.7,2178.875,2312.0,63.0,3778.0,561.0,1123.0,45.0,45.281
5.024,stream,4.0,169.33984375,5.4,2179.0234375,2312.0,0.0,3737.0,561.0,1123.0,45.093,45.406
5.526,stream,4.0,169.34375,6.3,2179.015625,2312.0,2.0,3818.0,601.0,1123.0,44.875,45.5
6.028,stream,2.0,169.35546875,3.0,2179.0234375,2312.0,0.0,3737.0,561.0,1123.0,44.843,45.343
6.530,stream,6.0,169.36328125,6.1,2179.265625,2312.0,30.0,3737.0,561.0,1123.0,45.031,45.343
7.033,stream,4.0,169.37109375,4.7,2178.8984375,2312.0,0.0,3697.0,561.0,1123.0,45.031,45.312
7.535,stream,4.0,169.375,4.7,2178.8984375,2312.0,0.0,3737.0,561.0,1123.0,45.125,45.312
8.037,stream,2.0,169.38671875,5.7,2178.82421875,2312.0,0.0,3697.0,561.0,1123.0,44.906,45.437
8.539,stream,4.0,169.3984375,7.0,2177.73046875,2312.0,0.0,3737.0,561.0,1123.0,44.906,45.25
9.042,stream,4.0,169.40625,6.3,2172.15625,2310.0,0.0,3737.0,561.0,1123.0,44.937,45.375
9.544,stream,4.0,169.41015625,4.0,2171.06640625,2305.0,0.0,3737.0,561.0,1123.0,45.125,45.281
10.046,stream,4.0,169.4140625,5.0,2171.23046875,2304.0,36.0,3778.0,601.0,1123.0,44.906,45.343
10.548,stream,4.0,169.421875,4.0,2171.23046875,2304.0,0.0,3697.0,561.0,1125.0,45.125,45.343
11.050,stream,6.0,169.4296875,5.4,2167.70703125,2301.0,29.0,3778.0,601.0,1123.0,45.125,45.593
11.552,stream,2.0,169.4375,5.0,2166.859375,2301.0,0.0,3697.0,562.0,1125.0,44.937,45.5
12.054,stream,4.0,169.4453125,4.7,2167.109375,2300.0,0.0,3778.0,601.0,1123.0,44.906,45.375
12.556,stream,4.0,169.45703125,4.7,2166.56640625,2300.0,0.0,3697.0,562.0,1125.0,44.781,45.25
13.058,stream,4.0,169.46484375,5.0,2166.15234375,2299.0,0.0,3778.0,561.0,1123.0,45.062,45.343
13.560,stream,2.0,169.47265625,4.0,2165.77734375,2299.0,0.0,3697.0,562.0,1125.0,44.812,45.25
14.062,stream,4.0,169.47265625,5.4,2163.671875,2297.0,0.0,3737.0,561.0,1123.0,45.062,45.281
14.564,stream,4.0,169.48046875,4.7,2163.1875,2297.0,0.0,3737.0,562.0,1125.0,45.0,45.437
15.066,stream,4.0,169.48828125,6.7,2163.42578125,2296.0,0.0,3778.0,601.0,1123.0,44.843,45.281
15.568,stream,4.0,169.49609375,4.7,2162.9296875,2296.0,0.0,3697.0,562.0,1125.0,44.75,45.437
16.070,stream,4.0,169.50390625,5.3,2163.32421875,2296.0,0.0,3737.0,601.0,1123.0,44.843,45.343
16.573,stream,4.0,169.51171875,6.7,2161.359375,2296.0,0.0,3737.0,562.0,1125.0,44.937,45.281
17.075,stream,4.0,169.51953125,3.0,2161.359375,2294.0,0.0,3737.0,561.0,1123.0,45.093,45.156
17.577,stream,4.0,169.5234375,7.6,2161.359375,2294.0,39.0,3737.0,561.0,1123.0,44.968,45.312
18.079,stream,4.0,169.53125,3.4,2161.359375,2294.0,2.0,3778.0,561.0,1123.0,45.0,45.281
18.582,stream,4.0,169.5390625,6.7,2161.359375,2294.0,59.0,3737.0,561.0,1123.0,45.25,45.343
19.084,stream,4.0,169.55078125,4.0,2161.359375,2294.0,0.0,3737.0,561.0,1125.0,45.125,45.312
19.586,stream,2.0,169.55859375,7.6,2159.1875,2295.0,47.0,3818.0,601.0,1123.0,45.093,45.281
20.088,stream,6.0,169.5625,2.0,2159.40625,2292.0,0.0,3697.0,561.0,1123.0,44.968,45.25
20.590,stream,2.0,169.5703125,6.7,2159.40625,2292.0,31.0,3778.0,601.0,1123.0,44.906,45.375
21.093,stream,6.0,169.57421875,3.7,2159.40625,2292.0,0.0,3697.0,561.0,1125.0,45.0,45.375
21.605,stream,3.9,169.58203125,6.6,2159.3984375,2292.0,42.0,3858.0,601.0,1123.0,44.875,45.312
22.107,stream,2.0,169.59375,2.7,2159.3984375,2292.0,0.0,3697.0,561.0,1125.0,45.0,45.312
22.609,stream,4.0,169.59765625,6.4,2159.39453125,2292.0,0.0,3818.0,601.0,1123.0,45.156,45.312
23.112,stream,4.0,169.6015625,3.3,2159.39453125,2292.0,0.0,3697.0,562.0,1125.0,44.937,45.281
23.614,stream,4.0,169.6015625,6.7,2159.39453125,2292.0,0.0,3818.0,601.0,1123.0,45.093,45.375
24.116,stream,2.0,169.6015625,2.7,2159.39453125,2292.0,0.0,3697.0,561.0,1125.0,44.875,45.375
24.618,stream,6.0,169.60546875,6.7,2159.39453125,2292.0,0.0,3818.0,601.0,1123.0,44.875,45.375
25.120,stream,4.0,169.609375,2.7,2159.39453125,2292.0,0.0,3657.0,562.0,1125.0,44.843,45.312
25.623,stream,4.0,169.609375,6.4,2158.875,2293.0,0.0,3778.0,601.0,1123.0,45.062,45.343
