0.521 09-16-2026 15:52:51 RAM 2312/7486MB (lfb 24x4MB) CPU [14%@1036,6%@1036,10%@1036,17%@1036,6%@729,1%@729] GR3D_FREQ 46% cpu@45.125C/45.125C soc2@44.937C/44.937C soc0@45.531C/45.531C gpu@45.062C/45.062C tj@45.531C/45.531C soc1@44.25C/44.25C VDD_IN 4166mW/4166mW/4166mW VDD_CPU_GPU_CV 881mW/881mW/881mW VDD_SOC 1161mW/1161mW/1161mW
1.028 09-16-2026 15:52:52 RAM 2312/7486MB (lfb 24x4MB) CPU [8%@729,7%@729,9%@729,6%@729,3%@729,0%@729] GR3D_FREQ 9% cpu@45.125C/45.125C soc2@44.843C/44.937C soc0@45.531C/45.531C gpu@45.093C/45.093C tj@45.531C/45.531C soc1@44.343C/44.343C VDD_IN 3892mW/4029mW/4166mW VDD_CPU_GPU_CV 682mW/782mW/881mW VDD_SOC 1123mW/1142mW/1161mW
1.535 09-16-2026 15:52:52 RAM 2312/7486MB (lfb 24x4MB) CPU [8%@729,4%@729,6%@729,4%@729,1%@729,4%@729] GR3D_FREQ 6% cpu@45C/45.125C soc2@44.75C/44.937C soc0@45.531C/45.531C gpu@44.968C/45.093C tj@45.531C/45.531C soc1@44.5C/44.5C VDD_IN 3812mW/3957mW/4166mW VDD_CPU_GPU_CV 642mW/735mW/881mW VDD_SOC 1123mW/1136mW/1161mW
2.041 09-16-2026 15:52:53 RAM 2312/7486MB (lfb 24x4MB) CPU [5%@729,3%@729,1%@729,5%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@44.875C/45.125C soc2@44.906C/44.937C soc0@45.343C/45.531C gpu@45.375C/45.375C tj@45.375C/45.531C soc1@44.343C/44.5C VDD_IN 3697mW/3892mW/4166mW VDD_CPU_GPU_CV 561mW/692mW/881mW VDD_SOC 1125mW/1133mW/1161mW
2.548 09-16-2026 15:52:53 RAM 2312/7486MB (lfb 24x4MB) CPU [11%@729,2%@729,6%@729,9%@729,1%@729,6%@729] GR3D_FREQ 0% cpu@45.093C/45.125C soc2@44.937C/44.937C soc0@45.375C/45.531C gpu@45C/45.375C tj@45.375C/45.531C soc1@44.312C/44.5C VDD_IN 3737mW/3861mW/4166mW VDD_CPU_GPU_CV 561mW/665mW/881mW VDD_SOC 1123mW/1131mW/1161mW
3.055 09-16-2026 15:52:54 RAM 2311/7486MB (lfb 24x4MB) CPU [5%@729,2%@729,2%@729,0%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@45C/45.125C soc2@44.937C/44.937C soc0@45.312C/45.531C gpu@45.031C/45.375C tj@45.312C/45.531C soc1@44.375C/44.5C VDD_IN 3697mW/3834mW/4166mW VDD_CPU_GPU_CV 562mW/648mW/881mW VDD_SOC 1125mW/1130mW/1161mW
3.562 09-16-2026 15:52:54 RAM 2312/7486MB (lfb 24x4MB) CPU [10%@729,7%@729,4%@729,8%@729,1%@729,6%@729] GR3D_FREQ 0% cpu@45.156C/45.156C soc2@44.875C/44.937C soc0@45.312C/45.531C gpu@44.875C/45.375C tj@45.312C/45.531C soc1@44.375C/44.5C VDD_IN 3737mW/3820mW/4166mW VDD_CPU_GPU_CV 561mW/636mW/881mW VDD_SOC 1123mW/1129mW/1161mW
4.069 09-16-2026 15:52:55 RAM 2312/7486MB (lfb 24x4MB) CPU [4%@729,5%@729,5%@729,5%@729,0%@729,3%@729] GR3D_FREQ 63% cpu@45C/45.156C soc2@44.812C/44.937C soc0@45.281C/45.531C gpu@44.937C/45.375C tj@45.281C/45.531C soc1@44.25C/44.5C VDD_IN 3778mW/3815mW/4166mW VDD_CPU_GPU_CV 561mW/626mW/881mW VDD_SOC 1123mW/1128mW/1161mW
4.575 09-16-2026 15:52:55 RAM 2312/7486MB (lfb 24x4MB) CPU [13%@729,4%@729,5%@729,2%@729,0%@729,6%@729] GR3D_FREQ 0% cpu@45.093C/45.156C soc2@44.843C/44.937C soc0@45.406C/45.531C gpu@45.125C/45.375C tj@45.406C/45.531C soc1@44.156C/44.5C VDD_IN 3737mW/3806mW/4166mW VDD_CPU_GPU_CV 561mW/619mW/881mW VDD_SOC 1123mW/1128mW/1161mW
5.082 09-16-2026 15:52:56 RAM 2312/7486MB (lfb 24x4MB) CPU [8%@729,4%@729,14%@729,8%@729,3%@729,4%@729] GR3D_FREQ 2% cpu@44.875C/45.156C soc2@44.75C/44.937C soc0@45.437C/45.531C gpu@45.031C/45.375C tj@45.5C/45.531C soc1@44.156C/44.5C VDD_IN 3818mW/3807mW/4166mW VDD_CPU_GPU_CV 601mW/617mW/881mW VDD_SOC 1123mW/1127mW/1161mW
5.588 09-16-2026 15:52:56 RAM 2312/7486MB (lfb 24x4MB) CPU [7%@729,6%@729,5%@729,7%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@44.843C/45.156C soc2@44.781C/44.937C soc0@45.343C/45.531C gpu@44.937C/45.375C tj@45.343C/45.531C soc1@44.375C/44.5C VDD_IN 3737mW/3801mW/4166mW VDD_CPU_GPU_CV 561mW/612mW/881mW VDD_SOC 1123mW/1127mW/1161mW
6.094 09-16-2026 15:52:57 RAM 2312/7486MB (lfb 24x4MB) CPU [4%@729,4%@729,5%@729,2%@729,3%@729,5%@729] GR3D_FREQ 30% cpu@45.031C/45.156C soc2@44.937C/44.937C soc0@45.343C/45.531C gpu@44.968C/45.375C tj@45.343C/45.531C soc1@44.25C/44.5C VDD_IN 3737mW/3795mW/4166mW VDD_CPU_GPU_CV 561mW/608mW/881mW VDD_SOC 1123mW/1127mW/1161mW
6.600 09-16-2026 15:52:57 RAM 2312/7486MB (lfb 24x4MB) CPU [4%@729,7%@729,6%@729,4%@729,0%@729,7%@729] GR3D_FREQ 0% cpu@45.031C/45.156C soc2@44.906C/44.937C soc0@45.312C/45.531C gpu@44.968C/45.375C tj@45.312C/45.531C soc1@44.218C/44.5C VDD_IN 3697mW/3788mW/4166mW VDD_CPU_GPU_CV 561mW/604mW/881mW VDD_SOC 1123mW/1126mW/1161mW
7.106 09-16-2026 15:52:58 RAM 2312/7486MB (lfb 24x4MB) CPU [4%@729,2%@729,9%@729,4%@729,1%@729,3%@729] GR3D_FREQ 0% cpu@45.125C/45.156C soc2@44.875C/44.937C soc0@45.312C/45.531C gpu@44.906C/45.375C tj@45.312C/45.531C soc1@44.218C/44.5C VDD_IN 3737mW/3784mW/4166mW VDD_CPU_GPU_CV 561mW/601mW/881mW VDD_SOC 1123mW/1126mW/1161mW
7.613 09-16-2026 15:52:58 RAM 2312/7486MB (lfb 24x4MB) CPU [6%@729,7%@729,5%@729,5%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@44.906C/45.156C soc2@44.875C/44.937C soc0@45.437C/45.531C gpu@44.968C/45.375C tj@45.437C/45.531C soc1@44.187C/44.5C VDD_IN 3697mW/3778mW/4166mW VDD_CPU_GPU_CV 561mW/599mW/881mW VDD_SOC 1123mW/1126mW/1161mW
8.119 09-16-2026 15:52:59 RAM 2312/7486MB (lfb 24x4MB) CPU [6%@729,7%@729,4%@729,2%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@44.906C/45.156C soc2@44.843C/44.937C soc0@45.25C/45.531C gpu@44.937C/45.375C tj@45.25C/45.531C soc1@44.187C/44.5C VDD_IN 3737mW/3776mW/4166mW VDD_CPU_GPU_CV 561mW/596mW/881mW VDD_SOC 1123mW/1126mW/1161mW
8.625 09-16-2026 15:52:59 RAM 2310/7486MB (lfb 24x4MB) CPU [9%@729,11%@729,9%@729,8%@729,0%@729,7%@729] GR3D_FREQ 0% cpu@44.937C/45.156C soc2@44.75C/44.937C soc0@45.375C/45.531C gpu@45.281C/45.375C tj@45.375C/45.531C soc1@44.375C/44.5C VDD_IN 3737mW/3774mW/4166mW VDD_CPU_GPU_CV 561mW/594mW/881mW VDD_SOC 1123mW/1125mW/1161mW
9.132 09-16-2026 15:53:00 RAM 2305/7486MB (lfb 24x4MB) CPU [9%@729,2%@729,8%@729,7%@729,5%@729,5%@729] GR3D_FREQ 0% cpu@45.125C/45.156C soc2@44.812C/44.937C soc0@45.281C/45.531C gpu@44.937C/45.375C tj@45.281C/45.531C soc1@44.343C/44.5C VDD_IN 3737mW/3772mW/4166mW VDD_CPU_GPU_CV 561mW/592mW/881mW VDD_SOC 1123mW/1125mW/1161mW
9.638 09-16-2026 15:53:00 RAM 2304/7486MB (lfb 24x4MB) CPU [4%@729,8%@729,4%@729,8%@729,9%@729,1%@729] GR3D_FREQ 36% cpu@44.906C/45.156C soc2@44.875C/44.937C soc0@45.343C/45.531C gpu@45.343C/45.375C tj@45.343C/45.531C soc1@44.312C/44.5C VDD_IN 3778mW/3772mW/4166mW VDD_CPU_GPU_CV 601mW/593mW/881mW VDD_SOC 1123mW/1125mW/1161mW
10.145 09-16-2026 15:53:01 RAM 2304/7486MB (lfb 24x4MB) CPU [2%@729,2%@729,5%@729,2%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.156C soc2@44.75C/44.937C soc0@45.343C/45.531C gpu@45.031C/45.375C tj@45.343C/45.531C soc1@44.218C/44.5C VDD_IN 3697mW/3768mW/4166mW VDD_CPU_GPU_CV 561mW/591mW/881mW VDD_SOC 1125mW/1125mW/1161mW
