t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,2.06964,1,e_rec,cross-domain,0.6455,0.0000,891.264,890,7.23362,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,35.93,50
2.40,3.67,4.17,0,-0.06810,0,e_rec,cross-domain,0.4611,0.0000,491.264,490,3.62046,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.57,50
2.80,4.07,4.17,0,10.55918,1,e_rec,cross-domain,0.1537,0.0000,91.264,90,11.78870,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,15.26
3.20,4.47,4.48,0,-2.20086,0,|r_qp|,cross-domain,0.0000,0.0000,3.721,0,-2.20086,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,8.831,50
3.60,4.87,4.88,0,8.46771,1,e_rec,cross-domain,0.0000,0.0000,3.682,0,8.46771,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,40.71,10.74
4.00,5.27,5.28,0,7.93074,1,e_rec,cross-domain,0.0000,0.0000,3.545,0,7.93074,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,39.17,5.289
4.40,5.67,5.68,0,-1.14600,0,|r_qp|,cross-domain,0.0000,0.0000,3.552,0,-1.14600,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,10.99,49.03
4.80,6.07,6.08,0,-0.53577,0,|r_qp|,cross-domain,0.0000,0.0000,3.747,0,-0.53577,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.996,0.6993
5.20,6.47,6.48,0,-0.62485,0,|r_qp|,cross-domain,0.0000,0.0000,3.570,0,-0.62485,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,6.949,-0.4295
5.60,6.87,6.88,0,-2.14016,0,|r_qp|,cross-domain,0.0000,0.0000,3.649,0,-2.14016,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.174,46.14
6.00,7.27,7.28,0,-2.33863,0,|r_qp|,cross-domain,0.0000,0.0000,3.567,0,-2.33863,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.7472,0.8045
6.40,7.67,7.68,0,-1.83199,0,|r_qp|,cross-domain,0.0000,0.0000,3.541,0,-1.83199,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7726,-0.3816
6.80,8.07,8.08,0,-0.15337,0,|r_qp|,cross-domain,0.0000,0.0000,3.638,0,-0.15337,0,-6.243,-2.772,-4.378,0,-8.793,2.957,0.622,5.647,38.1
7.20,8.47,8.48,0,-1.48273,0,|r_qp|,cross-domain,0.0000,0.0000,3.470,0,-1.48273,0,-6.243,-2.772,-4.378,0,-8.793,3.16,1.445,-0.7613,-0.3652
7.60,8.87,8.88,0,-1.26242,0,|r_qp|,cross-domain,0.0000,0.0000,3.832,0,-1.26242,0,-6.243,-2.772,-4.378,0,-8.793,4.169,1.024,-0.2398,0.08223
8.00,9.27,9.28,0,-0.31793,0,|r_qp|,cross-domain,0.0000,0.0000,3.687,0,-0.31793,0,-6.243,-2.772,-4.378,0,-8.793,4.587,0.8707,5.44,46.38
8.40,9.67,9.68,0,-1.56987,0,|r_qp|,cross-domain,0.0000,0.0000,3.551,0,-1.56987,0,-6.243,-2.772,-4.378,0,-8.793,3.519,0.02623,-1.336,0.2043
8.80,10.07,10.08,0,-1.45392,0,|r_qp|,cross-domain,0.0000,0.0000,3.660,0,-1.45392,0,-6.243,-2.772,-4.378,0,-8.793,2.085,-0.3329,-0.8025,0.9659
9.20,10.47,10.48,0,-0.59897,0,|r_qp|,cross-domain,0.0000,0.0000,3.480,0,-0.59897,0,-6.243,-2.772,-4.378,0,-8.793,0.2075,-0.1772,4.955,47.37
9.60,10.87,10.88,0,-1.77160,0,|r_qp|,cross-domain,0.0000,0.0000,3.597,0,-1.77160,0,-6.243,-2.772,-4.378,0,-8.793,-0.5158,0.67,-1.372,-0.4458
10.00,11.27,11.28,0,-1.39857,0,|r_qp|,cross-domain,0.0000,0.0000,3.662,0,-1.39857,0,-6.243,-2.772,-4.378,0,-8.793,0.09867,0.1399,-0.2293,1.691
10.40,11.67,11.68,0,-0.17466,0,|r_qp|,cross-domain,0.0000,0.0000,3.567,0,-0.17466,0,-6.243,-2.772,-4.378,0,-8.793,2.161,0.2384,6.126,46.96
10.80,12.07,12.08,0,-1.32930,0,|r_qp|,cross-domain,0.0000,0.0000,3.839,0,-1.32930,0,-6.243,-2.772,-4.378,0,-8.793,3.197,0.6116,-0.428,-0.2165
11.20,12.47,12.48,0,-1.13305,0,|r_qp|,cross-domain,0.0000,0.0000,3.488,0,-1.13305,0,-6.243,-2.772,-4.378,0,-8.793,4.671,0.1339,0.01596,1.453
11.60,12.87,12.88,0,-0.02154,0,|r_qp|,cross-domain,0.0000,0.0000,3.622,0,-0.02154,0,-6.243,-2.772,-4.378,0,-8.793,4.796,0.309,6.23,45.93
12.00,13.27,13.28,0,-1.33138,0,|r_qp|,cross-domain,0.0000,0.0000,3.637,0,-1.33138,0,-6.243,-2.772,-4.378,0,-8.793,4.206,0.7023,-0.5347,0.01041
12.40,13.67,13.68,0,-1.37583,0,|r_qp|,cross-domain,0.0000,0.0000,3.538,0,-1.37583,0,-6.243,-2.772,-4.378,0,-8.793,3.386,0.2898,-0.6249,0.4878
12.80,14.07,14.08,0,-0.50457,0,|r_qp|,cross-domain,0.0000,0.0000,4.127,0,-0.50457,0,-6.243,-2.772,-4.378,0,-8.793,1.952,0.00401,5.194,49.52
13.20,14.47,14.48,0,-1.59454,0,|r_qp|,cross-domain,0.0000,0.0000,3.527,0,-1.59454,0,-6.243,-2.772,-4.378,0,-8.793,1.088,0.3184,-1.076,-0.3759
13.60,14.87,14.88,0,-1.56385,0,|r_qp|,cross-domain,0.0000,0.0000,3.611,0,-1.56385,0,-6.243,-2.772,-4.378,0,-8.793,0.4473,-0.1543,-0.8882,1.306
14.00,15.27,15.28,0,-0.99350,0,|r_qp|,cross-domain,0.0000,0.0000,3.727,0,-0.99350,0,-6.243,-2.772,-4.378,0,-8.793,0.4754,0.04943,3.848,50
14.40,15.67,15.68,0,-1.41218,0,|r_qp|,cross-domain,0.0000,0.0000,3.641,0,-1.41218,0,-6.243,-2.772,-4.378,0,-8.793,0.7941,0.8527,-0.3305,-0.148
14.80,16.07,16.08,0,-1.31049,0,|r_qp|,cross-domain,0.0000,0.0000,3.601,0,-1.31049,0,-6.243,-2.772,-4.378,0,-8.793,1.165,0.3303,-0.07622,1.186
15.20,16.47,16.48,0,-0.23067,0,|r_qp|,cross-domain,0.0000,0.0000,3.548,0,-0.23067,0,-6.243,-2.772,-4.378,0,-8.793,2.236,0.1914,5.752,44
15.60,16.87,16.88,0,-1.33763,0,|r_qp|,cross-domain,0.0000,0.0000,3.537,0,-1.33763,0,-6.243,-2.772,-4.378,0,-8.793,2.966,1.265,-0.3063,-0.4036
16.00,17.27,17.28,0,-1.11814,0,|r_qp|,cross-domain,0.0000,0.0000,3.615,0,-1.11814,0,-6.243,-2.772,-4.378,0,-8.793,3.962,0.2334,0.09947,0.15
16.40,17.67,17.68,0,-1.13391,0,|r_qp|,cross-domain,0.0000,0.0000,3.550,0,-1.13391,0,-6.243,-2.772,-4.378,0,-8.793,3.205,0.09622,3.05,50
16.80,18.07,18.08,0,-1.20707,0,|r_qp|,cross-domain,0.0000,0.0000,3.632,0,-1.20707,0,-6.243,-2.772,-4.378,0,-8.793,2.132,0.2479,0.05681,0.1985
17.20,18.47,18.48,0,-1.56992,0,|r_qp|,cross-domain,0.0000,0.0000,3.620,0,-1.56992,0,-6.243,-2.772,-4.378,0,-8.793,0.443,0.4237,-0.8366,0.5602
17.60,18.87,18.88,0,-0.62126,0,|r_qp|,cross-domain,0.0000,0.0000,3.565,0,-0.62126,0,-6.243,-2.772,-4.378,0,-8.793,0.55,0.5196,4.787,44.14
18.00,19.27,19.28,0,-1.36328,0,|r_qp|,cross-domain,0.0000,0.0000,3.545,0,-1.36328,0,-6.243,-2.772,-4.378,0,-8.793,1.488,1.758,-0.1042,-0.4931
18.40,19.67,19.68,0,-1.26181,0,|r_qp|,cross-domain,0.0000,0.0000,3.787,0,-1.26181,0,-6.243,-2.772,-4.378,0,-8.793,3.15,0.3764,-0.2521,-0.2351
18.80,20.07,20.08,0,-1.15551,0,|r_qp|,cross-domain,0.0000,0.0000,3.540,0,-1.15551,0,-6.243,-2.772,-4.378,0,-8.793,3.567,0.2001,2.953,50
19.20,20.47,20.48,0,-1.50615,0,|r_qp|,cross-domain,0.0000,0.0000,3.567,0,-1.50615,0,-6.243,-2.772,-4.378,0,-8.793,2.538,0.1085,-0.9893,0.1669
19.60,20.87,20.88,0,-1.53494,0,|r_qp|,cross-domain,0.0000,0.0000,3.466,0,-1.53494,0,-6.243,-2.772,-4.378,0,-8.793,0.5512,-0.1885,-0.8679,0.412
20.00,21.27,21.28,0,-0.76149,0,|r_qp|,cross-domain,0.0000,0.0000,3.582,0,-0.76149,0,-6.243,-2.772,-4.378,0,-8.793,-0.9154,-0.02011,4.763,50
20.40,21.67,21.68,0,-1.62697,0,|r_qp|,cross-domain,0.0000,0.0000,3.466,0,-1.62697,0,-6.243,-2.772,-4.378,0,-8.793,-0.7766,0.6385,-0.8436,0.1428
20.80,22.07,22.08,0,-1.56697,0,|r_qp|,cross-domain,0.0000,0.0000,3.481,0,-1.56697,0,-6.243,-2.772,-4.378,0,-8.793,0.07737,-0.01815,-0.9123,-0.2114
21.20,22.47,22.48,0,-0.82846,0,|r_qp|,cross-domain,0.0000,0.0000,3.530,0,-0.82846,0,-6.243,-2.772,-4.378,0,-8.793,0.4022,0.05897,4.391,50
21.60,22.87,22.88,0,-1.63357,0,|r_qp|,cross-domain,0.0000,0.0000,3.527,0,-1.63357,0,-6.243,-2.772,-4.378,0,-8.793,0.4971,0.4724,-1.075,-0.05845
22.00,23.27,23.28,0,-1.52259,0,|r_qp|,cross-domain,0.0000,0.0000,3.647,0,-1.52259,0,-6.243,-2.772,-4.378,0,-8.793,0.7472,-0.03724,-0.8677,-0.3374
22.40,23.67,23.68,0,-1.44924,0,|r_qp|,cross-domain,0.0000,0.0000,3.481,0,-1.44924,0,-6.243,-2.772,-4.378,0,-8.793,0.7367,-0.0001071,2.336,50
22.80,24.07,24.08,0,-1.27170,0,|r_qp|,cross-domain,0.0000,0.0000,3.528,0,-1.27170,0,-6.243,-2.772,-4.378,0,-8.793,0.5819,1.009,0.2378,0.8226
23.20,24.47,24.48,0,-1.53763,0,|r_qp|,cross-domain,0.0000,0.0000,3.572,0,-1.53763,0,-6.243,-2.772,-4.378,0,-8.793,-0.5452,1.527,-0.392,0.4435
23.60,24.87,24.88,0,-1.61024,0,|r_qp|,cross-domain,0.0000,0.0000,3.493,0,-1.61024,0,-6.243,-2.772,-4.378,0,-8.793,-1.148,1.84,1.87,40.52
24.00,25.27,25.28,0,-1.57100,0,|r_qp|,cross-domain,0.0000,0.0000,3.565,0,-1.57100,0,-6.243,-2.772,-4.378,0,-8.793,-0.7447,3.401,-0.08834,0.6814
24.40,25.67,25.68,0,-1.72782,0,|r_qp|,cross-domain,0.0000,0.0000,3.545,0,-1.72782,0,-6.243,-2.772,-4.378,0,-8.793,-0.3613,2.657,-0.8157,0.2633
24.80,26.07,26.08,0,-1.05761,0,|r_qp|,cross-domain,0.0000,0.0000,3.508,0,-1.05761,0,-6.243,-2.772,-4.378,0,-8.793,0.9576,2.346,3.631,43.15
25.20,26.47,26.48,0,-1.43425,0,|r_qp|,cross-domain,0.0000,0.0000,3.547,0,-1.43425,0,-6.243,-2.772,-4.378,0,-8.793,1.612,3.088,-0.04023,0.2765
25.60,26.87,26.88,0,-1.26632,0,|r_qp|,cross-domain,0.0000,0.0000,3.503,0,-1.26632,0,-6.243,-2.772,-4.378,0,-8.793,3.404,1.441,-0.07129,0.06263
26.00,27.27,27.28,0,-1.11641,0,|r_qp|,cross-domain,0.0000,0.0000,3.462,0,-1.11641,0,-6.243,-2.772,-4.378,0,-8.793,3.621,1.054,2.988,45.69
26.40,27.67,27.68,0,-1.31594,0,|r_qp|,cross-domain,0.0000,0.0000,3.628,0,-1.31594,0,-6.243,-2.772,-4.378,0,-8.793,2.618,1.239,-0.102,1.201
26.80,28.07,28.08,0,-1.50894,0,|r_qp|,cross-domain,0.0000,0.0000,3.576,0,-1.50894,0,-6.243,-2.772,-4.378,0,-8.793,0.3547,1.481,-0.4216,0.5161
27.20,28.47,28.48,0,-1.45228,0,|r_qp|,cross-domain,0.0000,0.0000,3.628,0,-1.45228,0,-6.243,-2.772,-4.378,0,-8.793,-0.9532,2.137,2.782,46.82
27.60,28.87,28.88,0,-1.23163,0,|r_qp|,cross-domain,0.0000,0.0000,3.480,0,-1.23163,0,-6.243,-2.772,-4.378,0,-8.793,-0.8105,3.684,1.151,2.069
28.00,29.27,29.28,0,-1.56875,0,|r_qp|,cross-domain,0.0000,0.0000,3.403,0,-1.56875,0,-6.243,-2.772,-4.378,0,-8.793,-0.9334,3.55,-0.02163,0.7723
28.40,29.67,29.68,0,-1.70969,0,|r_qp|,cross-domain,0.0000,0.0000,3.551,0,-1.70969,0,-6.243,-2.772,-4.378,0,-8.793,-1.267,3.722,2.099,43.27
28.80,30.07,30.08,0,-1.63252,0,|r_qp|,cross-domain,0.0000,0.0000,3.433,0,-1.63252,0,-6.243,-2.772,-4.378,0,-8.793,-0.8513,4.651,0.03822,1.757
29.20,30.47,30.48,0,-1.43614,0,|r_qp|,cross-domain,0.0000,0.0000,3.579,0,-1.43614,0,-6.243,-2.772,-4.378,0,-8.793,1.234,2.595,-0.1129,-0.03094
29.60,30.87,30.88,0,-1.29928,0,|r_qp|,cross-domain,0.0000,0.0000,3.526,0,-1.29928,0,-6.243,-2.772,-4.378,0,-8.793,2.845,1.546,2.455,43.27
30.00,31.27,31.28,0,-1.59997,0,|r_qp|,cross-domain,0.0000,0.0000,3.573,0,-1.59997,0,-6.243,-2.772,-4.378,0,-8.793,2.788,1.116,-1.052,1.402
30.40,31.67,31.68,0,-1.65378,0,|r_qp|,cross-domain,0.0000,0.0000,3.736,0,-1.65378,0,-6.243,-2.772,-4.378,0,-8.793,0.8506,0.4025,-1.234,-0.6239
30.80,32.07,32.08,0,-1.52251,0,|r_qp|,cross-domain,0.0000,0.0000,3.625,0,-1.52251,0,-6.243,-2.772,-4.378,0,-8.793,-0.6716,0.6532,2.37,49.27
31.20,32.47,32.48,0,-1.08525,0,|r_qp|,cross-domain,0.0000,0.0000,3.662,0,-1.08525,0,-6.243,-2.772,-4.378,0,-8.793,-1.048,0.985,1.166,2.857
31.60,32.87,32.88,0,-1.54359,0,|r_qp|,cross-domain,0.0000,0.0000,3.457,0,-1.54359,0,-6.243,-2.772,-4.378,0,-8.793,-0.9062,1.82,-0.3069,0.4345
32.00,33.27,33.28,0,-1.33948,0,|r_qp|,cross-domain,0.0000,0.0000,3.499,0,-1.33948,0,-6.243,-2.772,-4.378,0,-8.793,-0.5735,2.1,2.933,44.16
32.40,33.67,33.68,0,-1.00531,0,|r_qp|,cross-domain,0.0000,0.0000,3.600,0,-1.00531,0,-6.243,-2.772,-4.378,0,-8.793,0.2189,4.035,1.873,3.04
32.80,34.07,34.08,0,-1.36784,0,|r_qp|,cross-domain,0.0000,0.0000,3.527,0,-1.36784,0,-6.243,-2.772,-4.378,0,-8.793,1.946,3.464,0.1995,0.1856
33.20,34.47,34.48,0,-0.97431,0,|r_qp|,cross-domain,0.0000,0.0000,3.487,0,-0.97431,0,-6.243,-2.772,-4.378,0,-8.793,3.282,3.609,3.863,43.42
33.60,34.87,34.88,0,-1.84368,0,|r_qp|,cross-domain,0.0000,0.0000,3.570,0,-1.84368,0,-6.243,-2.772,-4.378,0,-8.793,2.952,4.202,-1.244,1.457
34.00,35.27,35.28,0,-1.76116,0,|r_qp|,cross-domain,0.0000,0.0000,3.530,0,-1.76116,0,-6.243,-2.772,-4.378,0,-8.793,1.441,2.087,-1.313,-0.4565
34.40,35.67,35.68,0,-1.18472,0,|r_qp|,cross-domain,0.0000,0.0000,3.690,0,-1.18472,0,-6.243,-2.772,-4.378,0,-8.793,0.1889,1.225,3.361,47.6
34.80,36.07,36.08,0,-1.71947,0,|r_qp|,cross-domain,0.0000,0.0000,3.552,0,-1.71947,0,-6.243,-2.772,-4.378,0,-8.793,0.03105,0.6397,-1.174,1.373
35.20,36.47,36.48,0,-1.61652,0,|r_qp|,cross-domain,0.0000,0.0000,3.554,0,-1.61652,0,-6.243,-2.772,-4.378,0,-8.793,0.2467,0.05187,-1.105,-0.6385
35.60,36.87,36.88,0,-1.26838,0,|r_qp|,cross-domain,0.0000,0.0000,3.649,0,-1.26838,0,-6.243,-2.772,-4.378,0,-8.793,0.7213,0.3377,2.987,50
36.00,37.27,37.28,0,-1.68483,0,|r_qp|,cross-domain,0.0000,0.0000,3.604,0,-1.68483,0,-6.243,-2.772,-4.378,0,-8.793,0.5573,0.7176,-1.146,0.8613
36.40,37.67,37.68,0,-1.63655,0,|r_qp|,cross-domain,0.0000,0.0000,3.684,0,-1.63655,0,-6.243,-2.772,-4.378,0,-8.793,0.5131,0.2347,-1.165,-0.5884
36.80,38.07,38.08,0,-1.20662,0,|r_qp|,cross-domain,0.0000,0.0000,3.558,0,-1.20662,0,-6.243,-2.772,-4.378,0,-8.793,0.3162,0.2028,3.191,49.64
37.20,38.47,38.48,0,-1.61625,0,|r_qp|,cross-domain,0.0000,0.0000,3.552,0,-1.61625,0,-6.243,-2.772,-4.378,0,-8.793,0.08863,0.5552,-0.8994,0.8037
37.60,38.87,38.88,0,-1.66153,0,|r_qp|,cross-domain,0.0000,0.0000,3.610,0,-1.66153,0,-6.243,-2.772,-4.378,0,-8.793,0.2012,0.1191,-1.243,-0.8348
