t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,180.7578125,1.3,2050.35546875,,,,,,,
1.007,warmup,0.0,180.76953125,1.6,2050.3515625,2183.0,0.0,3381.0,643.0,1044.0,43.5,43.593
1.508,warmup,0.0,180.7734375,0.3,2050.3515625,2183.0,0.0,3180.0,522.0,1004.0,43.25,43.625
2.009,warmup,0.0,180.78125,1.0,2050.3515625,2183.0,0.0,3139.0,482.0,1004.0,43.375,43.625
2.511,stream,2.0,180.78515625,0.0,2050.3515625,2183.0,0.0,3099.0,482.0,1004.0,43.437,43.625
3.012,stream,2.0,180.796875,1.0,2050.3515625,2183.0,0.0,3139.0,482.0,1004.0,43.5,43.625
3.513,stream,2.0,180.87890625,0.3,2050.3515625,2183.0,0.0,3099.0,482.0,1004.0,43.281,43.562
4.014,stream,2.0,180.88671875,1.0,2050.3515625,2183.0,0.0,3099.0,482.0,1004.0,43.343,43.562
4.516,stream,4.0,180.890625,0.0,2050.34375,2183.0,0.0,3180.0,482.0,1004.0,43.281,43.687
5.017,stream,2.0,180.8984375,1.7,2050.34375,2183.0,0.0,3139.0,482.0,1004.0,43.531,43.625
5.518,stream,6.0,180.90234375,0.3,2050.0078125,2183.0,0.0,3099.0,482.0,1004.0,43.187,43.656
6.019,stream,2.0,180.9140625,1.3,2050.0078125,2183.0,0.0,3099.0,482.0,1004.0,43.437,43.687
6.520,stream,2.0,180.91796875,0.0,2046.41796875,2179.0,0.0,3139.0,482.0,1004.0,43.187,43.562
7.021,stream,4.0,180.9296875,1.7,2046.41796875,2179.0,0.0,3139.0,482.0,1004.0,43.468,43.687
7.523,stream,2.0,180.93359375,0.3,2046.6640625,2179.0,0.0,3180.0,482.0,1004.0,43.25,43.656
8.024,stream,2.0,180.94140625,0.3,2046.6640625,2180.0,0.0,3139.0,482.0,1004.0,43.375,43.562
8.525,stream,2.0,180.94921875,0.7,2044.66796875,2177.0,0.0,3099.0,482.0,1004.0,43.406,43.5
9.026,stream,6.0,180.95703125,1.3,2044.66796875,2178.0,0.0,3099.0,482.0,1004.0,43.187,43.718
9.528,stream,2.0,180.96484375,0.3,2038.62109375,2178.0,0.0,3099.0,482.0,1004.0,43.218,43.593
10.029,stream,4.0,180.96875,2.0,2038.61328125,2172.0,0.0,3180.0,482.0,1004.0,43.156,43.531
10.531,stream,2.0,180.98046875,1.0,2036.95703125,2172.0,0.0,3139.0,482.0,1004.0,43.156,43.656
11.033,stream,4.0,180.98828125,1.3,2036.95703125,2170.0,0.0,3099.0,482.0,1004.0,43.125,43.562
11.534,stream,2.0,181.0,1.0,2036.95703125,2170.0,0.0,3099.0,482.0,1004.0,43.281,43.562
12.036,stream,2.0,181.0078125,1.3,2036.95703125,2170.0,0.0,3099.0,482.0,1004.0,43.156,43.625
12.537,stream,4.0,181.015625,0.3,2036.95703125,2170.0,0.0,3099.0,482.0,1004.0,43.156,43.562
