t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,2.06963,1,e_rec,cross-domain,0.6455,0.0000,891.191,890,7.23364,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,35.93,50
2.40,3.67,4.17,0,-0.06814,0,e_rec,cross-domain,0.4611,0.0000,491.191,490,3.62043,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.57,50
2.80,4.07,4.17,0,10.55917,1,e_rec,cross-domain,0.1537,0.0000,91.191,90,11.78870,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,15.26
3.20,4.47,4.48,0,-2.20085,0,|r_qp|,cross-domain,0.0000,0.0000,3.645,0,-2.20085,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,8.831,50
3.60,4.87,4.88,0,8.46778,1,e_rec,cross-domain,0.0000,0.0000,3.590,0,8.46778,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,40.71,10.74
4.00,5.27,5.28,0,7.93072,1,e_rec,cross-domain,0.0000,0.0000,3.532,0,7.93072,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,39.17,5.288
4.40,5.67,5.68,0,-1.14608,0,|r_qp|,cross-domain,0.0000,0.0000,3.657,0,-1.14608,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,10.99,49.03
4.80,6.07,6.08,0,-0.53560,0,|r_qp|,cross-domain,0.0000,0.0000,3.575,0,-0.53560,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.996,0.6991
5.20,6.47,6.48,0,-0.62481,0,|r_qp|,cross-domain,0.0000,0.0000,3.682,0,-0.62481,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,6.949,-0.4295
5.60,6.87,6.88,0,-2.14019,0,|r_qp|,cross-domain,0.0000,0.0000,3.594,0,-2.14019,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.174,46.14
6.00,7.27,7.28,0,-2.33861,0,|r_qp|,cross-domain,0.0000,0.0000,3.568,0,-2.33861,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.7471,0.8041
6.40,7.67,7.68,0,-1.83199,0,|r_qp|,cross-domain,0.0000,0.0000,3.631,0,-1.83199,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7726,-0.3814
