t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.506,warmup,6.0,168.859375,17.9,2068.8359375,,,,,,,
1.008,warmup,0.0,168.87109375,17.7,2068.83203125,2202.0,0.0,4246.0,1001.0,1121.0,44.843,44.937
1.510,warmup,2.0,168.875,20.9,2068.83203125,2202.0,0.0,4052.0,842.0,1123.0,44.968,45.093
2.012,warmup,0.0,168.8828125,8.4,2068.83203125,2202.0,6.0,4099.0,882.0,1123.0,44.812,45.062
2.514,stream,2.0,168.8828125,5.1,2068.83203125,2202.0,0.0,3818.0,683.0,1125.0,44.781,45.125
3.015,stream,2.0,168.8984375,1.3,2068.83203125,2202.0,0.0,3697.0,602.0,1125.0,44.812,45.187
3.517,stream,4.0,168.98046875,17.6,2068.83203125,2202.0,10.0,3657.0,562.0,1125.0,44.875,45.031
4.018,stream,2.0,168.98828125,18.7,2068.83203125,2202.0,4.0,3938.0,762.0,1123.0,44.687,45.187
4.519,stream,4.0,168.9921875,6.1,2068.82421875,2202.0,0.0,4099.0,922.0,1123.0,44.968,45.062
5.021,stream,6.0,169.0,2.7,2068.82421875,2202.0,0.0,3858.0,723.0,1125.0,45.031,45.218
5.522,stream,2.0,169.00390625,4.1,2068.82421875,2202.0,0.0,3697.0,602.0,1125.0,44.656,45.156
6.024,stream,4.0,169.015625,2.0,2068.82421875,2202.0,0.0,3697.0,562.0,1125.0,44.593,45.187
6.525,stream,2.0,169.02734375,1.3,2068.82421875,2202.0,0.0,3657.0,562.0,1125.0,44.843,45.156
7.027,stream,4.0,169.03515625,1.3,2068.82421875,2202.0,0.0,3577.0,522.0,1085.0,44.968,45.031
7.528,stream,2.0,169.04296875,0.3,2068.82421875,2202.0,0.0,3577.0,482.0,1125.0,44.937,45.062
8.029,stream,4.0,169.046875,1.7,2068.82421875,2202.0,0.0,3577.0,482.0,1085.0,44.687,45.031
8.531,stream,4.0,169.0546875,3.4,2068.82421875,2202.0,0.0,3577.0,522.0,1125.0,44.718,45.031
9.032,stream,2.0,169.0625,1.0,2068.82421875,2202.0,0.0,3617.0,522.0,1125.0,44.625,45.281
9.533,stream,6.0,169.0703125,8.0,2065.296875,2198.0,35.0,3697.0,562.0,1125.0,44.718,45.25
10.035,stream,2.0,169.078125,0.3,2065.2734375,2198.0,0.0,3697.0,562.0,1125.0,44.593,45.0
10.536,stream,2.0,169.0859375,0.7,2065.2734375,2198.0,0.0,3617.0,522.0,1085.0,44.718,45.125
11.037,stream,4.0,169.09375,2.7,2065.2734375,2198.0,35.0,3617.0,522.0,1125.0,44.906,45.062
11.538,stream,2.0,169.09765625,2.0,2065.2734375,2198.0,0.0,3617.0,522.0,1125.0,44.656,45.093
12.039,stream,4.0,169.109375,0.7,2065.2734375,2198.0,0.0,3577.0,482.0,1085.0,44.718,45.062
12.540,stream,2.0,169.11328125,4.4,2065.2734375,2198.0,0.0,3617.0,522.0,1125.0,44.656,45.187
13.042,stream,4.0,169.125,0.7,2065.26171875,2198.0,0.0,3617.0,522.0,1125.0,44.75,45.218
