t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,174.86328125,1.7,2069.01171875,,,,,,,
1.007,warmup,0.0,174.87890625,0.7,2069.0078125,2203.0,0.0,3341.0,643.0,1044.0,43.562,44.156
1.508,warmup,0.0,174.8828125,1.7,2069.0078125,2203.0,0.0,3139.0,522.0,1044.0,43.593,44.093
2.009,warmup,0.0,174.88671875,1.3,2069.0078125,2203.0,0.0,3139.0,522.0,1044.0,43.656,44.031
2.510,stream,2.0,174.88671875,0.0,2069.0078125,2203.0,0.0,3059.0,482.0,1004.0,44.0,44.0
3.011,stream,4.0,174.89453125,0.7,2069.0078125,2203.0,0.0,3059.0,482.0,1004.0,43.687,44.0
3.512,stream,2.0,174.97265625,0.3,2069.0078125,2203.0,0.0,3059.0,482.0,1004.0,43.75,43.968
4.013,stream,2.0,174.98046875,1.3,2069.0078125,2203.0,0.0,3059.0,482.0,1004.0,43.781,44.031
4.514,stream,2.0,174.984375,0.7,2069.0,2203.0,0.0,3099.0,482.0,1004.0,43.687,44.187
5.015,stream,4.0,174.9921875,0.3,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.531,44.0
5.518,stream,2.0,174.99609375,0.3,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.687,44.062
6.019,stream,2.0,175.0078125,1.3,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.843,44.093
6.520,stream,6.0,175.015625,0.0,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.656,44.031
7.021,stream,2.0,175.0234375,1.3,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.687,44.093
7.522,stream,4.0,175.03125,0.0,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.75,44.187
8.023,stream,0.0,175.0390625,1.0,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.656,44.125
8.524,stream,4.0,175.05078125,0.7,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.562,44.031
9.025,stream,4.0,175.0546875,0.3,2069.0,2203.0,0.0,3059.0,482.0,1004.0,43.656,43.968
9.526,stream,2.0,175.0625,2.0,2063.953125,2203.0,0.0,3099.0,482.0,1004.0,43.875,43.906
10.028,stream,2.0,175.06640625,0.3,2063.953125,2198.0,0.0,3099.0,482.0,1004.0,43.656,43.968
10.529,stream,2.0,175.07421875,0.7,2063.94921875,2198.0,0.0,3059.0,482.0,1004.0,43.656,43.906
11.030,stream,4.0,175.08203125,0.7,2063.94921875,2198.0,0.0,3059.0,482.0,1004.0,43.75,44.156
11.531,stream,2.0,175.08984375,0.3,2060.859375,2195.0,0.0,3059.0,482.0,1004.0,43.562,44.125
12.032,stream,6.0,175.09765625,0.7,2060.859375,2195.0,0.0,3059.0,482.0,1004.0,43.593,44.031
12.533,stream,2.0,175.10546875,3.7,2057.52734375,2192.0,0.0,3059.0,482.0,1004.0,43.656,44.031
13.034,stream,4.0,175.11328125,1.0,2057.52734375,2192.0,0.0,3099.0,482.0,1004.0,43.75,44.0
13.535,stream,2.0,175.12109375,0.7,2054.62109375,2189.0,0.0,3099.0,482.0,1044.0,43.812,43.937
14.036,stream,2.0,175.12109375,0.7,2054.62109375,2189.0,0.0,3059.0,482.0,1004.0,43.625,43.937
14.537,stream,2.0,175.12890625,1.0,2050.98046875,2185.0,0.0,3059.0,482.0,1004.0,43.656,44.0
15.038,stream,4.0,175.13671875,1.0,2050.98046875,2185.0,0.0,3099.0,482.0,1004.0,43.562,44.062
15.539,stream,4.0,175.14453125,0.7,2050.97265625,2185.0,0.0,3059.0,482.0,1004.0,43.562,44.062
16.040,stream,2.0,175.15234375,0.3,2050.97265625,2185.0,0.0,3059.0,482.0,1004.0,43.656,44.031
16.542,stream,2.0,175.16015625,1.0,2049.21875,2183.0,0.0,3059.0,482.0,1004.0,43.468,44.0
17.042,stream,2.0,175.16796875,0.3,2049.21875,2183.0,0.0,3059.0,482.0,1004.0,43.468,43.937
17.544,stream,6.0,175.171875,0.3,2046.984375,2181.0,0.0,3059.0,482.0,1004.0,43.5,43.937
18.045,stream,2.0,175.1796875,0.7,2046.984375,2181.0,0.0,3059.0,482.0,1004.0,43.625,43.843
18.546,stream,2.0,175.18359375,1.0,2046.984375,2181.0,0.0,3059.0,482.0,1004.0,43.75,43.937
19.047,stream,4.0,175.19921875,0.7,2047.4765625,2181.0,0.0,3059.0,483.0,1004.0,43.562,44.093
19.548,stream,2.0,175.20703125,0.7,2047.4765625,2182.0,0.0,3059.0,482.0,1004.0,43.531,44.0
20.049,stream,2.0,175.2109375,0.3,2047.4765625,2182.0,0.0,3059.0,482.0,1004.0,43.437,44.031
20.550,stream,2.0,175.22265625,1.3,2047.46875,2182.0,0.0,3099.0,482.0,1004.0,43.718,43.937
21.051,stream,4.0,175.23046875,0.3,2047.46875,2182.0,0.0,3059.0,482.0,1004.0,43.812,43.968
21.552,stream,2.0,175.23828125,0.7,2047.46875,2182.0,0.0,3059.0,482.0,1004.0,43.593,43.906
22.053,stream,4.0,175.2421875,0.0,2047.46875,2182.0,0.0,3059.0,482.0,1004.0,43.625,43.843
22.554,stream,4.0,175.24609375,2.0,2047.46484375,2182.0,0.0,3059.0,482.0,1004.0,43.531,43.781
23.055,stream,2.0,175.25,0.7,2043.46484375,2178.0,0.0,3059.0,482.0,1004.0,43.5,44.0
23.556,stream,4.0,175.25,0.7,2043.46484375,2178.0,0.0,3059.0,482.0,1044.0,43.531,43.968
24.058,stream,2.0,175.25,0.7,2043.46484375,2178.0,0.0,3059.0,482.0,1004.0,43.593,44.156
24.558,stream,2.0,175.25,1.0,2043.46484375,2178.0,0.0,3059.0,482.0,1004.0,43.5,44.031
25.059,stream,4.0,175.2578125,0.7,2043.46484375,2178.0,0.0,3059.0,482.0,1004.0,43.531,43.906
25.561,stream,2.0,175.26171875,1.0,2043.46484375,2178.0,0.0,3059.0,483.0,1004.0,43.531,44.062
26.062,stream,2.0,175.26171875,0.0,2043.46484375,2178.0,0.0,3099.0,482.0,1044.0,43.5,44.031
26.563,stream,4.0,175.265625,2.0,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.437,43.906
27.065,stream,4.0,175.265625,0.3,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.343,43.968
27.566,stream,2.0,175.265625,0.7,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.625,43.843
28.067,stream,2.0,175.265625,0.0,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.687,43.875
28.568,stream,2.0,175.265625,1.3,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.687,43.875
29.069,stream,4.0,175.265625,0.7,2043.44921875,2178.0,0.0,3059.0,482.0,1004.0,43.562,43.843
29.571,stream,4.0,175.265625,0.3,2038.65625,2173.0,0.0,3099.0,482.0,1004.0,43.656,43.937
30.072,stream,2.0,175.265625,1.0,2038.65625,2173.0,0.0,3059.0,482.0,1004.0,43.718,43.906
