t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,5.79378,1,e_rec,single-domain,0.0000,0.0000,5.260,0,5.79378,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,28.71,37.92
2.40,3.67,3.68,0,2.39917,1,e_rec,single-domain,0.0000,0.0000,3.836,0,2.39917,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,17.05,34.28
2.80,4.07,4.08,0,12.83521,1,e_rec,single-domain,0.0000,0.0000,3.804,0,12.83521,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,8.856
3.20,4.47,4.48,0,-0.47044,0,e_rec,single-domain,0.0000,0.0000,3.647,0,-0.47044,0,-0.9902,10.52,0.6235,0,0.1148,8.951,50,11.43,8.971
3.60,4.87,4.88,0,7.79406,1,e_rec,single-domain,0.0000,0.0000,4.085,0,7.79406,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,37.93,5.961
4.00,5.27,5.28,0,6.36639,1,e_rec,single-domain,0.0000,0.0000,3.610,0,6.36639,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,35.06,3.358
4.40,5.67,5.68,0,-2.58416,0,e_rec,single-domain,0.0000,0.0000,3.607,0,-2.58416,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,6.645,5.25
4.80,6.07,6.08,0,-0.52813,0,e_rec,single-domain,0.0000,0.0000,3.691,0,-0.52813,0,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,12.09,-0.7223
5.20,6.47,6.48,0,-1.61979,0,e_rec,cross-domain,0.0000,0.0000,3.617,0,-1.61979,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,7.561,-0.7427
5.60,6.87,6.88,0,-3.76341,0,|r_aux|,cross-domain,0.0000,0.0000,3.721,0,-3.76341,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-1.054,-0.1119
6.00,7.27,7.28,0,-2.54553,0,e_rec,cross-domain,0.0000,0.0000,3.686,0,-2.54553,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,1.734,-0.1017
6.40,7.67,7.68,0,-3.12613,0,|r_aux|,cross-domain,0.0000,0.0000,3.600,0,-3.12613,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.7045,-0.03662
6.80,8.07,8.08,0,-2.60842,0,|r_aux|,cross-domain,0.0000,0.0000,3.810,0,-2.60842,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.413,0.249
7.20,8.47,8.48,0,-2.77284,0,|r_aux|,cross-domain,0.0000,0.0000,3.514,0,-2.77284,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-1.037,-0.4899
7.60,8.87,8.88,0,-2.24727,0,e_rec,cross-domain,0.0000,0.0000,3.658,0,-2.24727,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.749,-0.1199
8.00,9.27,9.28,0,-2.86834,0,|r_bal|,cross-domain,0.0000,0.0000,4.020,0,-2.86834,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,-0.04951,-0.093
8.40,9.67,9.68,0,-3.17346,0,|r_aux|,cross-domain,0.0000,0.0000,3.520,0,-3.17346,0,0.7032,1.159,1.265,0,1.335,1.255,0.02505,-0.2877,0.399
8.80,10.07,10.08,0,-2.34313,0,e_rec,cross-domain,0.0000,0.0000,3.863,0,-2.34313,0,1.177,1.031,0.6924,0,0.723,1.277,-0.3338,1.31,0.429
9.20,10.47,10.48,0,-1.89699,0,e_rec,cross-domain,0.0000,0.0000,3.589,0,-1.89699,0,0.6458,1.218,1.985,0,0.4389,0.317,-0.1756,2.77,1.261
9.60,10.87,10.88,0,-2.83340,0,|r_aux|,cross-domain,0.0000,0.0000,3.563,0,-2.83340,0,0.8036,1.389,1.198,0,0.07942,-0.1873,0.6684,-0.7482,-0.1765
10.00,11.27,11.28,0,-1.95086,0,e_rec,cross-domain,0.0000,0.0000,3.643,0,-1.95086,0,0.6314,1.142,1.03,0,-0.5289,-0.7021,0.1367,1.6,0.8994
10.40,11.67,11.68,0,-2.53463,0,|r_aux|,cross-domain,0.0000,0.0000,3.490,0,-2.53463,0,1.033,1.124,2.71,0,-0.286,0.08974,0.2316,-0.3579,0.2362
10.80,12.07,12.08,0,-2.89340,0,|r_aux|,cross-domain,0.0000,0.0000,3.894,0,-2.89340,0,0.8611,1.357,1.121,0,0.08048,0.6188,0.6034,-1.038,0.3175
11.20,12.47,12.48,0,-1.91927,0,e_rec,cross-domain,0.0000,0.0000,4.664,0,-1.91927,0,0.9041,1.14,0.8445,0,0.7194,1.755,0.1277,2.82,0.808
11.60,12.87,12.88,0,-2.57782,0,|r_aux|,cross-domain,0.0000,0.0000,3.747,0,-2.57782,0,0.8324,1.175,2.328,0,0.1561,1.858,0.3043,-0.03214,0.2963
12.00,13.27,13.28,0,-2.49396,0,|r_aux|,cross-domain,0.0000,0.0000,3.756,0,-2.49396,0,0.9041,1.38,0.8395,0,0.4373,1.406,0.6973,0.6056,0.6653
12.40,13.67,13.68,0,-2.38902,0,|r_bal|,cross-domain,0.0000,0.0000,3.575,0,-2.38902,0,1.55,1.093,0.5781,0,0.02988,0.5731,0.2832,0.1857,0.04657
12.80,14.07,14.08,0,-2.18732,0,e_rec,cross-domain,0.0000,0.0000,3.686,0,-2.18732,0,0.8036,0.9368,1.779,0,0.02982,-0.1077,-0.002462,1.498,1.377
13.20,14.47,14.48,0,-2.90807,0,|r_aux|,cross-domain,0.0000,0.0000,3.571,0,-2.90807,0,1.119,1.249,0.6481,0,0.4346,-0.3328,0.3176,-0.6678,0.04305
13.60,14.87,14.88,0,-2.26187,0,e_rec,cross-domain,0.0000,0.0000,3.487,0,-2.26187,0,0.9472,0.988,0.7735,0,0.4501,-0.7113,-0.1538,1.721,1.086
14.00,15.27,15.28,0,-2.83851,0,|r_aux|,cross-domain,0.0000,0.0000,3.696,0,-2.83851,0,0.8754,1.03,2.118,0,0.5227,-1.125,0.04853,0.008099,0.3958
14.40,15.67,15.68,0,-3.05219,0,|r_aux|,cross-domain,0.0000,0.0000,3.546,0,-3.05219,0,0.818,1.239,0.8168,0,0.4701,-1.423,0.8437,-0.6109,0.5848
14.80,16.07,16.08,0,-2.01544,0,e_rec,cross-domain,0.0000,0.0000,3.634,0,-2.01544,0,0.5597,1.074,0.7573,0,0.4724,-1.288,0.3145,2.861,0.4688
15.20,16.47,16.48,0,-2.42928,0,|r_aux|,cross-domain,0.0000,0.0000,3.549,0,-2.42928,0,0.4592,1.283,1.814,0,0.03619,-0.4466,0.1733,0.6925,-0.3349
15.60,16.87,16.88,0,-3.08485,0,|r_aux|,cross-domain,0.0000,0.0000,3.727,0,-3.08485,0,0.6888,1.48,0.8102,0,0.6962,-0.01167,1.245,-0.6355,-0.009184
16.00,17.27,17.28,0,-3.08993,0,|r_aux|,cross-domain,0.0000,0.0000,3.646,0,-3.08993,0,0.7032,1.073,0.5833,0,0.9964,0.9585,0.2193,-0.3434,-0.1791
16.40,17.67,17.68,0,-3.19524,0,|r_aux|,cross-domain,0.0000,0.0000,3.463,0,-3.19524,0,0.5884,0.7105,2.012,0,1.037,0.816,0.08654,-0.3195,0.3536
16.80,18.07,18.08,0,-2.40742,0,e_rec,cross-domain,0.0000,0.0000,3.691,0,-2.40742,0,0.8324,1.074,0.7575,0,0.6685,0.8114,0.2455,1.384,0.1755
17.20,18.47,18.48,0,-2.48790,0,|r_bal|,cross-domain,0.0000,0.0000,3.604,0,-2.48790,0,1.607,0.9717,0.24,0,0.7038,-0.04478,0.411,0.8787,-0.1409
17.60,18.87,18.88,0,-2.96013,0,|r_bal|,cross-domain,0.0000,0.0000,3.532,0,-2.96013,0,1.464,1.291,1.295,0,0.7236,-0.2691,0.4965,-0.6682,0.4615
18.00,19.27,19.28,0,-2.68848,0,|r_bal|,cross-domain,0.0000,0.0000,3.659,0,-2.68848,0,1.622,1.425,-0.0008333,0,0.5344,-0.2089,1.722,-0.01021,-0.3134
18.40,19.67,19.68,0,-2.45505,0,e_rec,cross-domain,0.0000,0.0000,3.508,0,-2.45505,0,0.5597,0.9637,0.4509,0,0.004932,0.6498,0.354,0.6389,-0.3705
18.80,20.07,20.08,0,-2.09838,0,e_rec,cross-domain,0.0000,0.0000,3.581,0,-2.09838,0,0.6888,0.6494,2.281,0,-0.4191,0.8169,0.1849,1.306,0.1698
19.20,20.47,20.48,0,-2.44918,0,|r_bal|,cross-domain,0.0000,0.0000,3.632,0,-2.44918,0,1.148,1.057,1.047,0,-0.3125,1.034,0.1083,-0.264,0.1589
19.60,20.87,20.88,0,-2.40303,0,|r_qp|,cross-domain,0.0000,0.0000,3.639,0,-2.40303,0,0.9328,0.8562,0.8145,0,-0.5565,0.9523,-0.1879,-0.215,0.009964
20.00,21.27,21.28,0,-2.23614,0,e_rec,cross-domain,0.0000,0.0000,3.682,0,-2.23614,0,0.5023,1.001,1.877,0,-0.3451,1.066,-0.01752,0.789,0.3119
20.40,21.67,21.68,0,-2.75778,0,|r_aux|,cross-domain,0.0000,0.0000,3.622,0,-2.75778,0,0.6027,1.224,0.6718,0,-0.1936,0.7621,0.6283,-0.7046,0.3737
20.80,22.07,22.08,0,-2.69646,0,|r_aux|,cross-domain,0.0000,0.0000,3.556,0,-2.69646,0,0.5884,0.9292,0.4888,0,-0.428,-0.2403,-0.02458,-0.6482,-0.2906
21.20,22.47,22.48,0,-2.48742,0,e_rec,cross-domain,0.0000,0.0000,4.504,0,-2.48742,0,0.9185,0.8898,2.099,0,0.3992,-0.9307,0.04928,0.9861,-0.1018
21.60,22.87,22.88,0,-2.89710,0,|r_aux|,cross-domain,0.0000,0.0000,3.564,0,-2.89710,0,1.091,1.184,0.8636,0,0.479,-0.6157,0.4652,-0.4794,-0.3921
22.00,23.27,23.28,0,-2.77805,0,|r_bal|,cross-domain,0.0000,0.0000,3.771,0,-2.77805,0,1.091,0.8648,1.069,0,0.5504,-0.3751,-0.04624,0.06906,-0.3668
22.40,23.67,23.68,0,-2.38841,0,|r_bal|,cross-domain,0.0000,0.0000,3.480,0,-2.38841,0,1.019,0.8783,2.428,0,-0.124,-0.2105,-0.002695,0.434,-0.6257
22.80,24.07,24.08,0,-1.80381,0,e_rec,cross-domain,0.0000,0.0000,3.608,0,-1.80381,0,0.9615,1.169,1.016,0,-0.2151,-0.2784,0.9939,2.322,0.1353
23.20,24.47,24.48,0,-1.96225,0,e_rec,cross-domain,0.0000,0.0000,3.722,0,-1.96225,0,0.5166,0.991,-0.01361,0,-0.5626,0.07343,1.491,1.867,0.527
23.60,24.87,24.88,0,-2.62127,0,|r_aux|,cross-domain,0.0000,0.0000,3.578,0,-2.62127,0,0.7175,1.17,0.8554,0,-0.4759,0.381,1.777,-0.4001,0.1872
24.00,25.27,25.28,0,-2.28988,0,e_rec,cross-domain,0.0000,0.0000,3.730,0,-2.28988,0,0.4736,1.349,-0.4648,0,-0.3608,0.1468,3.33,1.237,0.4939
24.40,25.67,25.68,0,-1.98761,0,e_rec,cross-domain,0.0000,0.0000,3.496,0,-1.98761,0,0.8611,1.085,-0.6279,0,-0.0238,-0.2272,2.583,2.424,-0.22
24.80,26.07,26.08,0,-2.83684,0,|r_bal|,cross-domain,0.0000,0.0000,3.735,0,-2.83684,0,1.162,1.064,0.8152,0,-0.3082,-0.4684,2.271,-0.853,0.618
25.20,26.47,26.48,0,-2.57605,0,|r_bal|,cross-domain,0.0000,0.0000,3.654,0,-2.57605,0,1.363,1.3,-0.4613,0,-0.1819,-0.2866,3.019,-0.0486,-0.4242
25.60,26.87,26.88,0,-2.21518,0,e_rec,cross-domain,0.0000,0.0000,3.504,0,-2.21518,0,1.148,0.9552,0.1072,0,0.2125,0.835,1.388,1.473,-0.8227
26.00,27.27,27.28,0,-2.51804,0,|r_bal|,cross-domain,0.0000,0.0000,3.571,0,-2.51804,0,0.9615,0.8614,1.933,0,-0.2741,1.02,1.024,-0.0801,-0.8747
26.40,27.67,27.68,0,-2.33545,0,|r_aux|,cross-domain,0.0000,0.0000,3.588,0,-2.33545,0,0.9328,1.187,0.7135,0,-0.1487,1.256,1.21,0.5961,0.6763
26.80,28.07,28.08,0,-2.30055,0,e_rec,cross-domain,0.0000,0.0000,3.585,0,-2.30055,0,0.6314,0.9967,0.04285,0,0.1174,0.9107,1.434,1.467,0.6101
27.20,28.47,28.48,0,-2.56613,0,|r_aux|,cross-domain,0.0000,0.0000,3.602,0,-2.56613,0,0.7175,1.093,0.8586,0,0.261,1.393,2.064,0.6838,-0.1827
27.60,28.87,28.88,0,-1.80454,0,e_rec,cross-domain,0.0000,0.0000,3.505,0,-1.80454,0,0.5453,1.297,-0.2134,0,0.2173,2.148,3.605,3.38,1.385
28.00,29.27,29.28,0,-2.15064,0,e_rec,cross-domain,0.0000,0.0000,3.610,0,-2.15064,0,0.8324,1.044,-0.8659,0,0.398,2.029,3.47,2.439,0.6045
28.40,29.67,29.68,0,-2.87535,0,|r_aux|,cross-domain,0.0000,0.0000,3.582,0,-2.87535,0,0.6601,1.05,0.1371,0,0.3606,1.404,3.64,0.2214,-0.1251
28.80,30.07,30.08,0,-3.19365,0,|r_aux|,cross-domain,0.0000,0.0000,3.581,0,-3.19365,0,1.048,1.259,-1.168,0,0.4576,0.8098,4.565,-0.7222,0.6804
29.20,30.47,30.48,0,-2.84036,0,|r_aux|,cross-domain,0.0000,0.0000,3.609,0,-2.84036,0,0.7175,0.9142,-0.1543,0,0.3165,1.024,2.522,0.1961,0.5201
29.60,30.87,30.88,0,-2.94357,0,|r_bal|,cross-domain,0.0000,0.0000,3.531,0,-2.94357,0,1.134,0.8161,2.255,0,0.1049,0.8879,1.5,-0.842,0.552
30.00,31.27,31.28,0,-2.66785,0,|r_aux|,cross-domain,0.0000,0.0000,3.649,0,-2.66785,0,1.191,1.161,1.272,0,0.004685,1.041,1.078,-0.4661,0.09192
30.40,31.67,31.68,0,-2.61409,0,|r_bal|,cross-domain,0.0000,0.0000,3.554,0,-2.61409,0,1.421,0.8491,1.1,0,0.1308,1.001,0.3859,-0.2502,-0.6722
30.80,32.07,32.08,0,-2.88345,0,|r_bal|,cross-domain,0.0000,0.0000,3.550,0,-2.88345,0,0.9041,0.735,2.68,0,0.293,1.166,0.6364,-0.468,-0.1227
31.20,32.47,32.48,0,-2.30169,0,e_rec,cross-domain,0.0000,0.0000,3.603,0,-2.30169,0,0.7462,1.093,1.362,0,-0.1859,1.377,0.9776,0.8318,1.805
31.60,32.87,32.88,0,-2.13613,0,e_rec,cross-domain,0.0000,0.0000,4.273,0,-2.13613,0,0.0574,0.8996,0.3765,0,-0.6682,0.8108,1.781,1.487,0.5782
32.00,33.27,33.28,0,-2.62404,0,|r_aux|,cross-domain,0.0000,0.0000,3.557,0,-2.62404,0,0.5453,1.116,1.057,0,-0.3197,-0.04863,2.027,0.0226,-0.07413
32.40,33.67,33.68,0,-2.39405,0,e_rec,cross-domain,0.0000,0.0000,3.647,0,-2.39405,0,0.9041,1.268,-0.6126,0,0.4917,-0.4172,3.946,2.074,2.035
32.80,34.07,34.08,0,-2.67916,0,e_rec,cross-domain,0.0000,0.0000,3.536,0,-2.67916,0,0.8036,0.984,-1.222,0,0.9849,0.1455,3.373,1.73,-0.2403
33.20,34.47,34.48,0,-3.34788,0,|r_aux|,cross-domain,0.0000,0.0000,3.586,0,-3.34788,0,0.6314,1.044,-0.1745,0,1.197,0.5531,3.518,-0.1519,-0.847
33.60,34.87,34.88,0,-3.78434,0,|r_aux|,cross-domain,0.0000,0.0000,3.633,0,-3.78434,0,0.531,1.294,-1.21,0,1.893,0.7202,4.109,-0.554,0.5324
34.00,35.27,35.28,0,-3.64911,0,|r_bal|,cross-domain,0.0000,0.0000,3.619,0,-3.64911,0,1.033,0.9629,-0.3751,0,1.657,-0.05554,2.021,-0.944,-0.7133
34.40,35.67,35.68,0,-3.22935,0,|r_aux|,cross-domain,0.0000,0.0000,3.670,0,-3.22935,0,0.3588,0.8095,2.258,0,0.7936,-0.505,1.2,-0.3071,-0.2116
34.80,36.07,36.08,0,-2.92930,0,|r_aux|,cross-domain,0.0000,0.0000,3.828,0,-2.92930,0,0.7319,1.152,1.229,0,-0.1051,-0.6182,0.6236,-1.021,0.2221
35.20,36.47,36.48,0,-2.61347,0,|r_aux|,cross-domain,0.0000,0.0000,3.570,0,-2.61347,0,0.7606,0.8545,1.114,0,0.0551,-0.8638,0.03673,0.2433,-0.5459
35.60,36.87,36.88,0,-2.69519,0,|r_bal|,cross-domain,0.0000,0.0000,3.572,0,-2.69519,0,1.019,0.8139,2.389,0,0.2038,-1.158,0.318,0.1172,-0.349
36.00,37.27,37.28,0,-2.60021,0,|r_bal|,cross-domain,0.0000,0.0000,3.608,0,-2.60021,0,1.435,1.122,1.186,0,0.07148,-1.27,0.694,-0.0859,-0.07004
36.40,37.67,37.68,0,-2.33646,0,|r_bal|,cross-domain,0.0000,0.0000,3.574,0,-2.33646,0,1.134,0.7952,1.04,0,-0.2609,-1.237,0.222,0.608,-0.6389
36.80,38.07,38.08,0,-2.42792,0,|r_bal|,cross-domain,0.0000,0.0000,3.537,0,-2.42792,0,1.378,0.8115,2.634,0,-0.05845,-1.123,0.1879,0.4105,0.2305
37.20,38.47,38.48,0,-2.90966,0,|r_bal|,cross-domain,0.0000,0.0000,3.499,0,-2.90966,0,1.205,1.157,1.457,0,0.3093,-1.037,0.5461,-0.7301,-0.3149
37.60,38.87,38.88,0,-2.81881,0,|r_bal|,cross-domain,0.0000,0.0000,3.515,0,-2.81881,0,1.536,0.8051,1.389,0,0.3649,-1.143,0.1027,-0.4532,-0.8668
38.00,39.27,39.28,0,-2.48405,0,e_rec,cross-domain,0.0000,0.0000,3.508,0,-2.48405,0,0.7462,0.7035,2.782,0,-0.008005,-0.9614,-0.06469,0.6548,-0.4049
38.40,39.67,39.68,0,-1.84898,0,e_rec,cross-domain,0.0000,0.0000,3.556,0,-1.84898,0,1.162,1.046,1.362,0,-0.3444,-0.9742,0.4793,2.03,1.6
38.80,40.07,40.08,0,-2.42031,0,|r_qp|,cross-domain,0.0000,0.0000,3.547,0,-2.42031,0,0.531,0.8193,0.8638,0,-0.8065,-0.8853,0.2321,-0.006906,-0.187
39.20,40.47,40.48,0,-2.67871,0,|r_aux|,cross-domain,0.0000,0.0000,3.492,0,-2.67871,0,0.4879,1.054,1.898,0,0.1164,-0.6115,0.07861,0.09591,-0.8667
39.60,40.87,40.88,0,-2.92161,0,|r_aux|,cross-domain,0.0000,0.0000,3.594,0,-2.92161,0,0.818,1.234,0.9137,0,0.7861,-0.5698,1.409,0.227,0.6556
40.00,41.27,41.28,0,-2.51108,0,e_rec,cross-domain,0.0000,0.0000,3.571,0,-2.51108,0,0.7175,0.9554,0.09814,0,1.279,-0.1103,1.099,2.261,-0.3211
40.40,41.67,41.68,0,-3.45231,0,|r_bal|,cross-domain,0.0000,0.0000,3.632,0,-3.45231,0,1.249,1.065,1.096,0,1.414,0.2277,1.31,-0.949,0.7399
40.80,42.07,42.08,0,-3.41003,0,|r_aux|,cross-domain,0.0000,0.0000,3.573,0,-3.41003,0,1.32,1.305,-0.4943,0,1.307,-0.07152,2.183,-0.9311,0.3874
41.20,42.47,42.48,0,-3.17670,0,|r_bal|,cross-domain,0.0000,0.0000,3.552,0,-3.17670,0,1.134,0.9655,0.2255,0,1.08,-0.6566,0.8713,-0.3947,-0.5375
41.60,42.87,42.88,-1,13.99995,1,e_rec,single-domain,0.0000,0.0000,3.631,0,13.99995,1,7.187,1.195,2.412,0,0.1923,-0.719,0.8728,50,7.08
42.00,43.27,45.18,-1,23.66138,1,e_rec,single-domain,0.0000,0.0859,1901.264,1900,23.31763,1,50,5.589,1.319,0,0.151,1.182,1.311,50,14.17
42.40,43.67,45.18,1,26.22395,1,e_rec,single-domain,0.0000,0.3984,1501.264,1500,24.63020,1,50,10.75,0.9252,0,0.1059,5.517,3.339,50,4.27
42.80,44.07,45.18,1,28.95554,1,e_rec,single-domain,0.0000,0.7109,1101.264,1100,26.11179,1,50,15.11,2.04,0,0.3234,20.26,3.241,50,0.3905
43.20,44.47,45.18,1,30.14592,1,e_rec,single-domain,0.0000,1.0000,701.264,700,26.14592,1,50,13.8,0.9789,0,0.2585,31.71,3.689,50,7.626
43.60,44.87,45.18,1,30.42991,1,e_rec,single-domain,0.0000,1.0000,301.264,300,26.42991,1,50,13.91,0.8217,0,0.6462,36.15,1.865,50,1.048
44.00,45.27,45.28,1,28.67977,1,e_rec,single-domain,0.0000,0.8281,3.522,0,25.36727,1,50,11.83,2.28,0,0.5133,25.19,0.199,50,20.26
44.40,45.67,45.68,1,27.61175,1,e_rec,single-domain,0.0000,0.5156,3.484,0,25.54925,1,50,13.07,0.7724,0,0.3484,14.05,0.5873,50,2.852
44.80,46.07,46.08,1,25.74597,1,e_rec,single-domain,0.0000,0.2031,3.754,0,24.93347,1,50,12.37,-0.3373,0,0.4801,8.923,0.7515,50,13.23
45.20,46.47,48.26,1,25.96933,1,e_rec,single-domain,0.0000,0.1797,1780.523,1780,25.25058,1,50,13.28,-0.06348,0,0.2582,9.2,2.771,50,5.179
45.60,46.87,48.66,1,27.20117,1,e_rec,single-domain,0.0000,0.4766,1780.898,1780,25.29492,1,50,13.55,-1.14,0,0.3164,14.9,4.238,50,11.04
46.00,47.27,48.66,1,28.95615,1,e_rec,single-domain,0.0000,0.7891,1380.898,1380,25.79990,1,50,13.65,-0.6435,0,0.4468,20.97,2.858,50,0.2876
46.40,47.67,48.66,1,29.62832,1,e_rec,single-domain,0.0000,0.9844,980.898,980,25.69082,1,50,13.92,1.682,0,0.8841,20.71,1.677,50,3.825
