t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,1.75332,1,e_rec,cross-domain,0.6455,0.0000,891.197,890,6.91731,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,35.29,50
2.40,3.67,4.17,0,-0.02012,1,e_rec,cross-domain,0.4611,0.0000,491.197,490,3.66844,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,25.12,50
2.80,4.07,4.17,0,10.49765,1,e_rec,cross-domain,0.1537,0.0000,91.197,90,11.72717,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.17
3.20,4.47,4.48,0,-2.12378,0,|r_qp|,cross-domain,0.0000,0.0000,3.638,0,-2.12378,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,9.495,50
3.60,4.87,4.88,0,8.79276,1,e_rec,cross-domain,0.0000,0.0000,3.591,0,8.79276,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,41.91,11.63
4.00,5.27,5.28,0,8.17989,1,e_rec,cross-domain,0.0000,0.0000,3.663,0,8.17989,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,40.08,5.254
4.40,5.67,5.68,0,-1.18537,0,|r_qp|,cross-domain,0.0000,0.0000,3.662,0,-1.18537,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,11.1,47.35
4.80,6.07,6.08,0,-0.50336,0,|r_qp|,cross-domain,0.0000,0.0000,3.719,0,-0.50336,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,9.301,0.8074
5.20,6.47,6.48,0,-0.62221,0,|r_qp|,cross-domain,0.0000,0.0000,3.528,0,-0.62221,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,7.099,-0.4141
5.60,6.87,6.88,0,-2.16954,0,|r_qp|,cross-domain,0.0000,0.0000,3.492,0,-2.16954,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.211,44.62
6.00,7.27,7.28,0,-2.38351,0,|r_qp|,cross-domain,0.0000,0.0000,3.601,0,-2.38351,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.8132,0.8434
6.40,7.67,7.68,0,-1.82934,0,|r_qp|,cross-domain,0.0000,0.0000,3.578,0,-1.82934,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7437,-0.3857
6.80,8.07,8.08,0,-0.16211,1,|r_qp|,cross-domain,0.0000,0.0000,3.682,0,-0.16211,1,-6.243,-2.772,-4.378,0,-8.793,2.957,0.622,5.625,37.01
