t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,8.0,180.7890625,1.7,2051.83203125,,,,,,,
1.007,warmup,0.0,180.80078125,1.0,2051.828125,2185.0,0.0,3300.0,643.0,1044.0,43.281,43.531
1.510,warmup,0.0,180.8046875,1.3,2051.828125,2185.0,0.0,3099.0,522.0,1044.0,43.312,43.375
2.011,warmup,0.0,180.8125,0.7,2051.828125,2185.0,0.0,3059.0,483.0,1004.0,43.343,43.468
2.512,stream,2.0,180.8125,0.3,2051.828125,2185.0,0.0,3019.0,483.0,1006.0,43.281,43.406
3.014,stream,4.0,180.82421875,5.0,2053.3046875,2185.0,0.0,3019.0,483.0,1006.0,43.187,43.562
3.517,stream,2.0,180.90625,0.3,2053.3046875,2187.0,0.0,3139.0,522.0,1044.0,43.093,43.531
4.018,stream,2.0,180.9140625,0.7,2053.3046875,2187.0,0.0,3059.0,483.0,1006.0,43.125,43.562
4.519,stream,2.0,180.91796875,0.7,2053.296875,2187.0,0.0,3099.0,482.0,1004.0,43.093,43.437
5.021,stream,4.0,180.9296875,1.0,2053.296875,2187.0,0.0,3059.0,483.0,1004.0,43.25,43.375
5.522,stream,4.0,180.93359375,0.7,2053.296875,2187.0,0.0,3059.0,483.0,1006.0,43.375,43.406
6.023,stream,4.0,180.9453125,4.7,2053.54296875,2187.0,0.0,3019.0,483.0,1006.0,43.125,43.375
6.526,stream,2.0,180.953125,0.7,2053.54296875,2187.0,0.0,3139.0,523.0,1004.0,43.187,43.625
7.028,stream,4.0,180.9609375,1.0,2053.54296875,2187.0,0.0,3059.0,483.0,1006.0,43.062,43.5
7.529,stream,2.0,180.96484375,1.7,2053.54296875,2187.0,0.0,3059.0,483.0,1006.0,43.375,43.531
8.030,stream,2.0,180.97265625,1.7,2053.54296875,2187.0,0.0,3059.0,523.0,1006.0,43.062,43.375
8.532,stream,2.0,180.984375,0.3,2053.54296875,2187.0,0.0,3059.0,483.0,1006.0,43.187,43.593
9.033,stream,4.0,180.9921875,4.7,2054.28125,2187.0,0.0,3019.0,483.0,1006.0,43.187,43.656
9.535,stream,4.0,181.0,1.7,2054.28125,2188.0,0.0,3180.0,562.0,1044.0,43.125,43.531
10.038,stream,2.0,181.00390625,1.0,2054.2734375,2188.0,0.0,3139.0,522.0,1004.0,43.093,43.468
10.539,stream,6.0,181.01171875,0.0,2054.2734375,2188.0,0.0,3059.0,483.0,1006.0,43.0,43.437
11.041,stream,2.0,181.01953125,1.3,2054.2734375,2188.0,0.0,3019.0,483.0,1006.0,43.343,43.437
11.542,stream,2.0,181.02734375,0.3,2054.2734375,2188.0,0.0,3059.0,483.0,1006.0,43.031,43.437
12.043,stream,4.0,181.03515625,4.7,2054.51953125,2188.0,0.0,3019.0,483.0,1006.0,43.125,43.375
12.545,stream,2.0,181.04296875,1.0,2054.51953125,2188.0,0.0,3139.0,563.0,1046.0,43.187,43.531
13.047,stream,4.0,181.05078125,1.3,2054.51953125,2188.0,0.0,3099.0,483.0,1006.0,43.125,43.468
13.548,stream,4.0,181.05859375,0.3,2054.51953125,2188.0,0.0,3059.0,483.0,1006.0,43.093,43.5
14.049,stream,2.0,181.05859375,1.3,2054.3515625,2188.0,0.0,3019.0,483.0,1006.0,43.187,43.437
14.550,stream,2.0,181.06640625,0.3,2054.33984375,2188.0,0.0,3019.0,483.0,1006.0,43.25,43.437
15.052,stream,4.0,181.07421875,0.7,2052.7109375,2188.0,0.0,3019.0,483.0,1006.0,43.343,43.406
15.553,stream,4.0,181.08203125,5.3,2052.68359375,2186.0,0.0,3220.0,562.0,1044.0,43.187,43.406
16.055,stream,2.0,181.0859375,0.7,2051.67578125,2186.0,0.0,3099.0,523.0,1006.0,43.093,43.531
16.557,stream,2.0,181.09375,1.3,2051.57421875,2185.0,0.0,3059.0,483.0,1006.0,43.093,43.406
17.058,stream,6.0,181.1015625,0.7,2050.203125,2185.0,0.0,3019.0,483.0,1006.0,43.031,43.468
17.560,stream,2.0,181.109375,0.0,2050.203125,2184.0,0.0,3019.0,483.0,1006.0,43.093,43.468
18.061,stream,4.0,181.1171875,1.3,2049.22265625,2184.0,0.0,3019.0,483.0,1006.0,43.312,43.343
18.563,stream,2.0,181.12109375,5.7,2049.9609375,2184.0,0.0,3220.0,602.0,1044.0,43.25,43.375
19.065,stream,4.0,181.13671875,1.0,2049.625,2184.0,0.0,3099.0,523.0,1006.0,43.156,43.5
19.567,stream,2.0,181.1484375,0.7,2047.58984375,2181.0,0.0,3059.0,483.0,1006.0,43.031,43.468
20.068,stream,4.0,181.15234375,1.3,2047.58984375,2181.0,0.0,3019.0,483.0,1006.0,43.031,43.5
20.570,stream,2.0,181.16015625,0.7,2047.58984375,2181.0,0.0,3059.0,483.0,1004.0,43.312,43.406
21.071,stream,4.0,181.1640625,0.7,2047.58203125,2181.0,0.0,3099.0,482.0,1004.0,43.093,43.406
21.572,stream,4.0,181.171875,4.7,2047.234375,2181.0,0.0,3139.0,523.0,1004.0,43.375,43.375
22.075,stream,2.0,181.17578125,0.7,2047.125,2181.0,0.0,3099.0,523.0,1006.0,43.187,43.375
22.577,stream,2.0,181.1796875,0.7,2047.125,2181.0,0.0,3059.0,523.0,1006.0,43.093,43.437
23.078,stream,4.0,181.18359375,1.3,2047.12109375,2181.0,0.0,3059.0,483.0,1006.0,43.093,43.437
23.580,stream,4.0,181.18359375,0.7,2047.12109375,2181.0,0.0,3019.0,483.0,1006.0,43.0,43.5
24.081,stream,2.0,181.18359375,0.7,2047.12109375,2181.0,0.0,3019.0,483.0,1006.0,43.062,43.437
24.582,stream,4.0,181.18359375,4.0,2049.5703125,2181.0,0.0,3019.0,483.0,1006.0,43.062,43.468
25.085,stream,2.0,181.1875,0.7,2049.5390625,2183.0,0.0,3059.0,523.0,1006.0,43.0,43.406
25.587,stream,4.0,181.19140625,1.0,2049.5390625,2183.0,0.0,3059.0,483.0,1006.0,43.187,43.468
26.088,stream,2.0,181.1953125,0.7,2049.36328125,2183.0,0.0,3019.0,483.0,1006.0,43.218,43.375
26.589,stream,4.0,181.1953125,1.0,2049.1875,2183.0,0.0,3059.0,483.0,1006.0,43.062,43.437
27.091,stream,2.0,181.1953125,0.7,2049.0390625,2183.0,0.0,3019.0,483.0,1006.0,43.125,43.343
27.592,stream,4.0,181.1953125,4.3,2049.765625,2183.0,0.0,3019.0,483.0,1006.0,43.062,43.468
28.095,stream,2.0,181.1953125,1.0,2049.12109375,2183.0,0.0,3099.0,523.0,1006.0,43.031,43.375
28.597,stream,4.0,181.1953125,1.0,2049.12109375,2183.0,0.0,3059.0,483.0,1006.0,42.937,43.437
29.098,stream,2.0,181.1953125,0.7,2048.8828125,2183.0,0.0,3019.0,483.0,1006.0,43.125,43.375
29.600,stream,4.0,181.19921875,1.0,2048.8828125,2183.0,0.0,3059.0,483.0,1004.0,43.281,43.375
30.101,stream,4.0,181.19921875,1.0,2048.82421875,2183.0,0.0,3019.0,483.0,1006.0,43.062,43.468
30.603,stream,2.0,181.19921875,5.0,2049.39453125,2182.0,0.0,3019.0,483.0,1006.0,43.125,43.562
31.106,stream,6.0,181.203125,1.3,2049.06640625,2183.0,0.0,3099.0,523.0,1006.0,43.031,43.437
31.607,stream,2.0,181.20703125,1.0,2048.73046875,2182.0,0.0,3099.0,483.0,1004.0,43.062,43.562
32.109,stream,2.0,181.20703125,1.0,2048.65625,2182.0,0.0,3099.0,482.0,1004.0,43.0,43.406
32.611,stream,4.0,181.20703125,1.7,2048.65625,2182.0,0.0,3059.0,483.0,1006.0,43.187,43.406
33.114,stream,2.0,181.2109375,1.0,2048.65625,2182.0,0.0,3059.0,483.0,1006.0,43.031,43.406
33.616,stream,4.0,181.2109375,2.7,2049.1484375,2182.0,0.0,3059.0,483.0,1006.0,43.343,43.406
34.117,stream,4.0,181.2109375,3.3,2049.39453125,2183.0,0.0,3139.0,523.0,1006.0,43.093,43.5
34.619,stream,2.0,181.2109375,0.0,2049.39453125,2183.0,0.0,3059.0,483.0,1006.0,43.156,43.343
35.121,stream,4.0,181.21875,1.7,2049.39453125,2183.0,0.0,3019.0,483.0,1006.0,43.281,43.468
35.622,stream,2.0,181.21875,0.3,2049.39453125,2183.0,0.0,3019.0,483.0,1006.0,43.343,43.343
36.123,stream,2.0,181.21875,0.3,2049.39453125,2183.0,0.0,3019.0,483.0,1006.0,43.093,43.437
36.624,stream,4.0,181.21875,1.0,2049.61328125,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.343
37.125,stream,4.0,181.22265625,4.7,2050.40234375,2185.0,0.0,3180.0,522.0,1004.0,43.062,43.531
37.628,stream,4.0,181.2265625,0.7,2050.05859375,2184.0,0.0,3059.0,523.0,1006.0,43.093,43.593
38.129,stream,2.0,181.2265625,0.3,2049.65625,2183.0,0.0,3059.0,483.0,1006.0,43.0,43.437
38.631,stream,2.0,181.2265625,1.3,2049.65625,2183.0,0.0,3019.0,483.0,1006.0,43.031,43.437
39.132,stream,4.0,181.23046875,0.3,2049.5703125,2183.0,0.0,3019.0,483.0,1006.0,43.218,43.5
39.633,stream,4.0,181.23046875,1.0,2049.5703125,2183.0,0.0,3019.0,483.0,1006.0,43.0,43.5
40.134,stream,2.0,181.23046875,4.4,2049.140625,2183.0,0.0,3139.0,523.0,1044.0,43.156,43.406
40.637,stream,2.0,181.23046875,1.7,2048.8046875,2183.0,0.0,3059.0,483.0,1006.0,43.25,43.375
41.138,stream,4.0,181.23046875,0.0,2048.7890625,2182.0,0.0,3019.0,483.0,1006.0,43.0,43.406
41.639,stream,4.0,181.23046875,1.0,2048.7890625,2182.0,0.0,3019.0,483.0,1006.0,43.031,43.468
42.140,stream,2.0,181.23046875,0.7,2048.7890625,2182.0,0.0,3019.0,483.0,1006.0,43.187,43.406
42.642,stream,2.0,181.23046875,1.0,2048.7890625,2182.0,0.0,3059.0,483.0,1006.0,43.343,43.343
43.143,stream,4.0,181.234375,5.7,2049.67578125,2183.0,0.0,3139.0,563.0,1044.0,43.343,43.375
43.645,stream,4.0,181.234375,1.0,2049.5078125,2183.0,0.0,3059.0,483.0,1006.0,43.0,43.375
44.147,stream,2.0,181.23828125,0.3,2049.3671875,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.406
44.648,stream,4.0,181.23828125,1.3,2049.3671875,2183.0,0.0,3019.0,483.0,1006.0,43.187,43.343
45.149,stream,4.0,181.23828125,1.3,2049.3671875,2183.0,0.0,3019.0,483.0,1006.0,43.281,43.437
45.650,stream,2.0,181.23828125,0.3,2049.36328125,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.343
46.152,stream,4.0,181.2421875,5.0,2049.66796875,2183.0,0.0,3139.0,562.0,1044.0,43.187,43.468
46.654,stream,2.0,181.24609375,0.3,2049.66796875,2183.0,0.0,3139.0,562.0,1044.0,43.187,43.468
47.156,stream,4.0,181.24609375,1.3,2049.66796875,2183.0,0.0,3059.0,483.0,1006.0,43.218,43.406
47.657,stream,2.0,181.24609375,0.3,2049.66015625,2183.0,0.0,3059.0,483.0,1006.0,43.281,43.437
48.158,stream,2.0,181.24609375,1.7,2049.66015625,2183.0,0.0,3059.0,483.0,1006.0,43.031,43.281
48.660,stream,4.0,181.24609375,1.0,2049.66015625,2183.0,0.0,3059.0,483.0,1006.0,43.218,43.468
49.161,stream,4.0,181.24609375,4.4,2049.23046875,2183.0,0.0,3059.0,483.0,1006.0,43.281,43.5
49.664,stream,2.0,181.24609375,0.7,2049.07421875,2183.0,0.0,3180.0,563.0,1044.0,43.312,43.312
50.166,stream,2.0,181.24609375,1.0,2048.99609375,2183.0,0.0,3059.0,483.0,1006.0,43.125,43.406
