t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,1.75333,1,e_rec,cross-domain,0.6455,0.0000,891.180,890,6.91734,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,35.29,50
2.40,3.67,4.17,0,-0.02015,1,e_rec,cross-domain,0.4611,0.0000,491.180,490,3.66843,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,25.12,50
2.80,4.07,4.17,0,10.49764,1,e_rec,cross-domain,0.1537,0.0000,91.180,90,11.72716,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.17
3.20,4.47,4.48,0,-2.12376,0,|r_qp|,cross-domain,0.0000,0.0000,3.576,0,-2.12376,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,9.495,50
3.60,4.87,4.88,0,8.79282,1,e_rec,cross-domain,0.0000,0.0000,3.684,0,8.79282,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,41.91,11.63
4.00,5.27,5.28,0,8.17987,1,e_rec,cross-domain,0.0000,0.0000,3.594,0,8.17987,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,40.08,5.254
4.40,5.67,5.68,0,-1.18545,0,|r_qp|,cross-domain,0.0000,0.0000,2.581,0,-1.18545,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,11.1,47.35
4.80,6.07,6.08,0,-0.50318,0,|r_qp|,cross-domain,0.0000,0.0000,5.080,0,-0.50318,0,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,9.301,0.8071
5.20,6.47,6.48,0,-0.62217,0,|r_qp|,cross-domain,0.0000,0.0000,3.576,0,-0.62217,0,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,7.099,-0.4142
5.60,6.87,6.88,0,-2.16957,0,|r_qp|,cross-domain,0.0000,0.0000,3.723,0,-2.16957,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.211,44.62
6.00,7.27,7.28,0,-2.38349,0,|r_qp|,cross-domain,0.0000,0.0000,3.504,0,-2.38349,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.8131,0.8431
6.40,7.67,7.68,0,-1.82934,0,|r_qp|,cross-domain,0.0000,0.0000,4.130,0,-1.82934,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.7437,-0.3856
