t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,168.9765625,1.0,2033.48828125,,,,,,,
1.007,warmup,0.0,168.98828125,0.7,2033.484375,2167.0,0.0,3260.0,643.0,1044.0,43.093,43.593
1.508,warmup,0.0,168.9921875,0.7,2033.484375,2167.0,0.0,3099.0,523.0,1006.0,43.031,43.531
2.010,warmup,0.0,168.99609375,0.7,2033.484375,2167.0,0.0,3019.0,483.0,1006.0,43.0,43.562
2.511,stream,2.0,168.99609375,0.3,2033.484375,2167.0,0.0,3019.0,483.0,1006.0,43.281,43.406
3.013,stream,4.0,169.015625,0.3,2033.484375,2167.0,0.0,3019.0,483.0,1006.0,43.312,43.468
3.514,stream,2.0,169.09375,3.6,2035.1875,2167.0,0.0,3019.0,483.0,1006.0,43.156,43.468
4.016,stream,4.0,169.10546875,7.6,2037.32421875,2170.0,0.0,3180.0,563.0,1006.0,43.312,43.406
4.519,stream,2.0,169.109375,0.7,2027.4609375,2161.0,0.0,3220.0,562.0,1044.0,43.281,43.437
5.021,stream,6.0,169.1171875,1.7,2027.4609375,2161.0,0.0,3099.0,483.0,1006.0,43.093,43.375
5.522,stream,0.0,169.12109375,0.0,2027.4609375,2161.0,0.0,3059.0,483.0,1006.0,43.156,43.375
6.024,stream,4.0,169.12890625,5.0,2029.14453125,2162.0,0.0,3059.0,483.0,1006.0,43.312,43.406
6.527,stream,4.0,169.14453125,1.7,2029.63671875,2163.0,0.0,3099.0,523.0,1006.0,43.031,43.468
7.029,stream,4.0,169.15234375,4.7,2030.8671875,2163.0,0.0,3059.0,523.0,1006.0,43.093,43.687
7.531,stream,4.0,169.15625,0.7,2030.8671875,2164.0,0.0,3099.0,523.0,1006.0,43.093,43.531
8.033,stream,2.0,169.16796875,0.7,2030.8671875,2164.0,0.0,3059.0,483.0,1006.0,43.031,43.531
8.534,stream,2.0,169.17578125,0.3,2030.8671875,2164.0,0.0,3019.0,483.0,1006.0,43.406,43.468
9.036,stream,4.0,169.1796875,2.0,2025.31640625,2164.0,0.0,3059.0,483.0,1006.0,43.031,43.5
9.538,stream,2.0,169.1875,0.7,2025.24609375,2159.0,0.0,3059.0,483.0,1006.0,43.187,43.437
10.039,stream,6.0,169.19140625,5.3,2025.24609375,2159.0,0.0,3059.0,483.0,1006.0,43.187,43.562
10.542,stream,2.0,169.19921875,1.0,2025.24609375,2159.0,0.0,3099.0,523.0,1006.0,43.093,43.5
11.044,stream,2.0,169.20703125,1.0,2025.24609375,2159.0,0.0,3059.0,483.0,1006.0,43.093,43.468
11.546,stream,2.0,169.2109375,0.3,2025.24609375,2159.0,0.0,3059.0,483.0,1006.0,43.031,43.5
12.047,stream,6.0,169.22265625,0.7,2025.24609375,2159.0,0.0,3019.0,483.0,1006.0,43.281,43.437
12.549,stream,2.0,169.2265625,0.3,2025.24609375,2159.0,0.0,3019.0,483.0,1006.0,43.125,43.531
13.051,stream,4.0,169.2421875,4.4,2025.984375,2159.0,0.0,3019.0,483.0,1006.0,43.187,43.437
13.554,stream,2.0,169.25,1.3,2025.97265625,2159.0,0.0,3099.0,523.0,1006.0,43.187,43.625
14.055,stream,4.0,169.25,0.7,2025.97265625,2159.0,0.0,3059.0,483.0,1006.0,43.062,43.468
14.556,stream,2.0,169.2578125,0.7,2025.96484375,2159.0,0.0,3099.0,483.0,1006.0,43.062,43.5
15.058,stream,4.0,169.265625,1.3,2025.96484375,2159.0,0.0,3059.0,483.0,1006.0,43.187,43.406
15.561,stream,2.0,169.2734375,1.3,2025.96484375,2159.0,0.0,3059.0,483.0,1006.0,43.187,43.375
16.062,stream,4.0,169.28125,4.4,2025.96484375,2159.0,0.0,3019.0,483.0,1006.0,43.281,43.406
16.565,stream,2.0,169.2890625,2.0,2025.96484375,2159.0,0.0,3139.0,563.0,1006.0,43.187,43.375
17.067,stream,6.0,169.296875,0.7,2025.96484375,2159.0,0.0,3059.0,483.0,1006.0,43.125,43.593
17.569,stream,2.0,169.30078125,1.0,2025.96484375,2159.0,0.0,3019.0,483.0,1006.0,43.031,43.531
18.070,stream,2.0,169.3125,1.0,2025.96484375,2159.0,0.0,3059.0,483.0,1006.0,43.187,43.468
18.572,stream,4.0,169.31640625,0.3,2025.96484375,2159.0,0.0,3019.0,483.0,1006.0,43.031,43.5
19.073,stream,2.0,169.33203125,4.3,2027.44140625,2159.0,0.0,3019.0,483.0,1006.0,43.062,43.562
19.576,stream,4.0,169.33984375,0.7,2027.44140625,2161.0,0.0,3139.0,523.0,1006.0,43.062,43.5
20.078,stream,2.0,169.34375,1.0,2027.671875,2161.0,0.0,3099.0,483.0,1006.0,43.0,43.562
20.580,stream,4.0,169.3515625,0.3,2027.671875,2161.0,0.0,3059.0,483.0,1006.0,43.0,43.531
21.081,stream,4.0,169.35546875,0.7,2027.671875,2161.0,0.0,3019.0,483.0,1006.0,43.031,43.468
21.583,stream,2.0,169.36328125,1.0,2027.671875,2161.0,0.0,3019.0,483.0,1006.0,43.031,43.5
22.085,stream,4.0,169.37109375,2.3,2027.671875,2161.0,0.0,3019.0,483.0,1006.0,43.062,43.406
22.586,stream,4.0,169.37109375,4.0,2028.1484375,2162.0,0.0,3180.0,562.0,1004.0,43.156,43.375
23.089,stream,2.0,169.375,1.3,2028.1484375,2162.0,0.0,3099.0,523.0,1006.0,43.218,43.468
23.592,stream,4.0,169.375,0.7,2028.1484375,2162.0,0.0,3059.0,483.0,1006.0,43.093,43.531
24.093,stream,4.0,169.375,0.0,2028.1484375,2162.0,0.0,3019.0,483.0,1006.0,43.093,43.5
