t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,6.24451,1,e_rec,single-domain,0.0000,0.0000,4.244,0,6.24451,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,27.56,36.83
2.40,3.67,3.68,0,3.73332,1,e_rec,single-domain,0.0000,0.0000,3.726,0,3.73332,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,19.33,36.92
2.80,4.07,4.08,0,13.98014,1,e_rec,single-domain,0.0000,0.0000,3.705,0,13.98014,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,8.01
3.20,4.47,4.48,0,0.09773,1,e_rec,single-domain,0.0000,0.0000,4.088,0,0.09773,1,-0.9902,10.52,0.6235,0,0.1148,8.951,50,11.26,8.196
3.60,4.87,4.88,0,8.42519,1,e_rec,single-domain,0.0000,0.0000,3.706,0,8.42519,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,37.05,4.69
4.00,5.27,5.28,0,7.35084,1,e_rec,single-domain,0.0000,0.0000,3.654,0,7.35084,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,35.38,2.693
4.40,5.67,5.68,0,-2.34084,0,e_rec,single-domain,0.0000,0.0000,3.816,0,-2.34084,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,5.939,3.17
4.80,6.07,6.08,0,-0.30184,1,e_rec,single-domain,0.0000,0.0000,3.645,0,-0.30184,1,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,11.32,-0.4443
5.20,6.47,6.48,0,-1.09791,0,e_rec,cross-domain,0.0000,0.0000,3.703,0,-1.09791,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,8.149,-0.4615
5.60,6.87,6.88,0,-3.53530,0,|r_aux|,cross-domain,0.0000,0.0000,3.635,0,-3.53530,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.8165,-0.506
6.00,7.27,7.28,0,-2.51795,0,e_rec,cross-domain,0.0000,0.0000,3.559,0,-2.51795,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,1.344,-0.5837
6.40,7.67,7.68,0,-3.10843,0,|r_aux|,cross-domain,0.0000,0.0000,4.112,0,-3.10843,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.7655,-0.3736
6.80,8.07,8.08,0,-2.56298,0,|r_aux|,cross-domain,0.0000,0.0000,3.848,0,-2.56298,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.2841,-0.2042
7.20,8.47,8.48,0,-2.75523,0,|r_aux|,cross-domain,0.0000,0.0000,3.762,0,-2.75523,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-0.9945,-0.7386
7.60,8.87,8.88,0,-2.47310,0,e_rec,cross-domain,0.0000,0.0000,3.746,0,-2.47310,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.078,0.7712
8.00,9.27,9.28,0,-2.86332,0,|r_bal|,cross-domain,0.0000,0.0000,3.531,0,-2.86332,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,0.001286,-0.2813
8.40,9.67,9.68,0,-3.11544,0,|r_aux|,cross-domain,0.0000,0.0000,3.554,0,-3.11544,0,0.4018,1.159,1.264,0,0.7582,1.255,0.02505,-0.5676,-0.01917
8.80,10.07,10.08,0,-2.64204,0,|r_aux|,cross-domain,0.0000,0.0000,3.658,0,-2.64204,0,0.7462,1.031,0.6861,0,0.6967,1.277,-0.3338,0.6851,0.8752
9.20,10.47,10.48,0,-2.74952,0,|r_aux|,cross-domain,0.0000,0.0000,3.530,0,-2.74952,0,0.4879,1.218,1.971,0,0.6899,0.317,-0.1757,0.5157,0.9503
9.60,10.87,10.88,0,-3.06199,0,|r_aux|,cross-domain,0.0000,0.0000,4.110,0,-3.06199,0,0.6458,1.389,1.204,0,0.6406,-0.1873,0.6683,-0.6035,-0.492
10.00,11.27,11.28,0,-2.32202,0,e_rec,cross-domain,0.0000,0.0000,3.686,0,-2.32202,0,0.8898,1.142,1.047,0,0.2853,-0.7021,0.1367,1.387,2.163
10.40,11.67,11.68,0,-2.63320,0,|r_aux|,cross-domain,0.0000,0.0000,3.723,0,-2.63320,0,0.818,1.124,2.721,0,-0.2429,0.08972,0.2316,-0.452,0.148
10.80,12.07,12.08,0,-2.83086,0,|r_aux|,cross-domain,0.0000,0.0000,3.632,0,-2.83086,0,0.6888,1.357,1.108,0,-0.1048,0.6188,0.6034,-0.9502,-0.1606
11.20,12.47,12.48,0,-2.21836,0,e_rec,cross-domain,0.0000,0.0000,3.519,0,-2.21836,0,0.3588,1.14,0.831,0,0.3484,1.754,0.1278,1.828,2.258
11.60,12.87,12.88,0,-2.67910,0,|r_aux|,cross-domain,0.0000,0.0000,3.513,0,-2.67910,0,1.162,1.175,2.318,0,0.5908,1.86,0.3043,0.0191,0.09371
12.00,13.27,13.28,0,-2.93570,0,|r_aux|,cross-domain,0.0000,0.0000,3.519,0,-2.93570,0,0.9902,1.38,0.8368,0,0.4997,1.408,0.697,-0.7612,0.1218
12.40,13.67,13.68,0,-2.75667,0,|r_bal|,cross-domain,0.0000,0.0000,3.524,0,-2.75667,0,1.292,1.093,0.5744,0,-0.1913,0.574,0.2828,-1.005,0.9673
12.80,14.07,14.08,0,-2.23341,0,e_rec,cross-domain,0.0000,0.0000,3.933,0,-2.23341,0,0.5023,0.9368,1.775,0,-0.3034,-0.1069,-0.00279,1.104,1.176
13.20,14.47,14.48,0,-2.58887,0,|r_aux|,cross-domain,0.0000,0.0000,3.618,0,-2.58887,0,0.6171,1.249,0.6571,0,-0.4242,-0.3313,0.3177,-0.4159,-0.1393
13.60,14.87,14.88,0,-2.57818,0,|r_aux|,cross-domain,0.0000,0.0000,3.704,0,-2.57818,0,0.1148,0.988,0.7913,0,-0.4542,-0.7088,-0.1538,0.1159,0.9445
14.00,15.27,15.28,0,-2.68704,0,|r_qp|,cross-domain,0.0000,0.0000,3.593,0,-2.68704,0,0.3731,1.03,2.132,0,-0.6277,-1.123,0.04853,-0.62,0.3151
14.40,15.67,15.68,0,-2.51479,0,|r_aux|,cross-domain,0.0000,0.0000,3.532,0,-2.51479,0,0.4879,1.239,0.8351,0,-0.4676,-1.422,0.8437,0.04428,-0.5357
14.80,16.07,16.08,0,-2.48790,0,e_rec,cross-domain,0.0000,0.0000,3.504,0,-2.48790,0,0.4162,1.074,0.7759,0,0.1746,-1.288,0.3145,1.162,1.708
15.20,16.47,16.48,0,-2.56267,0,|r_aux|,cross-domain,0.0000,0.0000,3.492,0,-2.56267,0,0.4162,1.283,1.813,0,0.1118,-0.4466,0.1733,0.428,-0.1958
15.60,16.87,16.88,0,-3.21561,0,|r_aux|,cross-domain,0.0000,0.0000,4.081,0,-3.21561,0,0.3301,1.48,0.8108,0,0.7719,-0.01167,1.245,-0.6641,-0.2438
16.00,17.27,17.28,0,-3.21754,0,|r_aux|,cross-domain,0.0000,0.0000,3.785,0,-3.21754,0,0.7175,1.073,0.5779,0,1.777,0.9585,0.2193,0.3929,0.2648
16.40,17.67,17.68,0,-3.61680,0,|r_bal|,cross-domain,0.0000,0.0000,3.571,0,-3.61680,0,0.9185,0.7105,2.007,0,1.908,0.816,0.08654,-0.5832,0.3192
16.80,18.07,18.08,0,-2.89667,0,e_rec,cross-domain,0.0000,0.0000,3.681,0,-2.89667,0,1.048,1.074,0.7455,0,2.034,0.8114,0.2455,1.481,-0.3213
17.20,18.47,18.48,0,-2.96009,0,|r_bal|,cross-domain,0.0000,0.0000,3.589,0,-2.96009,0,1.722,0.9717,0.2362,0,1.543,-0.04478,0.411,0.4758,0.3145
17.60,18.87,18.88,0,-2.77626,0,|r_bal|,cross-domain,0.0000,0.0000,3.502,0,-2.77626,0,1.363,1.291,1.292,0,0.7297,-0.2691,0.4965,0.01127,0.02533
18.00,19.27,19.28,0,-2.49623,0,|r_bal|,cross-domain,0.0000,0.0000,3.519,0,-2.49623,0,1.607,1.425,0.01475,0,0.16,-0.2089,1.722,0.07328,-0.6175
18.40,19.67,19.68,0,-2.43893,0,|r_aux|,cross-domain,0.0000,0.0000,3.719,0,-2.43893,0,0.7462,0.9637,0.4648,0,-0.1178,0.6498,0.354,0.4701,0.3662
18.80,20.07,20.08,0,-2.55682,0,e_rec,cross-domain,0.0000,0.0000,4.018,0,-2.55682,0,0.7749,0.6494,2.288,0,0.2084,0.8169,0.1849,0.6136,0.05413
19.20,20.47,20.48,0,-2.78414,0,|r_aux|,cross-domain,0.0000,0.0000,3.792,0,-2.78414,0,1.019,1.057,1.046,0,0.3927,1.034,0.1083,-0.3241,-0.3608
19.60,20.87,20.88,0,-3.00579,0,|r_aux|,cross-domain,0.0000,0.0000,3.732,0,-3.00579,0,0.4449,0.8562,0.8144,0,0.3824,0.9523,-0.1879,-0.5079,0.2881
20.00,21.27,21.28,0,-2.71555,0,|r_aux|,cross-domain,0.0000,0.0000,3.651,0,-2.71555,0,0.2296,1.001,1.884,0,0.2502,1.066,-0.01752,0.2644,0.4755
20.40,21.67,21.68,0,-2.85694,0,|r_aux|,cross-domain,0.0000,0.0000,3.637,0,-2.85694,0,0.4879,1.224,0.6862,0,0.6039,0.7621,0.6283,0.107,-0.032
20.80,22.07,22.08,0,-2.94389,0,|r_aux|,cross-domain,0.0000,0.0000,3.442,0,-2.94389,0,0.6888,0.9292,0.5053,0,0.2201,-0.2403,-0.02458,-0.584,-0.2491
