t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,181.046875,2.3,2066.953125,,,,,,,
1.007,warmup,0.0,181.0625,0.3,2066.94921875,2202.0,0.0,3341.0,643.0,1044.0,43.593,43.937
1.508,warmup,0.0,181.06640625,0.7,2066.703125,2202.0,0.0,3139.0,522.0,1044.0,43.468,43.906
2.010,warmup,0.0,181.0703125,1.0,2066.703125,2202.0,0.0,3059.0,482.0,1004.0,43.406,43.843
2.512,stream,2.0,181.07421875,0.3,2066.2109375,2202.0,0.0,3059.0,482.0,1004.0,43.531,43.781
3.014,stream,4.0,181.08203125,0.7,2066.2109375,2201.0,0.0,3059.0,482.0,1004.0,43.625,43.75
3.515,stream,2.0,181.1640625,0.3,2063.8125,2201.0,0.0,3059.0,482.0,1004.0,43.468,43.75
4.017,stream,2.0,181.171875,1.0,2063.8125,2199.0,0.0,3099.0,482.0,1004.0,43.468,44.0
4.518,stream,2.0,181.17578125,0.7,2061.25390625,2196.0,0.0,3099.0,482.0,1004.0,43.406,43.875
5.020,stream,4.0,181.18359375,0.7,2061.25390625,2196.0,0.0,3099.0,482.0,1004.0,43.718,43.781
5.522,stream,4.0,181.1875,1.0,2056.515625,2194.0,0.0,3059.0,482.0,1004.0,43.687,43.812
6.024,stream,2.0,181.19921875,0.7,2056.515625,2191.0,0.0,3059.0,482.0,1004.0,43.531,43.781
6.525,stream,2.0,181.20703125,0.7,2053.546875,2188.0,0.0,3099.0,482.0,1004.0,43.593,43.75
7.027,stream,6.0,181.21484375,1.0,2053.546875,2189.0,0.0,3059.0,482.0,1004.0,43.687,43.781
7.528,stream,2.0,181.22265625,1.7,2053.546875,2189.0,0.0,3059.0,482.0,1004.0,43.406,43.75
8.030,stream,2.0,181.23046875,0.0,2053.546875,2189.0,0.0,3059.0,482.0,1004.0,43.531,43.937
8.531,stream,2.0,181.23828125,1.0,2051.55078125,2186.0,0.0,3059.0,482.0,1004.0,43.562,43.75
9.033,stream,4.0,181.2421875,1.3,2051.55078125,2187.0,0.0,3059.0,482.0,1004.0,43.437,43.718
9.534,stream,2.0,181.25,1.0,2044.00390625,2186.0,0.0,3099.0,482.0,1004.0,43.5,43.875
10.036,stream,4.0,181.25390625,0.7,2044.00390625,2179.0,0.0,3099.0,482.0,1004.0,43.375,43.937
10.538,stream,2.0,181.265625,0.7,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.312,43.937
11.040,stream,4.0,181.2734375,0.7,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.406,43.937
11.541,stream,2.0,181.28125,0.7,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.437,43.875
12.043,stream,2.0,181.2890625,0.3,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.437,43.875
12.544,stream,2.0,181.296875,0.3,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.343,43.937
13.046,stream,6.0,181.30859375,1.0,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.437,43.906
13.547,stream,2.0,181.3203125,1.3,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.437,43.875
14.049,stream,4.0,181.3203125,1.0,2043.9375,2179.0,0.0,3059.0,482.0,1004.0,43.531,43.875
14.551,stream,2.0,181.328125,0.7,2043.92578125,2179.0,0.0,3099.0,482.0,1004.0,43.593,43.75
15.053,stream,2.0,181.3359375,1.0,2043.91796875,2179.0,0.0,3099.0,482.0,1004.0,43.718,43.843
