t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,1.35835,1,e_rec,cross-domain,0.6455,0.0000,891.054,890,6.52234,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,31.41,46.46
2.40,3.67,4.17,0,0.40073,1,e_rec,cross-domain,0.4611,0.0000,491.054,490,4.08929,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.08,44.29
2.80,4.07,4.17,0,11.51740,1,e_rec,cross-domain,0.1537,0.0000,91.054,90,12.74692,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.48
3.20,4.47,4.48,0,-1.10632,0,e_rec,cross-domain,0.0000,0.0000,3.650,0,-1.10632,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,11.38,50
3.60,4.87,4.88,0,8.40269,1,e_rec,cross-domain,0.0000,0.0000,3.648,0,8.40269,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,37.94,11.09
4.00,5.27,5.28,0,8.90508,1,e_rec,cross-domain,0.0000,0.0000,3.664,0,8.90508,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,39.4,3.574
4.40,5.67,5.68,0,-0.82945,0,|r_qp|,cross-domain,0.0000,0.0000,3.841,0,-0.82945,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,10.66,41.27
4.80,6.07,6.08,0,-0.42105,1,|r_qp|,cross-domain,0.0000,0.0000,3.645,0,-0.42105,1,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.172,1.491
5.20,6.47,6.48,0,-0.05283,1,|r_qp|,cross-domain,0.0000,0.0000,3.969,0,-0.05283,1,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,7.755,-0.0622
5.60,6.87,6.88,0,-2.01005,0,|r_qp|,cross-domain,0.0000,0.0000,3.516,0,-2.01005,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.066,39.26
