t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,6.0,182.5703125,1.4,2118.01953125,,,,,,,
1.006,warmup,0.0,182.58203125,6.3,2115.359375,2253.0,0.0,3818.0,762.0,1123.0,44.312,44.781
1.508,warmup,0.0,182.5859375,2.3,2115.234375,2250.0,0.0,3657.0,602.0,1125.0,44.218,44.718
2.010,warmup,2.0,182.58984375,0.7,2115.234375,2250.0,0.0,3577.0,562.0,1125.0,44.25,44.656
2.512,stream,0.0,182.59375,0.7,2115.0859375,2250.0,0.0,3496.0,522.0,1125.0,44.531,44.656
3.013,stream,4.0,182.60546875,4.6,2115.0859375,2250.0,0.0,3502.0,482.0,1125.0,44.5,44.625
3.515,stream,4.0,182.6875,8.7,2115.0859375,2250.0,27.0,3542.0,522.0,1125.0,44.281,44.625
4.017,stream,2.0,182.6953125,4.5,2115.32421875,2250.0,0.0,3617.0,562.0,1125.0,44.312,44.656
4.518,stream,4.0,182.69921875,15.5,2115.32421875,2250.0,29.0,3582.0,522.0,1125.0,44.125,44.718
5.020,stream,4.0,182.7109375,2.7,2115.32421875,2250.0,0.0,3582.0,562.0,1125.0,44.156,44.718
5.522,stream,2.0,182.72265625,6.2,2115.80859375,2250.0,0.0,3542.0,522.0,1125.0,44.156,44.75
6.024,stream,4.0,182.73046875,6.3,2115.80859375,2250.0,0.0,3623.0,562.0,1125.0,44.468,44.75
6.526,stream,2.0,182.73828125,10.5,2115.80859375,2250.0,0.0,3582.0,522.0,1125.0,44.468,44.687
7.028,stream,4.0,182.74609375,3.0,2115.80859375,2250.0,0.0,3542.0,522.0,1125.0,44.218,44.625
7.530,stream,4.0,182.75,1.0,2115.80859375,2250.0,0.0,3542.0,522.0,1125.0,44.343,44.593
8.032,stream,4.0,182.7578125,0.3,2115.80859375,2250.0,0.0,3502.0,522.0,1085.0,44.312,44.718
8.533,stream,2.0,182.765625,0.7,2116.0546875,2250.0,0.0,3462.0,482.0,1125.0,44.156,44.75
9.035,stream,2.0,182.7734375,1.0,2115.8125,2250.0,0.0,3502.0,482.0,1125.0,44.125,44.656
9.536,stream,4.0,182.78125,0.7,2115.7890625,2250.0,0.0,3502.0,482.0,1125.0,44.187,44.593
10.037,stream,2.0,182.78515625,0.0,2115.7890625,2250.0,0.0,3502.0,482.0,1085.0,44.437,44.593
10.539,stream,2.0,182.79296875,1.0,2115.7890625,2250.0,0.0,3462.0,482.0,1085.0,44.218,44.625
11.040,stream,4.0,182.80078125,0.3,2115.7890625,2250.0,0.0,3462.0,482.0,1085.0,44.187,44.687
11.541,stream,2.0,182.80859375,1.3,2115.7890625,2250.0,0.0,3462.0,482.0,1085.0,44.156,44.687
12.043,stream,4.0,182.8203125,5.7,2066.91015625,2250.0,11.0,3536.0,522.0,1125.0,44.156,44.687
12.545,stream,4.0,182.82421875,0.3,2066.80078125,2202.0,0.0,3496.0,522.0,1125.0,44.125,44.625
13.047,stream,2.0,182.83203125,0.7,2067.046875,2201.0,0.0,3542.0,482.0,1085.0,44.375,44.625
13.548,stream,2.0,182.83984375,1.3,2067.03125,2202.0,0.0,3502.0,482.0,1085.0,44.375,44.656
14.050,stream,4.0,182.83984375,0.0,2067.03125,2202.0,0.0,3462.0,482.0,1085.0,44.187,44.75
14.551,stream,4.0,182.84765625,0.3,2067.03125,2202.0,0.0,3462.0,482.0,1125.0,44.187,44.781
15.052,stream,2.0,182.85546875,0.7,2067.03125,2202.0,0.0,3542.0,482.0,1125.0,44.125,44.656
15.554,stream,2.0,182.86328125,1.7,2067.03125,2202.0,0.0,3502.0,482.0,1085.0,44.375,44.656
16.055,stream,2.0,182.8671875,1.3,2067.03125,2202.0,0.0,3502.0,522.0,1125.0,44.187,44.593
16.557,stream,4.0,182.875,0.3,2067.03125,2202.0,0.0,3502.0,482.0,1125.0,44.281,44.625
17.058,stream,4.0,182.8828125,0.3,2067.03125,2202.0,0.0,3502.0,482.0,1125.0,44.406,44.656
17.559,stream,2.0,182.890625,0.3,2067.03125,2202.0,0.0,3462.0,482.0,1125.0,44.125,44.75
18.060,stream,2.0,182.8984375,0.7,2067.03125,2202.0,0.0,3502.0,482.0,1125.0,44.093,44.625
18.562,stream,2.0,182.91015625,0.3,2067.0234375,2202.0,0.0,3502.0,482.0,1085.0,44.343,44.656
19.063,stream,4.0,182.921875,0.3,2067.0234375,2202.0,0.0,3502.0,482.0,1125.0,44.312,44.656
19.564,stream,4.0,182.9296875,1.0,2067.0234375,2202.0,0.0,3462.0,482.0,1085.0,44.156,44.687
20.065,stream,2.0,182.93359375,0.3,2067.0234375,2202.0,0.0,3502.0,482.0,1085.0,44.156,44.687
20.567,stream,2.0,182.94140625,0.0,2067.0234375,2202.0,0.0,3502.0,482.0,1085.0,44.156,44.656
21.068,stream,4.0,182.9453125,0.7,2067.0234375,2202.0,0.0,3502.0,482.0,1125.0,44.406,44.625
21.569,stream,2.0,182.953125,0.7,2067.0234375,2202.0,0.0,3462.0,482.0,1085.0,44.312,44.593
22.070,stream,2.0,182.95703125,0.3,2067.0234375,2202.0,0.0,3462.0,482.0,1085.0,44.281,44.812
22.572,stream,4.0,182.9609375,0.0,2067.01953125,2202.0,0.0,3462.0,482.0,1085.0,44.125,44.5
23.073,stream,2.0,182.96484375,0.7,2067.01953125,2202.0,0.0,3502.0,482.0,1125.0,44.156,44.593
23.574,stream,2.0,182.96875,0.0,2067.01171875,2202.0,0.0,3502.0,482.0,1085.0,44.125,44.468
24.075,stream,4.0,182.96875,1.3,2067.01171875,2202.0,0.0,3502.0,482.0,1125.0,44.312,44.656
24.576,stream,2.0,182.96875,0.0,2067.01171875,2202.0,0.0,3462.0,482.0,1085.0,44.375,44.593
25.078,stream,2.0,182.97265625,0.7,2067.01171875,2202.0,0.0,3502.0,482.0,1085.0,44.187,44.656
25.579,stream,4.0,182.97265625,0.3,2067.0,2202.0,0.0,3502.0,482.0,1085.0,44.093,44.781
26.080,stream,2.0,182.9765625,0.7,2067.0,2202.0,0.0,3502.0,482.0,1085.0,44.343,44.656
26.581,stream,2.0,182.9765625,0.3,2067.0,2202.0,0.0,3462.0,482.0,1085.0,44.437,44.562
27.082,stream,4.0,182.9765625,0.7,2067.0,2202.0,0.0,3462.0,482.0,1085.0,44.187,44.656
27.583,stream,2.0,182.9765625,0.3,2066.86328125,2202.0,0.0,3462.0,482.0,1085.0,44.25,44.593
28.085,stream,4.0,182.9765625,0.3,2066.86328125,2201.0,0.0,3462.0,482.0,1085.0,44.125,44.718
28.586,stream,2.0,182.9765625,0.7,2059.61328125,2201.0,0.0,3462.0,482.0,1085.0,44.156,44.562
29.087,stream,4.0,182.9765625,0.3,2059.609375,2194.0,0.0,3502.0,482.0,1085.0,44.25,44.687
29.588,stream,2.0,182.9765625,0.3,2059.60546875,2194.0,0.0,3542.0,482.0,1085.0,44.312,44.531
30.089,stream,2.0,182.98046875,0.7,2059.60546875,2194.0,0.0,3502.0,482.0,1085.0,44.281,44.593
30.591,stream,2.0,182.98046875,0.3,2059.60546875,2194.0,0.0,3462.0,482.0,1085.0,44.156,44.718
31.092,stream,4.0,182.984375,1.0,2059.60546875,2194.0,0.0,3462.0,482.0,1085.0,44.031,44.687
31.593,stream,2.0,182.98828125,0.3,2059.60546875,2194.0,0.0,3462.0,482.0,1125.0,44.312,44.718
32.094,stream,2.0,182.98828125,0.3,2059.60546875,2194.0,0.0,3462.0,482.0,1085.0,44.437,44.656
32.596,stream,2.0,182.98828125,0.0,2059.60546875,2194.0,0.0,3462.0,482.0,1085.0,44.25,44.687
33.097,stream,6.0,182.98828125,1.0,2059.60546875,2194.0,0.0,3462.0,482.0,1085.0,44.218,44.781
33.598,stream,2.0,182.9921875,0.7,2059.60546875,2194.0,0.0,3462.0,482.0,1125.0,44.156,44.718
34.099,stream,2.0,182.9921875,0.0,2059.60546875,2194.0,0.0,3542.0,482.0,1085.0,44.468,44.593
34.601,stream,2.0,182.9921875,0.7,2059.59765625,2194.0,0.0,3502.0,482.0,1085.0,44.25,44.625
35.102,stream,4.0,182.99609375,0.7,2059.59765625,2194.0,0.0,3462.0,482.0,1085.0,44.375,44.406
35.603,stream,2.0,182.99609375,0.3,2059.59765625,2194.0,0.0,3462.0,482.0,1085.0,44.218,44.656
36.104,stream,4.0,183.0,0.7,2059.59765625,2194.0,0.0,3502.0,482.0,1085.0,44.187,44.687
36.606,stream,2.0,183.0,0.0,2059.59765625,2194.0,0.0,3502.0,482.0,1125.0,44.281,44.656
37.107,stream,2.0,183.00390625,0.3,2059.59765625,2194.0,0.0,3462.0,482.0,1085.0,44.406,44.656
37.608,stream,2.0,183.0078125,0.3,2059.59765625,2194.0,0.0,3462.0,482.0,1085.0,44.156,44.593
38.109,stream,2.0,183.0078125,0.3,2059.59765625,2194.0,0.0,3462.0,482.0,1125.0,44.187,44.75
38.611,stream,4.0,183.0078125,0.3,2059.58984375,2194.0,0.0,3462.0,482.0,1085.0,44.125,44.656
39.112,stream,4.0,183.01171875,0.3,2059.58984375,2194.0,0.0,3462.0,482.0,1085.0,44.125,44.656
39.614,stream,2.0,183.01171875,0.7,2059.58203125,2194.0,0.0,3502.0,482.0,1085.0,44.437,44.656
40.115,stream,2.0,183.01171875,0.3,2059.58203125,2194.0,0.0,3462.0,482.0,1085.0,44.187,44.625
40.616,stream,4.0,183.01171875,1.0,2059.58203125,2194.0,0.0,3462.0,482.0,1085.0,44.312,44.812
