t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,4.17,0,1.35836,1,e_rec,cross-domain,0.6455,0.0000,891.094,890,6.52237,1,-6.243,-2.772,-4.378,0,-8.793,33.72,50,31.41,46.46
2.40,3.67,4.17,0,0.40072,1,e_rec,cross-domain,0.4611,0.0000,491.094,490,4.08930,1,-6.243,-2.772,-4.378,0,-8.793,29,48.32,24.08,44.29
2.80,4.07,4.17,0,11.51739,1,e_rec,cross-domain,0.1537,0.0000,91.094,90,12.74691,1,-6.243,-2.772,-4.378,0,-8.793,18.38,47.14,50,16.48
3.20,4.47,4.48,0,-1.10630,0,e_rec,cross-domain,0.0000,0.0000,3.727,0,-1.10630,0,-6.243,-2.772,-4.378,0,-8.793,8.336,50,11.38,50
3.60,4.87,4.88,0,8.40278,1,e_rec,cross-domain,0.0000,0.0000,3.944,0,8.40278,1,-6.243,-2.772,-4.378,0,-8.793,1.571,44.57,37.94,11.09
4.00,5.27,5.28,0,8.90506,1,e_rec,cross-domain,0.0000,0.0000,3.839,0,8.90506,1,-6.243,-2.772,-4.378,0,-8.793,2.323,47.63,39.4,3.574
4.40,5.67,5.68,0,-0.82953,0,|r_qp|,cross-domain,0.0000,0.0000,4.008,0,-0.82953,0,-6.243,-2.772,-4.378,0,-8.793,4.932,41.78,10.66,41.27
4.80,6.07,6.08,0,-0.42083,1,|r_qp|,cross-domain,0.0000,0.0000,4.361,0,-0.42083,1,-6.243,-2.772,-4.378,0,-8.793,7.569,37.87,8.173,1.491
5.20,6.47,6.48,0,-0.05274,1,|r_qp|,cross-domain,0.0000,0.0000,3.745,0,-0.05274,1,-6.243,-2.772,-4.378,0,-8.793,6.629,28.7,7.755,-0.06217
5.60,6.87,6.88,0,-2.01008,0,|r_qp|,cross-domain,0.0000,0.0000,3.980,0,-2.01008,0,-6.243,-2.772,-4.378,0,-8.793,4.111,18.83,3.066,39.26
6.00,7.27,7.28,0,-2.20086,0,|r_qp|,cross-domain,0.0000,0.0000,3.769,0,-2.20086,0,-6.243,-2.772,-4.378,0,-8.793,1.943,14.29,-0.6835,0.6138
6.40,7.67,7.68,0,-1.83586,0,|r_qp|,cross-domain,0.0000,0.0000,3.729,0,-1.83586,0,-6.243,-2.772,-4.378,0,-8.793,1.695,6.11,-0.9815,-0.2259
6.80,8.07,8.08,0,-0.59554,0,|r_qp|,cross-domain,0.0000,0.0000,3.557,0,-0.59554,0,-6.243,-2.772,-4.378,0,-8.793,2.958,0.622,4.128,34.39
