t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,8.0,180.4296875,1.0,2061.5,,,,,,,
1.008,warmup,0.0,180.44140625,1.3,2061.49609375,2196.0,0.0,3341.0,643.0,1044.0,43.125,43.625
1.510,warmup,0.0,180.4453125,0.7,2061.49609375,2196.0,0.0,3139.0,522.0,1044.0,43.093,43.468
2.011,warmup,0.0,180.453125,0.7,2061.49609375,2196.0,0.0,3059.0,482.0,1004.0,43.312,43.5
2.513,stream,2.0,180.45703125,1.0,2061.49609375,2196.0,0.0,3059.0,482.0,1004.0,43.125,43.406
3.015,stream,2.0,180.47265625,0.0,2061.49609375,2196.0,0.0,3059.0,482.0,1004.0,43.187,43.593
3.517,stream,4.0,180.55078125,0.7,2061.7421875,2196.0,0.0,3059.0,482.0,1004.0,43.062,43.593
4.018,stream,2.0,180.55859375,0.7,2061.7421875,2196.0,0.0,3059.0,482.0,1004.0,43.125,43.593
4.520,stream,4.0,180.5625,1.3,2061.7421875,2196.0,0.0,3139.0,482.0,1004.0,43.031,43.531
5.022,stream,2.0,180.5703125,0.7,2061.734375,2196.0,0.0,3139.0,482.0,1004.0,43.187,43.5
5.524,stream,4.0,180.57421875,0.7,2061.734375,2196.0,0.0,3059.0,482.0,1004.0,43.281,43.531
6.026,stream,2.0,180.58203125,1.7,2061.734375,2196.0,0.0,3059.0,482.0,1004.0,43.312,43.437
6.529,stream,4.0,180.59375,0.3,2061.734375,2196.0,0.0,3139.0,482.0,1004.0,43.125,43.468
7.030,stream,4.0,180.6015625,0.7,2061.734375,2196.0,0.0,3099.0,482.0,1004.0,43.281,43.468
7.532,stream,2.0,180.60546875,0.7,2061.734375,2196.0,0.0,3059.0,482.0,1004.0,43.093,43.531
8.034,stream,2.0,180.6171875,0.7,2061.734375,2196.0,0.0,3059.0,482.0,1004.0,43.062,43.593
8.536,stream,4.0,180.625,0.7,2061.734375,2196.0,0.0,3059.0,482.0,1004.0,43.281,43.437
9.037,stream,2.0,180.6328125,1.3,2057.3671875,2196.0,0.0,3059.0,482.0,1004.0,43.25,43.562
9.540,stream,2.0,180.640625,1.0,2057.3671875,2192.0,0.0,3139.0,482.0,1004.0,43.312,43.562
10.041,stream,6.0,180.64453125,1.3,2057.29296875,2192.0,0.0,3139.0,482.0,1004.0,43.031,43.5
10.544,stream,2.0,180.65234375,0.3,2057.29296875,2192.0,0.0,3099.0,482.0,1004.0,43.25,43.5
11.045,stream,2.0,180.66015625,2.0,2057.29296875,2192.0,0.0,3059.0,482.0,1004.0,43.218,43.468
11.547,stream,4.0,180.6640625,1.0,2057.29296875,2192.0,0.0,3099.0,522.0,1004.0,43.125,43.468
12.049,stream,2.0,180.67578125,0.7,2057.29296875,2192.0,0.0,3059.0,482.0,1004.0,43.093,43.625
12.551,stream,2.0,180.68359375,0.3,2057.29296875,2192.0,0.0,3059.0,482.0,1004.0,43.031,43.531
13.052,stream,4.0,180.69921875,1.0,2057.29296875,2192.0,0.0,3059.0,482.0,1004.0,43.281,43.468
13.554,stream,2.0,180.70703125,0.7,2057.28125,2192.0,0.0,3059.0,482.0,1004.0,43.437,43.531
14.055,stream,4.0,180.70703125,1.0,2057.28125,2192.0,0.0,3059.0,482.0,1004.0,43.187,43.468
14.557,stream,2.0,180.71484375,0.3,2057.28125,2192.0,0.0,3059.0,482.0,1004.0,43.156,43.531
15.058,stream,2.0,180.72265625,1.3,2057.2734375,2192.0,0.0,3099.0,482.0,1004.0,43.093,43.625
15.560,stream,6.0,180.7265625,0.0,2057.2734375,2192.0,0.0,3099.0,482.0,1004.0,43.125,43.468
16.062,stream,2.0,180.734375,1.0,2057.2734375,2192.0,0.0,3059.0,482.0,1004.0,43.25,43.5
16.563,stream,2.0,180.7421875,0.3,2057.2734375,2192.0,0.0,3059.0,482.0,1004.0,43.375,43.437
17.064,stream,4.0,180.75,1.7,2055.96875,2190.0,0.0,3059.0,482.0,1004.0,43.343,43.5
17.566,stream,2.0,180.75390625,0.0,2055.96875,2190.0,0.0,3059.0,482.0,1004.0,43.125,43.406
18.067,stream,4.0,180.76171875,0.7,2053.734375,2188.0,0.0,3059.0,482.0,1004.0,43.187,43.531
18.569,stream,2.0,180.76953125,0.7,2053.734375,2188.0,0.0,3059.0,482.0,1004.0,43.062,43.531
19.070,stream,2.0,180.78515625,0.7,2051.74609375,2186.0,0.0,3059.0,482.0,1004.0,43.062,43.625
19.572,stream,4.0,180.79296875,1.0,2051.74609375,2186.0,0.0,3059.0,482.0,1004.0,43.031,43.406
20.073,stream,4.0,180.796875,0.3,2051.640625,2186.0,0.0,3059.0,482.0,1004.0,43.187,43.5
20.575,stream,2.0,180.8046875,1.0,2051.640625,2186.0,0.0,3099.0,482.0,1004.0,43.281,43.437
